Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ELECTCAST,EQ,2014-12-03,21.15,21.15,21.80,21.15,21.60,21.60,21.50,458779,98.66,1394,297526,64.85
ELECTCAST,EQ,2014-12-04,21.60,21.15,21.70,20.70,20.80,20.85,21.07,460610,97.05,1081,332503,72.19
ELECTCAST,EQ,2014-12-05,20.85,21.00,21.00,20.75,20.80,20.90,20.93,308070,64.48,640,207588,67.38
ELECTCAST,EQ,2014-12-08,20.90,21.00,21.15,20.30,20.40,20.45,20.57,268505,55.24,894,214376,79.84
ELECTCAST,EQ,2014-12-09,20.45,20.50,20.50,19.70,20.00,19.85,20.09,377009,75.74,1155,240907,63.90
ELECTCAST,EQ,2014-12-10,19.85,19.90,20.45,19.75,19.80,19.85,20.07,248807,49.93,723,151805,61.01
ELECTCAST,EQ,2014-12-11,19.85,19.70,20.10,19.20,19.55,19.65,19.67,231466,45.53,819,142965,61.77
ELECTCAST,EQ,2014-12-12,19.65,19.70,19.85,19.20,19.35,19.30,19.51,151488,29.56,703,109922,72.56
ELECTCAST,EQ,2014-12-15,19.30,19.45,19.50,18.85,18.90,18.95,19.13,284619,54.44,789,186225,65.43
ELECTCAST,EQ,2014-12-16,18.95,19.00,19.00,17.90,18.10,18.05,18.35,378985,69.53,989,269566,71.13
ELECTCAST,EQ,2014-12-17,18.05,18.05,18.25,17.00,17.60,17.70,17.64,279797,49.35,948,162754,58.17
ELECTCAST,EQ,2014-12-18,17.70,18.05,18.85,18.05,18.65,18.65,18.51,192738,35.68,636,146135,75.82
ELECTCAST,EQ,2014-12-19,18.65,18.85,19.35,18.65,18.90,18.85,18.98,162021,30.76,718,85497,52.77
ELECTCAST,EQ,2014-12-22,18.85,15.10,17.05,15.10,16.85,16.65,16.40,2361330,387.33,5596,1132294,47.95
ELECTCAST,EQ,2014-12-23,16.65,17.25,18.95,17.25,17.75,17.75,17.90,1341774,240.19,4208,629367,46.91
ELECTCAST,EQ,2014-12-24,17.75,17.95,18.20,17.75,17.95,17.85,17.99,417201,75.05,1301,179177,42.95
ELECTCAST,EQ,2014-12-26,17.85,17.95,18.25,17.40,17.85,17.90,17.77,272997,48.51,723,190325,69.72
ELECTCAST,EQ,2014-12-29,17.90,17.85,18.45,17.75,17.85,18.00,18.08,249780,45.17,931,161978,64.85
ELECTCAST,EQ,2014-12-30,18.00,17.80,18.00,17.60,17.90,17.85,17.83,135310,24.13,474,93960,69.44
ELECTCAST,EQ,2014-12-31,17.85,18.00,18.20,17.10,17.95,17.80,17.94,214309,38.44,568,161163,75.20
