Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ENERGYDEV,EQ,2014-12-03,20.50,20.45,21.50,20.45,21.50,21.45,21.22,7494,1.59,69,6609,88.19
ENERGYDEV,EQ,2014-12-04,21.45,21.45,23.00,21.30,21.50,21.55,22.08,10744,2.37,113,7031,65.44
ENERGYDEV,EQ,2014-12-05,21.55,23.05,23.05,20.45,21.00,21.00,21.22,2100,0.45,35,1833,87.29
ENERGYDEV,EQ,2014-12-08,21.00,20.70,21.15,20.05,20.10,20.10,20.26,3066,0.62,47,2812,91.72
ENERGYDEV,EQ,2014-12-09,20.10,20.30,20.60,20.10,20.60,20.60,20.40,1426,0.29,21,1345,94.32
ENERGYDEV,EQ,2014-12-10,20.60,20.60,21.40,19.35,19.60,19.60,20.01,1103,0.22,34,1074,97.37
ENERGYDEV,EQ,2014-12-11,19.60,19.00,20.80,18.35,19.20,19.20,19.30,1363,0.26,53,828,60.75
ENERGYDEV,EQ,2014-12-12,19.20,19.50,20.00,19.10,19.70,19.15,19.32,1797,0.35,27,1631,90.76
ENERGYDEV,EQ,2014-12-16,19.15,19.00,19.00,17.80,18.90,17.85,18.17,1044,0.19,31,893,85.54
ENERGYDEV,EQ,2014-12-17,17.85,17.75,18.00,17.10,18.00,17.40,17.39,2722,0.47,34,2460,90.37
ENERGYDEV,EQ,2014-12-18,17.40,18.70,20.45,18.05,18.05,18.05,18.78,583,0.11,23,500,85.76
ENERGYDEV,EQ,2014-12-19,18.05,18.50,18.95,18.05,18.05,18.25,18.33,2896,0.53,44,1956,67.54
ENERGYDEV,EQ,2014-12-22,18.25,19.50,19.50,18.35,19.00,18.75,18.97,2778,0.53,27,2370,85.31
ENERGYDEV,EQ,2014-12-23,18.75,18.85,19.50,18.45,18.45,18.50,18.78,1206,0.23,22,1152,95.52
ENERGYDEV,EQ,2014-12-24,18.50,19.80,19.80,17.40,18.20,18.20,18.13,327,0.06,23,307,93.88
ENERGYDEV,EQ,2014-12-26,18.20,18.30,19.10,18.25,18.40,18.40,18.55,445,0.08,16,373,83.82
ENERGYDEV,EQ,2014-12-29,18.40,20.00,20.00,19.15,19.40,19.40,19.56,3120,0.61,26,2291,73.43
ENERGYDEV,EQ,2014-12-30,19.40,18.90,20.95,18.60,18.70,18.70,19.48,890,0.17,27,318,35.73
ENERGYDEV,EQ,2014-12-31,18.70,18.80,19.50,18.80,19.50,19.20,18.89,115,0.02,18,111,96.52
ENERGYDEV,EQ,2015-01-01,19.20,19.25,20.00,19.00,19.80,19.40,19.37,706,0.14,36,444,62.89
ENERGYDEV,EQ,2015-01-02,19.40,19.50,20.50,19.50,20.50,19.90,19.96,721,0.14,25,704,97.64
ENERGYDEV,EQ,2015-01-05,19.90,20.50,20.50,19.50,19.50,19.50,19.91,518,0.10,14,506,97.68
ENERGYDEV,EQ,2015-01-06,19.50,20.40,20.40,18.65,18.75,18.80,19.13,1404,0.27,40,1118,79.63
ENERGYDEV,EQ,2015-01-07,18.80,18.90,19.40,17.25,18.95,18.95,18.81,2844,0.53,84,1591,55.94
ENERGYDEV,EQ,2015-01-08,18.95,19.05,19.90,18.90,18.90,19.00,19.14,5127,0.98,26,3717,72.50
ENERGYDEV,EQ,2015-01-09,19.00,19.10,19.30,19.10,19.30,19.30,19.11,53,0.01,4,51,96.23
ENERGYDEV,EQ,2015-01-12,19.30,19.50,19.70,19.15,19.35,19.35,19.46,12642,2.46,19,11738,92.85
ENERGYDEV,EQ,2015-01-13,19.35,19.35,20.00,19.30,19.30,19.30,19.74,1355,0.27,18,1250,92.25
ENERGYDEV,EQ,2015-01-14,19.30,19.10,20.40,19.00,19.15,19.15,19.23,1176,0.23,17,720,61.22
ENERGYDEV,EQ,2015-01-15,19.15,19.10,20.00,19.10,20.00,19.25,19.25,4618,0.89,22,2600,56.30
ENERGYDEV,EQ,2015-01-16,19.25,20.00,22.80,19.35,20.00,20.10,20.44,7229,1.48,62,6419,88.80
ENERGYDEV,EQ,2015-01-19,20.10,20.10,21.00,20.05,20.40,20.40,20.44,2163,0.44,27,1901,87.89
ENERGYDEV,EQ,2015-01-20,20.40,20.40,20.40,19.55,19.70,19.70,20.26,4801,0.97,17,4700,97.90
ENERGYDEV,EQ,2015-01-21,19.70,19.50,20.50,19.10,20.25,19.45,19.53,6202,1.21,56,5085,81.99
ENERGYDEV,EQ,2015-01-22,19.45,21.00,21.00,19.30,20.00,20.00,19.88,1078,0.21,20,1073,99.54
ENERGYDEV,EQ,2015-01-23,20.00,19.70,20.00,19.00,19.30,19.25,19.46,1732,0.34,38,1297,74.88
ENERGYDEV,EQ,2015-01-27,19.25,18.75,20.70,18.75,19.50,19.40,19.39,4432,0.86,24,4275,96.46
ENERGYDEV,EQ,2015-01-28,19.40,19.50,19.75,19.30,19.75,19.75,19.48,462,0.09,14,410,88.74
ENERGYDEV,EQ,2015-01-29,19.75,21.70,21.70,19.05,19.05,19.10,20.00,4211,0.84,42,3515,83.47
ENERGYDEV,EQ,2015-01-30,19.10,19.95,19.95,19.00,19.90,19.90,19.47,3862,0.75,38,2032,52.62
ENERGYDEV,EQ,2015-02-02,19.90,19.40,19.40,19.10,19.20,19.20,19.24,361,0.07,10,250,69.25
ENERGYDEV,EQ,2015-02-03,19.20,19.30,19.40,19.30,19.40,19.40,19.30,302,0.06,8,299,99.01
ENERGYDEV,EQ,2015-02-04,19.40,19.00,20.40,18.95,19.60,19.25,19.68,4181,0.82,57,3248,77.68
ENERGYDEV,EQ,2015-02-05,19.25,19.00,19.30,19.00,19.05,19.15,19.17,640,0.12,16,525,82.03
ENERGYDEV,EQ,2015-02-06,19.15,19.15,19.15,18.10,18.50,18.50,18.37,2674,0.49,49,1909,71.39
ENERGYDEV,EQ,2015-02-09,18.50,19.50,19.50,18.30,19.00,18.85,18.66,5955,1.11,26,3769,63.29
ENERGYDEV,EQ,2015-02-10,18.85,18.40,18.95,18.00,18.00,18.05,18.16,1610,0.29,40,1243,77.20
ENERGYDEV,EQ,2015-02-11,18.05,18.05,19.00,18.00,18.65,18.05,18.28,3056,0.56,35,2546,83.31
ENERGYDEV,EQ,2015-02-12,18.05,17.90,21.50,16.65,18.00,18.10,18.57,4341,0.81,48,4078,93.94
ENERGYDEV,EQ,2015-02-13,18.10,18.00,18.80,17.80,18.00,17.90,18.03,2573,0.46,54,2110,82.01
ENERGYDEV,EQ,2015-02-16,17.90,18.00,18.75,17.90,17.90,18.05,18.05,1179,0.21,14,1108,93.98
ENERGYDEV,EQ,2015-02-18,18.05,17.90,19.00,17.90,18.25,18.35,18.59,6076,1.13,84,4201,69.14
ENERGYDEV,EQ,2015-02-19,18.35,18.75,18.75,18.00,18.20,18.20,18.14,8675,1.57,54,6690,77.12
ENERGYDEV,EQ,2015-02-20,18.20,18.95,18.95,17.90,18.40,18.40,18.07,1643,0.30,20,1639,99.76
ENERGYDEV,EQ,2015-02-23,18.40,18.40,18.90,17.95,18.20,18.15,18.47,2642,0.49,35,2437,92.24
ENERGYDEV,EQ,2015-02-24,18.15,17.70,18.20,17.70,18.20,18.20,17.91,2224,0.40,31,1466,65.92
ENERGYDEV,EQ,2015-02-25,18.20,17.90,18.45,16.30,17.60,17.50,17.21,11594,2.00,138,6253,53.93
ENERGYDEV,EQ,2015-02-26,17.50,17.30,18.10,17.00,17.35,17.40,17.89,33114,5.92,66,32881,99.30
ENERGYDEV,EQ,2015-02-27,17.40,18.00,19.50,17.60,17.90,17.95,18.58,4458,0.83,39,3337,74.85
ENERGYDEV,EQ,2015-02-28,17.95,18.20,19.30,18.00,18.00,18.10,18.45,8023,1.48,64,6792,84.66
ENERGYDEV,EQ,2015-03-02,18.10,18.50,19.35,18.50,18.75,18.75,18.96,2998,0.57,42,2783,92.83
ENERGYDEV,EQ,2015-03-03,18.75,18.40,18.95,18.15,18.95,18.70,18.61,2665,0.50,34,2006,75.27
ENERGYDEV,EQ,2015-03-04,18.70,19.50,19.60,18.25,18.25,18.30,18.69,4222,0.79,44,3318,78.59
ENERGYDEV,EQ,2015-03-05,18.30,19.30,19.30,17.50,17.60,17.60,18.77,1334,0.25,40,1016,76.16
ENERGYDEV,EQ,2015-03-09,17.60,18.00,18.10,17.25,17.35,17.35,17.57,746,0.13,18,671,89.95
ENERGYDEV,EQ,2015-03-10,17.35,17.00,18.25,17.00,17.25,17.25,17.39,1525,0.27,37,1211,79.41
ENERGYDEV,EQ,2015-03-11,17.25,17.45,17.85,17.10,17.20,17.25,17.24,4952,0.85,24,4940,99.76
