Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EVERESTIND,EQ,2014-12-03,281.65,280.95,295.00,279.80,292.00,292.55,288.94,53701,155.16,1300,36663,68.27
EVERESTIND,EQ,2014-12-04,292.55,293.00,302.00,293.00,295.35,296.75,298.94,35535,106.23,1062,17130,48.21
EVERESTIND,EQ,2014-12-05,296.75,296.60,307.40,294.15,300.00,300.15,300.90,70492,212.11,1043,55059,78.11
EVERESTIND,EQ,2014-12-08,300.15,303.15,308.55,298.85,300.00,300.00,301.74,96533,291.28,1287,82240,85.19
EVERESTIND,EQ,2014-12-09,300.00,301.00,306.00,298.20,300.50,299.70,300.49,43447,130.55,1194,31894,73.41
EVERESTIND,EQ,2014-12-10,299.70,299.00,315.00,299.00,310.00,308.80,308.08,31568,97.25,764,21352,67.64
EVERESTIND,EQ,2014-12-11,308.80,307.20,314.80,302.20,303.10,305.00,306.57,16064,49.25,464,8989,55.96
EVERESTIND,EQ,2014-12-12,305.00,303.55,308.20,288.10,295.00,294.35,297.68,27016,80.42,757,16821,62.26
EVERESTIND,EQ,2014-12-15,294.35,293.00,301.00,293.00,300.85,300.20,297.89,19217,57.25,343,13920,72.44
EVERESTIND,EQ,2014-12-16,300.20,298.00,298.90,292.00,294.00,294.00,293.69,38255,112.35,902,32299,84.43
EVERESTIND,EQ,2014-12-17,294.00,290.00,294.80,281.00,291.50,290.00,289.12,64257,185.78,573,57217,89.04
EVERESTIND,EQ,2014-12-18,290.00,293.00,301.65,288.00,290.05,292.65,292.21,74287,217.07,503,53620,72.18
EVERESTIND,EQ,2014-12-19,292.65,300.00,300.00,292.50,295.75,294.90,295.14,56322,166.23,1106,46258,82.13
EVERESTIND,EQ,2014-12-22,294.90,296.05,300.25,291.35,297.00,298.40,294.46,44892,132.19,439,40673,90.60
EVERESTIND,EQ,2014-12-23,298.40,298.10,304.75,297.80,299.00,299.45,300.41,21180,63.63,436,15814,74.66
EVERESTIND,EQ,2014-12-24,299.45,301.85,310.80,300.50,306.45,306.10,306.54,32622,100.00,806,19243,58.99
EVERESTIND,EQ,2014-12-26,306.10,305.85,307.90,297.60,300.10,300.60,301.14,13994,42.14,452,9841,70.32
EVERESTIND,EQ,2014-12-29,300.60,302.95,307.00,300.00,306.20,305.80,303.30,9555,28.98,283,6936,72.59
EVERESTIND,EQ,2014-12-30,305.80,307.00,307.95,300.35,305.00,303.10,304.85,12370,37.71,382,9969,80.59
EVERESTIND,EQ,2014-12-31,303.10,301.25,309.90,301.10,306.00,307.85,305.85,14289,43.70,484,9780,68.44
EVERESTIND,EQ,2015-01-01,307.85,306.05,314.80,300.85,311.80,310.40,309.95,20768,64.37,544,10265,49.43
EVERESTIND,EQ,2015-01-02,310.40,312.65,314.25,307.00,307.00,308.80,311.43,16319,50.82,512,10430,63.91
EVERESTIND,EQ,2015-01-05,308.80,308.75,353.80,308.10,343.55,344.45,339.78,367318,1248.08,8734,95910,26.11
EVERESTIND,EQ,2015-01-06,344.45,341.00,341.75,324.80,329.75,326.60,332.89,84458,281.16,3376,38032,45.03
EVERESTIND,EQ,2015-01-07,326.60,331.00,333.95,315.30,324.95,322.40,324.58,55402,179.83,2035,21785,39.32
EVERESTIND,EQ,2015-01-08,322.40,328.10,347.40,325.40,336.25,337.90,339.73,84608,287.44,2527,33147,39.18
EVERESTIND,EQ,2015-01-09,337.90,339.00,346.85,339.00,345.00,342.40,342.39,48001,164.35,794,37259,77.62
EVERESTIND,EQ,2015-01-12,342.40,342.45,347.00,337.90,343.70,342.40,341.79,24996,85.43,854,10646,42.59
EVERESTIND,EQ,2015-01-13,342.40,346.90,348.80,336.05,337.00,337.35,341.85,25746,88.01,841,14065,54.63
EVERESTIND,EQ,2015-01-14,337.35,339.50,344.00,331.10,332.10,332.15,336.47,11114,37.40,979,3574,32.16
EVERESTIND,EQ,2015-01-15,332.15,331.00,339.00,331.00,336.00,335.75,335.11,14637,49.05,472,9446,64.54
EVERESTIND,EQ,2015-01-16,335.75,338.00,344.00,335.05,339.65,340.95,341.44,35419,120.94,913,20747,58.58
EVERESTIND,EQ,2015-01-19,340.95,344.80,344.80,335.15,336.20,337.65,340.10,22623,76.94,998,14705,65.00
EVERESTIND,EQ,2015-01-20,337.65,339.10,340.15,332.00,335.00,335.40,336.29,21559,72.50,733,13972,64.81
EVERESTIND,EQ,2015-01-21,335.40,337.00,344.00,329.95,330.05,333.40,337.40,27706,93.48,1095,12331,44.51
EVERESTIND,EQ,2015-01-22,333.40,320.00,334.50,312.25,333.95,329.75,321.33,97375,312.89,1733,61094,62.74
EVERESTIND,EQ,2015-01-23,329.75,331.00,338.00,320.20,328.00,327.45,327.04,20432,66.82,718,12633,61.83
EVERESTIND,EQ,2015-01-27,327.45,327.50,327.50,316.25,322.00,322.25,323.33,22104,71.47,512,17131,77.50
EVERESTIND,EQ,2015-01-28,322.25,320.00,326.45,318.80,323.00,322.75,322.06,32264,103.91,454,28957,89.75
EVERESTIND,EQ,2015-01-29,322.75,321.05,327.00,316.65,327.00,325.25,323.97,12381,40.11,501,10773,87.01
EVERESTIND,EQ,2015-01-30,325.25,329.70,329.70,324.00,328.00,326.25,325.30,21604,70.28,536,19666,91.03
EVERESTIND,EQ,2015-02-02,326.25,329.50,330.00,322.60,328.00,327.55,327.93,19273,63.20,1194,12407,64.38
EVERESTIND,EQ,2015-02-03,327.55,330.10,332.90,325.00,325.00,330.05,329.78,29598,97.61,789,25267,85.37
EVERESTIND,EQ,2015-02-04,330.05,332.35,335.00,326.00,332.00,331.50,331.23,19582,64.86,654,14516,74.13
EVERESTIND,EQ,2015-02-05,331.50,330.40,335.25,330.00,334.00,332.90,332.45,20574,68.40,635,15108,73.43
EVERESTIND,EQ,2015-02-06,332.90,333.00,334.00,328.95,332.05,330.45,330.53,18894,62.45,835,14344,75.92
EVERESTIND,EQ,2015-02-09,330.45,329.75,329.75,322.55,327.00,326.80,326.69,14253,46.56,460,10814,75.87
