Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EXCELINFO,EQ,2014-12-03,24.30,24.60,25.00,24.00,24.40,24.65,24.53,2089,0.51,38,1589,76.07
EXCELINFO,EQ,2014-12-04,24.65,24.80,24.80,23.90,24.75,24.35,24.41,959,0.23,23,789,82.27
EXCELINFO,EQ,2014-12-05,24.35,24.25,25.00,23.90,25.00,24.40,24.24,5110,1.24,63,3745,73.29
EXCELINFO,EQ,2014-12-08,24.40,24.10,24.95,23.85,24.85,24.85,24.14,4007,0.97,23,3991,99.60
EXCELINFO,EQ,2014-12-09,24.85,25.45,25.45,24.00,24.95,24.60,24.81,3018,0.75,42,2426,80.38
EXCELINFO,EQ,2014-12-10,24.60,24.50,24.70,24.05,24.70,24.25,24.29,1853,0.45,29,1511,81.54
EXCELINFO,EQ,2014-12-11,24.25,24.05,24.50,23.75,24.50,24.35,24.12,3184,0.77,37,1911,60.02
EXCELINFO,EQ,2014-12-12,24.35,24.45,24.90,23.75,24.70,24.10,24.12,3426,0.83,36,3049,89.00
EXCELINFO,EQ,2014-12-15,24.10,24.00,24.90,22.50,24.00,24.00,24.02,1406,0.34,44,737,52.42
EXCELINFO,EQ,2014-12-16,24.00,26.00,26.00,22.70,23.00,23.25,23.40,10075,2.36,63,9614,95.42
EXCELINFO,EQ,2014-12-17,23.25,24.70,24.70,22.55,23.00,22.85,22.90,4126,0.94,55,3217,77.97
EXCELINFO,EQ,2014-12-18,22.85,23.25,24.00,22.60,23.75,23.05,23.04,18990,4.38,60,17797,93.72
EXCELINFO,EQ,2014-12-19,23.05,22.70,24.45,22.55,23.20,23.00,23.12,3001,0.69,33,2816,93.84
EXCELINFO,EQ,2014-12-22,23.00,22.75,24.00,22.25,23.60,23.45,23.17,2493,0.58,68,1331,53.39
EXCELINFO,EQ,2014-12-23,23.45,22.60,23.90,22.20,23.65,23.55,23.05,3644,0.84,64,1747,47.94
EXCELINFO,EQ,2014-12-24,23.55,23.75,24.00,22.55,23.00,23.00,23.29,295,0.07,22,189,64.07
EXCELINFO,EQ,2014-12-26,23.00,23.00,23.50,23.00,23.20,23.20,23.17,980,0.23,15,978,99.80
EXCELINFO,EQ,2014-12-29,23.20,23.45,23.50,22.35,22.40,22.50,22.75,1332,0.30,26,705,52.93
EXCELINFO,EQ,2014-12-30,22.50,23.25,23.25,22.10,22.90,22.80,22.45,2095,0.47,26,1517,72.41
EXCELINFO,EQ,2014-12-31,22.80,23.30,23.30,22.10,22.60,22.60,22.45,2596,0.58,45,1899,73.15
EXCELINFO,EQ,2015-01-01,22.60,23.20,23.20,22.30,23.00,22.45,22.62,1930,0.44,20,1115,57.77
EXCELINFO,EQ,2015-01-02,22.45,22.10,22.60,22.10,22.35,22.35,22.32,3742,0.84,29,3469,92.70
EXCELINFO,EQ,2015-01-05,22.35,22.25,22.50,21.80,22.00,22.15,22.16,2725,0.60,39,2001,73.43
EXCELINFO,EQ,2015-01-06,22.15,22.00,22.25,21.50,22.25,22.00,21.77,1861,0.41,27,1502,80.71
EXCELINFO,EQ,2015-01-07,22.00,21.75,22.95,21.00,22.30,21.55,21.35,2307,0.49,41,1641,71.13
EXCELINFO,EQ,2015-01-08,21.55,21.15,23.45,21.15,23.40,23.00,22.54,11471,2.59,80,9146,79.73
EXCELINFO,EQ,2015-01-09,23.00,22.90,23.00,22.40,23.00,22.65,22.67,2175,0.49,26,2111,97.06
EXCELINFO,EQ,2015-01-12,22.65,23.20,23.25,19.00,23.00,23.15,22.01,22219,4.89,189,13844,62.31
EXCELINFO,EQ,2015-01-13,23.15,22.50,24.00,21.30,23.05,23.10,23.36,25906,6.05,203,23860,92.10
EXCELINFO,EQ,2015-01-14,23.10,23.00,23.75,22.00,23.50,23.45,23.20,7070,1.64,63,6655,94.13
EXCELINFO,EQ,2015-01-15,23.45,24.90,26.00,24.80,25.50,25.35,25.30,29793,7.54,198,27069,90.86
EXCELINFO,EQ,2015-01-16,25.35,26.00,26.00,24.85,25.70,25.70,25.36,5271,1.34,70,4437,84.18
EXCELINFO,EQ,2015-01-19,25.70,24.80,26.80,24.80,26.45,26.55,26.10,7476,1.95,96,6748,90.26
EXCELINFO,EQ,2015-01-20,26.55,26.00,26.70,24.60,26.00,25.65,25.51,18039,4.60,203,10505,58.23
EXCELINFO,EQ,2015-01-21,25.65,26.35,26.45,24.75,24.80,25.25,25.18,2555,0.64,48,2003,78.40
EXCELINFO,EQ,2015-01-22,25.25,25.00,25.90,24.10,24.75,24.65,24.49,5594,1.37,64,3487,62.33
