Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EXIDEIND,EQ,2014-12-03,174.40,174.95,177.40,172.55,173.15,173.10,175.34,2025063,3550.84,34653,809448,39.97
EXIDEIND,EQ,2014-12-04,173.10,173.25,176.00,170.50,171.60,171.35,172.57,1804099,3113.42,24041,848788,47.05
EXIDEIND,EQ,2014-12-05,171.35,171.75,174.00,169.25,169.90,170.05,171.66,1101883,1891.47,9293,473759,43.00
EXIDEIND,EQ,2014-12-08,170.05,170.00,172.45,166.70,169.50,169.60,169.66,1545549,2622.13,15798,724412,46.87
EXIDEIND,EQ,2014-12-09,169.60,170.00,176.95,167.80,171.75,171.55,172.59,3678718,6349.03,30848,1159796,31.53
EXIDEIND,EQ,2014-12-10,171.55,172.80,176.70,172.00,174.50,174.65,174.75,2283418,3990.24,22527,370947,16.25
EXIDEIND,EQ,2014-12-11,174.65,175.30,175.30,170.40,171.85,171.90,172.93,1351635,2337.41,11056,367726,27.21
EXIDEIND,EQ,2014-12-12,171.90,173.00,175.65,168.40,170.25,170.60,171.85,1972303,3389.47,18368,753408,38.20
EXIDEIND,EQ,2014-12-15,170.60,170.40,176.45,167.75,176.40,175.00,172.48,1688958,2913.03,13706,672893,39.84
EXIDEIND,EQ,2014-12-16,175.00,173.65,175.65,165.95,166.80,166.75,170.52,1548092,2639.86,15045,367215,23.72
EXIDEIND,EQ,2014-12-17,166.75,166.35,169.60,158.50,161.05,161.05,163.70,3733168,6111.23,14219,2476272,66.33
EXIDEIND,EQ,2014-12-18,161.05,163.40,172.75,162.85,169.85,170.05,167.92,2430011,4080.46,20535,701767,28.88
EXIDEIND,EQ,2014-12-19,170.05,172.40,174.00,167.95,168.50,169.35,170.68,1717566,2931.56,14205,506727,29.50
EXIDEIND,EQ,2014-12-22,169.35,169.90,173.40,169.00,171.65,172.00,171.52,1707379,2928.47,12656,702924,41.17
EXIDEIND,EQ,2014-12-23,172.00,172.55,172.55,166.50,169.00,168.85,169.60,1127776,1912.66,8918,307792,27.29
EXIDEIND,EQ,2014-12-24,168.85,168.95,174.20,167.65,171.10,170.25,171.15,2825709,4836.22,21618,831325,29.42
EXIDEIND,EQ,2014-12-26,170.25,170.50,177.85,168.75,177.85,176.50,174.39,2466718,4301.62,18904,937150,37.99
EXIDEIND,EQ,2014-12-29,176.50,177.45,180.65,175.10,176.50,176.30,178.14,2898262,5163.04,30153,1084239,37.41
