Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FIEMIND,EQ,2014-12-03,826.60,831.70,854.00,807.10,816.00,810.65,830.06,77311,641.73,2713,20553,26.58
FIEMIND,EQ,2014-12-04,810.65,810.00,830.05,800.85,808.55,808.05,813.05,37155,302.09,1617,14522,39.08
FIEMIND,EQ,2014-12-05,808.05,810.95,827.90,810.90,820.00,817.90,817.83,31092,254.28,1055,9866,31.73
FIEMIND,EQ,2014-12-08,817.90,819.00,823.90,791.10,814.50,811.90,811.70,17424,141.43,832,4598,26.39
FIEMIND,EQ,2014-12-09,811.90,807.35,835.00,807.35,828.00,828.35,824.98,45718,377.16,3163,13641,29.84
FIEMIND,EQ,2014-12-10,828.35,824.00,850.00,824.00,836.00,839.30,835.22,31236,260.89,1117,2654,8.50
FIEMIND,EQ,2014-12-11,839.30,839.30,845.00,825.05,828.00,834.35,835.20,27475,229.47,1356,11743,42.74
FIEMIND,EQ,2014-12-12,834.35,838.00,855.00,829.10,835.00,840.55,842.28,38229,322.00,1512,10179,26.63
FIEMIND,EQ,2014-12-15,840.55,835.00,846.00,833.00,843.00,841.60,838.69,28514,239.14,782,12305,43.15
FIEMIND,EQ,2014-12-16,841.60,839.45,840.00,829.00,830.00,832.40,835.66,9980,83.40,282,1719,17.22
FIEMIND,EQ,2014-12-17,832.40,832.00,835.05,782.40,805.00,815.75,810.19,37880,306.90,1629,10008,26.42
FIEMIND,EQ,2014-12-18,815.75,820.00,836.20,806.00,810.00,812.80,821.56,27036,222.12,1799,12414,45.92
FIEMIND,EQ,2014-12-19,812.80,812.10,837.90,812.10,820.00,823.20,826.14,26484,218.80,2039,7394,27.92
FIEMIND,EQ,2014-12-22,823.20,823.00,864.95,818.00,840.00,843.95,841.04,48108,404.61,2006,6938,14.42
FIEMIND,EQ,2014-12-23,843.95,840.20,845.85,815.00,830.00,835.25,836.91,21976,183.92,981,3293,14.98
FIEMIND,EQ,2014-12-24,835.25,833.00,838.45,824.00,829.95,826.90,831.67,12311,102.39,474,1715,13.93
FIEMIND,EQ,2014-12-26,826.90,822.10,832.00,815.00,817.00,818.05,822.27,12653,104.04,679,2804,22.16
FIEMIND,EQ,2014-12-29,818.05,816.45,825.00,806.00,823.00,823.20,815.87,19501,159.10,1096,6426,32.95
FIEMIND,EQ,2014-12-30,823.20,824.90,834.00,816.00,820.00,823.80,824.69,13242,109.21,515,2938,22.19
FIEMIND,EQ,2014-12-31,823.80,821.05,834.25,818.00,830.00,827.25,822.80,10588,87.12,486,1759,16.61
FIEMIND,EQ,2015-01-01,827.25,823.00,878.00,823.00,875.00,856.30,842.15,22390,188.56,988,4156,18.56
FIEMIND,EQ,2015-01-02,856.30,855.05,890.00,855.05,870.00,872.20,873.85,27617,241.33,918,11643,42.16
FIEMIND,EQ,2015-01-05,872.20,869.00,887.90,863.95,864.00,865.80,876.37,17526,153.59,818,6271,35.78
FIEMIND,EQ,2015-01-06,865.80,860.05,873.50,860.00,868.95,865.65,864.70,9374,81.06,372,2206,23.53
FIEMIND,EQ,2015-01-07,865.65,867.10,910.00,866.60,875.00,884.20,884.94,47087,416.69,3217,12783,27.15
FIEMIND,EQ,2015-01-08,884.20,888.00,907.30,884.55,893.00,894.30,896.59,39333,352.65,2708,9732,24.74
FIEMIND,EQ,2015-01-09,894.30,895.90,910.00,874.00,884.00,885.95,887.19,49907,442.77,1862,11838,23.72
FIEMIND,EQ,2015-01-12,885.95,878.00,892.00,865.00,878.30,882.35,876.90,22563,197.86,1126,6830,30.27
FIEMIND,EQ,2015-01-13,882.35,884.90,914.00,878.00,910.00,902.45,890.92,99474,886.24,1204,68227,68.59
FIEMIND,EQ,2015-01-14,902.45,902.45,934.25,902.45,907.00,911.95,917.66,63637,583.97,2497,5719,8.99
FIEMIND,EQ,2015-01-15,911.95,909.25,944.90,892.00,895.00,898.35,916.67,339598,3112.98,6092,186149,54.81
FIEMIND,EQ,2015-01-16,898.35,901.00,912.90,892.00,893.00,897.35,900.77,83431,751.52,4237,39179,46.96
FIEMIND,EQ,2015-01-19,897.35,899.00,908.00,894.95,895.00,898.00,900.07,39399,354.62,2760,14091,35.76
FIEMIND,EQ,2015-01-20,898.00,895.05,904.00,890.00,891.95,892.00,897.04,32171,288.59,1701,10194,31.69
FIEMIND,EQ,2015-01-21,892.00,894.90,894.95,885.00,887.00,888.10,889.36,26098,232.11,1494,6458,24.75
FIEMIND,EQ,2015-01-22,888.10,888.10,917.90,885.00,900.00,904.60,901.02,57601,519.00,3882,23161,40.21
