Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FILATEX,EQ,2014-12-03,34.95,36.00,37.90,34.50,35.75,35.75,35.79,8600,3.08,45,3464,40.28
FILATEX,EQ,2014-12-04,35.75,35.00,35.35,33.80,35.35,33.90,33.94,12981,4.41,31,12830,98.84
FILATEX,EQ,2014-12-05,33.90,36.80,36.80,33.55,33.60,33.60,34.71,4510,1.57,22,1610,35.70
FILATEX,EQ,2014-12-08,33.60,32.00,34.10,32.00,32.00,32.15,32.89,12730,4.19,25,12402,97.42
FILATEX,EQ,2014-12-09,32.15,32.00,32.95,29.40,30.20,30.20,30.58,12436,3.80,38,11590,93.20
FILATEX,EQ,2014-12-10,30.20,31.50,33.95,30.00,31.05,31.35,30.28,26930,8.16,32,21784,80.89
FILATEX,EQ,2014-12-11,31.35,30.55,30.65,30.50,30.60,30.60,30.51,20150,6.15,8,20114,99.82
FILATEX,EQ,2014-12-12,30.60,30.60,31.20,30.00,30.00,30.20,30.47,17700,5.39,23,17350,98.02
FILATEX,EQ,2014-12-15,30.20,30.90,30.90,30.90,30.90,30.90,30.90,1000,0.31,4,1000,100.00
FILATEX,EQ,2014-12-16,30.90,31.20,31.95,28.55,30.65,29.00,29.66,731,0.22,13,595,81.40
FILATEX,EQ,2014-12-17,29.00,28.00,31.60,27.00,28.00,28.35,28.46,1613,0.46,62,1192,73.90
FILATEX,EQ,2014-12-18,28.35,29.90,29.90,29.70,29.90,29.90,29.87,3763,1.12,27,2067,54.93
FILATEX,EQ,2014-12-19,29.90,28.65,29.90,28.65,29.00,29.00,29.00,25630,7.43,12,25450,99.30
FILATEX,EQ,2014-12-22,29.00,28.00,29.25,28.00,29.25,29.25,28.79,372,0.11,3,236,63.44
FILATEX,EQ,2014-12-23,29.25,31.80,31.80,26.00,27.95,27.95,27.00,304,0.08,20,199,65.46
FILATEX,EQ,2014-12-24,27.95,27.60,30.60,27.60,29.00,29.00,29.87,2335,0.70,9,2335,100.00
FILATEX,EQ,2014-12-26,29.00,29.00,32.15,29.00,29.25,29.40,30.03,16028,4.81,34,14578,90.95
FILATEX,EQ,2014-12-29,29.40,29.00,30.95,27.40,29.95,29.95,29.96,5573,1.67,89,3619,64.94
FILATEX,EQ,2014-12-30,29.95,30.40,30.40,29.85,29.85,30.05,30.20,1284,0.39,14,1154,89.88
FILATEX,EQ,2014-12-31,30.05,30.00,30.00,28.65,28.65,29.05,29.47,2375,0.70,21,2073,87.28
FILATEX,EQ,2015-01-01,29.05,29.20,29.20,28.30,28.50,28.50,29.00,402,0.12,7,400,99.50
FILATEX,EQ,2015-01-02,28.50,29.00,30.00,29.00,30.00,30.00,29.92,24,0.01,4,22,91.67
FILATEX,EQ,2015-01-05,30.00,30.30,31.00,29.50,30.05,30.05,30.34,4176,1.27,29,4071,97.49
FILATEX,EQ,2015-01-06,30.05,29.80,29.80,28.35,28.65,28.65,28.68,1353,0.39,13,1350,99.78
FILATEX,EQ,2015-01-07,28.65,28.00,29.00,27.10,29.00,29.00,27.96,1152,0.32,11,950,82.47
FILATEX,EQ,2015-01-08,29.00,31.80,33.55,30.00,31.75,30.60,31.13,8563,2.67,114,6199,72.39
FILATEX,EQ,2015-01-09,30.60,30.30,30.50,29.50,29.90,29.90,30.05,1369,0.41,21,1268,92.62
FILATEX,EQ,2015-01-12,29.90,30.00,31.00,30.00,30.30,30.30,30.86,19556,6.03,172,14601,74.66
FILATEX,EQ,2015-01-13,30.30,30.50,31.40,30.00,30.00,30.35,30.75,12450,3.83,93,9100,73.09
FILATEX,EQ,2015-01-14,30.35,29.95,29.95,28.00,29.50,29.50,29.18,1504,0.44,22,1001,66.56
FILATEX,EQ,2015-01-16,29.50,31.20,31.25,29.25,29.50,29.50,30.73,2368,0.73,24,1523,64.32
FILATEX,EQ,2015-01-19,29.50,30.25,30.25,29.50,29.50,29.60,29.67,565,0.17,7,540,95.58
FILATEX,EQ,2015-01-20,29.60,30.50,31.45,29.35,31.00,30.35,30.21,11436,3.45,76,5550,48.53
FILATEX,EQ,2015-01-21,30.35,30.05,31.95,30.05,30.10,30.10,30.40,10100,3.07,41,6850,67.82
FILATEX,EQ,2015-01-22,30.10,30.00,30.00,29.25,29.40,29.40,29.53,2926,0.86,33,1925,65.79
FILATEX,EQ,2015-01-23,29.40,29.10,30.70,29.10,30.70,30.70,30.43,603,0.18,3,503,83.42
FILATEX,EQ,2015-01-27,30.70,30.10,30.50,28.70,29.65,29.65,29.32,1289,0.38,18,1086,84.25
FILATEX,EQ,2015-01-28,29.65,31.65,31.65,29.20,29.25,29.25,30.20,861,0.26,7,800,92.92
FILATEX,EQ,2015-01-29,29.25,29.00,29.00,28.50,29.00,29.00,28.97,323,0.09,7,321,99.38
FILATEX,EQ,2015-01-30,29.00,29.00,29.00,28.60,29.00,29.00,28.85,721,0.21,6,720,99.86
FILATEX,EQ,2015-02-02,29.00,29.00,29.00,29.00,29.00,29.00,29.00,500,0.15,1,500,100.00
FILATEX,EQ,2015-02-03,29.00,30.50,31.85,28.00,28.00,28.25,28.68,3191,0.92,23,2986,93.58
FILATEX,EQ,2015-02-04,28.25,28.60,28.60,28.60,28.60,28.60,28.60,51,0.01,2,51,100.00
FILATEX,EQ,2015-02-05,28.60,28.55,29.80,28.50,28.50,28.50,28.83,1001,0.29,8,950,94.91
FILATEX,EQ,2015-02-06,28.50,28.00,28.30,27.50,28.30,27.65,27.87,687,0.19,13,685,99.71
