Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FINPIPE,EQ,2014-12-03,291.05,291.70,295.00,289.00,290.00,290.25,290.94,123233,358.54,2203,96511,78.32
FINPIPE,EQ,2014-12-04,290.25,292.50,294.00,285.00,288.65,286.90,289.67,108122,313.19,1466,89575,82.85
FINPIPE,EQ,2014-12-05,286.90,285.00,296.80,285.00,286.95,288.30,291.91,209154,610.53,2104,173121,82.77
FINPIPE,EQ,2014-12-08,288.30,290.80,293.80,286.00,288.00,290.20,289.36,56923,164.71,1211,31852,55.96
FINPIPE,EQ,2014-12-09,290.20,286.00,294.00,281.60,284.00,282.95,292.00,250566,731.65,2639,227312,90.72
FINPIPE,EQ,2014-12-10,282.95,282.95,291.75,281.75,291.75,290.95,288.22,46675,134.52,1148,29991,64.25
FINPIPE,EQ,2014-12-11,290.95,290.95,290.95,279.20,279.50,280.50,282.45,79724,225.18,2725,58068,72.84
FINPIPE,EQ,2014-12-12,280.50,288.50,288.50,275.00,277.85,276.40,282.37,75044,211.90,2317,53518,71.32
FINPIPE,EQ,2014-12-15,276.40,276.85,280.00,270.50,272.25,273.50,273.78,58915,161.30,1448,36025,61.15
FINPIPE,EQ,2014-12-16,273.50,272.10,274.95,256.00,259.00,260.70,262.26,136732,358.59,4109,92511,67.66
FINPIPE,EQ,2014-12-17,260.70,258.10,268.15,250.00,264.50,263.00,255.27,144572,369.05,3667,105542,73.00
FINPIPE,EQ,2014-12-18,263.00,266.00,278.90,262.60,263.00,265.30,270.82,116460,315.40,3055,69604,59.77
FINPIPE,EQ,2014-12-19,265.30,267.00,277.00,267.00,272.00,270.55,272.58,210347,573.36,2030,162237,77.13
FINPIPE,EQ,2014-12-22,270.55,270.10,273.15,264.55,265.00,265.35,267.36,27747,74.18,949,15440,55.65
FINPIPE,EQ,2014-12-23,265.35,266.00,268.65,257.00,259.10,261.75,262.46,38694,101.56,1532,20004,51.70
FINPIPE,EQ,2014-12-24,261.75,262.00,264.30,258.00,260.00,259.15,259.75,30018,77.97,727,15199,50.63
FINPIPE,EQ,2014-12-26,259.15,260.10,264.00,255.10,255.70,257.40,259.47,32110,83.31,976,15406,47.98
FINPIPE,EQ,2014-12-29,257.40,259.50,262.00,257.10,261.30,261.00,260.20,34224,89.05,898,22138,64.69
FINPIPE,EQ,2014-12-30,261.00,262.00,262.45,256.00,256.35,257.20,259.68,29416,76.39,673,20666,70.25
FINPIPE,EQ,2014-12-31,257.20,259.25,264.40,257.20,261.95,261.40,260.82,64354,167.85,1302,39707,61.70
FINPIPE,EQ,2015-01-01,261.40,261.00,263.80,258.00,261.00,260.75,260.08,69806,181.55,1051,57053,81.73
FINPIPE,EQ,2015-01-02,260.75,261.00,266.70,260.20,261.45,261.75,263.20,155899,410.32,1284,130323,83.59
FINPIPE,EQ,2015-01-05,261.75,261.00,265.00,259.00,260.00,260.75,263.27,84295,221.93,2469,55543,65.89
FINPIPE,EQ,2015-01-06,260.75,260.00,261.95,256.60,258.35,257.45,258.03,59788,154.27,1060,47167,78.89
FINPIPE,EQ,2015-01-07,257.45,258.00,261.85,257.55,258.00,258.10,258.29,63682,164.48,763,52813,82.93
FINPIPE,EQ,2015-01-08,258.10,257.25,260.90,250.00,251.60,253.30,256.07,82355,210.89,1540,58906,71.53
FINPIPE,EQ,2015-01-09,253.30,254.50,259.00,252.95,256.75,256.50,255.78,62749,160.50,1640,29306,46.70
FINPIPE,EQ,2015-01-12,256.50,257.70,264.90,256.55,264.10,263.40,262.67,284251,746.63,1803,254134,89.40
FINPIPE,EQ,2015-01-13,263.40,263.50,312.35,263.50,302.60,300.75,300.03,1419957,4260.27,29795,251652,17.72
FINPIPE,EQ,2015-01-14,300.75,304.90,306.50,288.10,288.70,290.10,293.39,252342,740.33,5898,62536,24.78
FINPIPE,EQ,2015-01-15,290.10,292.75,292.75,281.25,281.50,282.80,285.34,115513,329.61,3315,49442,42.80
