Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GANECOS,EQ,2015-03-09,158.90,158.90,174.00,154.00,161.30,166.05,164.42,19462,32.00,124,8899,45.73
GANECOS,EQ,2015-03-10,166.05,165.40,167.60,158.00,158.00,158.50,159.97,52898,84.62,184,22060,41.70
GANECOS,EQ,2015-03-11,158.50,160.00,160.60,156.00,157.25,157.75,159.32,32743,52.17,166,16753,51.17
GANECOS,EQ,2015-03-12,157.75,159.50,160.00,151.20,151.20,152.85,157.66,21658,34.15,96,8269,38.18
GANECOS,EQ,2015-03-13,152.85,160.70,180.00,144.00,148.00,149.95,154.51,37711,58.27,230,17708,46.96
GANECOS,EQ,2015-03-16,149.95,152.00,153.90,148.00,148.00,148.60,149.87,7309,10.95,75,4969,67.98
GANECOS,EQ,2015-03-17,148.60,147.10,153.10,147.00,150.50,151.25,150.26,18786,28.23,92,6817,36.29
GANECOS,EQ,2015-03-18,151.25,149.70,153.75,145.00,151.00,151.00,150.96,4096,6.18,79,2895,70.68
GANECOS,EQ,2015-03-19,151.00,151.00,153.95,148.55,152.00,151.95,152.13,8780,13.36,50,6550,74.60
GANECOS,EQ,2015-03-20,151.95,151.00,156.40,141.70,144.00,144.75,149.04,21697,32.34,102,12371,57.02
GANECOS,EQ,2015-03-23,144.75,146.00,146.00,140.00,145.00,142.95,141.86,2960,4.20,39,2409,81.39
GANECOS,EQ,2015-03-24,142.95,142.45,148.75,140.50,145.00,145.00,146.87,78214,114.87,98,77201,98.70
GANECOS,EQ,2015-03-25,145.00,141.20,145.10,140.50,143.95,141.50,143.06,3114,4.45,47,2987,95.92
GANECOS,EQ,2015-03-26,141.50,141.00,141.00,134.10,139.90,135.95,137.36,2864,3.93,44,2514,87.78
GANECOS,EQ,2015-03-27,135.95,135.00,143.90,132.00,132.05,136.80,142.14,28219,40.11,44,28053,99.41
GANECOS,EQ,2015-03-30,136.80,135.05,154.00,135.00,140.05,146.70,137.53,2511,3.45,58,2387,95.06
GANECOS,EQ,2015-03-31,146.70,145.00,153.00,143.25,147.00,145.15,149.41,7518,11.23,99,2007,26.70
GANECOS,EQ,2015-04-01,145.15,151.00,153.00,148.00,152.60,152.25,152.02,28140,42.78,84,3193,11.35
GANECOS,EQ,2015-04-06,152.25,151.00,157.00,149.00,153.00,153.00,152.35,749,1.14,37,661,88.25
GANECOS,EQ,2015-04-07,153.00,153.00,153.00,143.00,146.00,147.65,147.34,1547,2.28,69,941,60.83
GANECOS,EQ,2015-04-08,147.65,149.00,155.00,143.00,143.00,144.20,148.77,17020,25.32,97,10787,63.38
GANECOS,EQ,2015-04-09,144.20,143.55,144.35,139.00,139.05,139.20,140.66,12244,17.22,81,10843,88.56
GANECOS,EQ,2015-04-10,139.20,140.00,141.80,140.00,140.50,140.50,140.40,1506,2.11,23,1404,93.23
GANECOS,EQ,2015-04-13,140.50,140.50,144.00,140.00,142.60,140.45,141.34,3410,4.82,83,2573,75.45
GANECOS,EQ,2015-04-15,140.45,144.70,146.00,134.00,135.00,136.80,139.14,22231,30.93,241,18019,81.05
GANECOS,EQ,2015-04-16,136.80,139.70,154.70,139.70,144.80,145.55,150.18,157783,236.96,2555,38259,24.25
GANECOS,EQ,2015-04-17,145.55,146.00,150.00,137.25,142.50,142.70,143.81,31986,46.00,974,14534,45.44
GANECOS,EQ,2015-04-20,142.70,145.00,149.80,141.10,145.30,144.00,142.34,1430153,2035.72,3300,1070796,74.87
GANECOS,EQ,2015-04-21,144.00,151.70,152.00,142.55,144.50,144.50,145.80,154241,224.88,2110,62490,40.51
GANECOS,EQ,2015-04-22,144.50,147.95,147.95,140.50,143.10,143.05,142.95,235158,336.15,2281,131645,55.98
GANECOS,EQ,2015-04-23,143.05,145.75,162.85,141.60,159.50,159.70,153.80,174034,267.67,2901,63046,36.23
GANECOS,EQ,2015-04-24,159.70,160.75,160.75,147.00,148.95,148.55,153.64,86894,133.51,1897,45690,52.58
GANECOS,EQ,2015-04-27,148.55,151.30,151.35,141.20,143.25,143.60,143.73,39932,57.40,804,25865,64.77
GANECOS,EQ,2015-04-28,143.60,145.00,147.35,143.25,144.30,144.00,144.32,12921,18.65,265,9165,70.93
GANECOS,EQ,2015-04-29,144.00,144.00,160.90,144.00,158.10,158.95,154.40,439818,679.08,4996,272771,62.02
GANECOS,EQ,2015-04-30,158.95,154.05,171.20,152.20,169.00,169.45,164.72,134843,222.11,2731,42930,31.84
GANECOS,EQ,2015-05-04,169.45,175.80,178.90,165.05,169.50,167.45,169.56,45244,76.72,1217,16474,36.41
GANECOS,EQ,2015-05-05,167.45,170.00,172.85,161.65,168.55,169.90,169.70,48523,82.34,923,32309,66.58
GANECOS,EQ,2015-05-06,169.90,169.80,169.80,157.95,159.00,158.95,161.10,25338,40.82,642,16762,66.15
GANECOS,EQ,2015-05-07,158.95,161.00,169.40,155.30,161.00,160.70,162.36,25852,41.97,809,12252,47.39
GANECOS,EQ,2015-05-08,160.70,164.40,165.45,160.10,164.10,164.05,164.09,14611,23.98,360,9555,65.40
GANECOS,EQ,2015-05-11,164.05,164.00,168.00,156.20,162.90,161.70,161.87,27844,45.07,531,18861,67.74
GANECOS,EQ,2015-05-12,161.70,164.80,164.90,158.00,164.40,163.95,161.46,12467,20.13,294,9360,75.08
GANECOS,EQ,2015-05-13,163.95,162.00,170.40,160.40,168.00,168.35,166.68,48777,81.30,972,31859,65.32
GANECOS,EQ,2015-05-14,168.35,168.00,170.80,163.20,169.00,168.90,169.86,68359,116.11,641,12310,18.01
GANECOS,EQ,2015-05-15,168.90,170.10,172.40,166.00,169.00,168.45,169.17,18863,31.91,421,12327,65.35
GANECOS,EQ,2015-05-18,168.45,165.90,170.40,165.90,169.80,169.00,168.92,10045,16.97,304,6066,60.39
GANECOS,EQ,2015-05-19,169.00,169.40,171.00,167.00,169.00,168.70,168.98,13463,22.75,282,9275,68.89
GANECOS,EQ,2015-05-20,168.70,169.40,178.80,167.35,168.90,169.55,173.23,176382,305.55,2570,47705,27.05
GANECOS,EQ,2015-05-21,169.55,170.25,170.80,166.05,169.50,168.60,168.18,15549,26.15,263,10405,66.92
GANECOS,EQ,2015-05-22,168.60,170.25,171.50,168.00,168.20,168.30,169.11,6830,11.55,148,4944,72.39
GANECOS,EQ,2015-05-25,168.30,167.50,174.90,165.00,166.00,166.30,169.09,21851,36.95,463,15363,70.31
GANECOS,EQ,2015-05-26,166.30,166.40,168.20,160.70,166.00,165.00,165.73,14319,23.73,228,9439,65.92
GANECOS,EQ,2015-05-27,165.00,165.85,168.00,162.00,164.95,165.30,165.04,13475,22.24,461,6536,48.50
GANECOS,EQ,2015-05-28,165.30,166.90,167.40,165.00,165.10,165.55,166.16,8871,14.74,245,5201,58.63
GANECOS,EQ,2015-05-29,165.55,163.10,173.00,163.10,172.00,171.85,170.20,25515,43.43,400,18935,74.21
GANECOS,EQ,2015-06-01,171.85,166.30,172.00,164.00,171.00,170.75,169.19,42980,72.72,1209,25308,58.88
GANECOS,EQ,2015-06-02,170.75,169.60,169.60,165.00,167.75,167.05,166.70,12898,21.50,493,8171,63.35
GANECOS,EQ,2015-06-03,167.05,166.05,170.85,164.25,170.40,169.25,166.48,26195,43.61,1139,17750,67.76
GANECOS,EQ,2015-06-04,169.25,168.00,170.90,165.25,166.05,165.95,167.25,3370,5.64,155,1975,58.61
GANECOS,EQ,2015-06-05,165.95,167.95,168.00,164.35,164.40,164.85,165.81,2088,3.46,112,1491,71.41
GANECOS,EQ,2015-06-08,164.85,164.00,168.90,163.00,164.00,164.15,164.58,9282,15.28,212,7123,76.74
GANECOS,EQ,2015-06-09,164.15,166.95,167.00,155.70,158.20,159.05,160.09,7807,12.50,323,4499,57.63
GANECOS,EQ,2015-06-10,159.05,158.90,163.80,154.50,158.00,157.35,157.10,11123,17.47,249,7952,71.49
GANECOS,EQ,2015-06-11,157.35,159.95,160.00,156.80,158.50,157.90,158.92,4483,7.12,94,3779,84.30
GANECOS,EQ,2015-06-12,157.90,156.00,158.05,151.00,151.00,151.80,153.01,14082,21.55,173,10973,77.92
GANECOS,EQ,2015-06-15,151.80,154.45,155.80,151.00,151.00,152.40,152.82,3369,5.15,175,2321,68.89
GANECOS,EQ,2015-06-16,152.40,153.75,156.90,145.30,156.90,156.65,153.80,7235,11.13,262,4767,65.89
GANECOS,EQ,2015-06-17,156.65,157.75,159.85,150.50,154.70,154.85,155.90,5628,8.77,366,3817,67.82
GANECOS,EQ,2015-06-18,154.85,156.60,160.00,153.60,159.45,157.95,157.51,8829,13.91,154,3922,44.42
GANECOS,EQ,2015-06-19,157.95,158.75,161.50,157.00,158.00,157.70,159.68,8316,13.28,138,4306,51.78
GANECOS,EQ,2015-06-22,157.70,157.05,162.00,152.30,159.40,158.80,158.27,11769,18.63,253,8088,68.72
GANECOS,EQ,2015-06-23,158.80,155.15,163.50,155.10,163.00,162.70,161.12,11264,18.15,212,6316,56.07
GANECOS,EQ,2015-06-24,162.70,164.95,166.80,158.05,160.20,159.65,161.09,4684,7.55,94,3128,66.78
GANECOS,EQ,2015-06-25,159.65,163.60,163.65,157.20,158.10,158.75,158.89,2598,4.13,46,2285,87.95
GANECOS,EQ,2015-06-26,158.75,158.00,161.90,155.10,159.50,158.40,158.39,6968,11.04,252,3691,52.97
GANECOS,EQ,2015-06-29,158.40,154.00,159.00,151.95,152.30,152.90,153.65,10062,15.46,171,8620,85.67
GANECOS,EQ,2015-06-30,152.90,156.00,159.10,151.10,151.10,152.00,152.81,4247,6.49,116,3488,82.13
GANECOS,EQ,2015-07-01,152.00,156.45,157.05,152.00,155.00,156.30,154.72,9592,14.84,135,7029,73.28
GANECOS,EQ,2015-07-02,156.30,157.00,157.00,144.65,149.25,149.05,149.42,39708,59.33,667,28070,70.69
GANECOS,EQ,2015-07-03,149.05,150.00,150.50,145.15,146.70,147.30,147.71,8389,12.39,195,7428,88.54
GANECOS,EQ,2015-07-06,147.30,146.70,151.90,144.40,150.95,150.25,148.66,7780,11.57,414,5047,64.87
GANECOS,EQ,2015-07-07,150.25,152.65,153.00,145.80,146.05,146.40,147.96,7933,11.74,210,6704,84.51
GANECOS,EQ,2015-07-08,146.40,149.00,149.00,140.00,145.00,144.30,143.60,8501,12.21,322,4879,57.39
GANECOS,EQ,2015-07-09,144.30,145.50,148.00,141.00,143.40,142.55,144.68,5804,8.40,141,4443,76.55
GANECOS,EQ,2015-07-10,142.55,142.55,144.30,141.00,141.00,141.55,142.36,4925,7.01,130,3795,77.06
GANECOS,EQ,2015-07-13,141.55,144.75,148.50,143.00,147.00,147.35,145.17,4655,6.76,124,3293,70.74
GANECOS,EQ,2015-07-14,147.35,148.85,148.90,143.25,148.00,147.75,146.59,7135,10.46,189,5538,77.62
GANECOS,EQ,2015-07-15,147.75,148.40,152.90,147.75,152.00,152.15,150.53,12727,19.16,266,8078,63.47
GANECOS,EQ,2015-07-16,152.15,149.50,157.40,149.50,156.00,156.25,154.52,13105,20.25,296,10760,82.11
GANECOS,EQ,2015-07-17,156.25,156.90,163.75,155.50,159.75,160.95,159.76,34814,55.62,448,28042,80.55
GANECOS,EQ,2015-07-20,160.95,159.00,168.20,159.00,168.00,167.30,165.36,21881,36.18,417,11517,52.63
GANECOS,EQ,2015-07-21,167.30,164.55,168.00,161.55,164.00,164.00,165.56,14119,23.38,272,8385,59.39
GANECOS,EQ,2015-07-22,164.00,164.00,167.90,163.25,167.00,167.15,166.44,10542,17.55,133,5540,52.55
GANECOS,EQ,2015-07-23,167.15,165.15,166.00,158.70,163.05,163.55,163.83,5283,8.66,157,4085,77.32
GANECOS,EQ,2015-07-24,163.55,162.95,196.25,162.75,174.00,171.60,176.74,137034,242.19,2707,48601,35.47
GANECOS,EQ,2015-07-27,171.60,172.40,174.10,169.00,172.45,172.15,171.71,38621,66.31,588,8950,23.17
GANECOS,EQ,2015-07-28,172.15,171.95,175.00,169.95,173.00,173.95,172.98,29950,51.81,486,7817,26.10
GANECOS,EQ,2015-07-29,173.95,174.75,179.90,166.00,170.00,169.50,174.05,61259,106.62,955,23578,38.49
GANECOS,EQ,2015-07-30,169.50,173.00,176.05,170.00,170.00,170.70,172.45,50476,87.05,871,14861,29.44
GANECOS,EQ,2015-07-31,170.70,170.10,173.00,166.80,166.80,168.45,171.12,31091,53.20,362,17892,57.55
GANECOS,EQ,2015-08-03,168.45,169.05,170.80,163.00,163.00,164.65,168.07,13982,23.50,474,6494,46.45
GANECOS,EQ,2015-08-04,164.65,162.30,168.00,155.30,158.50,158.90,159.33,23233,37.02,649,17604,75.77
GANECOS,EQ,2015-08-05,158.90,159.40,167.80,155.55,166.50,165.65,163.33,16563,27.05,424,11849,71.54
GANECOS,EQ,2015-08-06,165.65,165.45,167.90,165.15,166.25,166.70,166.76,13901,23.18,252,11913,85.70
GANECOS,EQ,2015-08-07,166.70,166.05,175.40,166.00,173.10,174.00,172.00,28167,48.45,552,18942,67.25
GANECOS,EQ,2015-08-10,174.00,170.00,175.05,168.20,171.00,170.35,172.17,22912,39.45,445,16561,72.28
GANECOS,EQ,2015-08-11,170.35,165.00,168.40,162.00,164.00,163.70,164.39,13898,22.85,384,9376,67.46
GANECOS,EQ,2015-08-12,163.70,165.05,165.05,154.40,154.50,156.20,158.81,9854,15.65,276,6240,63.32
GANECOS,EQ,2015-08-13,156.20,154.00,158.00,147.00,149.00,149.05,153.58,21987,33.77,385,18965,86.26
GANECOS,EQ,2015-08-14,149.05,150.10,162.00,150.00,160.00,160.00,156.65,19724,30.90,366,12769,64.74
GANECOS,EQ,2015-08-17,160.00,160.00,160.00,151.00,156.10,157.65,156.57,1420,2.22,71,1140,80.28
GANECOS,EQ,2015-08-18,157.65,158.90,160.00,151.10,154.00,153.55,153.94,5955,9.17,198,4007,67.29
GANECOS,EQ,2015-08-19,153.55,154.00,158.95,153.00,153.75,154.05,155.36,3157,4.90,109,2546,80.65
GANECOS,EQ,2015-08-20,154.05,152.05,159.00,148.35,148.35,148.85,151.35,5412,8.19,126,3447,63.69
GANECOS,EQ,2015-08-21,148.85,150.50,159.00,145.10,149.40,147.10,148.52,9986,14.83,219,7285,72.95
GANECOS,EQ,2015-08-24,147.10,145.00,147.90,127.00,132.95,128.85,137.33,23033,31.63,295,19106,82.95
GANECOS,EQ,2015-08-25,128.85,137.95,139.95,125.00,131.00,132.65,132.38,11209,14.84,150,9068,80.90
GANECOS,EQ,2015-08-26,132.65,136.00,136.90,123.00,130.00,132.00,129.74,11048,14.33,315,7488,67.78
GANECOS,EQ,2015-08-27,132.00,130.10,135.00,129.00,133.80,132.90,132.98,12244,16.28,188,10973,89.62
GANECOS,EQ,2015-08-28,132.90,134.00,139.25,128.25,131.90,130.50,132.95,22534,29.96,343,14762,65.51
