Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GDL,EQ,2014-12-03,317.90,318.00,325.00,315.55,317.65,319.75,319.92,274774,879.06,3832,227659,82.85
GDL,EQ,2014-12-04,319.75,323.80,324.00,314.05,321.00,318.80,319.62,94807,303.02,4100,61267,64.62
GDL,EQ,2014-12-05,318.80,322.00,333.50,319.00,332.95,330.35,326.55,261603,854.28,4621,188200,71.94
GDL,EQ,2014-12-08,330.35,334.00,341.40,331.50,336.00,336.25,336.89,167435,564.07,10378,89109,53.22
GDL,EQ,2014-12-09,336.25,335.65,335.65,314.00,331.00,322.75,322.96,142767,461.08,5024,84185,58.97
GDL,EQ,2014-12-10,322.75,323.10,333.00,323.10,332.45,332.45,328.99,71376,234.82,2194,41928,58.74
GDL,EQ,2014-12-11,332.45,329.00,336.00,322.35,324.40,325.20,330.24,74679,246.62,2814,29834,39.95
GDL,EQ,2014-12-12,325.20,326.00,333.45,308.00,315.00,314.05,320.92,89622,287.61,2337,49511,55.24
GDL,EQ,2014-12-15,314.05,314.05,322.50,309.30,318.65,315.70,315.95,80371,253.93,2578,34499,42.92
GDL,EQ,2014-12-16,315.70,314.10,322.00,305.05,319.00,319.75,314.29,115114,361.79,3478,67981,59.06
GDL,EQ,2014-12-17,319.75,317.00,349.30,301.00,324.50,328.75,334.03,574971,1920.55,13900,259789,45.18
GDL,EQ,2014-12-18,328.75,333.00,349.80,333.00,337.20,336.05,339.12,391921,1329.09,6768,245355,62.60
GDL,EQ,2014-12-19,336.05,339.85,355.00,336.15,350.00,349.45,346.38,253803,879.13,7342,146184,57.60
GDL,EQ,2014-12-22,349.45,353.00,362.80,349.75,350.55,351.15,355.00,289759,1028.66,9790,145893,50.35
GDL,EQ,2014-12-23,351.15,349.00,352.90,339.00,343.30,343.80,345.09,103365,356.70,4308,55285,53.49
GDL,EQ,2014-12-24,343.80,341.00,345.00,335.50,339.10,340.75,339.00,102143,346.26,4058,54713,53.57
GDL,EQ,2014-12-26,340.75,340.35,346.95,338.00,338.30,340.00,341.57,53884,184.05,1471,14905,27.66
GDL,EQ,2014-12-29,340.00,342.95,351.50,340.00,350.00,349.80,347.44,135702,471.49,10626,77422,57.05
GDL,EQ,2014-12-30,349.80,350.95,359.90,350.20,351.00,351.95,354.81,159705,566.66,14640,67531,42.28
GDL,EQ,2014-12-31,351.95,351.90,359.00,349.85,351.00,351.90,354.03,122171,432.52,8457,61392,50.25
GDL,EQ,2015-01-01,351.90,351.90,354.85,347.00,352.10,351.35,351.22,51946,182.45,1288,25541,49.17
GDL,EQ,2015-01-02,351.35,351.35,356.00,349.75,350.00,350.35,352.06,73707,259.49,2080,49314,66.91
GDL,EQ,2015-01-05,350.35,348.25,358.55,348.25,350.60,351.55,354.27,60160,213.13,2383,29811,49.55
GDL,EQ,2015-01-06,351.55,351.50,355.80,338.95,351.00,346.40,348.25,327966,1142.15,13511,233178,71.10
GDL,EQ,2015-01-07,346.40,349.00,351.00,341.50,344.75,344.20,346.39,92195,319.36,5053,58558,63.52
GDL,EQ,2015-01-08,344.20,344.50,373.75,344.50,353.45,353.50,361.31,441187,1594.05,10978,125788,28.51
GDL,EQ,2015-01-09,353.50,354.60,361.00,350.25,352.20,352.70,354.94,67429,239.33,2309,20991,31.13
GDL,EQ,2015-01-12,352.70,354.30,363.65,352.00,358.00,356.60,357.00,142634,509.20,2968,79659,55.85
GDL,EQ,2015-01-13,356.60,355.00,367.00,353.70,363.00,362.65,362.40,118795,430.51,3130,52372,44.09
GDL,EQ,2015-01-14,362.65,364.80,372.20,356.30,357.25,358.80,362.30,142905,517.75,3188,89501,62.63
GDL,EQ,2015-01-15,358.80,359.00,365.00,357.00,358.00,357.70,358.85,263845,946.81,4241,216701,82.13
GDL,EQ,2015-01-16,357.70,356.00,367.00,355.70,366.25,365.25,365.27,222446,812.52,4005,186692,83.93
