Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GEMINI,EQ,2014-12-03,1.40,1.35,1.60,1.35,1.40,1.45,1.48,98516,1.45,55,96203,97.65
GEMINI,EQ,2014-12-04,1.45,1.50,1.50,1.40,1.40,1.40,1.44,56661,0.82,43,50820,89.69
GEMINI,EQ,2014-12-05,1.40,1.50,1.50,1.30,1.35,1.30,1.35,86761,1.17,59,76968,88.71
GEMINI,EQ,2014-12-08,1.30,1.40,1.55,1.40,1.50,1.50,1.49,21651,0.32,32,17398,80.36
GEMINI,EQ,2014-12-09,1.50,1.65,1.65,1.40,1.50,1.50,1.42,16915,0.24,31,14887,88.01
GEMINI,EQ,2014-12-10,1.50,1.50,1.50,1.25,1.50,1.35,1.38,16878,0.23,28,12501,74.07
GEMINI,EQ,2014-12-11,1.35,1.45,1.45,1.35,1.35,1.35,1.39,11942,0.17,28,9916,83.03
GEMINI,EQ,2014-12-12,1.35,1.25,1.40,1.25,1.40,1.40,1.35,5645,0.08,15,3944,69.87
GEMINI,EQ,2014-12-15,1.40,1.40,1.40,1.30,1.30,1.30,1.35,2001,0.03,3,1001,50.02
GEMINI,EQ,2014-12-16,1.30,1.30,1.45,1.25,1.25,1.40,1.36,6947,0.09,22,5028,72.38
GEMINI,EQ,2014-12-17,1.40,1.25,1.40,1.15,1.25,1.25,1.33,2023,0.03,11,2013,99.51
GEMINI,EQ,2014-12-18,1.25,1.25,1.50,1.15,1.40,1.35,1.35,11290,0.15,30,9704,85.95
GEMINI,EQ,2014-12-19,1.35,1.50,1.50,1.30,1.40,1.40,1.35,9566,0.13,20,8561,89.49
GEMINI,EQ,2014-12-22,1.40,1.45,1.60,1.35,1.35,1.35,1.45,10480,0.15,18,8380,79.96
GEMINI,EQ,2014-12-23,1.35,1.30,1.45,1.30,1.40,1.40,1.35,5918,0.08,23,4767,80.55
GEMINI,EQ,2014-12-24,1.40,1.40,1.45,1.35,1.45,1.45,1.36,10439,0.14,13,10438,99.99
GEMINI,EQ,2014-12-26,1.45,1.45,1.55,1.35,1.35,1.35,1.39,8287,0.12,8,4487,54.15
GEMINI,EQ,2014-12-29,1.35,1.50,1.55,1.35,1.40,1.40,1.42,28372,0.40,30,25820,91.01
GEMINI,EQ,2014-12-30,1.40,1.55,1.55,1.40,1.45,1.45,1.49,14644,0.22,22,14041,95.88
GEMINI,EQ,2014-12-31,1.45,1.60,1.60,1.40,1.45,1.45,1.47,4389,0.06,40,4150,94.55
GEMINI,EQ,2015-01-01,1.45,1.40,1.60,1.40,1.45,1.45,1.53,7201,0.11,13,7056,97.99
GEMINI,EQ,2015-01-02,1.45,1.40,1.60,1.40,1.50,1.50,1.47,20947,0.31,18,16307,77.85
GEMINI,EQ,2015-01-05,1.50,1.60,1.60,1.45,1.60,1.60,1.55,13187,0.20,21,9987,75.73
GEMINI,EQ,2015-01-06,1.60,1.70,1.70,1.40,1.45,1.40,1.42,44348,0.63,56,26623,60.03
GEMINI,EQ,2015-01-07,1.40,1.40,1.50,1.40,1.50,1.50,1.48,1791,0.03,6,1388,77.50
GEMINI,EQ,2015-01-08,1.50,1.45,1.50,1.45,1.45,1.45,1.46,4607,0.07,7,4607,100.00
GEMINI,EQ,2015-01-09,1.45,1.45,1.50,1.40,1.50,1.50,1.49,16333,0.24,17,14833,90.82
GEMINI,EQ,2015-01-12,1.50,1.50,1.50,1.40,1.50,1.50,1.44,6005,0.09,13,4265,71.02
GEMINI,EQ,2015-01-13,1.50,1.35,1.50,1.20,1.50,1.50,1.37,18526,0.25,43,12348,66.65
GEMINI,EQ,2015-01-14,1.50,1.40,1.50,1.35,1.35,1.40,1.42,21439,0.31,21,21438,100.00
GEMINI,EQ,2015-01-15,1.40,1.35,1.45,1.35,1.45,1.45,1.36,4600,0.06,10,4300,93.48
GEMINI,EQ,2015-01-16,1.45,1.45,1.45,1.20,1.35,1.30,1.31,12663,0.17,20,11347,89.61
GEMINI,EQ,2015-01-19,1.30,1.40,1.55,1.35,1.45,1.45,1.48,52030,0.77,76,43410,83.43
GEMINI,EQ,2015-01-20,1.45,1.40,1.55,1.40,1.45,1.45,1.50,11394,0.17,22,11349,99.61
GEMINI,EQ,2015-01-21,1.45,1.45,1.55,1.40,1.40,1.45,1.47,17255,0.25,32,15851,91.86
GEMINI,EQ,2015-01-22,1.45,1.40,1.55,1.40,1.40,1.40,1.46,13145,0.19,17,11745,89.35
