Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GENESYS,EQ,2014-12-03,59.95,60.25,63.50,59.65,61.45,62.85,60.67,9593,5.82,216,1649,17.19
GENESYS,EQ,2014-12-04,62.85,62.00,62.50,59.65,60.00,59.85,60.72,10554,6.41,156,5305,50.27
GENESYS,EQ,2014-12-05,59.85,60.85,61.85,59.00,59.90,59.70,60.43,3968,2.40,109,1437,36.21
GENESYS,EQ,2014-12-08,59.70,60.45,61.95,59.40,59.60,60.55,59.98,8264,4.96,164,1881,22.76
GENESYS,EQ,2014-12-09,60.55,59.40,60.00,58.50,58.50,58.60,59.08,1802,1.06,58,1354,75.14
GENESYS,EQ,2014-12-10,58.60,59.45,59.45,57.65,57.75,57.90,57.94,954,0.55,42,753,78.93
GENESYS,EQ,2014-12-11,57.90,58.00,61.25,57.50,60.00,60.00,59.30,1877,1.11,105,1201,63.99
GENESYS,EQ,2014-12-12,60.00,59.40,59.50,56.85,56.85,57.05,57.84,3415,1.98,98,2183,63.92
GENESYS,EQ,2014-12-15,57.05,56.75,67.00,56.30,59.50,59.15,62.02,27068,16.79,602,11260,41.60
GENESYS,EQ,2014-12-16,59.15,60.15,60.15,54.00,55.00,55.05,57.23,6403,3.66,286,3133,48.93
GENESYS,EQ,2014-12-17,55.05,56.00,56.00,53.50,56.00,55.25,54.39,2898,1.58,102,2154,74.33
GENESYS,EQ,2014-12-18,55.25,55.25,58.25,55.00,58.00,58.15,57.36,4878,2.80,152,1799,36.88
GENESYS,EQ,2014-12-19,58.15,58.25,59.25,55.20,55.20,55.85,56.82,9932,5.64,230,6834,68.81
GENESYS,EQ,2014-12-22,55.85,56.25,57.45,55.00,56.00,56.00,56.15,3028,1.70,153,2249,74.27
GENESYS,EQ,2014-12-23,56.00,56.25,57.95,55.95,56.25,56.50,56.68,3732,2.12,94,1243,33.31
GENESYS,EQ,2014-12-24,56.50,55.65,56.70,53.50,53.55,53.55,54.69,9691,5.30,232,4105,42.36
GENESYS,EQ,2014-12-26,53.55,54.50,54.50,51.30,54.00,53.40,53.63,7796,4.18,205,2215,28.41
GENESYS,EQ,2014-12-29,53.40,53.00,56.65,52.75,53.50,53.70,54.21,5798,3.14,192,1875,32.34
GENESYS,EQ,2014-12-30,53.70,55.00,55.00,51.95,54.80,54.05,53.11,1630,0.87,147,1132,69.45
GENESYS,EQ,2014-12-31,54.05,56.80,56.80,51.05,51.75,52.00,53.05,28861,15.31,187,19305,66.89
GENESYS,EQ,2015-01-01,52.00,52.00,53.95,49.50,52.00,52.10,51.47,2883,1.48,127,2255,78.22
GENESYS,EQ,2015-01-02,52.10,53.00,54.80,50.20,51.85,52.30,53.18,10725,5.70,125,9501,88.59
GENESYS,EQ,2015-01-05,52.30,52.00,55.00,51.35,53.90,53.25,53.87,3899,2.10,127,3523,90.36
GENESYS,EQ,2015-01-06,53.25,52.75,53.40,52.00,53.40,52.50,52.43,1636,0.86,36,1277,78.06
GENESYS,EQ,2015-01-07,52.50,55.75,56.00,51.05,52.75,52.10,52.88,1540,0.81,107,921,59.81
GENESYS,EQ,2015-01-08,52.10,52.00,54.20,51.95,54.20,53.10,53.33,2378,1.27,103,1732,72.83
GENESYS,EQ,2015-01-09,53.10,53.25,53.60,51.90,52.10,52.90,52.90,2631,1.39,77,2200,83.62
GENESYS,EQ,2015-01-12,52.90,52.50,53.75,51.40,51.75,52.90,52.12,1349,0.70,84,830,61.53
GENESYS,EQ,2015-01-13,52.90,53.25,54.70,53.10,53.10,53.10,53.58,292,0.16,21,236,80.82
