Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GICHSGFIN,EQ,2014-12-03,183.15,182.10,187.95,182.10,187.00,187.25,186.49,100089,186.65,2024,47802,47.76
GICHSGFIN,EQ,2014-12-04,187.25,185.40,193.00,185.35,189.70,190.10,189.54,170079,322.37,2352,94834,55.76
GICHSGFIN,EQ,2014-12-05,190.10,190.45,193.25,187.05,187.15,188.15,190.74,119915,228.73,2103,71922,59.98
GICHSGFIN,EQ,2014-12-08,188.15,187.15,189.30,183.10,184.30,183.75,185.61,68518,127.18,1888,37844,55.23
GICHSGFIN,EQ,2014-12-09,183.75,182.10,184.10,180.10,180.90,180.50,182.34,76088,138.74,1339,44588,58.60
GICHSGFIN,EQ,2014-12-10,180.50,179.00,184.75,178.65,182.00,181.85,182.02,240625,438.00,4776,85692,35.61
GICHSGFIN,EQ,2014-12-11,181.85,181.85,182.80,180.00,180.50,180.25,180.72,140640,254.16,3080,67608,48.07
GICHSGFIN,EQ,2014-12-12,180.25,181.00,183.00,179.10,179.50,180.05,180.54,142205,256.73,1802,88347,62.13
GICHSGFIN,EQ,2014-12-15,180.05,180.00,186.85,177.00,186.50,185.50,183.19,182042,333.49,2968,70655,38.81
GICHSGFIN,EQ,2014-12-16,185.50,185.00,187.00,180.00,180.60,180.20,181.69,130689,237.45,1943,74749,57.20
GICHSGFIN,EQ,2014-12-17,180.20,180.00,180.75,171.00,179.00,179.05,176.81,116534,206.04,2020,56993,48.91
GICHSGFIN,EQ,2014-12-18,179.05,179.45,185.00,176.00,184.00,183.80,182.47,94716,172.83,1774,47843,50.51
GICHSGFIN,EQ,2014-12-19,183.80,185.75,187.45,184.10,184.85,184.60,185.45,100429,186.24,2826,59113,58.86
GICHSGFIN,EQ,2014-12-22,184.60,188.05,189.35,184.00,186.70,186.60,186.40,119548,222.83,2404,47729,39.92
GICHSGFIN,EQ,2014-12-23,186.60,185.30,187.75,185.30,185.30,185.60,186.11,56681,105.49,901,30943,54.59
GICHSGFIN,EQ,2014-12-24,185.60,186.40,188.75,183.80,187.45,187.00,186.63,89662,167.33,1860,38975,43.47
GICHSGFIN,EQ,2014-12-26,187.00,186.25,188.00,184.10,185.80,185.70,185.90,65384,121.55,949,42475,64.96
GICHSGFIN,EQ,2014-12-29,185.70,184.60,198.80,184.60,194.50,194.65,194.58,424548,826.07,7097,157367,37.07
GICHSGFIN,EQ,2014-12-30,194.65,195.95,214.90,193.25,214.60,213.15,207.10,1491590,3089.12,19922,341918,22.92
