Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GIPCL,EQ,2014-12-03,87.50,88.00,91.90,86.55,91.55,91.45,90.38,89308,80.72,960,74337,83.24
GIPCL,EQ,2014-12-04,91.45,91.95,93.40,91.25,91.80,91.75,92.17,67444,62.17,668,46829,69.43
GIPCL,EQ,2014-12-05,91.75,92.50,92.60,88.60,89.70,89.35,90.49,35922,32.51,430,23187,64.55
GIPCL,EQ,2014-12-08,89.35,89.00,91.00,87.45,90.10,89.65,89.23,65312,58.28,567,46498,71.19
GIPCL,EQ,2014-12-09,89.65,90.00,92.30,89.60,91.40,90.95,90.88,107569,97.76,893,84937,78.96
GIPCL,EQ,2014-12-10,90.95,91.00,91.00,88.60,89.00,88.85,89.69,167289,150.04,496,151828,90.76
GIPCL,EQ,2014-12-11,88.85,89.45,89.45,86.75,87.50,87.60,87.97,32358,28.47,332,25472,78.72
GIPCL,EQ,2014-12-12,87.60,87.50,88.90,86.60,86.60,86.65,87.29,16778,14.65,201,12854,76.61
GIPCL,EQ,2014-12-15,86.65,88.55,89.55,86.10,87.60,87.85,88.26,37613,33.20,373,22109,58.78
GIPCL,EQ,2014-12-16,87.85,86.10,87.00,82.60,82.60,82.85,84.29,30755,25.92,465,20874,67.87
GIPCL,EQ,2014-12-17,82.85,82.10,83.75,81.00,83.75,83.10,82.50,17963,14.82,257,11707,65.17
GIPCL,EQ,2014-12-18,83.10,84.00,85.45,82.60,85.40,84.90,84.30,16533,13.94,216,8132,49.19
GIPCL,EQ,2014-12-19,84.90,85.45,92.90,85.40,88.55,88.90,89.98,134849,121.33,1093,99345,73.67
GIPCL,EQ,2014-12-22,88.90,88.90,90.50,88.00,88.80,88.25,89.12,32013,28.53,416,20613,64.39
GIPCL,EQ,2014-12-23,88.25,87.55,89.50,87.55,88.20,87.80,88.55,22740,20.14,368,13747,60.45
GIPCL,EQ,2014-12-24,87.80,87.05,89.00,87.05,88.00,88.15,88.08,34739,30.60,225,26100,75.13
GIPCL,EQ,2014-12-26,88.15,86.95,89.90,86.95,87.05,87.05,88.02,28125,24.75,317,16705,59.40
GIPCL,EQ,2014-12-29,87.05,87.50,89.00,85.00,86.35,85.85,86.75,38487,33.39,408,28996,75.34
GIPCL,EQ,2014-12-30,85.85,87.45,87.45,85.50,86.00,86.10,86.40,13710,11.85,207,8721,63.61
GIPCL,EQ,2014-12-31,86.10,87.95,87.95,85.95,87.20,86.75,86.55,12867,11.14,170,6850,53.24
GIPCL,EQ,2015-01-01,86.75,87.50,88.00,86.00,87.05,86.45,87.23,13735,11.98,259,9614,70.00
GIPCL,EQ,2015-01-02,86.45,87.00,87.85,85.55,85.65,86.10,86.84,34785,30.21,295,27458,78.94
GIPCL,EQ,2015-01-05,86.10,87.90,87.90,86.15,87.00,86.75,86.88,24387,21.19,235,16869,69.17
GIPCL,EQ,2015-01-06,86.75,87.95,87.95,84.50,85.00,84.75,85.81,24508,21.03,366,17207,70.21
GIPCL,EQ,2015-01-07,84.75,84.25,85.75,83.30,84.80,85.40,85.15,22943,19.54,184,17583,76.64
GIPCL,EQ,2015-01-08,85.40,86.00,87.00,85.50,85.70,85.65,85.87,13864,11.90,199,8657,62.44
GIPCL,EQ,2015-01-09,85.65,86.85,87.00,84.40,84.50,84.70,85.13,18354,15.62,278,12631,68.82
GIPCL,EQ,2015-01-12,84.70,84.95,85.90,84.35,84.95,84.80,85.18,20285,17.28,202,15768,77.73
GIPCL,EQ,2015-01-13,84.80,84.80,86.00,83.75,83.75,83.85,84.50,33651,28.43,381,23598,70.13
GIPCL,EQ,2015-01-14,83.85,84.00,85.00,83.15,83.55,83.35,84.06,18420,15.48,279,13355,72.50
GIPCL,EQ,2015-01-15,83.35,83.30,84.75,83.30,84.15,84.25,84.12,20296,17.07,257,14592,71.90
GIPCL,EQ,2015-01-16,84.25,84.50,84.60,83.25,83.35,83.45,83.85,20736,17.39,214,15035,72.51
GIPCL,EQ,2015-01-19,83.45,85.50,85.50,84.00,84.15,84.30,84.50,17906,15.13,236,9666,53.98
GIPCL,EQ,2015-01-20,84.30,84.00,89.30,84.00,87.00,86.50,87.59,65492,57.36,833,28526,43.56
GIPCL,EQ,2015-01-21,86.50,88.45,88.90,85.00,86.40,85.80,86.80,23824,20.68,350,13201,55.41
GIPCL,EQ,2015-01-22,85.80,85.05,88.00,85.05,87.00,86.80,86.81,33758,29.31,401,20466,60.63
GIPCL,EQ,2015-01-23,86.80,86.80,88.00,85.95,86.95,86.80,86.81,29801,25.87,474,16280,54.63
