Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GLOBOFFS,EQ,2014-12-03,619.70,625.95,625.95,615.20,616.25,617.55,621.24,42103,261.56,1090,25413,60.36
GLOBOFFS,EQ,2014-12-04,617.55,624.90,637.95,614.20,615.00,619.45,624.16,68989,430.60,1833,33644,48.77
GLOBOFFS,EQ,2014-12-05,619.45,623.00,630.00,619.90,623.60,621.15,624.55,52759,329.51,842,25866,49.03
GLOBOFFS,EQ,2014-12-08,621.15,634.00,650.00,616.40,628.20,624.40,636.33,85702,545.35,1781,44092,51.45
GLOBOFFS,EQ,2014-12-09,624.40,634.60,639.00,608.00,611.00,615.40,619.56,37932,235.01,1641,19900,52.46
GLOBOFFS,EQ,2014-12-10,615.40,620.00,620.95,610.35,615.00,616.60,616.56,20457,126.13,1001,10978,53.66
GLOBOFFS,EQ,2014-12-11,616.60,620.95,620.95,596.00,603.00,601.60,609.01,55551,338.31,1726,26465,47.64
GLOBOFFS,EQ,2014-12-12,601.60,615.00,615.00,581.00,594.00,587.75,594.77,39824,236.86,1516,18041,45.30
GLOBOFFS,EQ,2014-12-15,587.75,592.00,592.00,570.10,575.05,574.65,577.66,20836,120.36,732,12646,60.69
GLOBOFFS,EQ,2014-12-16,574.65,578.95,578.95,521.00,522.25,527.50,543.10,111257,604.23,2372,54250,48.76
GLOBOFFS,EQ,2014-12-17,527.50,529.00,532.95,495.00,508.00,512.65,508.46,77586,394.50,1938,34685,44.71
GLOBOFFS,EQ,2014-12-18,512.65,520.25,544.00,516.00,529.00,531.15,527.96,34627,182.82,1205,17854,51.56
GLOBOFFS,EQ,2014-12-19,531.15,540.00,615.00,540.00,609.00,607.00,596.34,277719,1656.14,8482,110306,39.72
GLOBOFFS,EQ,2014-12-22,607.00,629.00,680.00,629.00,643.00,637.55,642.83,219308,1409.79,9289,64458,29.39
GLOBOFFS,EQ,2014-12-23,637.55,636.55,640.00,617.25,627.05,632.60,626.97,74722,468.48,3744,24264,32.47
GLOBOFFS,EQ,2014-12-24,632.60,628.00,655.00,618.00,642.90,644.10,641.12,84432,541.31,3021,39011,46.20
GLOBOFFS,EQ,2014-12-26,644.10,648.00,665.90,638.45,641.00,643.35,650.49,87952,572.12,2975,32888,37.39
GLOBOFFS,EQ,2014-12-29,643.35,647.85,656.00,639.35,649.90,649.70,650.47,61134,397.66,2906,24857,40.66
GLOBOFFS,EQ,2014-12-30,649.70,650.00,654.00,641.40,650.80,651.00,651.23,29977,195.22,1192,13032,43.47
