Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GMDCLTD,EQ,2014-12-03,129.00,129.00,130.80,128.10,128.45,128.60,129.84,291590,378.60,1750,239679,82.20
GMDCLTD,EQ,2014-12-04,128.60,128.70,138.30,128.70,136.00,136.25,135.07,407730,550.74,5141,139227,34.15
GMDCLTD,EQ,2014-12-05,136.25,135.80,136.80,132.45,133.90,133.65,134.20,86366,115.91,1971,39503,45.74
GMDCLTD,EQ,2014-12-08,133.65,133.10,137.50,132.65,136.80,136.15,135.25,118510,160.28,2461,70175,59.21
GMDCLTD,EQ,2014-12-09,136.15,135.05,138.80,130.95,132.40,132.50,134.28,105253,141.34,2263,47386,45.02
GMDCLTD,EQ,2014-12-10,132.50,131.25,135.90,130.75,134.90,134.15,132.74,122057,162.01,1709,56686,46.44
GMDCLTD,EQ,2014-12-11,134.15,133.40,135.90,132.05,133.10,133.35,133.53,149177,199.19,1338,123119,82.53
GMDCLTD,EQ,2014-12-12,133.35,134.00,135.30,130.00,130.65,130.50,132.83,179176,238.00,2007,149083,83.20
GMDCLTD,EQ,2014-12-15,130.50,130.60,131.00,129.15,130.25,129.90,129.97,110069,143.05,1697,87696,79.67
GMDCLTD,EQ,2014-12-16,129.90,129.00,129.85,125.25,126.50,127.65,127.36,164955,210.08,3428,131408,79.66
GMDCLTD,EQ,2014-12-17,127.65,126.55,126.55,123.35,124.95,124.90,124.53,289246,360.21,4226,232339,80.33
GMDCLTD,EQ,2014-12-18,124.90,126.05,128.00,117.00,120.60,121.10,118.88,2268965,2697.28,10861,1783687,78.61
GMDCLTD,EQ,2014-12-19,121.10,123.95,131.80,122.00,123.20,122.60,126.58,753836,954.20,8233,249226,33.06
GMDCLTD,EQ,2014-12-22,122.60,122.50,127.70,122.05,126.20,126.30,125.06,313087,391.55,4462,124343,39.72
GMDCLTD,EQ,2014-12-23,126.30,126.20,127.20,122.25,123.40,123.50,124.47,122566,152.55,1479,50326,41.06
GMDCLTD,EQ,2014-12-24,123.50,123.15,125.90,122.70,123.60,123.30,124.30,64214,79.82,1019,28298,44.07
GMDCLTD,EQ,2014-12-26,123.30,123.00,125.15,121.05,122.40,122.60,123.27,125502,154.71,1689,36859,29.37
GMDCLTD,EQ,2014-12-29,122.60,123.00,125.80,123.00,124.50,123.90,124.54,90183,112.31,1432,48711,54.01
GMDCLTD,EQ,2014-12-30,123.90,123.25,126.70,123.25,126.30,126.15,125.34,117426,147.19,1733,63492,54.07
GMDCLTD,EQ,2014-12-31,126.15,125.60,130.40,125.00,129.45,129.20,128.18,213973,274.27,3793,92349,43.16
GMDCLTD,EQ,2015-01-01,129.20,128.05,132.90,128.05,132.20,132.00,131.21,162194,212.81,3279,73888,45.56
GMDCLTD,EQ,2015-01-02,132.00,131.75,135.00,131.00,133.00,132.35,133.11,146744,195.33,1566,87805,59.84
GMDCLTD,EQ,2015-01-05,132.35,131.15,135.60,130.75,132.15,131.50,132.83,193462,256.98,2331,113819,58.83
GMDCLTD,EQ,2015-01-06,131.50,130.20,131.60,127.00,129.30,128.15,129.16,122439,158.14,1512,69412,56.69
GMDCLTD,EQ,2015-01-07,128.15,127.60,129.75,122.15,124.00,123.40,125.17,155010,194.02,2143,94946,61.25
GMDCLTD,EQ,2015-01-08,123.40,125.05,129.00,125.05,129.00,127.80,127.04,73879,93.85,1092,39181,53.03
GMDCLTD,EQ,2015-01-09,127.80,129.00,130.00,125.80,128.85,128.90,128.14,77041,98.72,1208,29107,37.78
GMDCLTD,EQ,2015-01-12,128.90,127.80,128.70,124.05,124.70,124.85,125.98,135737,171.00,1373,99494,73.30
GMDCLTD,EQ,2015-01-13,124.85,125.30,128.35,120.40,127.60,127.00,125.37,423694,531.18,4976,82583,19.49
GMDCLTD,EQ,2015-01-14,127.00,126.40,128.70,125.00,126.35,126.35,126.54,58168,73.60,866,30537,52.50
GMDCLTD,EQ,2015-01-15,126.35,126.55,127.80,124.10,126.70,126.80,126.57,89035,112.70,1164,55845,62.72
GMDCLTD,EQ,2015-01-16,126.80,126.45,127.00,124.10,126.25,125.95,125.59,85390,107.24,1230,37973,44.47
GMDCLTD,EQ,2015-01-19,125.95,126.50,129.90,126.50,129.00,129.10,129.27,363489,469.90,2057,312554,85.99
GMDCLTD,EQ,2015-01-20,129.10,129.50,130.80,128.10,130.25,129.90,129.76,313920,407.35,1644,256049,81.57
GMDCLTD,EQ,2015-01-21,129.90,130.00,132.20,128.05,131.00,131.10,130.47,121638,158.71,1942,66893,54.99
GMDCLTD,EQ,2015-01-22,131.10,130.50,133.25,130.00,132.95,132.25,131.63,105823,139.29,2017,70493,66.61
GMDCLTD,EQ,2015-01-23,132.25,134.00,136.45,130.25,130.50,131.05,132.62,151909,201.46,1895,101155,66.59
GMDCLTD,EQ,2015-01-27,131.05,132.00,133.55,126.80,127.25,128.30,129.92,140507,182.55,2923,92673,65.96
GMDCLTD,EQ,2015-01-28,128.30,127.50,130.50,124.80,126.10,125.60,127.11,172512,219.28,1949,77912,45.16
GMDCLTD,EQ,2015-01-29,125.60,126.95,126.95,122.80,125.30,124.75,125.01,107678,134.61,1905,66767,62.01
GMDCLTD,EQ,2015-01-30,124.75,125.30,126.55,122.40,122.60,123.20,123.65,178159,220.29,2736,140310,78.76
GMDCLTD,EQ,2015-02-02,123.20,123.00,124.85,122.00,124.00,123.30,123.14,166571,205.12,2903,103772,62.30
GMDCLTD,EQ,2015-02-03,123.30,123.40,124.60,119.90,121.00,120.75,121.87,136609,166.49,1981,97291,71.22
GMDCLTD,EQ,2015-02-04,120.75,122.10,124.80,121.00,124.00,123.20,122.52,75690,92.74,1062,46201,61.04
GMDCLTD,EQ,2015-02-05,123.20,124.55,124.75,122.50,122.60,123.25,123.76,42660,52.79,563,31220,73.18
GMDCLTD,EQ,2015-02-06,123.25,124.00,124.00,120.50,121.00,121.10,122.00,41890,51.11,731,22999,54.90
GMDCLTD,EQ,2015-02-09,121.10,120.50,121.50,118.50,119.00,120.05,119.76,58313,69.84,1049,38934,66.77
GMDCLTD,EQ,2015-02-10,120.05,120.10,121.60,117.75,118.40,118.30,119.27,68557,81.77,2848,41292,60.23
GMDCLTD,EQ,2015-02-11,118.30,118.00,119.40,115.55,118.45,118.50,117.44,112433,132.04,1715,60704,53.99
GMDCLTD,EQ,2015-02-12,118.50,118.50,121.40,116.75,121.00,120.20,119.04,289112,344.16,3639,68855,23.82
GMDCLTD,EQ,2015-02-13,120.20,121.45,122.80,118.10,118.50,119.45,120.45,70398,84.79,1396,43495,61.78
GMDCLTD,EQ,2015-02-16,119.45,119.05,121.50,118.20,119.30,119.40,119.58,51734,61.86,880,34615,66.91
