Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GNA,BE,2016-09-26,207.00,252.00,261.80,242.20,248.00,245.05,251.12,1520649,3818.71,23140,-,-
GNA,BE,2016-09-27,245.05,255.00,256.25,233.00,233.10,233.85,239.24,269176,643.98,4738,-,-
GNA,BE,2016-09-28,233.85,232.90,245.50,230.00,245.00,242.50,237.08,223981,531.02,4229,-,-
GNA,BE,2016-09-29,242.50,242.00,245.00,230.40,230.40,230.40,234.06,190013,444.74,2892,-,-
GNA,BE,2016-09-30,230.40,218.90,231.80,218.90,230.00,228.20,224.77,115771,260.22,3007,-,-
GNA,BE,2016-10-03,228.20,229.10,239.60,220.30,239.60,239.60,236.14,122058,288.23,1509,-,-
GNA,BE,2016-10-04,239.60,251.55,251.55,242.00,251.55,251.55,249.51,223606,557.91,2153,-,-
GNA,BE,2016-10-05,251.55,260.10,263.10,253.30,257.00,257.60,258.46,199663,516.06,2553,-,-
GNA,BE,2016-10-06,257.60,260.00,264.70,251.10,256.90,256.20,259.40,206621,535.97,2389,-,-
GNA,BE,2016-10-07,256.20,258.00,269.00,256.00,269.00,267.35,264.67,211262,559.15,2562,-,-
GNA,EQ,2016-10-10,267.35,273.00,276.50,259.40,260.90,260.75,266.82,397265,1059.98,6951,193832,48.79
GNA,EQ,2016-10-13,260.75,259.80,262.00,244.10,248.30,249.10,251.54,132478,333.23,2803,71537,54.00
GNA,EQ,2016-10-14,249.10,250.15,255.00,248.10,250.80,250.35,250.85,89700,225.01,3898,58046,64.71
GNA,EQ,2016-10-17,250.35,251.00,253.10,243.10,243.50,244.90,248.38,54997,136.60,1289,36645,66.63
GNA,EQ,2016-10-18,244.90,247.75,267.00,246.05,261.00,260.05,258.67,268211,693.79,5278,135828,50.64
GNA,EQ,2016-10-19,260.05,264.90,266.05,254.00,254.00,255.60,259.77,150883,391.94,2738,97922,64.90
GNA,EQ,2016-10-20,255.60,258.50,262.80,256.00,256.75,256.50,258.84,141067,365.14,2188,71938,51.00
GNA,EQ,2016-10-21,256.50,257.70,259.80,252.10,253.00,253.35,256.14,54245,138.94,1051,36033,66.43
GNA,EQ,2016-10-24,253.35,253.65,258.00,253.65,254.45,254.90,256.00,50674,129.72,1029,28196,55.64
GNA,EQ,2016-10-25,254.90,256.00,258.00,248.00,248.30,248.85,251.22,74658,187.56,1159,49149,65.83
GNA,EQ,2016-10-26,248.85,249.00,254.00,246.80,248.00,249.35,250.67,86059,215.72,1536,54965,63.87
