Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GODFRYPHLP,EQ,2014-12-03,598.85,601.00,601.00,583.25,590.00,590.65,589.36,28226,166.35,1202,21100,74.75
GODFRYPHLP,EQ,2014-12-04,590.65,634.00,643.75,608.00,619.75,618.90,626.23,179476,1123.92,6384,67358,37.53
GODFRYPHLP,EQ,2014-12-05,618.90,621.00,628.00,611.00,611.20,612.45,618.88,37236,230.44,1800,16572,44.51
GODFRYPHLP,EQ,2014-12-08,612.45,610.05,628.80,606.05,611.00,613.30,617.92,38387,237.20,1658,24994,65.11
GODFRYPHLP,EQ,2014-12-09,613.30,610.00,622.00,600.00,604.50,601.75,610.17,31561,192.58,863,27171,86.09
GODFRYPHLP,EQ,2014-12-10,601.75,598.00,609.00,598.00,606.60,604.00,603.79,10653,64.32,547,7730,72.56
GODFRYPHLP,EQ,2014-12-11,604.00,605.75,605.75,590.00,593.00,593.00,594.28,11134,66.17,626,7667,68.86
GODFRYPHLP,EQ,2014-12-12,593.00,591.00,602.95,591.00,595.00,592.20,593.70,9119,54.14,481,4834,53.01
GODFRYPHLP,EQ,2014-12-15,592.20,588.00,593.05,571.20,579.00,577.05,582.86,9400,54.79,577,6394,68.02
GODFRYPHLP,EQ,2014-12-16,577.05,579.00,579.95,550.10,555.00,554.00,559.59,18929,105.93,968,13150,69.47
GODFRYPHLP,EQ,2014-12-17,554.00,558.00,578.00,558.00,569.90,570.90,568.13,18695,106.21,1114,12135,64.91
GODFRYPHLP,EQ,2014-12-18,570.90,571.60,586.00,562.50,580.50,578.00,578.73,9110,52.72,701,6603,72.48
GODFRYPHLP,EQ,2014-12-19,578.00,579.10,587.85,576.35,585.00,581.95,582.27,7506,43.70,445,5601,74.62
GODFRYPHLP,EQ,2014-12-22,581.95,590.00,592.00,580.50,587.00,590.30,587.35,5409,31.77,394,3640,67.30
GODFRYPHLP,EQ,2014-12-23,590.30,586.00,592.00,580.00,582.00,583.60,586.89,4654,27.31,466,3076,66.09
GODFRYPHLP,EQ,2014-12-24,583.60,580.00,587.50,577.20,584.50,581.10,580.56,2338,13.57,205,1499,64.11
GODFRYPHLP,EQ,2014-12-26,581.10,578.00,585.00,576.05,582.90,581.80,580.96,3838,22.30,195,3194,83.22
GODFRYPHLP,EQ,2014-12-29,581.80,583.80,594.95,580.20,582.50,582.90,583.45,6077,35.46,326,4108,67.60
GODFRYPHLP,EQ,2014-12-30,582.90,581.60,594.95,579.00,588.00,588.25,585.43,6325,37.03,378,4880,77.15
