Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GODREJIND,EQ,2014-12-03,289.20,290.00,295.50,290.00,295.00,293.95,293.81,449124,1319.58,9592,155978,34.73
GODREJIND,EQ,2014-12-04,293.95,298.00,303.25,294.00,299.60,299.55,299.37,683640,2046.59,10609,257485,37.66
GODREJIND,EQ,2014-12-05,299.55,302.00,303.55,294.15,296.25,296.40,300.60,294229,884.47,5415,128165,43.56
GODREJIND,EQ,2014-12-08,296.40,296.00,299.50,287.25,288.95,288.50,292.66,346365,1013.65,5357,142155,41.04
GODREJIND,EQ,2014-12-09,288.50,287.40,288.75,280.40,284.50,282.95,283.99,298186,846.80,9938,154888,51.94
GODREJIND,EQ,2014-12-10,282.95,281.15,288.65,281.15,284.15,284.90,285.73,197867,565.37,4013,46234,23.37
GODREJIND,EQ,2014-12-11,284.90,283.00,288.20,281.20,285.00,285.55,285.39,222094,633.83,6475,76433,34.41
GODREJIND,EQ,2014-12-12,285.55,285.55,288.80,274.20,276.35,276.15,280.95,354925,997.16,6633,181472,51.13
GODREJIND,EQ,2014-12-15,276.15,273.50,275.35,270.10,271.15,270.75,272.29,188582,513.48,5048,67371,35.73
GODREJIND,EQ,2014-12-16,270.75,269.00,269.90,261.50,265.60,265.20,264.46,512105,1354.29,6244,316345,61.77
GODREJIND,EQ,2014-12-17,265.20,262.70,281.40,262.70,274.05,274.20,273.69,1039061,2843.82,18662,529841,50.99
GODREJIND,EQ,2014-12-18,274.20,278.00,284.00,274.30,276.85,276.40,277.67,316593,879.09,7853,73265,23.14
GODREJIND,EQ,2014-12-19,276.40,278.60,284.00,278.20,280.55,280.90,281.29,338627,952.53,8564,110553,32.65
GODREJIND,EQ,2014-12-22,280.90,280.00,285.60,280.00,283.65,284.70,283.82,242870,689.32,7257,88624,36.49
GODREJIND,EQ,2014-12-23,284.70,287.20,290.70,283.20,290.00,289.15,286.87,521185,1495.14,12171,173375,33.27
GODREJIND,EQ,2014-12-24,289.15,293.95,293.95,282.00,286.00,284.30,286.62,843933,2418.84,10237,358644,42.50
GODREJIND,EQ,2014-12-26,284.30,284.10,293.00,282.00,286.20,286.10,287.63,290376,835.21,7004,51001,17.56
GODREJIND,EQ,2014-12-29,286.10,286.15,291.35,286.15,291.00,290.05,289.64,279067,808.29,7385,77028,27.60
GODREJIND,EQ,2014-12-30,290.05,290.20,292.30,288.50,291.80,290.35,290.61,170816,496.41,4250,76064,44.53
GODREJIND,EQ,2014-12-31,290.35,289.65,295.60,289.65,294.95,293.90,293.63,297840,874.56,7976,93502,31.39
GODREJIND,EQ,2015-01-01,293.90,294.00,295.40,291.55,291.80,292.15,292.94,110413,323.45,1952,35815,32.44
GODREJIND,EQ,2015-01-02,292.15,292.25,298.50,292.25,295.60,295.55,296.67,291512,864.82,4908,119806,41.10
GODREJIND,EQ,2015-01-05,295.55,295.00,299.50,292.10,293.85,294.80,295.96,160846,476.04,3798,88509,55.03
GODREJIND,EQ,2015-01-06,294.80,290.00,294.05,272.95,278.00,278.70,284.23,292057,830.12,6081,145806,49.92
GODREJIND,EQ,2015-01-07,278.70,278.00,280.95,273.00,277.50,277.20,277.97,192734,535.74,4077,64454,33.44
GODREJIND,EQ,2015-01-08,277.20,279.35,284.95,279.35,283.45,284.05,282.71,155655,440.05,3818,61519,39.52
GODREJIND,EQ,2015-01-09,284.05,285.25,287.95,280.10,284.95,284.60,283.91,241401,685.37,6260,102338,42.39
GODREJIND,EQ,2015-01-12,284.60,284.70,289.80,283.00,287.10,288.45,287.66,141508,407.06,3305,48950,34.59
GODREJIND,EQ,2015-01-13,288.45,288.50,297.70,287.10,293.05,293.10,293.73,301047,884.26,6294,73434,24.39
GODREJIND,EQ,2015-01-14,293.10,292.05,296.90,292.05,295.50,294.85,294.57,150730,444.01,3155,48928,32.46
GODREJIND,EQ,2015-01-15,294.85,298.00,309.80,294.20,304.00,306.15,305.71,911794,2787.46,16944,361100,39.60
GODREJIND,EQ,2015-01-16,306.15,304.95,316.45,304.00,316.45,314.85,311.58,768840,2395.59,18429,331582,43.13
GODREJIND,EQ,2015-01-19,314.85,316.45,317.50,308.30,308.50,309.40,311.75,201457,628.05,4677,59069,29.32
GODREJIND,EQ,2015-01-20,309.40,310.45,315.00,309.40,310.55,310.95,312.14,243872,761.22,5165,79498,32.60
GODREJIND,EQ,2015-01-21,310.95,313.35,314.80,306.20,307.70,308.70,309.29,236291,730.83,5335,75032,31.75
GODREJIND,EQ,2015-01-22,308.70,308.75,313.80,307.10,309.10,309.10,310.49,209137,649.34,4603,47957,22.93
GODREJIND,EQ,2015-01-23,309.10,311.20,317.65,304.05,312.30,314.55,312.21,378832,1182.76,7055,105975,27.97
GODREJIND,EQ,2015-01-27,314.55,316.80,322.45,313.50,315.00,316.55,319.04,736891,2351.01,13521,214714,29.14
GODREJIND,EQ,2015-01-28,316.55,315.00,319.00,309.70,311.55,312.10,314.38,314639,989.17,6395,113370,36.03
GODREJIND,EQ,2015-01-29,312.10,310.55,318.00,309.25,314.30,315.05,315.22,359643,1133.66,9916,132027,36.71
GODREJIND,EQ,2015-01-30,315.05,316.20,318.90,308.75,310.10,310.75,313.20,363605,1138.82,9216,163393,44.94
GODREJIND,EQ,2015-02-02,310.75,312.95,313.80,306.65,313.00,312.35,310.06,253306,785.39,5744,73661,29.08
GODREJIND,EQ,2015-02-03,312.35,311.10,323.60,311.10,320.50,321.40,318.16,576971,1835.67,12343,183256,31.76
GODREJIND,EQ,2015-02-04,321.40,324.80,326.00,305.15,305.90,307.40,317.12,813862,2580.91,15659,221403,27.20
GODREJIND,EQ,2015-02-05,307.40,307.05,313.00,302.20,303.85,305.35,308.75,353206,1090.53,9697,103056,29.18
GODREJIND,EQ,2015-02-06,305.35,305.60,308.30,300.00,302.55,303.90,304.12,413044,1256.16,11541,214459,51.92
GODREJIND,EQ,2015-02-09,303.90,300.25,307.50,285.15,293.20,292.15,299.05,352419,1053.90,7275,143497,40.72
GODREJIND,EQ,2015-02-10,292.15,291.00,311.90,289.10,309.75,308.10,305.97,1097504,3358.04,29403,585176,53.32
GODREJIND,EQ,2015-02-11,308.10,309.00,315.40,304.25,309.90,309.65,309.18,1207312,3732.83,19709,305908,25.34
GODREJIND,EQ,2015-02-12,309.65,312.65,320.00,311.10,315.50,314.85,315.54,933709,2946.22,17615,373513,40.00
GODREJIND,EQ,2015-02-13,314.85,315.40,331.35,314.50,329.70,328.05,324.43,943001,3059.37,24551,379138,40.21
GODREJIND,EQ,2015-02-16,328.05,330.80,331.90,322.00,323.25,323.60,326.65,419675,1370.88,11718,139643,33.27
GODREJIND,EQ,2015-02-18,323.60,321.85,334.15,321.85,331.00,330.75,331.09,727647,2409.13,16010,320062,43.99
GODREJIND,EQ,2015-02-19,330.75,330.00,334.65,326.80,331.00,331.60,329.92,535627,1767.16,15508,215368,40.21
GODREJIND,EQ,2015-02-20,331.60,331.95,337.15,327.45,330.70,330.85,332.66,308020,1024.66,10041,92109,29.90
GODREJIND,EQ,2015-02-23,330.85,331.15,332.50,327.00,329.90,329.25,329.65,379945,1252.47,14005,187955,49.47
GODREJIND,EQ,2015-02-24,329.25,330.00,336.50,327.50,331.50,331.65,331.86,570004,1891.62,29658,302508,53.07
GODREJIND,EQ,2015-02-25,331.65,333.25,337.00,328.40,334.00,334.05,334.50,452796,1514.61,18469,231047,51.03
GODREJIND,EQ,2015-02-26,334.05,334.05,340.00,320.40,334.00,328.20,328.95,914968,3009.78,16805,532306,58.18
