Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GREAVESCOT,EQ,2014-12-03,138.05,138.00,143.50,137.00,141.50,141.65,140.47,271678,381.63,2014,206144,75.88
GREAVESCOT,EQ,2014-12-04,141.65,142.30,144.00,139.25,142.65,142.55,142.22,193189,274.76,3101,122298,63.30
GREAVESCOT,EQ,2014-12-05,142.55,142.55,148.30,140.20,146.00,146.70,145.44,247359,359.77,5893,139239,56.29
GREAVESCOT,EQ,2014-12-08,146.70,145.00,149.90,140.45,141.30,141.25,145.66,180055,262.26,2677,84792,47.09
GREAVESCOT,EQ,2014-12-09,141.25,141.00,142.95,137.30,139.00,139.25,140.18,120652,169.13,1345,83444,69.16
GREAVESCOT,EQ,2014-12-10,139.25,139.35,139.95,137.65,138.95,138.70,138.20,253171,349.87,1412,220940,87.27
GREAVESCOT,EQ,2014-12-11,138.70,138.00,140.00,135.80,137.65,137.70,137.75,72583,99.98,1516,41383,57.01
GREAVESCOT,EQ,2014-12-12,137.70,138.45,143.80,134.30,135.10,135.30,139.36,131290,182.97,2228,67500,51.41
GREAVESCOT,EQ,2014-12-15,135.30,134.50,137.05,133.50,136.50,136.00,135.46,90212,122.20,1227,52726,58.45
GREAVESCOT,EQ,2014-12-16,136.00,135.10,136.00,129.10,135.00,135.10,134.54,186749,251.25,2377,147035,78.73
GREAVESCOT,EQ,2014-12-17,135.10,135.20,137.70,128.00,134.00,134.25,134.01,348979,467.68,3739,297855,85.35
GREAVESCOT,EQ,2014-12-18,134.25,135.70,138.50,135.00,138.00,137.65,136.73,80452,110.00,1424,49374,61.37
GREAVESCOT,EQ,2014-12-19,137.65,138.55,141.50,136.60,138.00,137.40,138.91,53986,74.99,1213,30701,56.87
GREAVESCOT,EQ,2014-12-22,137.40,137.45,141.50,134.95,140.50,140.20,137.89,132285,182.41,1985,74474,56.30
GREAVESCOT,EQ,2014-12-23,140.20,139.85,141.20,135.25,137.50,137.90,138.39,103032,142.59,1789,66835,64.87
GREAVESCOT,EQ,2014-12-24,137.90,137.90,140.00,136.55,137.95,137.70,138.05,41833,57.75,1443,25064,59.91
GREAVESCOT,EQ,2014-12-26,137.70,138.75,140.00,137.20,137.85,137.80,138.33,86159,119.19,1164,62516,72.56
GREAVESCOT,EQ,2014-12-29,137.80,137.35,143.00,137.35,141.50,140.60,140.87,114522,161.33,1773,78722,68.74
GREAVESCOT,EQ,2014-12-30,140.60,142.95,145.00,141.75,144.40,144.45,143.49,175070,251.21,2691,74722,42.68
GREAVESCOT,EQ,2014-12-31,144.45,144.95,153.00,143.35,152.90,150.90,148.99,334154,497.86,3900,188180,56.32
GREAVESCOT,EQ,2015-01-01,150.90,151.30,152.85,145.75,147.50,147.20,149.68,84084,125.86,1467,46300,55.06
GREAVESCOT,EQ,2015-01-02,147.20,148.70,148.70,144.50,144.50,145.00,146.33,82132,120.18,1401,49936,60.80
GREAVESCOT,EQ,2015-01-05,145.00,147.50,147.90,143.15,144.00,143.95,145.76,106776,155.64,1713,55472,51.95
GREAVESCOT,EQ,2015-01-06,143.95,143.00,150.50,138.30,144.00,143.60,146.45,896672,1313.21,6687,621265,69.29
GREAVESCOT,EQ,2015-01-07,143.60,144.00,146.55,140.35,145.25,144.65,143.58,108504,155.79,1605,55758,51.39
GREAVESCOT,EQ,2015-01-08,144.65,145.20,150.25,144.35,149.00,148.80,147.23,537270,791.00,3431,433257,80.64
GREAVESCOT,EQ,2015-01-09,148.80,151.00,157.80,145.20,157.00,154.35,151.85,426149,647.12,5285,219910,51.60
GREAVESCOT,EQ,2015-01-12,154.35,156.05,159.40,151.05,152.00,151.90,155.48,322709,501.74,6537,172670,53.51
GREAVESCOT,EQ,2015-01-13,151.90,151.60,153.45,144.25,146.10,146.00,148.11,161560,239.29,3157,83678,51.79
GREAVESCOT,EQ,2015-01-14,146.00,146.50,149.90,145.20,146.85,146.65,147.38,109619,161.56,1770,52953,48.31
GREAVESCOT,EQ,2015-01-15,146.65,148.80,151.90,144.75,150.45,149.75,147.84,246244,364.04,3184,146504,59.50
GREAVESCOT,EQ,2015-01-16,149.75,150.00,150.00,144.55,144.70,145.00,145.99,150708,220.02,3318,111576,74.03
GREAVESCOT,EQ,2015-01-19,145.00,145.90,145.90,140.85,142.25,142.45,142.07,429874,610.74,4494,279766,65.08
GREAVESCOT,EQ,2015-01-20,142.45,142.45,144.70,140.90,143.20,143.05,142.46,198633,282.98,3699,128989,64.94
GREAVESCOT,EQ,2015-01-21,143.05,143.85,144.90,141.10,141.60,141.55,142.55,107607,153.40,1803,65886,61.23
GREAVESCOT,EQ,2015-01-22,141.55,142.50,142.70,140.65,141.50,141.35,141.71,228354,323.59,2995,180926,79.23
GREAVESCOT,EQ,2015-01-23,141.35,141.75,143.00,138.00,139.00,139.55,140.54,130308,183.13,1762,82519,63.33
GREAVESCOT,EQ,2015-01-27,139.55,140.80,144.90,138.00,140.60,140.60,140.79,349136,491.55,3316,246086,70.48
GREAVESCOT,EQ,2015-01-28,140.60,141.00,144.75,139.00,143.55,143.80,142.77,413666,590.57,3500,339560,82.09
GREAVESCOT,EQ,2015-01-29,143.80,146.10,147.20,142.15,142.65,143.25,144.02,243294,350.40,4089,155451,63.89
GREAVESCOT,EQ,2015-01-30,143.25,143.25,145.90,139.65,145.00,144.35,142.03,183148,260.12,3249,104966,57.31
GREAVESCOT,EQ,2015-02-02,144.35,142.00,152.00,140.05,148.20,149.30,147.36,373323,550.14,7423,171423,45.92
GREAVESCOT,EQ,2015-02-03,149.30,149.05,149.05,145.00,145.80,145.60,145.97,155173,226.51,2695,112525,72.52
GREAVESCOT,EQ,2015-02-04,145.60,145.95,151.00,143.25,149.20,148.60,147.25,284181,418.45,4460,192318,67.67
GREAVESCOT,EQ,2015-02-05,148.60,148.95,148.95,143.40,145.35,144.55,145.15,717191,1041.00,11461,365252,50.93
GREAVESCOT,EQ,2015-02-06,144.55,145.00,145.25,131.00,142.60,141.95,141.00,262750,370.47,8561,150824,57.40
GREAVESCOT,EQ,2015-02-09,141.95,141.95,144.80,138.85,142.50,141.85,141.80,181297,257.08,6001,99334,54.79
GREAVESCOT,EQ,2015-02-10,141.85,143.00,144.75,140.95,142.20,143.05,142.63,161828,230.81,5075,105957,65.48
GREAVESCOT,EQ,2015-02-11,143.05,141.20,146.00,141.20,146.00,145.25,144.14,120990,174.40,4335,64603,53.40
GREAVESCOT,EQ,2015-02-12,145.25,146.70,148.95,141.95,145.50,145.40,144.89,139286,201.81,5392,80749,57.97
GREAVESCOT,EQ,2015-02-13,145.40,145.50,149.50,145.20,148.00,148.10,147.29,175845,258.99,3950,114503,65.12
GREAVESCOT,EQ,2015-02-16,148.10,145.25,148.50,145.00,145.50,145.00,145.65,35438,51.62,1343,24577,69.35
GREAVESCOT,EQ,2015-02-18,145.00,144.05,148.65,144.05,147.25,146.85,147.01,131197,192.88,2772,66754,50.88
GREAVESCOT,EQ,2015-02-19,146.85,146.85,148.05,144.75,146.50,145.85,145.67,109112,158.94,3021,67202,61.59
GREAVESCOT,EQ,2015-02-20,145.85,146.00,147.50,145.10,146.50,146.50,146.10,93084,136.00,2561,70380,75.61
GREAVESCOT,EQ,2015-02-23,146.50,145.20,149.05,145.20,147.90,147.40,147.34,213312,314.30,2703,130248,61.06
GREAVESCOT,EQ,2015-02-24,147.40,147.75,150.00,147.25,148.00,148.05,148.88,255358,380.17,5203,132682,51.96
GREAVESCOT,EQ,2015-02-25,148.05,149.40,149.90,144.60,145.30,145.65,147.71,661429,977.02,2528,580821,87.81
GREAVESCOT,EQ,2015-02-26,145.65,145.50,148.80,144.15,148.00,147.25,146.56,85562,125.40,1363,39590,46.27
GREAVESCOT,EQ,2015-02-27,147.25,147.25,159.00,146.25,153.50,153.45,150.16,1155157,1734.56,4791,994466,86.09
GREAVESCOT,EQ,2015-02-28,153.45,153.00,157.00,146.25,149.90,148.90,151.77,92677,140.65,1637,52131,56.25
GREAVESCOT,EQ,2015-03-02,148.90,148.00,148.05,145.20,147.70,146.55,146.55,213194,312.44,4447,173576,81.42
GREAVESCOT,EQ,2015-03-03,146.55,147.00,149.40,146.35,149.30,148.45,148.41,172744,256.37,2115,131802,76.30
GREAVESCOT,EQ,2015-03-04,148.45,148.45,148.60,144.20,144.40,144.85,146.30,60510,88.53,955,47708,78.84
GREAVESCOT,EQ,2015-03-05,144.85,144.90,145.10,142.60,143.80,143.95,144.11,53085,76.50,795,28931,54.50
GREAVESCOT,EQ,2015-03-09,143.95,143.90,144.00,141.45,142.00,141.95,142.49,34811,49.60,582,24985,71.77
GREAVESCOT,EQ,2015-03-10,141.95,144.80,144.80,141.00,142.00,141.85,141.91,32823,46.58,534,16570,50.48
GREAVESCOT,EQ,2015-03-11,141.85,142.45,142.65,138.80,140.00,139.35,140.48,47197,66.30,816,33305,70.57
GREAVESCOT,EQ,2015-03-12,139.35,140.25,141.15,136.80,140.40,139.50,139.15,61239,85.22,941,40413,65.99
GREAVESCOT,EQ,2015-03-13,139.50,140.25,140.65,136.00,137.40,137.95,138.66,84067,116.57,1054,59961,71.33
GREAVESCOT,EQ,2015-03-16,137.95,139.80,139.80,133.30,134.00,134.35,135.24,59238,80.12,768,41087,69.36
GREAVESCOT,EQ,2015-03-17,134.35,134.85,139.30,133.75,137.00,137.95,135.66,60970,82.71,924,42170,69.17
GREAVESCOT,EQ,2015-03-18,137.95,137.60,140.55,135.50,140.00,139.70,138.29,42980,59.44,1153,22424,52.17
GREAVESCOT,EQ,2015-03-19,139.70,139.95,139.95,138.00,139.65,139.00,138.93,22757,31.62,438,9630,42.32
GREAVESCOT,EQ,2015-03-20,139.00,139.50,139.55,134.05,134.55,135.05,135.52,208837,283.02,714,196722,94.20
GREAVESCOT,EQ,2015-03-23,135.05,135.25,141.40,130.40,140.00,138.60,135.20,80237,108.48,1231,55994,69.79
GREAVESCOT,EQ,2015-03-24,138.60,139.00,139.50,134.95,135.90,136.45,136.62,28294,38.65,488,22385,79.12
GREAVESCOT,EQ,2015-03-25,136.45,136.60,137.00,134.00,135.50,135.55,135.50,320837,434.72,1531,293813,91.58
GREAVESCOT,EQ,2015-03-26,135.55,134.00,136.45,131.15,136.00,135.00,133.13,68076,90.63,991,46649,68.52
GREAVESCOT,EQ,2015-03-27,135.00,135.50,144.40,133.70,142.85,141.30,136.96,167268,229.10,1810,148485,88.77
GREAVESCOT,EQ,2015-03-30,141.30,141.50,145.50,139.10,144.50,144.50,143.13,56103,80.30,925,39065,69.63
GREAVESCOT,EQ,2015-03-31,144.50,144.85,146.50,143.10,145.50,145.80,145.34,59547,86.55,1919,40012,67.19
GREAVESCOT,EQ,2015-04-01,145.80,144.90,146.90,143.20,143.60,144.40,145.06,60030,87.08,1062,40884,68.11
GREAVESCOT,EQ,2015-04-06,144.40,144.00,145.85,141.15,141.90,142.00,143.11,31952,45.73,546,19918,62.34
GREAVESCOT,EQ,2015-04-07,142.00,142.75,142.80,136.80,139.50,140.35,140.27,99421,139.46,1115,65835,66.22
GREAVESCOT,EQ,2015-04-08,140.35,140.40,143.00,138.10,139.00,138.80,140.34,40194,56.41,549,21332,53.07
GREAVESCOT,EQ,2015-04-09,138.80,138.20,139.80,135.00,136.00,136.30,136.29,160527,218.78,2515,97452,60.71
GREAVESCOT,EQ,2015-04-10,136.30,136.95,137.35,135.00,136.00,135.90,136.22,329615,449.01,1569,300761,91.25
GREAVESCOT,EQ,2015-04-13,135.90,136.00,136.95,135.00,136.00,136.15,135.88,102263,138.95,1443,76168,74.48
GREAVESCOT,EQ,2015-04-15,136.15,135.95,138.00,135.20,136.45,136.05,136.44,63156,86.17,634,41476,65.67
GREAVESCOT,EQ,2015-04-16,136.05,140.00,142.00,133.80,141.40,138.95,137.83,198521,273.63,2996,94246,47.47
GREAVESCOT,EQ,2015-04-17,138.95,139.00,141.00,136.70,139.15,139.70,138.90,52372,72.75,917,28041,53.54
GREAVESCOT,EQ,2015-04-20,139.70,140.00,140.00,136.60,137.75,137.50,137.59,21195,29.16,381,15111,71.30
GREAVESCOT,EQ,2015-04-21,137.50,138.00,140.75,135.15,137.70,137.70,138.79,98149,136.22,1877,50711,51.67
GREAVESCOT,EQ,2015-04-22,137.70,137.00,141.35,136.55,139.35,139.25,138.99,207929,289.00,1177,176458,84.86
GREAVESCOT,EQ,2015-04-23,139.25,138.55,140.50,134.50,140.00,138.80,137.18,128745,176.62,1330,79065,61.41
GREAVESCOT,EQ,2015-04-24,138.80,136.70,140.50,134.85,139.95,138.70,137.07,139552,191.28,1789,107921,77.33
GREAVESCOT,EQ,2015-04-27,138.70,138.00,139.00,135.15,138.00,138.55,137.08,86153,118.10,705,66148,76.78
GREAVESCOT,EQ,2015-04-28,138.55,138.00,142.00,136.50,137.85,138.45,139.11,51261,71.31,1031,24249,47.30
GREAVESCOT,EQ,2015-04-29,138.45,138.10,139.80,136.30,139.15,139.00,138.36,124924,172.84,2524,95810,76.69
GREAVESCOT,EQ,2015-04-30,139.00,139.20,139.20,136.40,137.10,137.10,137.59,38497,52.97,525,32625,84.75
GREAVESCOT,EQ,2015-05-04,137.10,137.00,138.90,136.00,136.60,136.90,137.28,18798,25.81,279,12898,68.61
GREAVESCOT,EQ,2015-05-05,136.90,137.40,137.55,134.55,135.00,135.00,135.88,85796,116.58,629,49261,57.42
GREAVESCOT,EQ,2015-05-06,135.00,135.00,138.00,126.00,134.10,132.35,130.94,237189,310.57,2141,132021,55.66
GREAVESCOT,EQ,2015-05-07,132.35,128.30,142.30,125.00,137.45,136.55,130.09,230219,299.50,4867,94964,41.25
GREAVESCOT,EQ,2015-05-08,136.55,136.00,136.95,133.30,134.50,135.20,135.16,39780,53.77,840,18493,46.49
GREAVESCOT,EQ,2015-05-11,135.20,137.50,137.50,134.55,134.80,135.45,135.97,523095,711.23,550,489694,93.61
GREAVESCOT,EQ,2015-05-12,135.45,135.45,136.00,131.55,132.00,132.10,133.66,33369,44.60,583,26779,80.25
GREAVESCOT,EQ,2015-05-13,132.10,132.05,132.95,128.70,129.00,129.20,130.45,551678,719.65,738,538048,97.53
GREAVESCOT,EQ,2015-05-14,129.20,130.00,130.00,127.00,128.80,128.40,128.22,52997,67.96,653,41846,78.96
GREAVESCOT,EQ,2015-05-15,128.40,129.00,129.90,128.40,129.15,129.35,129.19,31942,41.27,385,26120,81.77
GREAVESCOT,EQ,2015-05-18,129.35,129.50,131.70,129.30,130.00,130.20,129.96,262653,341.34,418,254368,96.85
GREAVESCOT,EQ,2015-05-19,130.20,131.20,134.30,130.25,131.95,131.75,132.08,354434,468.14,872,331905,93.64
GREAVESCOT,EQ,2015-05-20,131.75,131.75,132.70,129.00,129.55,129.85,130.29,35899,46.77,864,22021,61.34
GREAVESCOT,EQ,2015-05-21,129.85,129.10,130.50,128.00,128.80,128.85,128.60,103106,132.59,844,94002,91.17
GREAVESCOT,EQ,2015-05-22,128.85,128.90,129.35,127.00,127.60,127.90,128.01,51832,66.35,953,38898,75.05
GREAVESCOT,EQ,2015-05-25,127.90,127.75,129.00,125.25,125.50,125.55,126.13,61835,77.99,1312,44669,72.24
GREAVESCOT,EQ,2015-05-26,125.55,125.95,125.95,116.55,121.75,121.90,123.94,795483,985.92,2055,769427,96.72
GREAVESCOT,EQ,2015-05-27,121.90,122.00,122.00,117.70,120.50,120.50,120.07,152225,182.77,4713,132060,86.75
GREAVESCOT,EQ,2015-05-28,120.50,120.85,124.70,120.00,124.00,123.90,123.24,270048,332.82,1311,254471,94.23
GREAVESCOT,EQ,2015-05-29,123.90,124.45,130.00,123.60,125.10,124.95,125.26,155860,195.23,1310,142633,91.51
GREAVESCOT,EQ,2015-06-01,124.95,125.10,125.85,122.10,124.70,124.75,123.98,25048,31.05,717,14317,57.16
GREAVESCOT,EQ,2015-06-02,124.75,125.00,125.00,122.00,123.30,123.25,122.39,64913,79.45,785,55967,86.22
GREAVESCOT,EQ,2015-06-03,123.25,123.15,123.20,120.00,122.00,121.45,122.07,85271,104.09,1659,64235,75.33
GREAVESCOT,EQ,2015-06-04,121.45,121.45,124.00,120.95,123.05,123.10,122.83,41987,51.57,602,32225,76.75
GREAVESCOT,EQ,2015-06-05,123.10,123.50,126.90,123.50,126.50,126.05,125.68,43793,55.04,529,37176,84.89
GREAVESCOT,EQ,2015-06-08,126.05,125.55,126.95,120.15,123.95,123.60,122.99,27771,34.16,1005,18131,65.29
GREAVESCOT,EQ,2015-06-09,123.60,123.15,129.70,122.15,124.00,124.00,124.58,21796,27.15,863,10273,47.13
GREAVESCOT,EQ,2015-06-10,124.00,124.05,126.50,122.25,125.35,125.75,124.56,36103,44.97,1027,26117,72.34
GREAVESCOT,EQ,2015-06-11,125.75,126.90,126.90,122.40,124.00,124.15,124.27,26782,33.28,1274,12212,45.60
GREAVESCOT,EQ,2015-06-12,124.15,121.20,127.95,121.20,126.00,126.05,124.31,44861,55.77,1321,22417,49.97
GREAVESCOT,EQ,2015-06-15,126.05,126.25,127.00,123.50,124.00,123.95,124.09,19911,24.71,562,16397,82.35
