Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GREENFIRE,EQ,2014-12-03,0.90,0.85,0.85,0.85,0.85,0.85,0.85,500,0.00,1,500,100.00
GREENFIRE,EQ,2014-12-05,0.85,0.85,0.85,0.85,0.85,0.85,0.85,500,0.00,1,500,100.00
GREENFIRE,EQ,2014-12-08,0.85,0.80,0.90,0.80,0.90,0.90,0.80,560,0.00,3,560,100.00
GREENFIRE,EQ,2014-12-09,0.90,0.85,0.85,0.85,0.85,0.85,0.85,1611,0.01,2,1611,100.00
GREENFIRE,EQ,2014-12-10,0.85,0.80,0.80,0.80,0.80,0.80,0.80,1000,0.01,1,1000,100.00
GREENFIRE,EQ,2014-12-11,0.80,0.75,0.75,0.75,0.75,0.75,0.75,2100,0.02,3,2100,100.00
GREENFIRE,EQ,2014-12-12,0.75,0.70,0.70,0.70,0.70,0.70,0.70,4380,0.03,9,4380,100.00
GREENFIRE,EQ,2014-12-15,0.70,0.70,0.70,0.70,0.70,0.70,0.70,150,0.00,2,150,100.00
GREENFIRE,EQ,2014-12-16,0.70,0.65,0.65,0.65,0.65,0.65,0.65,2700,0.02,2,2700,100.00
GREENFIRE,EQ,2014-12-17,0.65,0.60,0.60,0.60,0.60,0.60,0.60,500,0.00,2,500,100.00
GREENFIRE,EQ,2014-12-18,0.60,0.60,0.60,0.60,0.60,0.60,0.60,349,0.00,2,349,100.00
GREENFIRE,EQ,2014-12-19,0.60,0.60,0.60,0.60,0.60,0.60,0.60,200,0.00,2,200,100.00
GREENFIRE,EQ,2014-12-22,0.60,0.55,0.65,0.55,0.65,0.65,0.62,2816,0.02,6,1993,70.77
GREENFIRE,EQ,2014-12-23,0.65,0.60,0.60,0.60,0.60,0.60,0.60,100,0.00,1,100,100.00
GREENFIRE,EQ,2014-12-24,0.60,0.55,0.55,0.55,0.55,0.55,0.55,643,0.00,3,643,100.00
GREENFIRE,EQ,2014-12-26,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1900,0.01,5,1900,100.00
GREENFIRE,EQ,2014-12-29,0.55,0.60,0.60,0.60,0.60,0.60,0.60,1,0.00,1,1,100.00
GREENFIRE,EQ,2014-12-30,0.60,0.65,0.65,0.65,0.65,0.65,0.65,102,0.00,3,102,100.00
GREENFIRE,EQ,2014-12-31,0.65,0.70,0.70,0.70,0.70,0.70,0.70,533,0.00,1,533,100.00
GREENFIRE,EQ,2015-01-01,0.70,0.65,0.70,0.65,0.70,0.70,0.65,51051,0.33,7,51051,100.00
GREENFIRE,EQ,2015-01-02,0.70,0.65,0.75,0.65,0.75,0.75,0.68,603,0.00,6,502,83.25
GREENFIRE,EQ,2015-01-05,0.75,0.80,0.80,0.75,0.75,0.75,0.76,250,0.00,3,217,86.80
GREENFIRE,EQ,2015-01-06,0.75,0.75,0.75,0.75,0.75,0.75,0.75,5300,0.04,2,5300,100.00
GREENFIRE,EQ,2015-01-07,0.75,0.75,0.75,0.75,0.75,0.75,0.75,5035,0.04,4,5035,100.00
GREENFIRE,EQ,2015-01-09,0.75,0.70,0.70,0.70,0.70,0.70,0.70,115,0.00,1,115,100.00
GREENFIRE,EQ,2015-01-13,0.70,0.70,0.70,0.70,0.70,0.70,0.70,220,0.00,1,220,100.00
GREENFIRE,EQ,2015-01-14,0.70,0.70,0.70,0.70,0.70,0.70,0.70,5000,0.04,2,5000,100.00
GREENFIRE,EQ,2015-01-15,0.70,0.70,0.70,0.70,0.70,0.70,0.70,13800,0.10,9,13010,94.28
GREENFIRE,EQ,2015-01-16,0.70,0.65,0.75,0.65,0.65,0.65,0.65,4601,0.03,6,4601,100.00
GREENFIRE,EQ,2015-01-19,0.65,0.60,0.70,0.60,0.60,0.60,0.60,2056,0.01,10,2056,100.00
GREENFIRE,EQ,2015-01-20,0.60,0.60,0.60,0.60,0.60,0.60,0.60,3500,0.02,2,3500,100.00
GREENFIRE,EQ,2015-01-22,0.60,0.65,0.65,0.60,0.60,0.60,0.61,21500,0.13,7,21500,100.00
GREENFIRE,EQ,2015-01-23,0.60,0.55,0.55,0.55,0.55,0.55,0.55,2000,0.01,1,2000,100.00
GREENFIRE,EQ,2015-01-27,0.55,0.55,0.60,0.55,0.60,0.60,0.60,51500,0.31,5,51500,100.00
GREENFIRE,EQ,2015-01-28,0.60,0.55,0.60,0.55,0.60,0.60,0.55,10761,0.06,9,10761,100.00
GREENFIRE,EQ,2015-01-29,0.60,0.60,0.60,0.55,0.60,0.60,0.60,22700,0.14,4,22700,100.00
GREENFIRE,EQ,2015-01-30,0.60,0.60,0.60,0.55,0.60,0.60,0.60,51000,0.31,7,50000,98.04
GREENFIRE,EQ,2015-02-02,0.60,0.60,0.60,0.55,0.60,0.60,0.60,37500,0.22,5,37500,100.00
GREENFIRE,EQ,2015-02-03,0.60,0.55,0.55,0.55,0.55,0.55,0.55,240,0.00,2,220,91.67
GREENFIRE,EQ,2015-02-04,0.55,0.55,0.60,0.55,0.60,0.60,0.60,100200,0.60,6,100200,100.00
GREENFIRE,EQ,2015-02-05,0.60,0.60,0.60,0.60,0.60,0.60,0.60,252100,1.51,31,252100,100.00
GREENFIRE,EQ,2015-02-06,0.60,0.55,0.60,0.55,0.60,0.60,0.60,101200,0.61,11,101200,100.00
GREENFIRE,EQ,2015-02-09,0.60,0.60,0.60,0.55,0.55,0.55,0.60,51500,0.31,3,51500,100.00
GREENFIRE,EQ,2015-02-11,0.55,0.55,0.55,0.55,0.55,0.55,0.55,17000,0.09,4,17000,100.00
GREENFIRE,EQ,2015-02-12,0.55,0.55,0.55,0.55,0.55,0.55,0.55,55198,0.30,6,55198,100.00
GREENFIRE,EQ,2015-02-13,0.55,0.55,0.55,0.55,0.55,0.55,0.55,60998,0.34,5,60998,100.00
GREENFIRE,EQ,2015-02-16,0.55,0.50,0.50,0.50,0.50,0.50,0.50,4994,0.02,5,4994,100.00
GREENFIRE,EQ,2015-02-18,0.50,0.50,0.55,0.50,0.55,0.55,0.55,50650,0.28,5,50650,100.00
GREENFIRE,EQ,2015-02-20,0.55,0.55,0.55,0.55,0.55,0.55,0.55,132500,0.73,9,132500,100.00
GREENFIRE,EQ,2015-02-23,0.55,0.55,0.55,0.55,0.55,0.55,0.55,215601,1.19,13,215601,100.00
GREENFIRE,EQ,2015-02-24,0.55,0.55,0.55,0.50,0.50,0.50,0.55,10200,0.06,6,10200,100.00
GREENFIRE,EQ,2015-02-25,0.50,0.50,0.55,0.50,0.55,0.55,0.52,300,0.00,2,300,100.00
GREENFIRE,EQ,2015-02-26,0.55,0.50,0.55,0.50,0.55,0.55,0.52,2119,0.01,3,2119,100.00
GREENFIRE,EQ,2015-02-27,0.55,0.50,0.50,0.50,0.50,0.50,0.50,300,0.00,1,300,100.00
GREENFIRE,EQ,2015-02-28,0.50,0.45,0.45,0.45,0.45,0.45,0.45,174,0.00,4,137,78.74
GREENFIRE,EQ,2015-03-02,0.45,0.45,0.50,0.45,0.50,0.50,0.50,1600,0.01,3,1600,100.00
GREENFIRE,EQ,2015-03-03,0.50,0.55,0.55,0.55,0.55,0.55,0.55,27000,0.15,5,27000,100.00
GREENFIRE,EQ,2015-03-04,0.55,0.60,0.60,0.50,0.50,0.50,0.50,1751,0.01,5,1751,100.00
GREENFIRE,EQ,2015-03-05,0.50,0.50,0.55,0.50,0.55,0.55,0.53,1760,0.01,4,1760,100.00
GREENFIRE,EQ,2015-03-10,0.55,0.55,0.55,0.55,0.55,0.55,0.55,200,0.00,1,200,100.00
GREENFIRE,EQ,2015-03-11,0.55,0.55,0.55,0.55,0.55,0.55,0.55,39000,0.21,6,39000,100.00
GREENFIRE,EQ,2015-03-12,0.55,0.50,0.55,0.50,0.55,0.55,0.55,6099,0.03,2,6099,100.00
GREENFIRE,EQ,2015-03-13,0.55,0.55,0.55,0.55,0.55,0.55,0.55,3000,0.02,1,3000,100.00
GREENFIRE,EQ,2015-03-17,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1000,0.01,1,1000,100.00
GREENFIRE,EQ,2015-03-18,0.55,0.50,0.60,0.50,0.60,0.60,0.60,111802,0.67,11,106802,95.53
GREENFIRE,EQ,2015-03-23,0.60,0.55,0.55,0.55,0.55,0.55,0.55,5000,0.03,1,5000,100.00
GREENFIRE,EQ,2015-03-25,0.55,0.50,0.55,0.50,0.55,0.55,0.54,35000,0.19,10,35000,100.00
GREENFIRE,EQ,2015-03-26,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1500,0.01,2,1500,100.00
GREENFIRE,EQ,2015-03-27,0.55,0.55,0.55,0.50,0.50,0.50,0.51,125200,0.64,9,125200,100.00
GREENFIRE,EQ,2015-03-30,0.50,0.50,0.50,0.50,0.50,0.50,0.50,100,0.00,1,100,100.00
GREENFIRE,EQ,2015-03-31,0.50,0.50,0.50,0.50,0.50,0.50,0.50,7518,0.04,5,7518,100.00
GREENFIRE,EQ,2015-04-01,0.50,0.45,0.50,0.45,0.50,0.50,0.46,1700,0.01,4,1700,100.00
GREENFIRE,EQ,2015-04-06,0.50,0.50,0.50,0.50,0.50,0.50,0.50,2400,0.01,2,2400,100.00
GREENFIRE,EQ,2015-04-07,0.50,0.45,0.50,0.45,0.50,0.50,0.50,4550,0.02,4,4550,100.00
GREENFIRE,EQ,2015-04-08,0.50,0.45,0.50,0.45,0.45,0.45,0.48,8451,0.04,4,6001,71.01
GREENFIRE,EQ,2015-04-09,0.45,0.50,0.50,0.40,0.45,0.45,0.50,1002,0.01,4,1001,99.90
GREENFIRE,EQ,2015-04-10,0.45,0.45,0.50,0.45,0.50,0.50,0.48,6408,0.03,4,6408,100.00
GREENFIRE,EQ,2015-04-13,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1700,0.01,4,1700,100.00
GREENFIRE,EQ,2015-04-16,0.50,0.45,0.45,0.45,0.45,0.45,0.45,1000,0.00,6,1000,100.00
GREENFIRE,EQ,2015-04-17,0.45,0.50,0.50,0.50,0.50,0.50,0.50,1000,0.01,1,1000,100.00
GREENFIRE,EQ,2015-04-20,0.50,0.50,0.50,0.50,0.50,0.50,0.50,500,0.00,1,500,100.00
GREENFIRE,EQ,2015-04-21,0.50,0.45,0.45,0.45,0.45,0.45,0.45,400,0.00,1,400,100.00
