Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GSCLCEMENT,EQ,2014-12-03,30.80,30.80,32.00,30.80,31.30,31.30,31.47,58466,18.40,494,40394,69.09
GSCLCEMENT,EQ,2014-12-04,31.30,31.00,31.95,30.35,30.50,30.65,31.00,50193,15.56,380,36537,72.79
GSCLCEMENT,EQ,2014-12-05,30.65,30.30,33.35,30.30,32.20,32.25,32.39,148439,48.07,934,96106,64.74
GSCLCEMENT,EQ,2014-12-08,32.25,31.90,33.30,31.70,32.00,32.20,32.41,104163,33.76,656,67535,64.84
GSCLCEMENT,EQ,2014-12-09,32.20,32.00,35.40,31.00,31.35,31.25,31.80,79120,25.16,500,53315,67.38
GSCLCEMENT,EQ,2014-12-10,31.25,31.30,32.00,31.25,31.35,31.40,31.53,34481,10.87,249,19442,56.38
GSCLCEMENT,EQ,2014-12-11,31.40,31.50,31.70,30.65,31.30,31.25,31.07,32561,10.12,252,22595,69.39
GSCLCEMENT,EQ,2014-12-12,31.25,31.65,32.45,30.60,30.90,30.75,31.57,65213,20.59,390,36378,55.78
GSCLCEMENT,EQ,2014-12-15,30.75,30.30,31.20,30.30,30.50,30.40,30.60,54083,16.55,223,37078,68.56
GSCLCEMENT,EQ,2014-12-16,30.40,30.25,30.45,28.80,29.85,29.45,29.65,88652,26.29,406,63719,71.88
GSCLCEMENT,EQ,2014-12-17,29.45,29.00,29.55,27.50,28.60,28.00,28.49,77164,21.98,464,45904,59.49
GSCLCEMENT,EQ,2014-12-18,28.00,28.60,29.90,28.60,29.85,29.65,29.44,41752,12.29,379,27254,65.28
GSCLCEMENT,EQ,2014-12-19,29.65,29.40,30.20,29.20,29.40,29.30,29.73,66209,19.69,417,35382,53.44
GSCLCEMENT,EQ,2014-12-22,29.30,29.40,30.20,28.60,28.80,28.95,29.26,103449,30.27,564,58757,56.80
GSCLCEMENT,EQ,2014-12-23,28.95,30.15,30.30,28.70,29.25,29.45,29.69,55102,16.36,383,27047,49.09
GSCLCEMENT,EQ,2014-12-24,29.45,29.75,29.75,29.00,29.40,29.15,29.41,29291,8.61,251,13412,45.79
GSCLCEMENT,EQ,2014-12-26,29.15,29.10,29.85,28.95,29.00,29.10,29.22,46391,13.55,438,20953,45.17
GSCLCEMENT,EQ,2014-12-29,29.10,29.00,29.90,28.85,29.35,29.35,29.39,30038,8.83,213,17796,59.24
GSCLCEMENT,EQ,2014-12-30,29.35,29.50,29.75,29.00,29.60,29.40,29.35,32443,9.52,213,13034,40.18
GSCLCEMENT,EQ,2014-12-31,29.40,29.70,29.70,28.80,28.80,28.95,29.20,54358,15.87,342,41921,77.12
