Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GSFC,EQ,2014-12-03,104.80,105.95,107.40,103.80,104.50,104.40,105.54,712661,752.12,7079,368487,51.71
GSFC,EQ,2014-12-04,104.40,104.40,105.70,102.20,102.90,102.90,103.35,411442,425.22,4236,267639,65.05
GSFC,EQ,2014-12-05,102.90,103.40,107.85,102.25,105.00,105.05,105.30,1058725,1114.83,7278,451144,42.61
GSFC,EQ,2014-12-08,105.05,105.70,107.60,101.35,101.90,101.85,104.53,1198406,1252.66,9507,524983,43.81
GSFC,EQ,2014-12-09,101.85,102.00,104.50,98.75,100.90,100.05,101.30,574525,582.01,4210,253065,44.05
GSFC,EQ,2014-12-10,100.05,100.05,105.70,99.60,105.50,104.95,103.39,557619,576.50,6381,368969,66.17
GSFC,EQ,2014-12-11,104.95,104.55,104.95,101.30,102.00,101.95,102.45,462571,473.89,4613,236681,51.17
GSFC,EQ,2014-12-12,101.95,102.10,103.40,99.60,100.00,100.15,101.48,659223,668.97,10939,452376,68.62
GSFC,EQ,2014-12-15,100.15,99.10,100.25,97.35,97.80,97.90,98.75,360133,355.62,3297,218358,60.63
GSFC,EQ,2014-12-16,97.90,97.00,99.70,94.20,97.55,97.25,96.28,702485,676.33,9068,474685,67.57
GSFC,EQ,2014-12-17,97.25,96.30,98.05,90.10,96.00,96.70,96.25,618919,595.70,5813,370916,59.93
GSFC,EQ,2014-12-18,96.70,96.95,102.40,96.95,99.90,99.85,100.64,674445,678.78,8896,457612,67.85
GSFC,EQ,2014-12-19,99.85,101.95,108.00,101.50,102.70,102.65,104.57,2659030,2780.53,20952,1495684,56.25
GSFC,EQ,2014-12-22,102.65,103.75,105.50,102.80,105.00,104.95,104.40,569370,594.41,5631,315507,55.41
GSFC,EQ,2014-12-23,104.95,105.30,110.35,104.15,109.35,109.15,107.82,1513870,1632.32,12549,726728,48.00
GSFC,EQ,2014-12-24,109.15,109.70,112.35,108.00,108.50,108.70,110.23,942168,1038.60,8887,399152,42.37
GSFC,EQ,2014-12-26,108.70,107.35,111.00,103.70,104.25,104.55,105.87,925539,979.89,6675,354315,38.28
GSFC,EQ,2014-12-29,104.55,105.00,106.70,101.55,103.00,102.65,103.86,815228,846.67,6719,456730,56.02
GSFC,EQ,2014-12-30,102.65,102.90,103.40,98.55,100.50,99.45,100.05,1042693,1043.26,7649,685116,65.71
GSFC,EQ,2014-12-31,99.45,100.25,105.90,99.80,104.30,105.00,104.09,1304648,1358.05,8492,577398,44.26
GSFC,EQ,2015-01-01,105.00,106.00,107.50,105.30,106.50,106.55,106.64,835708,891.16,6655,387968,46.42
GSFC,EQ,2015-01-02,106.55,107.00,108.20,105.60,106.25,105.95,106.77,425824,454.65,3665,214122,50.28
GSFC,EQ,2015-01-05,105.95,105.00,107.00,104.20,104.45,104.65,105.28,273630,288.09,2866,128844,47.09
GSFC,EQ,2015-01-06,104.65,103.90,105.80,100.75,102.20,102.55,102.92,572663,589.38,5189,252792,44.14
GSFC,EQ,2015-01-07,102.55,102.00,105.70,101.60,102.70,103.05,103.60,611360,633.34,5623,164100,26.84
GSFC,EQ,2015-01-08,103.05,103.00,104.80,102.90,103.25,103.30,103.71,454076,470.90,3134,232617,51.23
GSFC,EQ,2015-01-09,103.30,104.00,105.45,100.35,101.45,101.70,102.79,482165,495.61,3744,286702,59.46
GSFC,EQ,2015-01-12,101.70,102.00,104.20,101.75,103.15,102.80,103.08,294443,303.51,2429,128648,43.69
GSFC,EQ,2015-01-13,102.80,103.05,105.45,102.15,103.90,104.50,103.74,426415,442.38,3081,217576,51.02
GSFC,EQ,2015-01-14,104.50,103.20,107.30,102.80,105.50,105.55,105.35,838759,883.59,7960,441120,52.59
GSFC,EQ,2015-01-15,105.55,105.55,107.15,103.30,103.65,103.75,104.91,300900,315.67,3302,164327,54.61
GSFC,EQ,2015-01-16,103.75,103.65,104.50,102.50,102.80,102.85,103.49,257604,266.59,2416,167484,65.02
GSFC,EQ,2015-01-19,102.85,102.20,106.00,102.20,105.00,105.05,104.56,609421,637.22,4718,225135,36.94
GSFC,EQ,2015-01-20,105.05,106.00,107.00,103.45,103.80,103.80,105.29,475322,500.44,3645,231684,48.74
GSFC,EQ,2015-01-21,103.80,104.10,104.90,101.80,104.05,103.60,103.37,727583,752.10,4438,399052,54.85
GSFC,EQ,2015-01-22,103.60,104.50,119.30,104.05,117.65,116.75,113.20,7049271,7979.55,40713,2400407,34.05
GSFC,EQ,2015-01-23,116.75,118.50,124.40,117.05,121.00,122.30,121.57,4725750,5744.88,32668,1600404,33.87
