Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GTLINFRA,EQ,2014-12-03,2.65,2.70,2.75,2.65,2.75,2.70,2.71,1164304,31.51,746,643927,55.31
GTLINFRA,EQ,2014-12-04,2.70,2.75,2.75,2.60,2.65,2.65,2.68,591471,15.86,375,344412,58.23
GTLINFRA,EQ,2014-12-05,2.65,2.65,2.80,2.65,2.70,2.70,2.74,1676993,46.03,647,806363,48.08
GTLINFRA,EQ,2014-12-08,2.70,2.75,2.75,2.60,2.70,2.65,2.69,968089,26.01,538,363330,37.53
GTLINFRA,EQ,2014-12-09,2.65,2.70,2.70,2.55,2.65,2.55,2.62,623865,16.33,509,297791,47.73
GTLINFRA,EQ,2014-12-10,2.55,2.60,2.65,2.55,2.60,2.60,2.60,428665,11.15,429,179515,41.88
GTLINFRA,EQ,2014-12-11,2.60,2.60,2.65,2.50,2.55,2.55,2.58,874672,22.53,333,470622,53.81
GTLINFRA,EQ,2014-12-12,2.55,2.60,2.60,2.45,2.45,2.45,2.49,1053272,26.28,589,653534,62.05
GTLINFRA,EQ,2014-12-15,2.45,2.45,2.45,2.35,2.45,2.45,2.41,575970,13.91,321,268963,46.70
GTLINFRA,EQ,2014-12-16,2.45,2.40,2.45,2.30,2.35,2.35,2.36,975727,23.00,520,501743,51.42
GTLINFRA,EQ,2014-12-17,2.35,2.35,2.40,2.25,2.35,2.30,2.31,759701,17.53,543,338274,44.53
GTLINFRA,EQ,2014-12-18,2.30,2.35,2.50,2.35,2.45,2.45,2.44,680837,16.63,366,292555,42.97
GTLINFRA,EQ,2014-12-19,2.45,2.45,2.50,2.40,2.40,2.40,2.43,762945,18.56,306,495742,64.98
GTLINFRA,EQ,2014-12-22,2.40,2.45,2.50,2.35,2.40,2.40,2.41,707702,17.03,352,461223,65.17
GTLINFRA,EQ,2014-12-23,2.40,2.40,2.45,2.30,2.30,2.35,2.37,516535,12.25,333,316601,61.29
GTLINFRA,EQ,2014-12-24,2.35,2.30,2.45,2.30,2.40,2.40,2.38,382712,9.10,253,218189,57.01
GTLINFRA,EQ,2014-12-26,2.40,2.40,2.50,2.40,2.45,2.45,2.44,725487,17.68,404,245474,33.84
GTLINFRA,EQ,2014-12-29,2.45,2.45,2.50,2.35,2.40,2.40,2.43,392030,9.51,481,266281,67.92
GTLINFRA,EQ,2014-12-30,2.40,2.45,2.45,2.35,2.45,2.40,2.42,327275,7.91,220,215966,65.99
GTLINFRA,EQ,2014-12-31,2.40,2.40,2.45,2.35,2.40,2.40,2.40,1141189,27.34,2535,801450,70.23
GTLINFRA,EQ,2015-01-01,2.40,2.40,2.60,2.35,2.55,2.55,2.52,814735,20.51,673,300380,36.87
GTLINFRA,EQ,2015-01-02,2.55,2.60,2.70,2.50,2.65,2.60,2.63,1608164,42.27,738,904478,56.24
