Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GTOFFSHORE,EQ,2014-12-03,82.45,83.00,84.00,82.10,83.05,83.40,83.21,129056,107.39,2173,37670,29.19
GTOFFSHORE,EQ,2014-12-04,83.40,83.40,85.60,82.60,84.70,84.35,84.25,155824,131.29,2889,56106,36.01
GTOFFSHORE,EQ,2014-12-05,84.35,84.00,85.80,83.20,83.95,83.40,84.27,76355,64.34,1799,28782,37.69
GTOFFSHORE,EQ,2014-12-08,83.40,83.10,84.40,81.05,81.85,81.60,82.78,78330,64.85,1688,24122,30.80
GTOFFSHORE,EQ,2014-12-09,81.60,81.10,82.60,79.30,79.90,79.70,80.53,57299,46.14,1339,25989,45.36
GTOFFSHORE,EQ,2014-12-10,79.70,79.20,81.40,77.10,77.70,77.95,78.14,57138,44.65,1497,27909,48.84
GTOFFSHORE,EQ,2014-12-11,77.95,78.00,78.50,75.35,77.25,76.60,76.40,72252,55.20,1651,36468,50.47
GTOFFSHORE,EQ,2014-12-12,76.60,76.10,76.80,72.00,73.55,72.80,73.77,69156,51.02,1750,37056,53.58
GTOFFSHORE,EQ,2014-12-15,72.80,72.00,72.60,69.10,69.40,69.70,70.16,64828,45.48,2177,32182,49.64
GTOFFSHORE,EQ,2014-12-16,69.70,68.95,68.95,65.00,67.00,65.75,66.65,67436,44.95,2008,28714,42.58
GTOFFSHORE,EQ,2014-12-17,65.75,65.10,66.85,63.00,65.00,64.55,64.93,131094,85.11,1855,42693,32.57
GTOFFSHORE,EQ,2014-12-18,64.55,65.65,68.15,65.00,67.00,67.25,66.91,106953,71.57,2441,31828,29.76
GTOFFSHORE,EQ,2014-12-19,67.25,68.00,69.75,66.25,68.05,68.35,68.26,113472,77.46,1766,40604,35.78
GTOFFSHORE,EQ,2014-12-22,68.35,68.50,69.50,67.25,68.90,67.95,67.88,135906,92.25,1596,105707,77.78
GTOFFSHORE,EQ,2014-12-23,67.95,67.80,69.85,65.30,67.90,65.80,66.77,66627,44.49,1412,27289,40.96
GTOFFSHORE,EQ,2014-12-24,65.80,66.10,67.50,65.55,67.00,66.85,66.53,103842,69.09,1326,61622,59.34
GTOFFSHORE,EQ,2014-12-26,66.85,67.25,67.80,65.80,66.25,66.55,66.48,71778,47.72,1303,43639,60.80
GTOFFSHORE,EQ,2014-12-29,66.55,66.10,77.00,66.10,75.30,75.75,74.57,1170929,873.10,13456,122638,10.47
GTOFFSHORE,EQ,2014-12-30,75.75,76.10,77.80,73.50,75.75,75.10,75.84,558584,423.63,6646,87342,15.64
GTOFFSHORE,EQ,2014-12-31,75.10,75.00,75.90,73.75,74.10,74.30,74.43,112993,84.10,2361,32436,28.71
GTOFFSHORE,EQ,2015-01-01,74.30,74.30,77.05,72.00,75.65,75.80,75.73,205752,155.82,3667,39703,19.30
GTOFFSHORE,EQ,2015-01-02,75.80,76.00,76.80,74.85,76.15,75.55,75.76,116303,88.12,2471,32751,28.16
GTOFFSHORE,EQ,2015-01-05,75.55,74.20,76.00,73.40,74.15,74.00,74.71,88918,66.43,2287,22942,25.80
GTOFFSHORE,EQ,2015-01-06,74.00,73.30,73.30,69.60,71.00,70.35,71.27,74665,53.21,1750,27783,37.21
GTOFFSHORE,EQ,2015-01-07,70.35,70.00,70.70,66.00,68.15,68.10,68.38,70941,48.51,1415,28322,39.92
GTOFFSHORE,EQ,2015-01-08,68.10,68.70,70.80,68.70,69.70,69.45,69.62,65483,45.59,2056,16215,24.76
GTOFFSHORE,EQ,2015-01-09,69.45,70.40,74.90,70.00,72.30,71.70,72.48,202047,146.44,3515,39373,19.49
GTOFFSHORE,EQ,2015-01-12,71.70,72.00,72.20,70.00,70.95,70.50,70.86,46639,33.05,1444,17378,37.26
GTOFFSHORE,EQ,2015-01-13,70.50,70.50,72.75,69.40,71.80,70.60,70.97,53888,38.25,2127,14104,26.17
GTOFFSHORE,EQ,2015-01-14,70.60,70.90,71.90,69.20,71.90,70.80,70.42,41608,29.30,1595,20808,50.01
GTOFFSHORE,EQ,2015-01-15,70.80,71.70,72.00,68.35,68.85,69.45,70.18,65490,45.96,1584,33320,50.88
GTOFFSHORE,EQ,2015-01-16,69.45,69.00,70.85,68.10,69.90,69.25,69.68,63291,44.10,1928,22613,35.73
GTOFFSHORE,EQ,2015-01-19,69.25,69.50,71.15,69.15,70.55,69.75,70.05,66920,46.87,2167,19031,28.44
GTOFFSHORE,EQ,2015-01-20,69.75,69.10,75.15,69.10,73.20,72.70,73.37,439166,322.22,5224,95947,21.85
GTOFFSHORE,EQ,2015-01-21,72.70,72.80,73.70,69.20,71.25,70.80,71.40,103200,73.68,1930,36061,34.94
GTOFFSHORE,EQ,2015-01-22,70.80,71.20,71.30,68.90,69.90,69.55,69.88,48085,33.60,1333,24813,51.60
GTOFFSHORE,EQ,2015-01-23,69.55,69.80,71.00,67.65,68.70,68.35,68.71,64989,44.65,1581,27787,42.76
GTOFFSHORE,EQ,2015-01-27,68.35,68.35,69.80,68.00,69.00,68.55,68.73,41355,28.42,1230,13319,32.21
GTOFFSHORE,EQ,2015-01-28,68.55,69.05,70.90,68.10,68.35,68.60,69.57,115315,80.23,2535,28963,25.12
GTOFFSHORE,EQ,2015-01-29,68.60,68.20,69.90,67.05,68.90,67.95,68.10,40777,27.77,1526,16902,41.45
GTOFFSHORE,EQ,2015-01-30,67.95,68.90,69.90,67.05,68.50,67.80,67.92,50522,34.31,1493,23468,46.45
GTOFFSHORE,EQ,2015-02-02,67.80,67.35,69.85,67.35,68.40,68.45,68.73,39574,27.20,1305,18378,46.44
GTOFFSHORE,EQ,2015-02-03,68.45,69.40,72.40,67.75,71.30,71.40,70.21,164886,115.77,2088,68008,41.25
GTOFFSHORE,EQ,2015-02-04,71.40,73.25,74.25,69.70,69.95,70.20,72.30,241963,174.93,2606,94861,39.20
GTOFFSHORE,EQ,2015-02-05,70.20,71.00,71.00,67.15,67.50,67.65,68.66,63792,43.80,1492,37115,58.18
GTOFFSHORE,EQ,2015-02-06,67.65,68.50,68.90,67.15,67.25,67.35,67.94,46589,31.65,867,25678,55.12
GTOFFSHORE,EQ,2015-02-09,67.35,67.00,67.40,64.80,64.85,65.05,65.64,40109,26.33,579,27603,68.82
GTOFFSHORE,EQ,2015-02-10,65.05,65.45,67.25,63.50,66.00,65.50,66.02,40902,27.00,699,21478,52.51
GTOFFSHORE,EQ,2015-02-11,65.50,66.15,67.30,65.25,66.55,66.35,65.95,40443,26.67,692,23465,58.02
GTOFFSHORE,EQ,2015-02-12,66.35,67.45,68.50,65.35,67.40,67.55,67.13,97484,65.44,1965,27793,28.51
GTOFFSHORE,EQ,2015-02-13,67.55,67.00,69.40,65.15,66.20,66.15,67.47,108403,73.14,2106,40065,36.96
GTOFFSHORE,EQ,2015-02-16,66.15,67.00,68.00,65.60,65.80,65.90,66.23,60205,39.87,1692,21725,36.09
GTOFFSHORE,EQ,2015-02-18,65.90,67.00,67.45,65.50,66.70,66.90,66.59,75364,50.19,1510,31041,41.19
GTOFFSHORE,EQ,2015-02-19,66.90,67.40,67.70,65.10,67.15,66.55,66.43,75480,50.14,1685,23384,30.98
GTOFFSHORE,EQ,2015-02-20,66.55,67.25,71.70,65.70,69.00,68.30,68.95,190357,131.25,3660,55406,29.11
GTOFFSHORE,EQ,2015-02-23,68.30,68.65,69.00,66.10,68.80,68.25,68.05,64576,43.94,1948,23741,36.76
GTOFFSHORE,EQ,2015-02-24,68.25,69.15,71.50,67.45,67.70,68.45,69.13,94843,65.56,2425,33484,35.30
GTOFFSHORE,EQ,2015-02-25,68.45,69.25,73.40,68.10,70.70,70.15,71.18,328414,233.78,4937,70863,21.58
GTOFFSHORE,EQ,2015-02-26,70.15,70.80,71.75,67.90,68.50,68.45,69.24,67547,46.77,1524,19498,28.87
GTOFFSHORE,EQ,2015-02-27,68.45,69.30,70.30,68.60,68.80,69.30,69.22,86747,60.04,2237,31528,36.34
GTOFFSHORE,EQ,2015-02-28,69.30,69.05,70.95,67.50,67.85,67.85,68.69,59519,40.88,1408,21458,36.05
GTOFFSHORE,EQ,2015-03-02,67.85,68.10,68.90,67.05,68.05,67.80,67.87,36203,24.57,1046,12787,35.32
GTOFFSHORE,EQ,2015-03-03,67.80,68.10,71.80,67.65,69.85,70.00,70.42,198644,139.89,2006,62291,31.36
GTOFFSHORE,EQ,2015-03-04,70.00,70.60,72.55,68.50,68.50,68.70,70.61,129798,91.65,1380,52132,40.16
GTOFFSHORE,EQ,2015-03-05,68.70,68.55,72.30,68.55,69.55,69.90,71.16,217411,154.71,2310,41023,18.87
GTOFFSHORE,EQ,2015-03-09,69.90,69.50,70.00,67.00,67.00,67.30,68.42,52082,35.64,623,26462,50.81
GTOFFSHORE,EQ,2015-03-10,67.30,67.65,68.35,66.50,66.50,66.70,67.30,38906,26.18,500,17575,45.17
GTOFFSHORE,EQ,2015-03-11,66.70,66.55,67.20,65.10,65.40,65.45,65.93,29243,19.28,362,20591,70.41
GTOFFSHORE,EQ,2015-03-12,65.45,66.00,75.45,65.90,74.75,74.40,72.37,710466,514.13,6964,227599,32.04
GTOFFSHORE,EQ,2015-03-13,74.40,76.00,76.40,69.85,70.30,70.50,73.35,798701,585.85,6974,311934,39.06
GTOFFSHORE,EQ,2015-03-16,70.50,70.95,70.95,67.05,67.25,67.40,68.43,93616,64.06,972,50128,53.55
GTOFFSHORE,EQ,2015-03-17,67.40,67.60,69.00,66.10,66.25,66.50,67.10,99890,67.02,1061,54522,54.58
GTOFFSHORE,EQ,2015-03-18,66.50,67.00,68.05,65.60,65.85,66.10,66.59,81019,53.95,913,33592,41.46
GTOFFSHORE,EQ,2015-03-19,66.10,67.75,68.45,65.30,65.30,65.90,66.78,119837,80.03,1193,51421,42.91
GTOFFSHORE,EQ,2015-03-20,65.90,65.85,65.90,60.00,61.85,62.50,63.99,79191,50.67,1016,49898,63.01
GTOFFSHORE,EQ,2015-03-23,62.50,62.15,62.50,60.10,60.60,60.60,60.87,83639,50.91,878,47452,56.73
GTOFFSHORE,EQ,2015-03-24,60.60,60.65,61.50,60.10,60.70,60.40,60.82,56216,34.19,532,30735,54.67
GTOFFSHORE,EQ,2015-03-25,60.40,60.45,60.90,58.10,58.20,58.30,59.34,64965,38.55,448,51851,79.81
GTOFFSHORE,EQ,2015-03-26,58.30,58.00,58.70,55.50,56.40,56.05,56.91,56132,31.95,742,33537,59.75
GTOFFSHORE,EQ,2015-03-27,56.05,56.00,57.40,54.75,54.75,55.20,55.54,93817,52.11,875,59630,63.56
GTOFFSHORE,EQ,2015-03-30,55.20,56.60,57.90,56.00,56.60,56.95,56.97,59266,33.76,620,30756,51.89
GTOFFSHORE,EQ,2015-03-31,56.95,56.85,60.70,56.10,57.10,57.30,58.47,80273,46.94,1043,28986,36.11
GTOFFSHORE,EQ,2015-04-01,57.30,57.00,60.40,57.00,58.85,58.90,58.92,89366,52.65,833,40450,45.26
GTOFFSHORE,EQ,2015-04-06,58.90,60.50,62.80,59.90,61.30,61.35,61.42,365978,224.78,5431,83547,22.83
GTOFFSHORE,EQ,2015-04-07,61.35,62.35,63.90,62.00,63.25,63.25,63.10,195664,123.47,1800,76992,39.35
GTOFFSHORE,EQ,2015-04-08,63.25,63.70,64.00,61.60,62.70,62.75,63.20,68435,43.25,665,36096,52.74
GTOFFSHORE,EQ,2015-04-09,62.75,62.95,64.80,62.45,63.05,63.20,63.22,64079,40.51,926,20699,32.30
GTOFFSHORE,EQ,2015-04-10,63.20,63.30,65.10,62.70,63.75,63.75,63.92,102016,65.21,1132,44467,43.59
GTOFFSHORE,EQ,2015-04-13,63.75,64.40,65.85,62.90,64.00,64.20,64.46,68570,44.20,883,24201,35.29
GTOFFSHORE,EQ,2015-04-15,64.20,65.00,65.75,63.10,63.30,63.70,64.67,60554,39.16,629,25813,42.63
GTOFFSHORE,EQ,2015-04-16,63.70,63.90,65.80,62.60,63.10,63.55,63.88,68817,43.96,878,22889,33.26
GTOFFSHORE,EQ,2015-04-17,63.55,63.75,65.40,62.80,63.05,63.15,63.89,83795,53.54,1015,25186,30.06
GTOFFSHORE,EQ,2015-04-20,63.15,63.30,63.90,60.60,61.30,61.15,62.12,42390,26.33,426,21768,51.35
GTOFFSHORE,EQ,2015-04-21,61.15,61.25,61.35,59.15,59.80,59.80,60.24,52212,31.45,658,21274,40.75
GTOFFSHORE,EQ,2015-04-22,59.80,60.55,60.65,58.10,58.80,59.05,59.18,46466,27.50,714,18422,39.65
GTOFFSHORE,EQ,2015-04-23,59.05,59.30,60.35,58.35,58.60,58.65,59.11,41009,24.24,565,15911,38.80
GTOFFSHORE,EQ,2015-04-24,58.65,58.50,58.60,56.65,56.85,56.85,57.37,33127,19.00,393,22050,66.56
GTOFFSHORE,EQ,2015-04-27,56.85,56.15,56.75,55.00,55.55,55.25,55.80,38563,21.52,473,16542,42.90
GTOFFSHORE,EQ,2015-04-28,55.25,55.00,56.90,55.00,56.50,56.45,56.05,26658,14.94,349,11071,41.53
GTOFFSHORE,EQ,2015-04-29,56.45,56.05,58.20,56.05,56.95,56.90,57.18,30749,17.58,466,9639,31.35
GTOFFSHORE,EQ,2015-04-30,56.90,58.80,59.00,57.15,59.00,58.65,57.96,41760,24.20,479,25054,60.00
GTOFFSHORE,EQ,2015-05-04,58.65,58.65,61.10,58.65,59.50,59.20,59.46,43608,25.93,689,14057,32.23
GTOFFSHORE,EQ,2015-05-05,59.20,59.95,61.35,59.00,59.70,59.45,59.92,31512,18.88,431,16046,50.92
GTOFFSHORE,EQ,2015-05-06,59.45,60.45,61.40,56.80,57.05,57.60,58.98,46650,27.51,654,17206,36.88
GTOFFSHORE,EQ,2015-05-07,57.60,58.00,58.00,56.25,56.75,56.60,56.70,44314,25.12,605,16166,36.48
GTOFFSHORE,EQ,2015-05-08,56.60,57.05,58.25,56.50,56.70,56.65,57.43,32632,18.74,582,14043,43.03
GTOFFSHORE,EQ,2015-05-11,56.65,56.50,58.35,56.50,57.65,57.40,57.69,34938,20.16,530,10042,28.74
GTOFFSHORE,EQ,2015-05-12,57.40,57.75,57.75,55.20,55.20,56.25,57.01,29234,16.67,579,10491,35.89
GTOFFSHORE,EQ,2015-05-13,56.25,56.00,57.00,51.70,55.95,55.85,55.51,59076,32.79,1049,24122,40.83
GTOFFSHORE,EQ,2015-05-14,55.85,55.50,57.35,55.00,56.65,56.80,56.46,42195,23.82,945,13084,31.01
GTOFFSHORE,EQ,2015-05-15,56.80,57.00,58.35,56.35,57.00,56.75,57.17,50300,28.76,832,14785,29.39
GTOFFSHORE,EQ,2015-05-18,56.75,57.00,57.55,55.70,56.95,56.90,56.76,44138,25.05,621,10751,24.36
GTOFFSHORE,EQ,2015-05-19,56.90,56.30,58.80,56.00,57.90,57.65,57.72,59113,34.12,820,15820,26.76
GTOFFSHORE,EQ,2015-05-20,57.65,57.65,58.45,56.55,56.90,56.95,57.55,24695,14.21,463,8582,34.75
GTOFFSHORE,EQ,2015-05-21,56.95,57.05,57.55,56.10,56.20,56.50,57.00,21253,12.11,367,6707,31.56
GTOFFSHORE,EQ,2015-05-22,56.50,56.90,57.75,55.75,56.00,56.05,56.77,42965,24.39,630,24334,56.64
GTOFFSHORE,EQ,2015-05-25,56.05,56.60,57.10,54.85,55.00,55.25,55.91,37175,20.78,598,23296,62.67
GTOFFSHORE,EQ,2015-05-26,55.25,55.80,56.15,54.20,54.70,54.55,55.00,34146,18.78,591,11712,34.30
GTOFFSHORE,EQ,2015-05-27,54.55,54.50,54.55,52.60,53.60,53.45,53.60,62569,33.54,1008,22649,36.20
GTOFFSHORE,EQ,2015-05-28,53.45,53.85,54.70,53.15,53.60,53.55,53.85,23423,12.61,376,10135,43.27
GTOFFSHORE,EQ,2015-05-29,53.55,54.20,55.95,53.25,53.70,53.50,54.13,62187,33.66,1398,16054,25.82
