Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GUFICBIO,EQ,2014-12-03,16.65,16.50,17.15,16.50,16.95,16.90,16.92,33348,5.64,166,26577,79.70
GUFICBIO,EQ,2014-12-04,16.90,16.95,17.30,16.35,16.60,16.45,16.85,55719,9.39,346,35392,63.52
GUFICBIO,EQ,2014-12-05,16.45,16.30,16.90,16.30,16.35,16.40,16.53,41638,6.88,161,32126,77.16
GUFICBIO,EQ,2014-12-08,16.40,16.20,16.95,16.05,16.20,16.30,16.40,25708,4.22,154,22145,86.14
GUFICBIO,EQ,2014-12-09,16.30,16.25,16.50,16.00,16.15,16.15,16.21,19017,3.08,99,17850,93.86
GUFICBIO,EQ,2014-12-10,16.15,16.55,16.55,15.70,16.05,16.20,16.16,19132,3.09,150,10923,57.09
GUFICBIO,EQ,2014-12-11,16.20,16.05,16.05,15.50,15.90,15.75,15.80,44886,7.09,142,39511,88.03
GUFICBIO,EQ,2014-12-12,15.75,15.65,15.95,15.05,15.05,15.20,15.47,42386,6.56,293,30301,71.49
GUFICBIO,EQ,2014-12-15,15.20,15.20,15.40,14.50,14.90,15.05,14.76,25118,3.71,222,17501,69.68
GUFICBIO,EQ,2014-12-16,15.05,14.90,14.90,14.15,14.40,14.25,14.42,40584,5.85,261,26421,65.10
GUFICBIO,EQ,2014-12-17,14.25,13.85,14.40,13.15,13.60,13.70,13.74,42721,5.87,270,29742,69.62
GUFICBIO,EQ,2014-12-18,13.70,13.85,15.75,13.80,15.45,15.40,14.96,61764,9.24,664,26016,42.12
GUFICBIO,EQ,2014-12-19,15.40,15.40,16.45,15.40,15.50,15.50,16.01,41526,6.65,321,31530,75.93
GUFICBIO,EQ,2014-12-22,15.50,16.00,16.15,15.15,15.30,15.25,15.39,13046,2.01,127,10457,80.15
GUFICBIO,EQ,2014-12-23,15.25,15.00,15.75,14.50,14.55,14.55,14.80,18976,2.81,138,15867,83.62
GUFICBIO,EQ,2014-12-24,14.55,14.00,15.75,14.00,14.60,14.55,14.57,17179,2.50,139,12286,71.52
GUFICBIO,EQ,2014-12-26,14.55,14.25,14.80,14.25,14.60,14.45,14.54,10126,1.47,130,6877,67.91
GUFICBIO,EQ,2014-12-29,14.45,14.40,14.75,14.30,14.60,14.60,14.43,9776,1.41,85,5230,53.50
GUFICBIO,EQ,2014-12-30,14.60,15.35,15.35,14.35,14.60,14.60,14.56,11542,1.68,101,10415,90.24
GUFICBIO,EQ,2014-12-31,14.60,14.55,15.50,14.50,15.50,15.30,14.84,26124,3.88,213,18994,72.71
GUFICBIO,EQ,2015-01-01,15.30,15.95,17.25,14.50,16.70,16.90,16.35,70445,11.52,836,50628,71.87
GUFICBIO,EQ,2015-01-02,16.90,16.30,17.90,16.05,16.70,16.80,17.16,75884,13.02,873,37730,49.72
GUFICBIO,EQ,2015-01-05,16.80,17.65,17.70,16.10,16.55,16.65,16.83,33727,5.68,302,23890,70.83
GUFICBIO,EQ,2015-01-06,16.65,16.50,16.50,15.70,16.30,15.95,16.01,23517,3.77,216,16013,68.09
