Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GUJAPOLLO,EQ,2014-12-03,118.95,119.50,120.55,118.50,120.55,119.85,119.83,16181,19.39,154,14894,92.05
GUJAPOLLO,EQ,2014-12-04,119.85,119.00,120.80,118.00,120.10,120.10,119.88,16020,19.20,196,5649,35.26
GUJAPOLLO,EQ,2014-12-05,120.10,119.65,121.65,119.00,119.00,119.40,120.01,5840,7.01,197,2301,39.40
GUJAPOLLO,EQ,2014-12-08,119.40,116.40,120.90,116.00,118.80,118.00,118.34,6255,7.40,269,5166,82.59
GUJAPOLLO,EQ,2014-12-09,118.00,118.80,119.05,116.80,118.00,117.85,118.32,7448,8.81,111,6154,82.63
GUJAPOLLO,EQ,2014-12-10,117.85,117.20,120.25,116.60,116.60,117.65,117.92,2308,2.72,138,1643,71.19
GUJAPOLLO,EQ,2014-12-11,117.65,117.00,119.60,115.55,117.00,116.65,116.43,4369,5.09,164,2817,64.48
GUJAPOLLO,EQ,2014-12-12,116.65,116.95,118.65,116.10,116.25,116.85,117.38,5536,6.50,61,5121,92.50
GUJAPOLLO,EQ,2014-12-15,116.85,118.25,118.30,114.65,117.55,117.45,116.72,9486,11.07,327,5367,56.58
GUJAPOLLO,EQ,2014-12-16,117.45,117.00,117.75,111.10,113.05,113.10,113.97,2777,3.16,147,1896,68.28
GUJAPOLLO,EQ,2014-12-17,113.10,117.00,118.80,112.30,113.75,114.65,113.67,4037,4.59,251,1978,49.00
GUJAPOLLO,EQ,2014-12-18,114.65,114.55,116.60,114.10,116.00,115.75,115.25,3520,4.06,184,1031,29.29
GUJAPOLLO,EQ,2014-12-19,115.75,115.00,116.50,114.15,116.50,115.75,115.30,1980,2.28,99,1304,65.86
GUJAPOLLO,EQ,2014-12-22,115.75,119.00,119.00,114.75,115.10,115.25,116.25,2676,3.11,121,1879,70.22
GUJAPOLLO,EQ,2014-12-23,115.25,115.40,118.50,113.30,115.75,117.45,115.73,4016,4.65,186,2580,64.24
GUJAPOLLO,EQ,2014-12-24,117.45,116.00,118.50,113.85,118.00,117.90,115.76,5110,5.92,153,2990,58.51
GUJAPOLLO,EQ,2014-12-26,117.90,117.25,119.45,114.40,116.55,116.30,116.43,1752,2.04,109,833,47.55
GUJAPOLLO,EQ,2014-12-29,116.30,113.15,119.25,113.15,118.00,118.20,118.10,6077,7.18,194,5021,82.62
GUJAPOLLO,EQ,2014-12-30,118.20,119.25,123.00,117.05,120.00,120.05,120.81,7701,9.30,291,6191,80.39
GUJAPOLLO,EQ,2014-12-31,120.05,121.00,121.00,119.50,120.00,119.80,119.95,3310,3.97,42,3147,95.08
GUJAPOLLO,EQ,2015-01-01,119.80,119.10,121.00,117.35,120.05,120.00,119.63,3091,3.70,107,2133,69.01
GUJAPOLLO,EQ,2015-01-02,120.00,119.60,120.95,118.50,120.90,120.05,120.03,38463,46.17,90,38093,99.04
GUJAPOLLO,EQ,2015-01-05,120.05,121.00,144.05,118.50,144.05,144.05,138.97,408605,567.83,5117,176897,43.29
GUJAPOLLO,EQ,2015-01-06,144.05,148.40,150.90,132.95,133.60,134.20,140.63,222777,313.28,5200,53568,24.05
GUJAPOLLO,EQ,2015-01-07,134.20,134.05,142.00,133.00,139.65,139.55,137.69,65140,89.69,1848,25769,39.56
GUJAPOLLO,EQ,2015-01-08,139.55,140.00,147.00,139.65,144.80,143.05,144.03,68192,98.22,2083,38864,56.99
GUJAPOLLO,EQ,2015-01-09,143.05,145.90,157.00,139.00,149.65,150.00,151.36,123436,186.83,3156,54588,44.22
GUJAPOLLO,EQ,2015-01-12,150.00,149.00,164.50,149.00,158.00,158.70,160.01,178668,285.89,3602,68974,38.60
GUJAPOLLO,EQ,2015-01-13,158.70,158.05,160.90,152.15,154.40,153.00,157.00,36490,57.29,1058,19669,53.90
GUJAPOLLO,EQ,2015-01-14,153.00,153.60,156.85,147.70,149.45,150.15,150.69,24407,36.78,585,16635,68.16
GUJAPOLLO,EQ,2015-01-15,150.15,152.95,154.65,145.40,149.00,149.55,150.13,35959,53.98,1258,15132,42.08
GUJAPOLLO,EQ,2015-01-16,149.55,150.00,152.50,144.45,145.05,145.20,148.19,16036,23.76,503,9314,58.08
GUJAPOLLO,EQ,2015-01-19,145.20,145.00,149.85,145.00,146.00,145.95,147.11,16244,23.90,293,10669,65.68
GUJAPOLLO,EQ,2015-01-20,145.95,149.00,149.75,144.95,148.00,148.25,147.60,23424,34.57,559,12761,54.48
GUJAPOLLO,EQ,2015-01-21,148.25,144.05,148.40,143.60,143.65,144.55,145.57,10930,15.91,313,8545,78.18
GUJAPOLLO,EQ,2015-01-22,144.55,145.10,146.75,140.50,142.00,141.75,143.41,10203,14.63,430,6656,65.24
GUJAPOLLO,EQ,2015-01-23,141.75,141.00,144.00,137.50,138.95,139.45,141.54,17552,24.84,445,12106,68.97
GUJAPOLLO,EQ,2015-01-27,139.45,141.50,141.65,136.00,136.35,136.75,137.64,7521,10.35,482,5786,76.93
GUJAPOLLO,EQ,2015-01-28,136.75,136.15,136.70,131.40,132.40,132.50,133.47,10118,13.50,466,6572,64.95
GUJAPOLLO,EQ,2015-01-29,132.50,138.75,138.75,130.35,133.25,133.30,134.12,6842,9.18,230,5077,74.20
GUJAPOLLO,EQ,2015-01-30,133.30,136.00,137.85,130.70,130.70,131.35,132.61,9490,12.59,214,7830,82.51
GUJAPOLLO,EQ,2015-02-02,131.35,130.20,137.90,130.05,134.05,134.05,133.54,6827,9.12,314,4415,64.67
GUJAPOLLO,EQ,2015-02-03,134.05,133.50,136.40,132.75,134.55,134.55,134.59,3103,4.18,121,2482,79.99
GUJAPOLLO,EQ,2015-02-04,134.55,133.90,137.80,133.00,133.05,133.20,134.10,6715,9.01,192,5813,86.57
GUJAPOLLO,EQ,2015-02-05,133.20,136.80,136.80,131.00,131.00,131.45,132.46,4270,5.66,307,2955,69.20
GUJAPOLLO,EQ,2015-02-06,131.45,133.00,134.95,129.25,131.90,132.05,132.82,19937,26.48,419,11713,58.75
GUJAPOLLO,EQ,2015-02-09,132.05,150.90,150.90,130.00,133.00,132.55,133.13,11009,14.66,554,5311,48.24
GUJAPOLLO,EQ,2015-02-10,132.55,132.80,134.50,129.70,131.85,131.90,131.84,18603,24.53,465,11260,60.53
GUJAPOLLO,EQ,2015-02-11,131.90,131.50,134.90,130.15,133.30,133.80,133.54,3004,4.01,192,2342,77.96
GUJAPOLLO,EQ,2015-02-12,133.80,132.75,136.00,130.35,132.50,133.55,132.78,7717,10.25,328,4057,52.57
GUJAPOLLO,EQ,2015-02-13,133.55,133.00,137.00,131.00,133.00,133.10,132.29,4848,6.41,233,2856,58.91
GUJAPOLLO,EQ,2015-02-16,133.10,134.95,136.85,132.00,135.50,135.60,134.79,12813,17.27,234,11235,87.68
GUJAPOLLO,EQ,2015-02-18,135.60,136.00,136.05,132.95,134.50,134.60,134.42,3803,5.11,227,2203,57.93
GUJAPOLLO,EQ,2015-02-19,134.60,143.00,143.00,132.35,134.50,133.85,133.73,14642,19.58,355,10678,72.93
GUJAPOLLO,EQ,2015-02-20,133.85,133.25,135.00,133.10,134.95,134.45,134.17,5060,6.79,132,3958,78.22
GUJAPOLLO,EQ,2015-02-23,134.45,138.95,138.95,132.75,133.00,133.00,133.60,3355,4.48,77,2989,89.09
GUJAPOLLO,EQ,2015-02-24,133.00,135.90,135.90,124.10,124.95,125.50,128.29,15151,19.44,397,9803,64.70
GUJAPOLLO,EQ,2015-02-25,125.50,128.90,135.00,127.00,131.00,132.15,132.79,27525,36.55,610,9070,32.95
GUJAPOLLO,EQ,2015-02-26,132.15,133.25,135.00,129.50,135.00,132.60,132.05,3616,4.77,222,1741,48.15
GUJAPOLLO,EQ,2015-02-27,132.60,134.75,136.60,132.95,133.75,133.50,134.26,2596,3.49,147,2062,79.43
GUJAPOLLO,EQ,2015-02-28,133.50,134.00,136.90,132.60,134.05,134.65,135.11,1772,2.39,87,1083,61.12
GUJAPOLLO,EQ,2015-03-02,134.65,135.00,138.00,135.00,137.00,137.40,136.52,9216,12.58,156,8180,88.76
GUJAPOLLO,EQ,2015-03-03,137.40,139.00,144.00,139.00,142.75,142.95,140.49,336329,472.51,663,316628,94.14
GUJAPOLLO,EQ,2015-03-04,142.95,146.95,146.95,133.95,136.50,136.90,142.43,20634,29.39,370,10266,49.75
GUJAPOLLO,EQ,2015-03-05,136.90,139.95,141.70,132.40,134.00,134.15,136.10,11062,15.06,233,6824,61.69
GUJAPOLLO,EQ,2015-03-09,134.15,134.55,137.00,133.25,133.70,133.50,134.29,4727,6.35,93,3749,79.31
GUJAPOLLO,EQ,2015-03-10,133.50,137.80,137.80,131.80,132.00,132.50,133.48,6047,8.07,184,4670,77.23
GUJAPOLLO,EQ,2015-03-11,132.50,133.95,135.55,131.85,134.30,134.45,134.54,5062,6.81,111,4445,87.81
GUJAPOLLO,EQ,2015-03-12,134.45,134.00,137.00,131.10,131.10,131.85,133.81,7724,10.34,257,5350,69.26
GUJAPOLLO,EQ,2015-03-13,131.85,136.05,136.05,130.35,130.35,131.10,131.19,3306,4.34,70,2615,79.10
GUJAPOLLO,EQ,2015-03-16,131.10,131.30,133.90,126.15,126.50,127.50,129.16,6017,7.77,233,4258,70.77
GUJAPOLLO,EQ,2015-03-17,127.50,130.00,133.65,127.40,132.00,132.55,132.24,13793,18.24,438,8650,62.71
GUJAPOLLO,EQ,2015-03-18,132.55,132.00,132.80,130.50,132.00,132.35,131.93,2915,3.85,47,2711,93.00
GUJAPOLLO,EQ,2015-03-19,132.35,134.05,134.60,130.30,130.35,130.70,131.70,9546,12.57,132,7695,80.61
GUJAPOLLO,EQ,2015-03-20,130.70,129.00,130.00,126.80,128.05,129.35,127.74,7066,9.03,162,5012,70.93
GUJAPOLLO,EQ,2015-03-23,129.35,124.55,128.50,124.55,127.30,125.80,126.65,18495,23.42,339,16793,90.80
GUJAPOLLO,EQ,2015-03-24,125.80,125.00,128.60,124.25,126.10,125.20,126.03,1609,2.03,170,506,31.45
GUJAPOLLO,EQ,2015-03-25,125.20,125.10,126.90,123.15,123.55,123.65,125.26,3941,4.94,78,3676,93.28
GUJAPOLLO,EQ,2015-03-26,123.65,123.55,125.00,121.00,122.00,122.40,121.97,3900,4.76,176,2074,53.18
GUJAPOLLO,EQ,2015-03-27,122.40,126.40,126.40,120.10,121.90,120.75,121.42,3595,4.37,126,2145,59.67
GUJAPOLLO,EQ,2015-03-30,120.75,123.90,123.95,120.10,120.15,121.30,121.29,7077,8.58,99,5776,81.62
GUJAPOLLO,EQ,2015-03-31,121.30,122.00,124.75,117.65,123.00,122.70,121.75,26084,31.76,463,3703,14.20
