Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GUJFLUORO,EQ,2014-12-03,762.85,765.00,769.20,752.25,752.25,757.75,761.01,15121,115.07,811,8622,57.02
GUJFLUORO,EQ,2014-12-04,757.75,761.00,774.00,759.00,772.00,770.80,766.72,31095,238.41,1312,19166,61.64
GUJFLUORO,EQ,2014-12-05,770.80,775.00,775.00,741.10,770.00,752.20,767.18,28045,215.16,1379,17712,63.16
GUJFLUORO,EQ,2014-12-08,752.20,752.15,773.25,747.00,747.10,753.60,762.02,17439,132.89,1282,8345,47.85
GUJFLUORO,EQ,2014-12-09,753.60,753.60,757.55,716.60,727.75,721.05,735.23,14945,109.88,1021,9746,65.21
GUJFLUORO,EQ,2014-12-10,721.05,725.00,745.00,725.00,740.00,742.95,739.49,24277,179.53,1360,15270,62.90
GUJFLUORO,EQ,2014-12-11,742.95,745.00,748.00,725.00,740.45,740.80,739.04,22250,164.44,803,18150,81.57
GUJFLUORO,EQ,2014-12-12,740.80,745.15,753.85,715.00,722.00,721.65,736.83,9361,68.97,858,5786,61.81
GUJFLUORO,EQ,2014-12-15,721.65,720.00,761.95,719.95,743.50,736.60,737.55,71750,529.19,1767,57486,80.12
GUJFLUORO,EQ,2014-12-16,736.60,730.55,738.65,650.25,699.90,707.35,715.28,103772,742.26,2923,93762,90.35
GUJFLUORO,EQ,2014-12-17,707.35,709.40,724.10,685.00,700.00,699.20,702.71,43890,308.42,3980,30721,70.00
GUJFLUORO,EQ,2014-12-18,699.20,700.05,725.80,700.05,724.00,723.45,718.97,19369,139.26,1610,11376,58.73
GUJFLUORO,EQ,2014-12-19,723.45,724.00,737.90,716.00,716.00,727.35,730.27,13811,100.86,891,9829,71.17
GUJFLUORO,EQ,2014-12-22,727.35,729.55,737.90,720.00,730.00,727.20,732.96,4628,33.92,330,3256,70.35
GUJFLUORO,EQ,2014-12-23,727.20,728.00,737.75,703.20,707.00,707.65,715.88,19272,137.97,3494,10848,56.29
