Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GUJGASLTD,BE,2015-09-15,743.10,680.00,680.00,646.00,646.00,646.00,646.95,9711,62.83,257,-,-
GUJGASLTD,BE,2015-09-16,646.00,613.70,613.70,613.70,613.70,613.70,613.70,4573,28.06,90,-,-
GUJGASLTD,BE,2015-09-18,613.70,583.05,583.05,583.05,583.05,583.05,583.05,3550,20.70,129,-,-
GUJGASLTD,BE,2015-09-21,583.05,566.00,583.05,553.90,553.90,553.90,560.73,39048,218.96,803,-,-
GUJGASLTD,BE,2015-09-22,553.90,526.25,542.40,526.25,532.50,532.70,531.12,79390,421.66,5210,-,-
GUJGASLTD,BE,2015-09-23,532.70,533.00,559.30,512.20,559.30,558.70,542.73,45033,244.41,3759,-,-
GUJGASLTD,BE,2015-09-24,558.70,560.00,567.95,531.00,535.00,533.55,542.15,26019,141.06,2244,-,-
GUJGASLTD,BE,2015-09-28,533.55,540.00,540.00,509.20,518.80,517.55,520.65,101160,526.69,13087,-,-
GUJGASLTD,BE,2015-09-29,517.55,515.00,515.00,492.15,505.00,505.05,502.26,52769,265.04,4545,-,-
GUJGASLTD,BE,2015-09-30,505.05,505.05,529.95,499.00,520.00,518.60,517.67,129247,669.07,10390,-,-
GUJGASLTD,EQ,2015-10-01,518.60,530.00,536.50,480.20,484.00,486.50,502.01,515643,2588.59,26308,323633,62.76
GUJGASLTD,EQ,2015-10-05,486.50,493.25,493.25,453.20,465.00,465.45,464.81,533567,2480.09,39973,371687,69.66
GUJGASLTD,EQ,2015-10-06,465.45,468.00,483.60,460.30,462.30,463.55,471.35,161565,761.53,10623,68953,42.68
GUJGASLTD,EQ,2015-10-07,463.55,464.95,478.35,459.95,472.00,474.65,472.29,284164,1342.08,8095,207971,73.19
GUJGASLTD,EQ,2015-10-08,474.65,471.00,509.40,471.00,490.00,490.35,494.97,429912,2127.93,25069,145754,33.90
GUJGASLTD,EQ,2015-10-09,490.35,495.90,500.00,478.60,487.70,485.75,487.90,104470,509.71,6186,39599,37.90
GUJGASLTD,EQ,2015-10-12,485.75,489.00,493.80,478.50,480.00,480.25,482.25,49224,237.38,2813,23850,48.45
GUJGASLTD,EQ,2015-10-13,480.25,479.85,493.00,470.60,490.00,487.65,487.30,93789,457.04,6804,39562,42.18
GUJGASLTD,EQ,2015-10-14,487.65,491.00,503.80,486.95,490.00,492.25,495.52,117124,580.37,4916,34741,29.66
GUJGASLTD,EQ,2015-10-15,492.25,497.65,501.85,487.05,488.00,488.95,493.58,53577,264.44,2288,18474,34.48
GUJGASLTD,EQ,2015-10-16,488.95,488.00,491.80,480.30,485.45,485.55,485.50,44017,213.70,2104,21681,49.26
GUJGASLTD,EQ,2015-10-19,485.55,486.10,492.05,484.00,489.00,487.45,487.84,66892,326.33,2194,30963,46.29
GUJGASLTD,EQ,2015-10-20,487.45,489.25,500.65,484.05,493.95,494.10,492.22,99999,492.22,6139,52671,52.67
GUJGASLTD,EQ,2015-10-21,494.10,496.00,530.85,492.60,520.30,521.60,516.36,307350,1587.04,15533,114720,37.33
GUJGASLTD,EQ,2015-10-23,521.60,524.80,543.90,521.00,527.50,526.40,530.47,179262,950.94,11276,74479,41.55
GUJGASLTD,EQ,2015-10-26,526.40,526.20,530.65,521.05,526.30,526.55,526.17,87979,462.92,7086,52189,59.32
GUJGASLTD,EQ,2015-10-27,526.55,526.00,534.80,520.00,528.50,524.15,525.80,74739,392.98,6059,35066,46.92
GUJGASLTD,EQ,2015-10-28,524.15,524.00,534.20,520.20,534.20,531.20,526.77,71573,377.02,6647,45217,63.18
GUJGASLTD,EQ,2015-10-29,531.20,533.00,558.00,532.15,556.00,555.65,547.52,140909,771.50,11172,73481,52.15
GUJGASLTD,EQ,2015-10-30,555.65,560.00,564.00,543.15,557.00,555.20,553.88,97364,539.28,8367,48740,50.06
GUJGASLTD,EQ,2015-11-02,555.20,554.10,560.70,538.15,542.00,540.75,545.81,49891,272.31,4182,28046,56.21
GUJGASLTD,EQ,2015-11-03,540.75,545.60,546.90,531.95,534.55,534.70,538.37,46393,249.77,5003,28940,62.38
GUJGASLTD,EQ,2015-11-04,534.70,540.00,555.55,535.70,551.00,551.40,544.90,64826,353.24,5417,37449,57.77
GUJGASLTD,EQ,2015-11-05,551.40,557.45,561.80,544.95,557.00,556.40,554.86,56494,313.46,4485,33140,58.66
GUJGASLTD,EQ,2015-11-06,556.40,531.65,544.00,515.00,543.00,532.70,529.48,104116,551.27,7697,68806,66.09
GUJGASLTD,EQ,2015-11-09,532.70,530.00,530.00,514.65,519.90,519.70,521.19,58219,303.43,5715,45470,78.10
GUJGASLTD,EQ,2015-11-10,519.70,519.00,523.15,513.60,518.50,517.70,517.58,25318,131.04,1640,14074,55.59
GUJGASLTD,EQ,2015-11-11,517.70,520.20,523.45,504.00,521.90,518.70,519.00,3788,19.66,338,2267,59.85
GUJGASLTD,EQ,2015-11-13,518.70,507.50,535.50,507.00,513.00,514.30,516.08,47086,243.00,5078,34829,73.97
GUJGASLTD,EQ,2015-11-16,514.30,496.30,506.80,496.30,503.00,502.95,501.44,23064,115.65,1142,11168,48.42
GUJGASLTD,EQ,2015-11-17,502.95,509.45,514.00,491.60,494.00,493.05,509.20,230861,1175.55,1509,218767,94.76
GUJGASLTD,EQ,2015-11-18,493.05,497.95,502.00,473.95,479.00,481.85,490.46,27006,132.45,2121,16636,61.60
GUJGASLTD,EQ,2015-11-19,481.85,486.90,492.00,482.50,485.20,485.70,486.75,20344,99.03,1594,9653,47.45
GUJGASLTD,EQ,2015-11-20,485.70,491.00,570.00,491.00,513.00,512.40,540.66,654043,3536.12,26556,138142,21.12
GUJGASLTD,EQ,2015-11-23,512.40,514.90,553.85,513.20,544.70,544.20,536.28,245152,1314.69,11058,75698,30.88
GUJGASLTD,EQ,2015-11-24,544.20,547.50,554.95,536.00,550.00,549.45,547.84,120995,662.86,5686,40033,33.09
GUJGASLTD,EQ,2015-11-26,549.45,553.00,562.00,543.95,557.70,556.40,552.99,78631,434.82,3784,32280,41.05
GUJGASLTD,EQ,2015-11-27,556.40,562.00,562.90,548.00,560.00,558.10,557.24,56564,315.20,3107,21135,37.36
GUJGASLTD,EQ,2015-11-30,558.10,558.50,582.00,551.00,573.10,575.05,568.73,114916,653.56,5212,47392,41.24
GUJGASLTD,EQ,2015-12-01,575.05,580.25,584.00,570.00,573.00,579.10,578.23,87019,503.17,2530,54555,62.69
GUJGASLTD,EQ,2015-12-02,579.10,581.95,581.95,565.00,567.70,567.45,570.87,17675,100.90,1396,9045,51.17
GUJGASLTD,EQ,2015-12-03,567.45,570.70,570.80,546.10,549.55,551.85,560.83,41537,232.95,1381,32127,77.35
GUJGASLTD,EQ,2015-12-04,551.85,548.95,571.50,542.40,555.55,555.25,559.44,45659,255.44,2856,17045,37.33
GUJGASLTD,EQ,2015-12-07,555.25,560.00,569.50,548.00,549.95,553.40,558.56,29933,167.19,1975,12100,40.42
GUJGASLTD,EQ,2015-12-08,553.40,553.00,565.80,545.00,554.00,549.80,556.22,56652,315.11,1879,34599,61.07
GUJGASLTD,EQ,2015-12-09,549.80,552.35,554.30,533.10,534.00,535.55,540.18,21550,116.41,1475,11912,55.28
GUJGASLTD,EQ,2015-12-10,535.55,535.00,550.00,535.00,547.00,545.75,545.00,50517,275.32,2634,34776,68.84
GUJGASLTD,EQ,2015-12-11,545.75,549.00,555.00,537.00,547.50,549.10,549.03,54910,301.47,2600,34154,62.20
GUJGASLTD,EQ,2015-12-14,549.10,545.00,557.00,545.00,554.00,554.90,554.18,16397,90.87,1493,9885,60.29
GUJGASLTD,EQ,2015-12-15,554.90,546.20,574.00,543.75,571.95,571.15,564.19,87196,491.95,2635,62585,71.78
GUJGASLTD,EQ,2015-12-16,571.15,575.05,627.80,573.65,600.25,600.65,603.98,818128,4941.34,17319,491026,60.02
GUJGASLTD,EQ,2015-12-17,600.65,607.30,617.85,588.00,606.00,603.95,603.58,126458,763.27,3893,58967,46.63
GUJGASLTD,EQ,2015-12-18,603.95,608.05,609.45,588.15,590.35,590.50,598.94,58995,353.34,3484,32085,54.39
GUJGASLTD,EQ,2015-12-21,590.50,593.35,604.00,583.00,586.00,587.55,592.91,52049,308.60,4296,17258,33.16
GUJGASLTD,EQ,2015-12-22,587.55,588.00,606.75,588.00,598.00,598.40,597.70,86188,515.14,4694,52203,60.57
GUJGASLTD,EQ,2015-12-23,598.40,600.00,612.00,598.85,602.35,604.35,603.73,59308,358.06,3348,24700,41.65
GUJGASLTD,EQ,2015-12-24,604.35,606.15,609.70,597.80,600.00,600.30,600.75,44572,267.77,2021,26680,59.86
GUJGASLTD,EQ,2015-12-28,600.30,604.75,613.90,591.05,600.50,601.65,602.05,41139,247.68,3004,19184,46.63
GUJGASLTD,EQ,2015-12-29,601.65,608.00,625.00,603.00,620.00,617.65,613.48,86015,527.68,4730,36454,42.38
GUJGASLTD,EQ,2015-12-30,617.65,617.00,640.90,610.25,616.90,618.00,629.97,133221,839.25,6137,38648,29.01
GUJGASLTD,EQ,2015-12-31,618.00,618.90,644.40,615.95,621.50,624.65,631.09,145867,920.56,7190,51699,35.44
GUJGASLTD,EQ,2016-01-01,624.65,628.80,641.25,624.95,629.90,628.70,632.19,59459,375.90,2982,11614,19.53
GUJGASLTD,EQ,2016-01-04,628.70,631.00,635.00,614.10,620.00,618.55,623.94,59254,369.71,3511,33752,56.96
GUJGASLTD,EQ,2016-01-05,618.55,622.85,672.00,619.50,650.00,655.10,646.73,193198,1249.47,7871,61687,31.93
GUJGASLTD,EQ,2016-01-06,655.10,659.90,668.70,638.10,642.85,641.35,653.20,153533,1002.87,6777,55285,36.01
GUJGASLTD,EQ,2016-01-07,641.35,629.00,648.00,621.00,640.00,636.20,635.53,113346,720.34,4892,32882,29.01
GUJGASLTD,EQ,2016-01-08,636.20,644.00,677.00,640.15,640.80,644.15,656.79,277283,1821.17,13692,102678,37.03
GUJGASLTD,EQ,2016-01-11,644.15,625.50,661.80,625.50,645.00,643.55,645.41,124101,800.97,5139,16348,13.17
GUJGASLTD,EQ,2016-01-12,643.55,647.45,651.45,630.00,633.00,634.10,641.00,54209,347.48,2947,19063,35.17
GUJGASLTD,EQ,2016-01-13,634.10,639.40,640.70,582.65,606.90,607.60,616.27,87542,539.50,4703,40902,46.72
GUJGASLTD,EQ,2016-01-14,607.60,599.75,605.05,590.10,591.50,592.60,599.22,84003,503.37,2919,64315,76.56
GUJGASLTD,EQ,2016-01-15,592.60,598.55,604.95,558.35,560.00,562.05,583.91,62761,366.47,3579,29356,46.77
GUJGASLTD,EQ,2016-01-18,562.05,542.00,569.95,526.00,532.00,531.20,538.21,61995,333.66,4441,34800,56.13
GUJGASLTD,EQ,2016-01-19,531.20,544.95,549.45,532.00,543.00,542.05,541.44,51915,281.09,3316,30028,57.84
GUJGASLTD,EQ,2016-01-20,542.05,527.05,542.30,526.00,538.00,535.90,534.85,76907,411.34,2798,63236,82.22
GUJGASLTD,EQ,2016-01-21,535.90,540.05,548.40,531.00,543.95,540.70,541.10,30258,163.72,2314,17775,58.74
GUJGASLTD,EQ,2016-01-22,540.70,547.00,562.50,540.10,550.90,552.60,553.47,38842,214.98,2268,17522,45.11
GUJGASLTD,EQ,2016-01-25,552.60,550.10,574.00,550.10,572.00,566.15,566.99,35298,200.14,2161,14979,42.44
GUJGASLTD,EQ,2016-01-27,566.15,560.00,599.00,560.00,592.95,588.35,586.41,61341,359.71,3642,25140,40.98
GUJGASLTD,EQ,2016-01-28,588.35,591.80,591.95,572.30,574.00,575.25,580.10,26916,156.14,3026,14254,52.96
GUJGASLTD,EQ,2016-01-29,575.25,575.00,580.20,566.00,570.00,572.30,572.09,260787,1491.93,6559,236541,90.70
GUJGASLTD,EQ,2016-02-01,572.30,574.85,576.00,550.00,550.05,551.95,562.43,108232,608.73,2482,89998,83.15
GUJGASLTD,EQ,2016-02-02,551.95,555.00,558.00,536.10,538.00,540.90,551.95,75992,419.44,1800,62675,82.48
GUJGASLTD,EQ,2016-02-03,540.90,528.00,536.50,494.05,511.00,508.65,516.39,59771,308.65,2996,33332,55.77
GUJGASLTD,EQ,2016-02-04,508.65,514.95,561.00,514.95,535.00,530.40,539.35,105578,569.43,6771,32914,31.18
GUJGASLTD,EQ,2016-02-05,530.40,532.05,547.40,532.05,540.00,539.60,538.96,31000,167.08,2368,13531,43.65
GUJGASLTD,EQ,2016-02-08,539.60,543.45,552.00,536.00,544.00,544.30,548.08,100981,553.46,2099,77421,76.67
GUJGASLTD,EQ,2016-02-09,544.30,519.00,546.85,501.65,532.65,533.15,527.91,105207,555.39,5062,24631,23.41
GUJGASLTD,EQ,2016-02-10,533.15,529.95,543.90,529.95,533.10,533.55,535.90,28590,153.21,2576,10554,36.92
GUJGASLTD,EQ,2016-02-11,533.55,530.10,540.00,502.00,518.00,507.95,519.04,28744,149.19,2114,17007,59.17
GUJGASLTD,EQ,2016-02-12,507.95,508.00,516.00,486.00,496.15,497.00,497.40,94620,470.64,4170,81839,86.49
GUJGASLTD,EQ,2016-02-15,497.00,500.00,530.00,500.00,524.00,521.60,521.61,25646,133.77,2784,11031,43.01
GUJGASLTD,EQ,2016-02-16,521.60,525.00,529.90,509.70,511.95,510.90,513.98,14734,75.73,1345,6804,46.18
GUJGASLTD,EQ,2016-02-17,510.90,510.00,528.60,509.00,528.00,525.00,517.00,22670,117.20,1829,14026,61.87
GUJGASLTD,EQ,2016-02-18,525.00,527.00,543.00,527.00,531.50,536.50,535.30,36261,194.11,2593,17473,48.19
GUJGASLTD,EQ,2016-02-19,536.50,539.00,539.00,521.75,532.00,532.80,532.08,9027,48.03,987,4743,52.54
GUJGASLTD,EQ,2016-02-22,532.80,532.00,539.90,525.00,525.75,528.10,530.10,14015,74.29,848,10495,74.88
GUJGASLTD,EQ,2016-02-23,528.10,540.10,541.70,520.00,530.00,529.90,532.46,31272,166.51,2460,21289,68.08
GUJGASLTD,EQ,2016-02-24,529.90,529.00,532.15,511.00,517.45,518.50,520.16,13378,69.59,1300,8874,66.33
GUJGASLTD,EQ,2016-02-25,518.50,518.00,526.95,492.50,500.00,500.10,501.57,30955,155.26,2072,23097,74.61
GUJGASLTD,EQ,2016-02-26,500.10,511.00,511.00,490.00,490.00,491.80,494.94,10416,51.55,1269,6073,58.30
GUJGASLTD,EQ,2016-02-29,491.80,492.00,498.20,478.00,478.05,481.15,484.59,20893,101.25,2188,13195,63.16
GUJGASLTD,EQ,2016-03-01,481.15,481.15,505.00,481.15,491.95,493.10,489.59,72118,353.08,1919,59684,82.76
GUJGASLTD,EQ,2016-03-02,493.10,496.15,507.35,486.00,488.50,489.45,496.11,39112,194.04,4506,25111,64.20
GUJGASLTD,EQ,2016-03-03,489.45,489.00,507.00,489.00,498.00,498.20,495.28,105812,524.07,2453,85953,81.23
GUJGASLTD,EQ,2016-03-04,498.20,500.00,508.95,498.50,499.05,500.65,500.91,64530,323.24,1414,52530,81.40
GUJGASLTD,EQ,2016-03-08,500.65,500.00,530.80,497.10,506.30,506.15,513.76,63658,327.05,3703,23896,37.54
GUJGASLTD,EQ,2016-03-09,506.15,500.20,509.80,498.75,503.50,504.50,503.19,25576,128.70,1588,12450,48.68
GUJGASLTD,EQ,2016-03-10,504.50,512.00,512.00,502.00,510.00,507.00,507.02,71231,361.15,1183,58462,82.07
GUJGASLTD,EQ,2016-03-11,507.00,510.00,515.00,502.30,505.85,508.70,508.94,52902,269.24,1847,30804,58.23
GUJGASLTD,EQ,2016-03-14,508.70,510.70,512.00,500.00,501.00,501.25,504.81,28158,142.14,1193,14296,50.77
GUJGASLTD,EQ,2016-03-15,501.25,502.00,510.00,499.85,503.00,500.55,501.26,48623,243.73,4470,29216,60.09
GUJGASLTD,EQ,2016-03-16,500.55,500.10,506.80,500.00,503.95,502.95,501.60,17331,86.93,3124,9213,53.16
GUJGASLTD,EQ,2016-03-17,502.95,505.00,569.00,505.00,524.90,526.10,542.61,282366,1532.14,12289,67884,24.04
GUJGASLTD,EQ,2016-03-18,526.10,526.00,535.50,503.05,521.35,520.20,519.45,62296,323.60,4291,21421,34.39
GUJGASLTD,EQ,2016-03-21,520.20,520.00,539.00,520.00,530.00,527.70,530.08,33250,176.25,1924,11599,34.88
GUJGASLTD,EQ,2016-03-22,527.70,518.05,549.50,518.05,548.00,544.90,537.53,84833,456.01,3628,29455,34.72
GUJGASLTD,EQ,2016-03-23,544.90,549.20,549.20,523.05,527.00,528.10,531.71,33960,180.57,1574,17793,52.39
GUJGASLTD,EQ,2016-03-28,528.10,531.60,533.60,512.90,523.95,523.25,523.23,18677,97.72,1440,10042,53.77
GUJGASLTD,EQ,2016-03-29,523.25,523.25,538.80,520.50,535.00,534.85,530.73,28469,151.09,2545,14797,51.98
GUJGASLTD,EQ,2016-03-30,534.85,534.00,543.00,530.65,531.95,534.25,537.78,14976,80.54,1453,6182,41.28
GUJGASLTD,EQ,2016-03-31,534.25,536.00,565.00,536.00,552.00,552.55,553.63,240828,1333.30,10264,166435,69.11
GUJGASLTD,EQ,2016-04-01,552.55,546.95,556.20,536.35,540.00,540.35,541.84,44239,239.70,2426,31978,72.28
GUJGASLTD,EQ,2016-04-04,540.35,544.00,544.05,533.00,538.00,539.95,539.77,6310,34.06,554,2192,34.74
GUJGASLTD,EQ,2016-04-05,539.95,535.00,551.50,533.10,535.55,538.75,541.78,20334,110.17,2899,6297,30.97
GUJGASLTD,EQ,2016-04-06,538.75,539.95,548.00,531.00,542.00,540.25,537.83,44862,241.28,2204,31172,69.48
GUJGASLTD,EQ,2016-04-07,540.25,545.00,547.00,530.40,535.00,533.15,537.96,13062,70.27,1038,3913,29.96
GUJGASLTD,EQ,2016-04-08,533.15,537.00,541.20,530.60,536.00,534.40,534.93,8673,46.39,1137,4080,47.04
