Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HAVELLS,EQ,2014-12-03,321.25,325.40,337.75,325.40,332.10,332.45,333.76,2693692,8990.47,37618,722730,26.83
HAVELLS,EQ,2014-12-04,332.45,335.00,335.80,324.60,327.25,326.85,327.21,1292586,4229.50,27362,609597,47.16
HAVELLS,EQ,2014-12-05,326.85,328.45,328.60,318.10,318.75,320.40,322.98,810222,2616.87,17394,387914,47.88
HAVELLS,EQ,2014-12-08,320.40,321.45,326.90,317.00,322.70,322.30,322.86,1541130,4975.73,37494,598004,38.80
HAVELLS,EQ,2014-12-09,322.30,322.60,335.85,322.60,335.40,333.25,331.99,4244989,14092.90,58434,2594664,61.12
HAVELLS,EQ,2014-12-10,333.25,334.00,346.90,307.75,309.25,310.20,326.62,8401293,27440.31,103082,2947928,35.09
HAVELLS,EQ,2014-12-11,310.20,303.85,303.85,278.65,280.30,280.40,287.91,14171314,40801.16,229301,6172621,43.56
HAVELLS,EQ,2014-12-12,280.40,282.00,284.00,262.40,264.60,265.80,270.46,22548392,60984.75,247075,8993801,39.89
HAVELLS,EQ,2014-12-15,265.80,262.70,271.80,260.65,268.10,267.90,268.04,5490530,14717.05,79962,1720783,31.34
HAVELLS,EQ,2014-12-16,267.90,267.00,269.45,250.00,254.90,252.95,258.74,3922082,10147.90,55570,1290455,32.90
HAVELLS,EQ,2014-12-17,252.95,254.90,268.50,251.00,260.00,259.75,259.15,5141621,13324.61,85624,1675029,32.58
HAVELLS,EQ,2014-12-18,259.75,267.80,271.00,261.95,267.50,269.45,268.89,8975744,24135.25,57557,6136972,68.37
HAVELLS,EQ,2014-12-19,269.45,270.90,272.45,265.50,269.15,268.35,269.23,4303928,11587.41,77664,1882324,43.74
HAVELLS,EQ,2014-12-22,268.35,265.70,271.35,265.35,268.60,269.40,269.22,2044300,5503.71,24920,648400,31.72
HAVELLS,EQ,2014-12-23,269.40,268.20,274.85,266.60,267.80,268.05,271.10,3622050,9819.28,38194,1099348,30.35
