Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HBLPOWER,EQ,2014-12-03,26.95,27.00,27.20,26.25,26.70,26.85,26.81,420312,112.68,1216,299778,71.32
HBLPOWER,EQ,2014-12-04,26.85,27.00,30.60,26.65,26.90,26.95,28.22,3647491,1029.32,11240,1907788,52.30
HBLPOWER,EQ,2014-12-05,26.95,27.70,31.00,26.80,29.30,29.25,29.08,6056581,1761.18,21066,3032848,50.08
HBLPOWER,EQ,2014-12-08,29.25,29.85,34.50,29.65,33.05,33.60,32.46,5245722,1702.84,13435,2400008,45.75
HBLPOWER,EQ,2014-12-09,33.60,33.40,35.50,32.10,33.35,33.65,34.07,4366399,1487.54,17111,1628278,37.29
HBLPOWER,EQ,2014-12-10,33.65,33.65,34.25,32.65,33.20,33.25,33.55,1573353,527.90,5279,806369,51.25
HBLPOWER,EQ,2014-12-11,33.25,32.95,33.30,32.10,32.50,32.50,32.69,1040567,340.14,3416,500419,48.09
HBLPOWER,EQ,2014-12-12,32.50,32.85,33.00,29.35,30.10,29.80,31.00,1890063,585.98,5917,1056604,55.90
HBLPOWER,EQ,2014-12-15,29.80,30.00,31.95,28.95,30.85,30.65,30.72,1381740,424.45,4455,685134,49.58
HBLPOWER,EQ,2014-12-16,30.65,30.35,30.70,27.60,28.30,28.10,28.36,1298314,368.23,3403,786200,60.56
HBLPOWER,EQ,2014-12-17,28.10,27.80,28.95,25.75,27.40,27.55,27.47,1154476,317.12,3220,567098,49.12
HBLPOWER,EQ,2014-12-18,27.55,28.10,29.70,27.80,29.30,29.30,28.67,1347846,386.49,3786,708524,52.57
HBLPOWER,EQ,2014-12-19,29.30,29.30,32.20,29.30,32.20,32.15,31.39,2267323,711.81,4752,1197700,52.82
HBLPOWER,EQ,2014-12-22,32.15,32.40,32.90,30.70,32.10,32.15,32.02,2892934,926.41,5625,1960076,67.75
HBLPOWER,EQ,2014-12-23,32.15,32.25,33.50,31.65,32.50,32.30,32.30,2682490,866.48,13762,1931024,71.99
HBLPOWER,EQ,2014-12-24,32.30,32.30,32.85,31.65,32.50,32.20,32.08,2193459,703.68,3733,1712167,78.06
