Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HCC,EQ,2014-12-03,30.45,30.25,33.25,30.20,32.85,32.50,31.87,6425944,2047.79,15139,2353420,36.62
HCC,EQ,2014-12-04,32.50,33.00,33.30,32.20,32.40,32.45,32.78,5702895,1869.21,16444,1896476,33.25
HCC,EQ,2014-12-05,32.45,32.25,34.80,32.25,33.75,33.80,33.69,10911610,3675.65,26624,2594016,23.77
HCC,EQ,2014-12-08,33.80,33.70,33.80,31.75,32.05,31.90,32.72,3301779,1080.42,10322,1398204,42.35
HCC,EQ,2014-12-09,31.90,31.70,32.30,30.65,30.90,31.00,31.25,3554333,1110.56,11618,1624978,45.72
HCC,EQ,2014-12-10,31.00,30.75,31.40,30.60,30.90,31.00,31.02,2250388,697.97,7304,869453,38.64
HCC,EQ,2014-12-11,31.00,30.75,31.00,30.05,30.30,30.25,30.40,2066367,628.23,6865,705412,34.14
HCC,EQ,2014-12-12,30.25,30.65,31.30,29.55,29.90,29.90,30.49,2576355,785.46,9136,954363,37.04
HCC,EQ,2014-12-15,29.90,29.40,30.40,29.15,29.65,29.70,29.78,2245660,668.75,8244,974986,43.42
HCC,EQ,2014-12-16,29.70,29.50,30.10,27.10,27.30,27.40,28.60,3928942,1123.87,11741,1789069,45.54
HCC,EQ,2014-12-17,27.40,27.10,27.90,25.80,27.10,27.10,26.94,3024574,814.88,11028,1031045,34.09
HCC,EQ,2014-12-18,27.10,27.40,29.25,27.40,29.25,28.95,28.62,4990154,1428.31,9492,2910004,58.31
HCC,EQ,2014-12-19,28.95,29.35,30.35,28.20,28.60,28.60,29.45,5022275,1479.13,12668,1959398,39.01
HCC,EQ,2014-12-22,28.60,29.00,30.25,28.50,29.85,29.75,29.22,6374588,1862.55,11601,4089157,64.15
HCC,EQ,2014-12-23,29.75,29.60,29.85,28.65,28.90,28.80,29.13,1797582,523.72,5787,963495,53.60
HCC,EQ,2014-12-24,28.80,28.80,29.70,28.60,29.20,29.15,29.15,1902718,554.64,7540,628189,33.02
HCC,EQ,2014-12-26,29.15,29.10,29.35,28.35,28.70,28.70,28.76,2265995,651.70,6845,1407352,62.11
HCC,EQ,2014-12-29,28.70,28.70,29.50,28.70,29.15,29.10,29.19,1649317,481.39,5435,690546,41.87
HCC,EQ,2014-12-30,29.10,29.45,29.75,29.10,29.20,29.25,29.32,2305103,675.96,7937,1122887,48.71
