Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HCG,EQ,2016-03-30,218.00,210.20,211.90,169.10,170.25,171.00,182.34,11075297,20194.57,157677,2408419,21.75
HCG,EQ,2016-03-31,171.00,169.70,182.60,167.45,178.30,178.55,177.50,3889314,6903.39,94270,976572,25.11
HCG,EQ,2016-04-01,178.55,178.10,178.35,174.55,174.90,175.10,176.25,654755,1154.03,19154,198434,30.31
HCG,EQ,2016-04-04,175.10,175.35,181.75,175.35,180.55,181.10,179.13,684713,1226.51,14478,289050,42.21
HCG,EQ,2016-04-05,181.10,180.00,182.45,178.40,181.40,181.30,180.70,551824,997.15,14239,279057,50.57
HCG,EQ,2016-04-06,181.30,181.40,184.80,178.20,181.35,181.90,182.55,363208,663.05,13629,159274,43.85
HCG,EQ,2016-04-07,181.90,183.00,184.05,178.30,180.55,179.40,181.37,197891,358.91,3444,86846,43.89
HCG,EQ,2016-04-08,179.40,179.00,183.75,178.40,182.20,182.15,181.08,210583,381.32,2794,112233,53.30
HCG,EQ,2016-04-11,182.15,182.55,183.80,179.55,182.90,183.00,182.53,236005,430.78,2603,168344,71.33
HCG,EQ,2016-04-12,183.00,183.20,193.10,181.55,191.90,192.00,188.25,532476,1002.36,14047,243709,45.77
HCG,EQ,2016-04-13,192.00,193.00,196.40,190.00,190.60,190.35,193.64,210892,408.37,4990,97520,46.24
HCG,EQ,2016-04-18,190.35,191.25,195.45,189.35,193.00,193.50,192.29,131270,252.42,4004,57371,43.70
HCG,EQ,2016-04-20,193.50,189.00,193.90,186.05,186.95,187.15,190.02,71199,135.29,1944,32838,46.12
HCG,EQ,2016-04-21,187.15,187.70,194.90,187.50,191.00,192.30,191.86,212188,407.10,5828,140227,66.09
HCG,EQ,2016-04-22,192.30,191.75,192.30,189.40,192.00,191.40,191.04,228351,436.24,1265,208537,91.32
HCG,EQ,2016-04-25,191.40,192.95,194.90,185.65,186.60,187.30,189.98,51234,97.34,1492,26662,52.04
HCG,EQ,2016-04-26,187.30,187.00,188.80,181.05,181.50,181.80,184.95,100722,186.29,2340,70148,69.65
HCG,EQ,2016-04-27,181.80,182.00,186.35,181.00,183.65,184.00,184.46,93991,173.38,3091,50053,53.25
HCG,EQ,2016-04-28,184.00,182.10,186.80,182.10,185.70,184.60,185.10,154547,286.06,1834,121556,78.65
HCG,EQ,2016-04-29,184.60,183.50,185.90,182.00,183.50,183.30,183.65,40000,73.46,1347,27128,67.82
HCG,EQ,2016-05-02,183.30,180.00,184.55,180.00,180.50,181.20,182.06,134855,245.51,742,122982,91.20
HCG,EQ,2016-05-03,181.20,181.45,186.70,181.00,184.10,184.90,184.29,65876,121.40,1534,39362,59.75
HCG,EQ,2016-05-04,184.90,184.00,185.90,181.00,182.00,181.90,182.30,44016,80.24,924,32339,73.47
HCG,EQ,2016-05-05,181.90,182.00,184.10,180.10,180.80,180.55,181.60,22564,40.98,783,13610,60.32
HCG,EQ,2016-05-06,180.55,180.00,182.80,180.00,182.00,181.65,181.54,44170,80.19,2226,28344,64.17
HCG,EQ,2016-05-09,181.65,181.00,183.95,180.10,180.40,180.70,181.90,27833,50.63,893,21175,76.08
HCG,EQ,2016-05-10,180.70,180.30,182.00,178.95,180.50,179.80,180.07,41021,73.87,1624,28209,68.77
HCG,EQ,2016-05-11,179.80,178.00,180.80,175.25,177.00,176.25,177.50,41255,73.23,1331,29629,71.82
HCG,EQ,2016-05-12,176.25,177.70,179.25,176.05,178.50,178.60,178.21,33100,58.99,1782,23117,69.84
HCG,EQ,2016-05-13,178.60,177.50,207.00,176.00,204.95,195.00,185.40,464376,860.97,5322,371531,80.01
HCG,EQ,2016-05-16,195.00,199.90,201.70,186.80,191.00,190.50,192.14,145253,279.09,6463,77055,53.05
HCG,EQ,2016-05-17,190.50,190.80,194.00,188.00,188.00,189.45,191.48,44264,84.76,1988,19781,44.69
HCG,EQ,2016-05-18,189.45,187.80,190.90,186.60,187.30,187.45,189.10,20961,39.64,557,10676,50.93
HCG,EQ,2016-05-19,187.45,187.00,189.00,183.00,183.45,184.05,185.73,20343,37.78,667,10618,52.19
HCG,EQ,2016-05-20,184.05,185.05,185.50,180.10,180.10,180.80,181.89,17715,32.22,634,11431,64.53
HCG,EQ,2016-05-23,180.80,181.90,182.90,178.10,180.00,180.05,180.48,15249,27.52,814,8670,56.86
HCG,EQ,2016-05-24,180.05,180.75,181.45,173.55,180.05,180.15,179.67,18674,33.55,546,13367,71.58
HCG,EQ,2016-05-25,180.15,181.20,185.00,180.10,184.30,183.50,183.15,21102,38.65,829,11963,56.69
HCG,EQ,2016-05-26,183.50,183.90,188.50,182.00,183.00,183.55,185.07,28788,53.28,1076,13154,45.69
