Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HEIDELBERG,EQ,2014-12-03,82.95,83.00,86.50,82.95,86.00,86.00,85.40,545445,465.83,1823,431032,79.02
HEIDELBERG,EQ,2014-12-04,86.00,86.00,86.85,84.50,86.00,86.00,85.73,172137,147.58,1445,116673,67.78
HEIDELBERG,EQ,2014-12-05,86.00,86.85,90.90,86.20,90.70,89.90,89.14,470029,419.01,2847,305451,64.99
HEIDELBERG,EQ,2014-12-08,89.90,90.75,90.75,86.55,86.65,86.80,87.89,1219850,1072.16,4988,1063128,87.15
HEIDELBERG,EQ,2014-12-09,86.80,87.00,88.15,83.05,83.70,83.70,85.85,296673,254.70,1732,204552,68.95
HEIDELBERG,EQ,2014-12-10,83.70,83.90,86.35,83.00,85.15,85.40,85.11,103838,88.38,820,64621,62.23
HEIDELBERG,EQ,2014-12-11,85.40,85.00,85.00,82.05,82.20,82.25,82.83,266130,220.44,1435,180308,67.75
HEIDELBERG,EQ,2014-12-12,82.25,83.05,83.60,80.30,80.40,80.60,81.57,142437,116.19,1123,96321,67.62
HEIDELBERG,EQ,2014-12-15,80.60,80.00,81.20,78.00,78.85,79.15,79.63,142338,113.34,1171,90366,63.49
HEIDELBERG,EQ,2014-12-16,79.15,79.95,80.00,75.00,75.90,75.90,77.06,151299,116.59,1208,101598,67.15
HEIDELBERG,EQ,2014-12-17,75.90,75.10,76.70,70.50,73.00,72.80,73.36,196253,143.97,1584,118900,60.59
HEIDELBERG,EQ,2014-12-18,72.80,76.25,78.60,75.05,77.00,77.25,76.80,116397,89.40,1040,69204,59.46
HEIDELBERG,EQ,2014-12-19,77.25,78.00,80.90,78.00,78.50,78.75,79.67,168952,134.60,1012,101245,59.93
HEIDELBERG,EQ,2014-12-22,78.75,79.60,80.10,78.00,79.10,78.85,79.06,106185,83.95,760,61827,58.23
HEIDELBERG,EQ,2014-12-23,78.85,79.20,84.60,78.50,80.55,80.70,81.62,385109,314.35,4377,191778,49.80
HEIDELBERG,EQ,2014-12-24,80.70,81.50,84.00,81.50,81.75,81.95,82.45,224715,185.28,1546,106261,47.29
HEIDELBERG,EQ,2014-12-26,81.95,82.75,83.40,81.10,81.55,81.50,81.94,83726,68.60,712,41656,49.75
HEIDELBERG,EQ,2014-12-29,81.50,82.30,82.70,81.15,81.90,81.80,81.98,98328,80.61,615,66450,67.58
HEIDELBERG,EQ,2014-12-30,81.80,82.50,84.00,80.90,81.15,81.55,82.12,1362441,1118.78,2022,1206854,88.58
