Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDCOMPOS,EQ,2014-12-03,801.00,800.00,819.95,800.00,805.00,805.00,802.31,102,0.82,5,101,99.02
HINDCOMPOS,EQ,2014-12-04,805.00,801.00,815.20,791.00,800.00,800.00,795.44,217,1.73,10,206,94.93
HINDCOMPOS,EQ,2014-12-05,800.00,800.00,820.00,785.25,800.00,805.85,811.92,56,0.45,13,54,96.43
HINDCOMPOS,EQ,2014-12-08,805.85,824.00,967.00,824.00,967.00,942.95,908.32,2135,19.39,249,1120,52.46
HINDCOMPOS,EQ,2014-12-09,942.95,975.00,999.00,928.00,936.05,935.55,977.23,1131,11.05,151,721,63.75
HINDCOMPOS,EQ,2014-12-10,935.55,989.00,989.00,911.00,985.00,969.65,955.79,283,2.70,30,120,42.40
HINDCOMPOS,EQ,2014-12-11,969.65,975.00,980.00,950.00,970.00,970.00,969.10,388,3.76,40,199,51.29
HINDCOMPOS,EQ,2014-12-12,970.00,950.00,1164.00,930.00,1164.00,1160.50,1094.25,3246,35.52,248,1282,39.49
HINDCOMPOS,EQ,2014-12-15,1160.50,1225.00,1264.90,1185.00,1248.75,1230.45,1234.50,5155,63.64,480,1733,33.62
HINDCOMPOS,EQ,2014-12-16,1230.45,1228.00,1228.00,1107.45,1107.45,1107.45,1128.31,688,7.76,105,529,76.89
HINDCOMPOS,EQ,2014-12-17,1107.45,1060.00,1080.00,996.75,997.00,1009.75,1023.68,546,5.59,95,322,58.97
HINDCOMPOS,EQ,2014-12-18,1009.75,1070.00,1099.90,940.00,1088.00,1075.20,1033.37,726,7.50,133,303,41.74
HINDCOMPOS,EQ,2014-12-19,1075.20,1065.00,1100.00,1030.00,1030.00,1056.40,1062.93,123,1.31,31,76,61.79
HINDCOMPOS,EQ,2014-12-22,1056.40,1099.00,1099.00,960.00,978.40,1010.40,1013.19,457,4.63,57,131,28.67
HINDCOMPOS,EQ,2014-12-23,1010.40,1010.40,1010.40,973.00,973.00,976.55,986.00,119,1.17,26,100,84.03
HINDCOMPOS,EQ,2014-12-24,976.55,951.20,994.00,943.95,980.00,964.65,961.53,810,7.79,54,487,60.12
HINDCOMPOS,EQ,2014-12-26,964.65,953.05,1061.10,953.05,1061.10,1061.10,1050.51,749,7.87,48,707,94.39
HINDCOMPOS,EQ,2014-12-29,1061.10,1070.00,1167.20,1070.00,1167.20,1167.20,1156.70,985,11.39,133,593,60.20
HINDCOMPOS,EQ,2014-12-30,1167.20,1187.00,1279.00,1150.00,1190.00,1188.25,1219.52,2418,29.49,449,1078,44.58
HINDCOMPOS,EQ,2014-12-31,1188.25,1230.00,1300.00,1200.10,1245.00,1260.20,1260.20,1317,16.60,181,773,58.69
HINDCOMPOS,EQ,2015-01-01,1260.20,1260.00,1260.20,1200.00,1225.00,1225.00,1232.10,306,3.77,68,211,68.95
HINDCOMPOS,EQ,2015-01-02,1225.00,1200.30,1233.40,1164.00,1198.95,1185.20,1189.76,588,7.00,73,458,77.89
HINDCOMPOS,EQ,2015-01-05,1185.20,1180.10,1224.40,1142.05,1195.00,1171.60,1174.51,398,4.67,78,294,73.87
HINDCOMPOS,EQ,2015-01-06,1171.60,1116.30,1169.40,1113.05,1120.00,1121.70,1125.46,226,2.54,58,119,52.65
HINDCOMPOS,EQ,2015-01-07,1121.70,1120.40,1177.00,1101.50,1101.55,1121.30,1137.10,303,3.45,36,128,42.24
HINDCOMPOS,EQ,2015-01-08,1121.30,1122.40,1154.00,1100.10,1100.10,1114.50,1114.59,107,1.19,18,91,85.05
HINDCOMPOS,EQ,2015-01-09,1114.50,1101.40,1140.00,1080.10,1125.00,1128.05,1130.17,514,5.81,47,456,88.72
HINDCOMPOS,EQ,2015-01-12,1128.05,1120.00,1159.95,1105.00,1149.40,1151.20,1142.19,49,0.56,25,14,28.57
HINDCOMPOS,EQ,2015-01-13,1151.20,1120.00,1178.00,1102.30,1145.50,1145.50,1146.48,138,1.58,22,96,69.57
HINDCOMPOS,EQ,2015-01-14,1145.50,1150.40,1172.00,1149.90,1172.00,1152.75,1150.47,299,3.44,41,251,83.95
HINDCOMPOS,EQ,2015-01-15,1152.75,1152.75,1156.40,1127.00,1130.00,1137.95,1136.51,240,2.73,48,197,82.08
HINDCOMPOS,EQ,2015-01-16,1137.95,1130.40,1166.90,1086.30,1146.00,1109.80,1118.64,99,1.11,24,52,52.53
HINDCOMPOS,EQ,2015-01-19,1109.80,1165.25,1165.25,1165.25,1165.25,1165.25,1165.25,261,3.04,18,261,100.00
HINDCOMPOS,EQ,2015-01-20,1165.25,1223.50,1223.50,1223.50,1223.50,1223.50,1223.50,289,3.54,18,289,100.00
HINDCOMPOS,EQ,2015-01-21,1223.50,1284.65,1284.65,1236.00,1284.65,1284.65,1280.31,7053,90.30,235,2176,30.85
HINDCOMPOS,EQ,2015-01-22,1284.65,1348.85,1348.85,1226.30,1348.85,1348.85,1337.61,1520,20.33,132,1006,66.18
HINDCOMPOS,EQ,2015-01-23,1348.85,1405.00,1416.25,1370.00,1391.10,1395.25,1397.14,3007,42.01,340,2195,73.00
HINDCOMPOS,EQ,2015-01-27,1395.25,1424.00,1429.95,1330.00,1410.00,1387.40,1393.59,1262,17.59,122,1088,86.21
HINDCOMPOS,EQ,2015-01-28,1387.40,1399.90,1399.90,1332.00,1360.00,1352.05,1352.55,427,5.78,45,323,75.64
HINDCOMPOS,EQ,2015-01-29,1352.05,1388.00,1388.00,1310.00,1320.00,1348.05,1330.99,270,3.59,55,129,47.78
HINDCOMPOS,EQ,2015-01-30,1348.05,1375.00,1375.00,1311.20,1318.25,1335.95,1339.28,232,3.11,51,139,59.91
HINDCOMPOS,EQ,2015-02-02,1335.95,1330.00,1394.70,1330.00,1384.00,1380.75,1357.96,308,4.18,57,259,84.09
HINDCOMPOS,EQ,2015-02-03,1380.75,1337.40,1374.90,1337.40,1365.00,1362.60,1349.32,152,2.05,17,93,61.18
HINDCOMPOS,EQ,2015-02-04,1362.60,1355.80,1377.60,1331.00,1373.00,1372.20,1363.34,140,1.91,39,104,74.29
HINDCOMPOS,EQ,2015-02-05,1372.20,1342.40,1379.00,1305.00,1305.00,1312.00,1338.90,372,4.98,55,314,84.41
HINDCOMPOS,EQ,2015-02-06,1312.00,1315.00,1359.90,1233.60,1260.00,1262.25,1290.04,436,5.62,84,356,81.65
HINDCOMPOS,EQ,2015-02-09,1262.25,1260.00,1295.00,1260.00,1270.00,1289.55,1285.31,63,0.81,14,62,98.41
HINDCOMPOS,EQ,2015-02-10,1289.55,1300.00,1300.00,1260.00,1295.00,1295.00,1278.15,156,1.99,57,128,82.05
HINDCOMPOS,EQ,2015-02-11,1295.00,1253.00,1350.00,1250.00,1320.00,1320.00,1324.99,260,3.44,36,121,46.54
HINDCOMPOS,EQ,2015-02-12,1320.00,1349.00,1360.00,1301.10,1304.00,1305.75,1324.87,83,1.10,37,61,73.49
HINDCOMPOS,EQ,2015-02-13,1305.75,1304.00,1307.00,1216.00,1248.00,1251.40,1253.00,316,3.96,83,204,64.56
HINDCOMPOS,EQ,2015-02-16,1251.40,1281.00,1281.00,1233.60,1241.00,1241.00,1252.59,83,1.04,17,71,85.54
HINDCOMPOS,EQ,2015-02-18,1241.00,1236.20,1239.00,1171.40,1171.40,1179.85,1207.22,331,4.00,70,286,86.40
HINDCOMPOS,EQ,2015-02-19,1179.85,1145.50,1186.00,1135.00,1160.00,1164.35,1154.92,211,2.44,62,152,72.04
HINDCOMPOS,EQ,2015-02-20,1164.35,1116.40,1126.00,1077.30,1113.00,1113.15,1103.72,744,8.21,178,452,60.75
HINDCOMPOS,EQ,2015-02-23,1113.15,1113.15,1224.45,1083.00,1224.45,1221.10,1186.47,894,10.61,220,512,57.27
HINDCOMPOS,EQ,2015-02-24,1221.10,1300.00,1343.20,1236.00,1343.20,1343.20,1328.25,1644,21.84,357,843,51.28
HINDCOMPOS,EQ,2015-02-25,1343.20,1394.00,1450.00,1355.00,1375.00,1369.80,1395.41,1474,20.57,248,905,61.40
HINDCOMPOS,EQ,2015-02-26,1369.80,1400.00,1400.00,1255.00,1270.00,1265.10,1298.70,820,10.65,192,522,63.66
HINDCOMPOS,EQ,2015-02-27,1265.10,1309.00,1310.00,1240.00,1260.00,1273.55,1276.07,483,6.16,67,336,69.57
HINDCOMPOS,EQ,2015-02-28,1273.55,1373.90,1373.90,1260.00,1284.00,1287.05,1283.63,102,1.31,24,34,33.33
HINDCOMPOS,EQ,2015-03-02,1287.05,1241.00,1297.00,1240.00,1250.10,1274.10,1257.45,192,2.41,49,152,79.17
HINDCOMPOS,EQ,2015-03-03,1274.10,1261.40,1287.00,1250.00,1270.00,1255.20,1261.35,184,2.32,32,162,88.04
