Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDSYNTEX,EQ,2014-12-03,10.90,11.95,11.95,10.55,11.00,11.95,11.92,2051,0.24,9,951,46.37
HINDSYNTEX,EQ,2014-12-05,11.95,11.15,12.00,11.15,11.60,11.60,11.61,405,0.05,5,405,100.00
HINDSYNTEX,EQ,2014-12-08,11.60,12.65,12.75,11.50,12.75,12.75,12.67,5875,0.74,20,4272,72.71
HINDSYNTEX,EQ,2014-12-09,12.75,13.75,13.75,11.95,12.00,12.00,12.14,340,0.04,5,335,98.53
HINDSYNTEX,EQ,2014-12-10,12.00,12.50,12.60,11.80,11.80,11.80,12.23,300,0.04,7,300,100.00
HINDSYNTEX,EQ,2014-12-11,11.80,11.85,11.85,11.00,11.05,11.05,11.64,2400,0.28,8,2400,100.00
HINDSYNTEX,EQ,2014-12-12,11.05,11.00,11.85,11.00,11.85,11.85,11.81,4436,0.52,4,4436,100.00
HINDSYNTEX,EQ,2014-12-15,11.85,12.95,12.95,11.90,12.05,12.00,12.01,1270,0.15,10,1270,100.00
HINDSYNTEX,EQ,2014-12-16,12.00,12.00,12.00,11.15,11.50,11.50,11.73,240,0.03,5,240,100.00
HINDSYNTEX,EQ,2014-12-18,11.50,10.70,12.35,10.70,12.35,12.35,10.77,24,0.00,2,24,100.00
HINDSYNTEX,EQ,2014-12-19,12.35,12.55,13.55,12.30,13.55,12.90,13.23,5855,0.77,30,4752,81.16
HINDSYNTEX,EQ,2014-12-22,12.90,13.40,13.40,13.40,13.40,13.40,13.40,1000,0.13,3,1000,100.00
HINDSYNTEX,EQ,2014-12-23,13.40,12.40,13.70,12.40,12.75,12.75,12.65,3086,0.39,5,3081,99.84
HINDSYNTEX,EQ,2014-12-24,12.75,12.90,13.50,11.95,13.50,13.45,13.02,2429,0.32,12,2329,95.88
HINDSYNTEX,EQ,2014-12-26,13.45,13.30,14.10,13.00,13.00,13.00,13.31,1250,0.17,12,1250,100.00
HINDSYNTEX,EQ,2014-12-29,13.00,12.30,13.30,12.25,12.60,12.65,12.74,2605,0.33,14,2505,96.16
