Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HMT,EQ,2014-12-03,40.00,40.65,41.90,40.25,40.70,40.80,41.15,340373,140.06,2308,149757,44.00
HMT,EQ,2014-12-04,40.80,40.90,47.10,39.50,44.25,44.45,44.56,1143050,509.38,7224,316980,27.73
HMT,EQ,2014-12-05,44.45,44.00,52.00,43.40,49.00,49.55,48.76,2197484,1071.44,12790,540630,24.60
HMT,EQ,2014-12-08,49.55,49.90,59.45,49.70,59.45,58.45,56.25,3802122,2138.74,23963,706248,18.58
HMT,EQ,2014-12-09,58.45,59.50,62.70,56.25,56.60,57.30,59.95,3431796,2057.36,21276,718215,20.93
HMT,EQ,2014-12-10,57.30,56.70,59.40,53.40,56.95,56.85,56.54,1839754,1040.12,11548,235959,12.83
HMT,EQ,2014-12-11,56.85,57.10,59.00,55.00,55.20,55.65,57.27,1060755,607.52,6886,292551,27.58
HMT,EQ,2014-12-12,55.65,56.05,57.20,50.35,50.60,50.90,53.24,677355,360.61,4106,250385,36.97
HMT,EQ,2014-12-15,50.90,49.50,53.35,48.30,52.20,52.05,51.55,956052,492.89,7077,179726,18.80
HMT,EQ,2014-12-16,52.05,51.50,51.90,47.15,47.25,48.00,49.38,460594,227.45,2820,150693,32.72
HMT,EQ,2014-12-17,48.00,48.15,48.55,43.20,45.35,45.60,45.15,924359,417.32,4549,279400,30.23
HMT,EQ,2014-12-18,45.60,47.50,48.40,45.65,46.70,46.50,46.81,516091,241.58,3219,206714,40.05
HMT,EQ,2014-12-19,46.50,47.50,48.00,44.70,45.50,45.25,46.39,412798,191.50,2121,180099,43.63
HMT,EQ,2014-12-22,45.25,45.65,46.80,45.25,45.90,45.70,45.90,213981,98.23,1315,72265,33.77
HMT,EQ,2014-12-23,45.70,46.10,48.40,45.20,46.40,46.55,46.94,516422,242.43,3709,130652,25.30
HMT,EQ,2014-12-24,46.55,47.25,48.80,46.05,47.60,47.65,47.42,697883,330.91,5040,131909,18.90
HMT,EQ,2014-12-26,47.65,47.20,47.70,46.15,46.40,46.50,46.81,242114,113.34,1276,95070,39.27
HMT,EQ,2014-12-29,46.50,47.00,48.00,46.55,47.15,46.90,47.27,330736,156.33,2045,96099,29.06
HMT,EQ,2014-12-30,46.90,47.05,48.40,46.60,47.70,47.95,47.67,381667,181.96,2151,101811,26.68
HMT,EQ,2014-12-31,47.95,48.00,48.90,47.55,47.60,47.80,48.12,235857,113.48,1445,87728,37.20
HMT,EQ,2015-01-01,47.80,47.80,48.40,46.00,47.40,47.55,47.66,274982,131.06,1584,100134,36.41
HMT,EQ,2015-01-02,47.55,48.40,52.70,47.70,50.60,50.45,50.64,1142475,578.50,5935,273332,23.92
HMT,EQ,2015-01-05,50.45,50.90,53.00,50.60,52.45,51.90,51.94,539914,280.43,3424,241979,44.82
HMT,EQ,2015-01-06,51.90,52.95,59.90,52.00,55.50,55.60,57.11,4380494,2501.86,28886,615425,14.05
HMT,EQ,2015-01-07,55.60,56.00,58.00,54.65,56.15,55.50,56.52,1056717,597.23,6475,304133,28.78
HMT,EQ,2015-01-08,55.50,56.60,66.60,56.15,64.65,64.75,63.03,5901572,3719.75,29466,839361,14.22
HMT,EQ,2015-01-09,64.75,65.35,65.65,60.55,61.15,61.10,62.77,1371445,860.92,9458,411770,30.02
HMT,EQ,2015-01-12,61.10,61.40,66.50,60.80,65.80,65.55,64.68,2436616,1575.99,15100,427045,17.53
HMT,EQ,2015-01-13,65.55,66.60,74.35,66.00,72.40,71.90,71.31,6610693,4713.91,40178,751393,11.37
HMT,EQ,2015-01-14,71.90,72.35,77.75,72.15,74.95,74.65,74.92,4787206,3586.61,28461,584863,12.22
HMT,EQ,2015-01-15,74.65,77.00,77.50,70.65,70.90,71.25,72.71,1744578,1268.53,11414,418125,23.97
HMT,EQ,2015-01-16,71.25,71.50,73.90,69.35,71.00,71.00,72.12,1283158,925.46,8747,222742,17.36
HMT,EQ,2015-01-19,71.00,71.60,73.75,70.40,71.40,71.70,72.22,970498,700.90,6339,232868,23.99
HMT,EQ,2015-01-20,71.70,72.15,72.80,68.30,69.00,68.90,70.43,585329,412.24,4024,200306,34.22
