Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HMVL,EQ,2014-12-03,202.60,203.00,214.90,203.00,214.45,213.05,209.13,54881,114.77,1139,34592,63.03
HMVL,EQ,2014-12-04,213.05,211.00,216.75,207.55,208.05,208.10,209.30,17204,36.01,477,12258,71.25
HMVL,EQ,2014-12-05,208.10,209.00,212.30,206.50,208.90,206.90,208.54,20080,41.88,766,14497,72.20
HMVL,EQ,2014-12-08,206.90,210.90,210.90,200.00,201.95,202.35,203.31,22481,45.71,608,14644,65.14
HMVL,EQ,2014-12-09,202.35,207.50,207.50,200.00,200.00,200.35,201.72,23118,46.63,749,14731,63.72
HMVL,EQ,2014-12-10,200.35,199.00,202.90,197.00,199.60,199.40,199.71,20393,40.73,520,12524,61.41
HMVL,EQ,2014-12-11,199.40,198.95,199.90,192.00,198.50,197.55,195.94,24527,48.06,785,13589,55.40
HMVL,EQ,2014-12-12,197.55,197.55,206.00,192.00,196.55,194.10,199.06,40228,80.08,840,29047,72.21
HMVL,EQ,2014-12-15,194.10,195.00,204.50,194.00,204.15,202.00,200.45,35600,71.36,858,24900,69.94
HMVL,EQ,2014-12-16,202.00,200.00,202.00,193.95,197.30,196.75,197.86,30813,60.97,708,20861,67.70
HMVL,EQ,2014-12-17,196.75,195.35,206.00,195.00,205.30,203.70,198.64,63098,125.33,845,53609,84.96
HMVL,EQ,2014-12-18,203.70,205.00,209.95,196.50,203.30,203.35,201.93,34873,70.42,810,19246,55.19
HMVL,EQ,2014-12-19,203.35,205.00,211.90,204.95,208.90,207.70,207.38,31479,65.28,702,22549,71.63
HMVL,EQ,2014-12-22,207.70,219.90,219.90,205.00,208.00,207.90,208.23,16796,34.97,470,8091,48.17
HMVL,EQ,2014-12-23,207.90,209.65,211.60,202.80,204.80,204.40,205.68,12726,26.17,470,6276,49.32
HMVL,EQ,2014-12-24,204.40,203.00,210.30,197.80,205.55,204.65,203.52,34155,69.51,648,20200,59.14
HMVL,EQ,2014-12-26,204.65,210.40,211.00,203.00,205.70,206.60,204.16,210623,430.00,451,5451,2.59
HMVL,EQ,2014-12-29,206.60,205.00,208.50,202.90,204.00,203.90,204.67,18661,38.19,383,12237,65.58
HMVL,EQ,2014-12-30,203.90,205.05,210.00,201.00,203.20,203.30,203.10,22685,46.07,520,13107,57.78
HMVL,EQ,2014-12-31,203.30,205.00,222.90,202.35,217.00,216.65,208.83,188565,393.78,1557,46886,24.86
HMVL,EQ,2015-01-01,216.65,212.00,219.45,212.00,215.25,215.90,215.55,18647,40.19,420,9435,50.60
HMVL,EQ,2015-01-02,215.90,217.95,217.95,208.75,212.10,212.20,212.62,29064,61.80,692,14897,51.26
HMVL,EQ,2015-01-05,212.20,214.75,214.75,207.15,211.60,210.45,211.00,24204,51.07,682,11454,47.32
HMVL,EQ,2015-01-06,210.45,209.15,209.15,201.10,202.70,203.65,204.15,47319,96.60,820,27598,58.32
HMVL,EQ,2015-01-07,203.65,202.10,213.20,202.00,207.65,208.15,207.42,34050,70.63,1183,21117,62.02
HMVL,EQ,2015-01-08,208.15,216.00,225.90,208.30,223.00,223.70,220.70,121951,269.15,2284,65218,53.48
HMVL,EQ,2015-01-09,223.70,227.95,237.45,209.10,228.35,229.85,229.93,104795,240.96,2203,68130,65.01
HMVL,EQ,2015-01-12,229.85,235.00,243.00,234.90,240.50,239.65,240.55,126805,305.02,4416,72886,57.48
HMVL,EQ,2015-01-13,239.65,242.50,249.90,240.15,241.30,241.10,245.70,108377,266.28,2247,61005,56.29
HMVL,EQ,2015-01-14,241.10,243.55,252.90,241.50,244.00,244.45,247.32,162616,402.19,3756,104166,64.06
HMVL,EQ,2015-01-15,244.45,247.70,248.00,242.10,243.10,243.05,244.28,38879,94.97,845,24268,62.42
HMVL,EQ,2015-01-16,243.05,243.10,245.60,239.30,239.90,240.15,242.54,49000,118.84,1049,30773,62.80
HMVL,EQ,2015-01-19,240.15,241.45,249.50,240.15,249.00,248.35,244.94,90697,222.16,1630,52928,58.36
HMVL,EQ,2015-01-20,248.35,249.00,255.00,242.20,242.50,243.75,249.54,106182,264.97,2274,56526,53.24
HMVL,EQ,2015-01-21,243.75,253.00,255.50,240.10,240.10,241.60,246.77,187018,461.51,2458,116143,62.10
HMVL,EQ,2015-01-22,241.60,246.90,246.90,235.05,237.00,236.50,237.21,64120,152.10,1153,46464,72.46
HMVL,EQ,2015-01-23,236.50,232.35,236.65,230.55,234.75,232.65,233.42,39905,93.15,852,25271,63.33
HMVL,EQ,2015-01-27,232.65,230.30,243.00,230.05,236.50,236.90,237.21,32307,76.64,931,15544,48.11
HMVL,EQ,2015-01-28,236.90,239.30,239.30,232.00,233.15,232.80,234.81,33662,79.04,971,18828,55.93
