Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HOVS,EQ,2014-12-03,166.35,165.00,169.70,163.05,164.65,164.45,166.40,26947,44.84,858,15347,56.95
HOVS,EQ,2014-12-04,164.45,169.20,169.40,165.10,165.10,165.95,166.86,54757,91.37,756,33531,61.24
HOVS,EQ,2014-12-05,165.95,164.30,166.00,154.70,155.10,156.10,160.81,71585,115.12,1861,41497,57.97
HOVS,EQ,2014-12-08,156.10,155.90,157.50,131.10,138.50,139.30,140.71,145058,204.10,4964,55370,38.17
HOVS,EQ,2014-12-09,139.30,139.90,145.00,131.70,133.65,132.95,138.38,40742,56.38,1537,15412,37.83
HOVS,EQ,2014-12-10,132.95,133.05,137.20,127.05,128.80,128.90,129.85,61443,79.79,2078,27921,45.44
HOVS,EQ,2014-12-11,128.90,130.00,154.65,128.75,154.65,154.65,146.91,552143,811.18,10089,116958,21.18
HOVS,EQ,2014-12-12,154.65,162.20,170.80,148.55,156.90,154.15,162.73,890368,1448.93,18913,128430,14.42
HOVS,EQ,2014-12-15,154.15,154.00,161.75,151.00,154.40,155.05,156.89,193262,303.22,6064,31252,16.17
HOVS,EQ,2014-12-16,155.05,154.05,156.65,143.00,145.00,146.10,149.53,118079,176.56,2563,44991,38.10
HOVS,EQ,2014-12-17,146.10,147.00,153.45,141.95,143.50,144.60,145.92,101936,148.74,2362,24293,23.83
HOVS,EQ,2014-12-18,144.60,146.55,154.70,142.25,153.25,152.25,150.31,102590,154.20,2457,33549,32.70
HOVS,EQ,2014-12-19,152.25,153.10,156.70,146.00,147.00,147.20,151.08,63099,95.33,1479,28449,45.09
HOVS,EQ,2014-12-22,147.20,148.75,152.45,147.40,149.25,149.95,150.50,46302,69.68,1387,25277,54.59
HOVS,EQ,2014-12-23,149.95,149.00,151.75,143.45,147.00,146.25,146.94,19313,28.38,679,12433,64.38
HOVS,EQ,2014-12-24,146.25,150.55,150.55,144.75,146.00,146.00,146.93,14958,21.98,586,6635,44.36
HOVS,EQ,2014-12-26,146.00,145.00,153.00,144.50,151.05,150.55,149.49,35104,52.48,1188,15159,43.18
HOVS,EQ,2014-12-29,150.55,152.45,156.70,150.60,153.85,152.50,153.39,59510,91.28,1124,25703,43.19
HOVS,EQ,2014-12-30,152.50,152.45,153.80,152.00,152.00,152.15,152.39,9627,14.67,272,7273,75.55
HOVS,EQ,2014-12-31,152.15,151.00,153.90,145.20,148.00,147.90,149.84,15409,23.09,642,9359,60.74
HOVS,EQ,2015-01-01,147.90,147.00,156.80,146.40,148.45,149.65,150.20,14992,22.52,624,6045,40.32
HOVS,EQ,2015-01-02,149.65,151.00,161.90,148.35,152.85,152.35,155.67,120256,187.21,2907,35567,29.58
HOVS,EQ,2015-01-05,152.35,151.05,155.15,150.00,150.55,150.60,152.75,28370,43.34,717,16657,58.71
HOVS,EQ,2015-01-06,150.60,150.10,150.15,144.40,144.50,145.30,147.00,15992,23.51,597,9318,58.27
HOVS,EQ,2015-01-07,145.30,145.30,149.40,141.15,149.05,146.90,145.92,28586,41.71,1171,10533,36.85
HOVS,EQ,2015-01-08,146.90,146.10,152.70,146.10,148.90,148.55,149.46,12313,18.40,425,6769,54.97
HOVS,EQ,2015-01-09,148.55,150.25,150.55,145.05,146.50,146.15,147.09,13622,20.04,351,9084,66.69
HOVS,EQ,2015-01-12,146.15,149.70,149.70,144.45,145.20,145.40,145.96,19734,28.80,393,15162,76.83
HOVS,EQ,2015-01-13,145.40,145.20,153.40,145.20,147.40,147.00,149.73,34493,51.64,1069,17513,50.77
HOVS,EQ,2015-01-14,147.00,146.50,150.00,145.80,146.30,146.30,147.59,7565,11.16,293,4177,55.21
HOVS,EQ,2015-01-15,146.30,147.50,150.00,145.30,147.20,148.55,148.90,35356,52.64,775,10758,30.43
HOVS,EQ,2015-01-16,148.55,148.00,163.60,146.10,156.35,155.65,159.22,320689,510.60,7164,76457,23.84
HOVS,EQ,2015-01-19,155.65,157.45,169.80,157.45,163.70,163.95,164.56,255064,419.73,6589,58561,22.96
HOVS,EQ,2015-01-20,163.95,164.80,165.40,155.80,157.80,157.25,160.01,49029,78.45,1501,23565,48.06
HOVS,EQ,2015-01-21,157.25,158.45,172.00,157.00,167.25,167.50,165.48,134536,222.63,3109,49060,36.47
HOVS,EQ,2015-01-22,167.50,166.70,169.70,161.70,162.05,162.10,165.11,49454,81.66,1188,28121,56.86
HOVS,EQ,2015-01-23,162.10,162.05,167.80,158.50,158.75,159.75,161.33,35381,57.08,687,16940,47.88
HOVS,EQ,2015-01-27,159.75,161.70,169.10,158.00,164.70,164.55,165.46,71017,117.51,1713,36199,50.97
HOVS,EQ,2015-01-28,164.55,168.00,168.00,161.05,163.75,161.95,162.80,32268,52.53,748,22801,70.66
HOVS,EQ,2015-01-29,161.95,161.70,166.95,160.25,160.80,160.75,163.92,31877,52.25,724,17895,56.14
HOVS,EQ,2015-01-30,160.75,162.00,164.15,159.20,161.50,161.10,161.31,26118,42.13,575,13424,51.40
HOVS,EQ,2015-02-02,161.10,160.60,162.55,157.75,158.25,158.35,161.38,18631,30.07,351,14860,79.76
HOVS,EQ,2015-02-03,158.35,159.50,162.50,157.80,158.45,158.70,160.12,11767,18.84,314,6244,53.06
HOVS,EQ,2015-02-04,158.70,159.75,160.90,156.40,156.40,157.55,158.06,9351,14.78,440,4672,49.96
HOVS,EQ,2015-02-05,157.55,156.10,161.05,151.10,153.20,154.50,156.49,9431,14.76,339,5573,59.09
HOVS,EQ,2015-02-06,154.50,153.15,157.70,150.00,150.45,150.75,153.90,21102,32.48,544,12699,60.18
HOVS,EQ,2015-02-09,150.75,149.00,149.80,143.05,146.25,145.55,146.68,26948,39.53,547,15493,57.49
HOVS,EQ,2015-02-10,145.55,146.80,155.30,145.50,149.80,148.45,149.87,14749,22.10,613,6010,40.75
HOVS,EQ,2015-02-11,148.45,150.10,151.90,144.25,145.30,145.80,147.15,17806,26.20,629,8418,47.28
HOVS,EQ,2015-02-12,145.80,146.20,153.25,144.00,150.05,150.20,149.49,16076,24.03,652,4821,29.99
HOVS,EQ,2015-02-13,150.20,151.20,152.90,147.50,148.00,149.20,150.09,13783,20.69,263,10105,73.31
HOVS,EQ,2015-02-16,149.20,149.00,151.40,146.00,147.65,146.85,148.18,6224,9.22,243,4621,74.24
HOVS,EQ,2015-02-18,146.85,149.30,150.00,146.10,146.70,147.30,148.19,15767,23.37,359,10134,64.27
HOVS,EQ,2015-02-19,147.30,148.45,155.70,147.50,153.00,152.00,152.30,26382,40.18,810,17090,64.78
HOVS,EQ,2015-02-20,152.00,155.00,178.90,155.00,166.00,166.85,170.85,575525,983.30,11048,127504,22.15
HOVS,EQ,2015-02-23,166.85,168.15,168.15,160.00,161.70,162.70,162.51,76752,124.73,1288,34890,45.46
HOVS,EQ,2015-02-24,162.70,164.30,164.30,160.00,160.00,160.65,161.21,22634,36.49,893,11502,50.82
HOVS,EQ,2015-02-25,160.65,161.05,166.75,160.10,160.40,162.35,163.23,85122,138.94,1614,14825,17.42
HOVS,EQ,2015-02-26,162.35,160.20,164.50,156.50,159.00,157.65,160.94,66260,106.64,1050,27389,41.34
HOVS,EQ,2015-02-27,157.65,157.25,159.75,151.25,152.80,152.85,155.57,41689,64.85,617,29264,70.20
HOVS,EQ,2015-02-28,152.85,155.50,157.00,151.25,152.60,152.70,152.86,22869,34.96,771,12486,54.60
HOVS,EQ,2015-03-02,152.70,152.20,155.00,152.00,152.70,153.05,153.08,10433,15.97,251,6655,63.79
HOVS,EQ,2015-03-03,153.05,156.00,164.00,152.35,158.10,158.90,160.28,35454,56.83,1217,15189,42.84
HOVS,EQ,2015-03-04,158.90,159.05,159.15,153.55,154.00,154.10,155.06,20151,31.25,420,14720,73.05
HOVS,EQ,2015-03-05,154.10,154.05,156.25,152.25,154.70,153.65,153.66,14947,22.97,315,7755,51.88
HOVS,EQ,2015-03-09,153.65,153.65,161.00,152.20,154.80,154.40,154.97,16587,25.70,605,6977,42.06
HOVS,EQ,2015-03-10,154.40,154.05,157.00,151.60,152.95,152.75,153.40,18017,27.64,427,12611,70.00
HOVS,EQ,2015-03-11,152.75,152.45,158.70,152.45,153.10,153.80,155.31,30736,47.74,436,19124,62.22
HOVS,EQ,2015-03-12,153.80,154.80,156.50,153.60,154.95,154.15,154.50,5743,8.87,171,3750,65.30
HOVS,EQ,2015-03-13,154.15,153.00,154.50,147.60,150.00,148.80,151.25,59438,89.90,417,49121,82.64
HOVS,EQ,2015-03-16,148.80,148.55,154.05,146.90,149.20,149.35,149.36,18304,27.34,262,13440,73.43
HOVS,EQ,2015-03-17,149.35,152.00,152.00,148.15,151.00,149.80,149.82,13938,20.88,263,12354,88.64
HOVS,EQ,2015-03-18,149.80,149.15,152.00,147.15,149.00,149.10,150.08,21924,32.90,451,13637,62.20
HOVS,EQ,2015-03-19,149.10,149.30,153.80,149.00,149.05,149.15,151.15,10618,16.05,201,7395,69.65
HOVS,EQ,2015-03-20,149.15,146.20,150.65,146.20,147.50,147.55,147.87,10365,15.33,267,7959,76.79
HOVS,EQ,2015-03-23,147.55,147.00,149.00,141.25,142.00,145.65,146.79,19619,28.80,488,16292,83.04
HOVS,EQ,2015-03-24,145.65,141.05,144.90,141.05,143.00,143.05,143.05,14497,20.74,342,10836,74.75
HOVS,EQ,2015-03-25,143.05,142.40,144.00,137.15,138.00,138.50,140.44,21342,29.97,429,17550,82.23
HOVS,EQ,2015-03-26,138.50,138.50,138.50,132.30,135.15,136.95,134.89,24690,33.30,414,20990,85.01
HOVS,EQ,2015-03-27,136.95,136.15,138.00,134.00,136.10,136.20,135.74,15930,21.62,288,11785,73.98
HOVS,EQ,2015-03-30,136.20,139.00,144.00,139.00,141.00,140.90,142.00,16169,22.96,347,11188,69.19
HOVS,EQ,2015-03-31,140.90,140.05,143.35,138.00,140.55,140.70,141.34,6244,8.83,196,5185,83.04
HOVS,EQ,2015-04-01,140.70,146.95,157.00,143.90,151.50,152.35,152.79,47816,73.06,1131,22074,46.16
HOVS,EQ,2015-04-06,152.35,153.20,156.15,145.00,145.75,145.95,149.00,14841,22.11,471,10837,73.02
HOVS,EQ,2015-04-07,145.95,146.00,153.60,146.00,149.50,147.85,150.03,16737,25.11,451,11800,70.50
HOVS,EQ,2015-04-08,147.85,149.65,152.80,149.50,151.70,151.60,150.89,8726,13.17,242,5429,62.22
HOVS,EQ,2015-04-09,151.60,149.10,153.65,148.60,151.45,151.65,151.64,8679,13.16,345,4099,47.23
HOVS,EQ,2015-04-10,151.65,152.95,169.00,150.50,161.30,159.30,160.66,86254,138.58,2618,30986,35.92
HOVS,EQ,2015-04-13,159.30,159.45,167.65,159.45,166.00,166.30,164.17,91003,149.40,1411,53919,59.25
HOVS,EQ,2015-04-15,166.30,166.00,167.00,156.20,157.40,160.10,162.80,18180,29.60,917,9903,54.47
HOVS,EQ,2015-04-16,160.10,160.30,160.40,153.25,156.70,155.40,156.20,10569,16.51,529,5480,51.85
HOVS,EQ,2015-04-17,155.40,155.00,163.95,154.85,155.15,155.85,158.75,10631,16.88,599,4818,45.32
HOVS,EQ,2015-04-20,155.85,152.95,155.00,147.15,151.70,150.50,150.96,14175,21.40,414,11363,80.16
HOVS,EQ,2015-04-21,150.50,126.05,138.35,120.40,120.40,120.40,123.76,148912,184.30,2153,74774,50.21
