Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HSIL,EQ,2014-12-03,367.25,364.00,370.95,360.10,364.00,361.90,363.04,49352,179.17,1267,37754,76.50
HSIL,EQ,2014-12-04,361.90,365.15,368.00,357.35,359.00,358.85,360.81,37348,134.75,1207,28860,77.27
HSIL,EQ,2014-12-05,358.85,364.90,369.85,360.00,362.95,361.30,363.69,34573,125.74,1364,19302,55.83
HSIL,EQ,2014-12-08,361.30,364.45,367.00,351.00,355.00,352.90,358.65,26513,95.09,1369,17948,67.70
HSIL,EQ,2014-12-09,352.90,356.00,371.80,356.00,364.00,363.00,365.89,110444,404.10,5926,62426,56.52
HSIL,EQ,2014-12-10,363.00,360.25,373.75,360.25,371.50,367.50,366.98,49701,182.39,1694,34446,69.31
HSIL,EQ,2014-12-11,367.50,367.50,370.00,353.00,360.60,360.85,359.87,56944,204.92,1996,32620,57.28
HSIL,EQ,2014-12-12,360.85,369.00,374.00,355.00,360.00,359.35,363.79,63570,231.26,2517,32034,50.39
HSIL,EQ,2014-12-15,359.35,353.00,370.00,353.00,369.30,366.70,364.36,58389,212.75,2101,38035,65.14
HSIL,EQ,2014-12-16,366.70,364.85,366.70,346.00,360.00,357.05,356.19,42120,150.03,1904,24459,58.07
HSIL,EQ,2014-12-17,357.05,354.05,363.90,331.00,348.15,351.80,350.83,71811,251.94,3107,40206,55.99
HSIL,EQ,2014-12-18,351.80,353.90,370.00,353.90,365.00,366.50,365.57,85499,312.56,1926,58294,68.18
HSIL,EQ,2014-12-19,366.50,363.00,370.00,358.40,361.10,361.85,365.47,26770,97.84,976,15182,56.71
HSIL,EQ,2014-12-22,361.85,365.00,371.85,363.00,365.10,369.15,366.40,244110,894.42,1109,229153,93.87
HSIL,EQ,2014-12-23,369.15,366.00,373.00,365.00,370.00,370.15,370.06,25045,92.68,1088,15839,63.24
HSIL,EQ,2014-12-24,370.15,367.00,376.75,306.15,363.00,362.25,362.40,43591,157.98,1769,17101,39.23
HSIL,EQ,2014-12-26,362.25,360.00,372.00,355.90,360.50,360.10,358.83,37815,135.69,1088,20560,54.37
HSIL,EQ,2014-12-29,360.10,362.00,364.80,352.00,352.50,353.75,357.13,20160,72.00,884,13786,68.38
HSIL,EQ,2014-12-30,353.75,353.00,354.90,346.40,349.00,348.35,349.98,28618,100.16,1026,21508,75.16
HSIL,EQ,2014-12-31,348.35,351.00,354.00,345.00,349.00,349.35,349.40,19557,68.33,703,11800,60.34
HSIL,EQ,2015-01-01,349.35,349.40,376.00,347.00,367.90,367.90,364.13,88414,321.94,2768,34164,38.64
HSIL,EQ,2015-01-02,367.90,370.00,373.90,362.20,368.10,368.30,368.31,46193,170.14,1591,24720,53.51
HSIL,EQ,2015-01-05,368.30,368.35,410.00,368.35,394.95,394.60,396.09,406694,1610.88,12080,118405,29.11
HSIL,EQ,2015-01-06,394.60,390.10,395.00,373.65,382.00,379.55,384.89,176379,678.86,4751,60287,34.18
HSIL,EQ,2015-01-07,379.55,379.55,392.35,373.30,384.70,381.25,381.34,68600,261.60,2310,30813,44.92
HSIL,EQ,2015-01-08,381.25,383.00,395.00,379.00,379.40,380.25,385.59,67634,260.79,2878,40671,60.13
HSIL,EQ,2015-01-09,380.25,385.15,386.00,371.00,373.45,373.40,376.86,59083,222.66,2172,35655,60.35
HSIL,EQ,2015-01-12,373.40,376.70,388.00,374.00,381.50,382.70,382.44,100587,384.69,2840,60281,59.93
HSIL,EQ,2015-01-13,382.70,383.00,387.75,378.85,381.00,380.50,383.26,53404,204.67,1737,25475,47.70
HSIL,EQ,2015-01-14,380.50,384.75,417.95,383.00,412.15,413.35,404.48,517756,2094.24,12469,182610,35.27
HSIL,EQ,2015-01-15,413.35,418.00,431.70,400.00,411.50,412.05,418.12,598785,2503.61,15715,191117,31.92
HSIL,EQ,2015-01-16,412.05,435.35,439.90,414.50,416.80,416.40,426.37,926934,3952.14,20477,327368,35.32
HSIL,EQ,2015-01-19,416.40,424.40,429.00,421.00,424.65,424.95,424.97,288849,1227.51,8710,133107,46.08
HSIL,EQ,2015-01-20,424.95,425.20,427.50,410.05,413.00,412.05,417.50,181129,756.21,4924,126278,69.72
HSIL,EQ,2015-01-21,412.05,414.80,415.95,401.10,407.00,406.50,406.30,100141,406.87,3104,59862,59.78
HSIL,EQ,2015-01-22,406.50,408.40,417.00,404.00,409.00,409.45,410.95,80670,331.51,4428,33592,41.64
HSIL,EQ,2015-01-23,409.45,413.00,415.55,401.10,406.00,406.90,407.44,65062,265.09,2264,32937,50.62
HSIL,EQ,2015-01-27,406.90,409.95,412.00,400.90,401.10,403.05,405.57,42625,172.87,1783,26902,63.11
HSIL,EQ,2015-01-28,403.05,397.40,404.95,395.00,395.10,396.90,399.29,65920,263.21,1883,46398,70.39
HSIL,EQ,2015-01-29,396.90,395.50,412.00,392.05,402.50,402.05,404.04,80481,325.17,2771,33790,41.99
HSIL,EQ,2015-01-30,402.05,403.05,408.35,396.10,398.60,398.85,400.98,46597,186.84,1668,25307,54.31
