Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IBSEC,EQ,2014-12-03,24.80,24.75,25.60,24.55,25.30,25.25,25.08,552283,138.50,1225,304115,55.07
IBSEC,EQ,2014-12-04,25.25,25.30,25.50,25.00,25.00,25.05,25.23,240715,60.72,724,159178,66.13
IBSEC,EQ,2014-12-05,25.05,25.10,25.25,24.80,24.85,24.85,25.03,314581,78.74,742,242125,76.97
IBSEC,EQ,2014-12-08,24.85,24.75,25.00,24.70,24.70,24.75,24.82,238457,59.17,626,167631,70.30
IBSEC,EQ,2014-12-09,24.75,24.65,24.85,24.50,24.60,24.55,24.62,366412,90.23,777,273852,74.74
IBSEC,EQ,2014-12-10,24.55,24.30,24.75,24.30,24.55,24.55,24.54,184753,45.35,641,122805,66.47
IBSEC,EQ,2014-12-11,24.55,25.00,25.00,24.30,24.30,24.35,24.38,279353,68.11,660,194024,69.45
IBSEC,EQ,2014-12-12,24.35,24.30,24.60,23.90,24.00,23.95,24.14,389652,94.06,956,314904,80.82
IBSEC,EQ,2014-12-15,23.95,23.80,24.20,23.60,23.65,23.70,23.82,487976,116.23,1140,348934,71.51
IBSEC,EQ,2014-12-16,23.70,23.50,23.90,22.30,22.45,22.50,22.85,1162835,265.66,2294,874297,75.19
IBSEC,EQ,2014-12-17,22.50,22.55,22.85,21.50,21.95,22.15,22.17,718869,159.37,1790,402604,56.01
IBSEC,EQ,2014-12-18,22.15,22.20,23.15,22.20,23.05,23.00,22.95,301634,69.21,735,204444,67.78
IBSEC,EQ,2014-12-19,23.00,23.40,23.50,22.15,22.40,22.40,22.78,550271,125.34,1284,409320,74.39
IBSEC,EQ,2014-12-22,22.40,22.45,23.00,22.05,22.40,22.40,22.40,349227,78.23,1314,238851,68.39
IBSEC,EQ,2014-12-23,22.40,22.15,22.85,22.15,22.60,22.50,22.44,187295,42.02,629,129671,69.23
IBSEC,EQ,2014-12-24,22.50,22.30,22.70,22.25,22.60,22.35,22.41,289351,64.84,695,215919,74.62
IBSEC,EQ,2014-12-26,22.35,22.40,23.35,22.40,23.20,23.15,23.01,346090,79.62,916,236076,68.21
IBSEC,EQ,2014-12-29,23.15,23.15,24.00,22.80,23.55,23.40,23.47,347740,81.60,1053,225204,64.76
IBSEC,EQ,2014-12-30,23.40,23.45,23.65,23.20,23.40,23.30,23.39,126449,29.58,486,67320,53.24
IBSEC,EQ,2014-12-31,23.30,23.25,23.45,23.05,23.30,23.25,23.28,231710,53.93,527,188869,81.51
IBSEC,EQ,2015-01-01,23.25,23.15,23.60,23.10,23.55,23.50,23.33,257683,60.12,568,189033,73.36
IBSEC,EQ,2015-01-02,23.50,23.90,24.35,23.60,24.10,24.15,24.08,408780,98.44,1214,281742,68.92
IBSEC,EQ,2015-01-05,24.15,24.50,24.75,24.10,24.35,24.30,24.38,340508,83.03,852,229557,67.42
IBSEC,EQ,2015-01-06,24.30,24.20,24.20,23.60,23.75,23.70,23.84,369466,88.07,860,290308,78.58
IBSEC,EQ,2015-01-07,23.70,23.50,24.00,23.30,23.80,23.80,23.62,305491,72.17,797,216465,70.86
IBSEC,EQ,2015-01-08,23.80,23.80,24.20,23.65,23.70,23.70,23.89,452153,108.00,650,359877,79.59
IBSEC,EQ,2015-01-09,23.70,23.85,24.10,23.45,23.50,23.55,23.62,454735,107.41,790,334745,73.61
IBSEC,EQ,2015-01-12,23.55,24.55,25.35,24.50,24.95,24.90,24.79,566305,140.37,1532,404793,71.48
IBSEC,EQ,2015-01-13,24.90,25.40,25.40,24.60,25.00,24.90,24.97,397590,99.29,889,266506,67.03
IBSEC,EQ,2015-01-14,24.90,24.90,25.10,24.60,24.90,24.85,24.85,218546,54.30,739,146224,66.91
IBSEC,EQ,2015-01-15,24.85,25.00,25.25,24.80,25.05,25.10,25.10,446003,111.96,923,306339,68.69
IBSEC,EQ,2015-01-16,25.10,25.00,25.90,25.00,25.75,25.70,25.60,697822,178.67,2014,438026,62.77
IBSEC,EQ,2015-01-19,25.70,26.05,26.50,24.80,25.75,25.65,25.77,3461458,891.91,8258,926469,26.77
IBSEC,EQ,2015-01-20,25.65,25.80,26.35,24.90,26.30,26.10,25.51,2072842,528.80,3004,1413518,68.19
IBSEC,EQ,2015-01-21,26.10,26.05,28.40,26.05,28.30,28.10,27.32,2919569,797.68,6016,2073234,71.01
IBSEC,EQ,2015-01-22,28.10,28.35,29.20,27.65,28.70,28.75,28.58,2426554,693.54,4671,1756464,72.39
IBSEC,EQ,2015-01-23,28.75,28.60,31.30,28.55,31.00,30.70,29.92,4259183,1274.41,8804,2870197,67.39
IBSEC,EQ,2015-01-27,30.70,31.40,31.60,29.95,31.15,31.10,30.99,2092187,648.28,6355,1006001,48.08
IBSEC,EQ,2015-01-28,31.10,30.90,32.20,30.25,31.55,31.55,31.64,2861181,905.27,5916,1726927,60.36
IBSEC,EQ,2015-01-29,31.55,30.55,30.55,29.10,30.00,30.10,29.83,1714987,511.57,3528,895777,52.23
IBSEC,EQ,2015-01-30,30.10,29.90,30.60,28.50,29.00,29.05,29.55,1432009,423.18,2107,1090371,76.14
IBSEC,EQ,2015-02-02,29.05,29.05,29.80,29.00,29.75,29.65,29.40,775681,228.03,1447,450934,58.13
IBSEC,EQ,2015-02-03,29.65,29.65,31.95,29.65,31.50,31.55,31.29,1860300,582.02,5056,898937,48.32
IBSEC,EQ,2015-02-04,31.55,31.90,33.60,31.55,33.25,33.15,33.02,2267118,748.62,6082,1119719,49.39
IBSEC,EQ,2015-02-05,33.15,33.20,34.35,30.50,32.00,32.55,33.42,2274740,760.28,5866,1171821,51.51
IBSEC,EQ,2015-02-06,32.55,32.55,32.80,30.75,31.50,31.30,31.50,1251155,394.11,3362,613463,49.03
IBSEC,EQ,2015-02-09,31.30,30.90,31.20,30.10,30.50,30.55,30.61,699942,214.26,1547,482642,68.95
IBSEC,EQ,2015-02-10,30.55,30.55,32.90,28.10,31.90,31.80,31.85,1578639,502.74,4109,740239,46.89
IBSEC,EQ,2015-02-11,31.80,32.40,33.30,31.90,33.20,33.05,32.90,851168,280.01,2108,514167,60.41
