Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IDBI,EQ,2014-12-03,73.40,73.00,74.90,73.00,73.30,73.20,73.97,4517968,3341.83,21450,1558268,34.49
IDBI,EQ,2014-12-04,73.20,73.30,73.85,70.85,73.00,73.05,72.26,3532861,2552.83,14915,773477,21.89
IDBI,EQ,2014-12-05,73.05,73.10,74.20,72.50,72.65,72.80,73.40,2583715,1896.44,14020,484138,18.74
IDBI,EQ,2014-12-08,72.80,74.40,74.70,72.10,72.20,72.35,73.27,3626954,2657.56,19114,670004,18.47
IDBI,EQ,2014-12-09,72.35,72.05,72.85,68.80,69.15,69.05,70.44,2930252,2063.94,15402,796542,27.18
IDBI,EQ,2014-12-10,69.05,68.95,71.70,68.70,71.50,71.25,70.48,2855633,2012.69,15129,616955,21.60
IDBI,EQ,2014-12-11,71.25,71.25,72.35,69.60,70.70,70.90,71.08,3316067,2357.04,16635,432088,13.03
IDBI,EQ,2014-12-12,70.90,71.20,71.65,68.80,69.30,69.10,70.20,2333674,1638.26,12764,585074,25.07
IDBI,EQ,2014-12-15,69.10,68.70,70.40,68.25,68.65,68.75,69.24,2294777,1588.97,12306,427736,18.64
IDBI,EQ,2014-12-16,68.75,69.00,69.50,64.80,65.15,65.25,66.44,4637353,3080.86,23242,1364707,29.43
IDBI,EQ,2014-12-17,65.25,65.00,66.30,62.60,65.35,65.20,64.72,4280064,2769.91,23758,756798,17.68
IDBI,EQ,2014-12-18,65.20,66.80,68.15,66.40,67.70,67.70,67.27,2740016,1843.18,14594,497164,18.14
IDBI,EQ,2014-12-19,67.70,68.50,69.20,67.45,67.80,67.90,68.27,2852974,1947.63,14576,467254,16.38
IDBI,EQ,2014-12-22,67.90,68.50,70.00,67.50,69.70,69.50,68.59,1905567,1307.08,10659,427683,22.44
IDBI,EQ,2014-12-23,69.50,69.05,70.25,68.00,68.10,68.20,68.94,2083896,1436.72,10990,371939,17.85
IDBI,EQ,2014-12-24,68.20,68.10,70.00,67.60,69.60,69.10,68.98,6170069,4256.04,15023,2743834,44.47
IDBI,EQ,2014-12-26,69.10,69.60,71.70,69.10,71.70,71.35,70.48,3188477,2247.27,15673,682316,21.40
IDBI,EQ,2014-12-29,71.35,71.80,72.40,71.00,71.10,71.15,71.56,1873883,1340.86,11182,375215,20.02
IDBI,EQ,2014-12-30,71.15,72.65,73.45,71.60,72.95,73.00,72.59,4474499,3247.92,22235,668976,14.95
IDBI,EQ,2014-12-31,73.00,73.45,73.85,72.25,73.05,73.15,73.07,2365506,1728.53,14202,377021,15.94
IDBI,EQ,2015-01-01,73.15,73.20,75.30,72.70,75.20,74.75,74.52,2844094,2119.44,15812,738363,25.96
IDBI,EQ,2015-01-02,74.75,75.10,78.50,75.00,76.90,76.95,77.01,6493103,5000.29,31302,1409091,21.70
IDBI,EQ,2015-01-05,76.95,77.85,77.85,75.75,76.10,76.00,76.64,3406471,2610.78,15922,927719,27.23
