Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IDBIGOLD,EQ,2014-12-04,2569.70,2515.55,2549.00,2510.05,2510.05,2510.05,2524.55,70,1.77,15,35,50.00
IDBIGOLD,EQ,2014-12-05,2510.05,2494.30,2525.05,2494.30,2525.00,2525.00,2516.01,227,5.71,45,175,77.09
IDBIGOLD,EQ,2014-12-08,2525.00,2487.00,2528.00,2486.00,2518.00,2518.00,2500.63,423,10.58,68,214,50.59
IDBIGOLD,EQ,2014-12-09,2518.00,2527.95,2550.00,2525.00,2549.95,2532.20,2533.39,120,3.04,20,76,63.33
IDBIGOLD,EQ,2014-12-10,2532.20,2550.00,2595.95,2536.00,2546.25,2552.50,2568.22,172,4.42,43,132,76.74
IDBIGOLD,EQ,2014-12-11,2552.50,2553.00,2592.00,2552.55,2592.00,2581.10,2569.32,245,6.29,34,160,65.31
IDBIGOLD,EQ,2014-12-12,2581.10,2580.00,2586.00,2553.35,2580.00,2575.90,2572.86,256,6.59,36,133,51.95
IDBIGOLD,EQ,2014-12-15,2575.90,2605.00,2605.00,2545.10,2575.00,2570.35,2567.06,87,2.23,23,42,48.28
IDBIGOLD,EQ,2014-12-16,2570.35,2612.00,2612.00,2551.00,2551.50,2555.85,2567.91,63,1.62,18,28,44.44
IDBIGOLD,EQ,2014-12-17,2555.85,2628.00,2628.00,2551.00,2575.00,2575.00,2562.67,21,0.54,6,19,90.48
IDBIGOLD,EQ,2014-12-18,2575.00,2570.00,2580.00,2570.00,2570.00,2570.00,2574.42,122,3.14,19,122,100.00
IDBIGOLD,EQ,2014-12-19,2570.00,2570.00,2595.00,2533.00,2560.00,2560.00,2562.13,58,1.49,13,46,79.31
IDBIGOLD,EQ,2014-12-22,2560.00,2560.00,2570.00,2560.00,2570.00,2570.00,2567.60,25,0.64,4,22,88.00
IDBIGOLD,EQ,2014-12-23,2570.00,2522.00,2549.00,2511.00,2549.00,2535.10,2526.76,208,5.26,16,104,50.00
IDBIGOLD,EQ,2014-12-24,2535.10,2589.00,2589.00,2503.00,2503.10,2525.25,2539.51,38,0.97,17,14,36.84
IDBIGOLD,EQ,2014-12-26,2525.25,2536.05,2560.00,2529.00,2529.00,2536.80,2537.41,25,0.63,10,8,32.00
IDBIGOLD,EQ,2014-12-29,2536.80,2550.00,2562.00,2540.00,2562.00,2551.00,2550.91,22,0.56,5,7,31.82
IDBIGOLD,EQ,2014-12-30,2551.00,2537.30,2560.00,2527.70,2538.00,2538.00,2544.97,246,6.26,14,115,46.75
IDBIGOLD,EQ,2014-12-31,2538.00,2550.00,2568.00,2547.05,2565.00,2560.35,2559.32,200,5.12,25,155,77.50
IDBIGOLD,EQ,2015-01-01,2560.35,2591.00,2591.00,2520.00,2578.70,2578.70,2536.97,356,9.03,23,207,58.15
