Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IFBIND,EQ,2014-12-04,514.05,517.95,519.15,494.00,507.90,504.85,508.57,120967,615.21,3007,77223,63.84
IFBIND,EQ,2014-12-05,504.85,504.85,509.50,495.20,498.00,496.65,500.21,68083,340.56,1382,47463,69.71
IFBIND,EQ,2014-12-08,496.65,500.00,514.00,491.60,508.00,505.35,501.72,55449,278.20,1837,24202,43.65
IFBIND,EQ,2014-12-09,505.35,494.00,508.80,475.00,494.00,490.00,492.02,53346,262.47,1781,21358,40.04
IFBIND,EQ,2014-12-10,490.00,487.00,506.60,481.00,497.20,498.10,499.04,45916,229.14,1372,24490,53.34
IFBIND,EQ,2014-12-11,498.10,500.00,509.50,485.50,490.00,490.80,491.61,33772,166.03,1339,14144,41.88
IFBIND,EQ,2014-12-12,490.80,486.05,511.85,486.05,492.05,492.60,500.11,82976,414.97,2776,27550,33.20
IFBIND,EQ,2014-12-15,492.60,489.20,496.00,475.00,478.00,479.10,486.03,47683,231.76,1603,24789,51.99
IFBIND,EQ,2014-12-16,479.10,479.10,479.95,466.00,473.15,473.20,471.62,67790,319.71,1646,41642,61.43
IFBIND,EQ,2014-12-17,473.20,473.00,475.00,438.90,474.00,473.35,460.71,83216,383.39,2000,34934,41.98
IFBIND,EQ,2014-12-18,473.35,480.00,493.05,472.05,479.00,479.75,481.32,55722,268.20,1530,30911,55.47
IFBIND,EQ,2014-12-19,479.75,486.00,489.00,475.75,476.55,484.20,483.99,36181,175.11,1414,17819,49.25
IFBIND,EQ,2014-12-22,484.20,485.00,486.00,476.00,481.30,479.70,482.08,17967,86.61,652,7895,43.94
IFBIND,EQ,2014-12-23,479.70,479.95,484.95,470.00,476.00,472.35,477.20,18973,90.54,730,9643,50.82
IFBIND,EQ,2014-12-24,472.35,470.15,478.80,465.40,465.40,468.55,472.16,15226,71.89,570,5555,36.48
IFBIND,EQ,2014-12-26,468.55,465.10,492.00,465.10,476.20,476.60,479.13,52157,249.90,1948,10482,20.10
