Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IGPL,EQ,2014-12-04,59.20,61.00,62.00,59.50,59.50,59.85,60.46,13945,8.43,126,8173,58.61
IGPL,EQ,2014-12-05,59.85,58.50,62.00,58.00,60.95,60.35,59.71,11738,7.01,124,7079,60.31
IGPL,EQ,2014-12-08,60.35,60.50,61.90,58.25,60.10,59.60,59.88,17960,10.75,202,12787,71.20
IGPL,EQ,2014-12-09,59.60,61.00,61.00,57.75,57.95,57.95,58.61,12054,7.07,122,9819,81.46
IGPL,EQ,2014-12-10,57.95,57.05,59.50,57.05,58.50,58.35,57.97,2678,1.55,80,1781,66.50
IGPL,EQ,2014-12-11,58.35,56.25,58.85,56.25,56.90,56.60,56.77,8049,4.57,92,5725,71.13
IGPL,EQ,2014-12-12,56.60,57.90,58.90,55.00,56.50,56.10,56.64,10791,6.11,152,7868,72.91
IGPL,EQ,2014-12-15,56.10,55.00,57.95,55.00,56.00,56.10,56.42,3647,2.06,33,2850,78.15
IGPL,EQ,2014-12-16,56.10,56.00,56.45,52.60,53.95,53.20,54.49,15762,8.59,200,7891,50.06
IGPL,EQ,2014-12-17,53.20,51.15,54.85,51.00,53.00,53.70,53.53,11719,6.27,75,5813,49.60
IGPL,EQ,2014-12-18,53.70,55.85,55.85,53.35,54.80,54.20,54.45,11873,6.47,150,3787,31.90
IGPL,EQ,2014-12-19,54.20,55.90,58.85,54.40,56.15,56.30,56.17,6385,3.59,85,5028,78.75
IGPL,EQ,2014-12-22,56.30,53.45,57.65,53.45,56.55,56.55,56.19,5890,3.31,54,4900,83.19
IGPL,EQ,2014-12-23,56.55,58.00,59.75,55.60,59.70,58.35,57.58,15648,9.01,244,4984,31.85
IGPL,EQ,2014-12-24,58.35,57.05,58.55,56.15,57.00,57.00,57.34,6802,3.90,67,5625,82.70
IGPL,EQ,2014-12-26,57.00,55.65,58.40,55.60,56.05,55.95,56.61,784,0.44,24,542,69.13
IGPL,EQ,2014-12-29,55.95,57.00,58.00,55.00,55.55,55.85,56.63,8571,4.85,56,7412,86.48
IGPL,EQ,2014-12-30,55.85,57.75,57.75,56.00,56.15,56.55,56.14,3882,2.18,20,3847,99.10
IGPL,EQ,2014-12-31,56.55,55.05,56.95,55.05,55.50,56.05,56.00,5974,3.35,223,2584,43.25
IGPL,EQ,2015-01-01,56.05,55.85,56.05,53.55,55.25,55.45,54.83,7821,4.29,116,3496,44.70
IGPL,EQ,2015-01-02,55.45,54.25,58.30,54.25,56.55,56.85,56.73,10299,5.84,221,7088,68.82
IGPL,EQ,2015-01-05,56.85,55.00,57.00,55.00,55.05,55.05,55.86,6097,3.41,117,4927,80.81
IGPL,EQ,2015-01-06,55.05,54.00,56.45,54.00,55.00,55.00,55.10,5320,2.93,67,4000,75.19
IGPL,EQ,2015-01-07,55.00,55.20,55.20,51.65,52.70,52.20,53.11,20916,11.11,200,13628,65.16
IGPL,EQ,2015-01-08,52.20,52.25,54.70,51.10,53.00,53.05,52.87,7566,4.00,121,4543,60.04
IGPL,EQ,2015-01-09,53.05,53.00,54.00,52.80,53.00,53.35,53.28,5121,2.73,54,4724,92.25
