Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IIHFL,N1,2014-12-04,1007.58,1009.00,1009.00,1006.02,1007.21,1007.67,1007.74,1355,13.65,69,1193,88.04
IIHFL,N2,2014-12-04,1022.96,1029.00,1029.00,1023.85,1026.50,1026.68,1026.02,1431,14.68,49,1263,88.26
IIHFL,N1,2014-12-05,1007.67,1008.99,1008.99,1007.15,1008.99,1008.68,1008.10,1721,17.35,64,1222,71.01
IIHFL,N2,2014-12-05,1026.68,1027.00,1031.99,1024.10,1031.83,1030.24,1026.34,1294,13.28,70,1192,92.12
IIHFL,N3,2014-12-05,1040.01,1041.30,1054.99,1041.30,1054.99,1054.99,1047.77,270,2.83,6,145,53.70
IIHFL,N1,2014-12-08,1008.68,1012.00,1012.00,1008.60,1009.50,1010.39,1010.05,1166,11.78,35,1036,88.85
IIHFL,N2,2014-12-08,1030.24,1025.25,1034.00,1025.25,1027.50,1027.47,1026.60,1160,11.91,48,1091,94.05
IIHFL,N3,2014-12-08,1054.99,1045.00,1050.99,1045.00,1048.50,1048.24,1045.62,575,6.01,7,520,90.43
IIHFL,N1,2014-12-09,1010.39,1012.00,1012.00,1010.00,1010.00,1010.07,1010.20,861,8.70,38,766,88.97
IIHFL,N2,2014-12-09,1027.47,1027.50,1069.80,1024.55,1029.98,1029.98,1034.79,1630,16.87,52,1468,90.06
IIHFL,N3,2014-12-09,1048.24,1041.10,1045.00,1041.10,1043.00,1043.82,1042.57,296,3.09,12,296,100.00
IIHFL,N1,2014-12-10,1010.07,1008.00,1014.65,1008.00,1012.00,1011.19,1010.99,1595,16.13,37,1494,93.67
IIHFL,N2,2014-12-10,1029.98,1027.10,1032.50,1027.10,1032.50,1032.50,1029.91,1221,12.58,54,1106,90.58
IIHFL,N3,2014-12-10,1043.82,1040.00,1046.00,1040.00,1043.10,1043.10,1043.86,80,0.84,4,80,100.00
IIHFL,N1,2014-12-11,1011.19,1010.00,1012.00,1009.51,1010.50,1010.22,1010.18,1262,12.75,43,1209,95.80
IIHFL,N2,2014-12-11,1032.50,1027.01,1030.00,1017.03,1026.36,1026.71,1026.85,3405,34.96,104,2804,82.35
IIHFL,N3,2014-12-11,1043.10,1041.33,1051.00,1041.33,1051.00,1051.00,1042.66,58,0.60,2,58,100.00
IIHFL,N1,2014-12-12,1010.22,1010.11,1012.00,1009.05,1009.50,1010.07,1009.69,2673,26.99,52,2613,97.76
IIHFL,N2,2014-12-12,1026.71,1026.00,1032.00,1026.00,1029.00,1028.82,1028.37,2462,25.32,65,1774,72.06
IIHFL,N3,2014-12-12,1051.00,1044.00,1058.99,1044.00,1050.25,1050.25,1047.87,580,6.08,4,324,55.86
IIHFL,N1,2014-12-15,1010.07,1012.00,1013.50,1010.07,1013.50,1012.88,1012.23,1583,16.02,42,1275,80.54
IIHFL,N2,2014-12-15,1028.82,1030.00,1033.97,1027.61,1032.94,1031.99,1030.74,534,5.50,25,459,85.96
IIHFL,N3,2014-12-15,1050.25,1060.30,1061.20,1058.11,1060.75,1060.75,1060.68,1250,13.26,8,1200,96.00
IIHFL,N1,2014-12-16,1012.88,1007.00,1010.30,1004.50,1009.40,1008.35,1007.10,9684,97.53,151,6394,66.03
IIHFL,N2,2014-12-16,1031.99,1032.00,1033.00,1030.15,1033.00,1032.55,1032.23,2029,20.94,51,1562,76.98
IIHFL,N3,2014-12-16,1060.75,1059.99,1060.00,1059.99,1060.00,1060.00,1060.00,90,0.95,2,90,100.00
IIHFL,N1,2014-12-17,1008.35,1005.25,1009.96,1005.20,1009.50,1009.49,1008.65,2269,22.89,53,2158,95.11
IIHFL,N2,2014-12-17,1032.55,1031.01,1039.90,1031.01,1038.00,1038.00,1037.23,1120,11.62,36,1092,97.50
IIHFL,N1,2014-12-18,1009.49,1007.00,1008.98,1005.00,1006.98,1005.68,1006.53,3299,33.21,107,2957,89.63
IIHFL,N2,2014-12-18,1038.00,1031.05,1039.99,1031.05,1039.99,1039.72,1036.61,1247,12.93,29,1238,99.28
IIHFL,N3,2014-12-18,1060.00,1060.00,1060.00,1060.00,1060.00,1060.00,1060.00,25,0.27,5,25,100.00
IIHFL,N1,2014-12-19,1005.68,1006.60,1009.00,1005.55,1008.88,1007.71,1007.66,2089,21.05,47,1681,80.47
IIHFL,N2,2014-12-19,1039.72,1044.95,1044.95,1025.00,1036.95,1034.04,1034.11,1240,12.82,32,800,64.52
IIHFL,N3,2014-12-19,1060.00,1061.25,1061.25,1061.25,1061.25,1061.25,1061.25,20,0.21,1,20,100.00
IIHFL,N1,2014-12-22,1007.71,1009.00,1010.00,1008.00,1008.50,1009.16,1009.06,1278,12.90,51,1195,93.51
IIHFL,N2,2014-12-22,1034.04,1045.00,1045.00,1028.01,1030.50,1030.50,1035.17,1875,19.41,39,1528,81.49
IIHFL,N3,2014-12-22,1061.25,1060.00,1071.25,1060.00,1071.25,1071.25,1064.59,77,0.82,4,77,100.00
IIHFL,N1,2014-12-23,1009.16,1008.30,1013.97,1008.30,1012.00,1012.00,1011.18,1334,13.49,39,1134,85.01
IIHFL,N2,2014-12-23,1030.50,1029.00,1031.10,1028.25,1031.00,1031.00,1029.79,675,6.95,18,675,100.00
IIHFL,N1,2014-12-24,1012.00,1008.36,1012.00,1008.36,1011.00,1011.00,1010.63,1676,16.94,41,1623,96.84
IIHFL,N2,2014-12-24,1031.00,1027.00,1031.99,1027.00,1031.99,1031.99,1030.36,4281,44.11,42,4087,95.47
IIHFL,N3,2014-12-24,1071.25,1050.10,1050.10,1050.00,1050.00,1050.00,1050.02,29,0.30,5,29,100.00
IIHFL,N1,2014-12-26,1011.00,1008.50,1013.00,1008.50,1012.96,1012.70,1011.29,1628,16.46,49,1406,86.36
IIHFL,N2,2014-12-26,1031.99,1036.49,1036.49,1030.20,1031.51,1031.51,1032.33,155,1.60,8,115,74.19
IIHFL,N3,2014-12-26,1050.00,1050.00,1050.02,1050.00,1050.02,1050.02,1050.00,26,0.27,2,26,100.00
IIHFL,N1,2014-12-29,1012.70,1012.70,1019.95,1007.00,1008.02,1009.04,1010.66,5522,55.81,119,3707,67.13
IIHFL,N2,2014-12-29,1031.51,1027.00,1034.94,1027.00,1034.65,1034.65,1031.85,1151,11.88,31,834,72.46
IIHFL,N1,2014-12-30,1009.04,1012.00,1013.98,1009.00,1010.00,1009.97,1010.75,2892,29.23,95,2414,83.47
IIHFL,N2,2014-12-30,1034.65,1031.00,1032.95,1030.00,1031.00,1031.27,1031.08,1977,20.38,38,1951,98.68
IIHFL,N3,2014-12-30,1050.02,1089.99,1089.99,1089.99,1089.99,1089.99,1089.99,23,0.25,1,23,100.00
IIHFL,N1,2014-12-31,1009.97,1011.00,1012.79,1010.10,1012.78,1010.53,1010.81,854,8.63,26,782,91.57
IIHFL,N2,2014-12-31,1031.27,1032.00,1032.00,1030.00,1031.00,1031.04,1031.06,245,2.53,10,245,100.00
IIHFL,N1,2015-01-01,1010.53,1010.01,1013.25,1010.00,1013.25,1011.25,1011.66,503,5.09,39,467,92.84
IIHFL,N2,2015-01-01,1031.04,1031.00,1038.40,1030.00,1035.00,1035.00,1032.70,251,2.59,13,233,92.83
IIHFL,N3,2015-01-01,1089.99,1075.00,1090.03,1075.00,1090.03,1090.03,1084.40,80,0.87,3,80,100.00
IIHFL,N1,2015-01-02,1011.25,1011.50,1018.00,1011.50,1012.00,1014.70,1013.47,927,9.39,39,694,74.87
IIHFL,N2,2015-01-02,1035.00,1030.00,1036.00,1030.00,1034.00,1032.08,1032.06,765,7.90,33,605,79.08
IIHFL,N3,2015-01-02,1090.03,1039.80,1098.00,1039.80,1090.05,1090.05,1096.18,1323,14.50,11,1045,78.99
IIHFL,N1,2015-01-05,1014.70,1009.04,1014.90,1009.03,1014.90,1012.66,1011.91,1663,16.83,61,1510,90.80
IIHFL,N2,2015-01-05,1032.08,1034.00,1034.00,1030.25,1030.52,1031.37,1030.94,2200,22.68,66,1612,73.27
IIHFL,N3,2015-01-05,1090.05,1090.00,1090.00,1090.00,1090.00,1090.00,1090.00,10,0.11,2,10,100.00
IIHFL,N1,2015-01-06,1012.66,1012.00,1013.00,1010.00,1010.71,1010.65,1011.43,3376,34.15,183,2305,68.28
IIHFL,N2,2015-01-06,1031.37,1032.59,1038.00,1031.00,1031.00,1033.17,1032.84,2850,29.44,97,2613,91.68
IIHFL,N3,2015-01-06,1090.00,1082.33,1082.33,1082.33,1082.33,1082.33,1082.33,5,0.05,1,5,100.00
IIHFL,N1,2015-01-07,1010.65,1012.51,1012.89,1009.00,1012.00,1012.21,1011.63,2771,28.03,114,2627,94.80
IIHFL,N2,2015-01-07,1033.17,1018.25,1037.79,1018.25,1034.99,1033.56,1033.46,1169,12.08,43,905,77.42
IIHFL,N3,2015-01-07,1082.33,1082.35,1082.35,1070.00,1070.00,1070.00,1073.09,400,4.29,5,400,100.00
IIHFL,N1,2015-01-08,1012.21,1010.01,1013.95,1010.01,1013.95,1012.50,1011.95,514,5.20,25,477,92.80
IIHFL,N2,2015-01-08,1033.56,1030.00,1037.85,1030.00,1034.00,1035.71,1036.12,891,9.23,36,755,84.74
IIHFL,N3,2015-01-08,1070.00,1076.66,1084.00,1076.66,1082.01,1082.01,1081.88,344,3.72,10,294,85.47
IIHFL,N1,2015-01-09,1012.50,1013.90,1013.90,1012.00,1012.00,1012.27,1012.61,1028,10.41,43,983,95.62
IIHFL,N2,2015-01-09,1035.71,1031.10,1037.85,1031.10,1037.85,1037.80,1036.60,1536,15.92,30,1362,88.67
IIHFL,N1,2015-01-12,1012.27,1010.15,1013.90,1010.15,1013.89,1013.89,1012.89,1032,10.45,40,892,86.43
IIHFL,N2,2015-01-12,1037.80,1037.85,1039.85,1032.61,1039.85,1039.49,1038.29,975,10.12,41,784,80.41
IIHFL,N1,2015-01-13,1013.89,1013.00,1017.00,1013.00,1017.00,1015.13,1014.65,313,3.18,18,313,100.00
IIHFL,N2,2015-01-13,1039.49,1036.11,1039.50,1035.00,1038.00,1035.94,1037.33,1058,10.97,39,948,89.60
IIHFL,N3,2015-01-13,1082.01,1075.04,1075.04,1075.04,1075.04,1075.04,1075.04,50,0.54,1,50,100.00
IIHFL,N1,2015-01-14,1015.13,1011.20,1016.99,1011.20,1016.70,1016.67,1016.24,725,7.37,50,723,99.72
IIHFL,N2,2015-01-14,1035.94,1035.00,1039.49,1035.00,1039.49,1039.44,1037.86,606,6.29,32,454,74.92
IIHFL,N1,2015-01-15,1016.67,1017.00,1020.00,1012.50,1019.99,1017.20,1017.51,491,5.00,25,470,95.72
IIHFL,N2,2015-01-15,1039.44,1040.50,1040.50,1010.60,1037.95,1038.30,1035.90,1880,19.47,79,1202,63.94
IIHFL,N3,2015-01-15,1075.04,1075.04,1078.11,1075.04,1078.11,1078.11,1075.48,70,0.75,3,70,100.00
IIHFL,N1,2015-01-16,1017.20,1016.10,1020.00,1016.06,1019.80,1017.46,1017.90,926,9.43,41,780,84.23
IIHFL,N2,2015-01-16,1038.30,1034.00,1038.90,1032.32,1037.97,1037.27,1037.03,3173,32.91,97,2617,82.48
IIHFL,N3,2015-01-16,1078.11,1070.00,1080.00,1070.00,1080.00,1080.00,1070.24,310,3.32,5,310,100.00
