Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IL&FSTRANS,EQ,2014-12-04,189.10,190.60,191.00,182.25,184.45,183.85,185.41,305801,566.99,3962,238664,78.05
IL&FSTRANS,EQ,2014-12-05,183.85,183.30,187.05,183.30,184.00,184.20,184.80,97331,179.87,1526,69139,71.03
IL&FSTRANS,EQ,2014-12-08,184.20,193.40,198.00,187.10,188.55,188.35,191.59,363454,696.35,5746,199017,54.76
IL&FSTRANS,EQ,2014-12-09,188.35,187.00,188.50,181.35,184.00,183.45,185.18,158363,293.26,4480,88034,55.59
IL&FSTRANS,EQ,2014-12-10,183.45,182.50,184.80,181.50,181.65,181.95,182.43,162489,296.43,2783,109236,67.23
IL&FSTRANS,EQ,2014-12-11,181.95,182.05,184.35,178.60,181.40,180.90,181.15,96805,175.36,1956,50648,52.32
IL&FSTRANS,EQ,2014-12-12,180.90,182.45,186.00,178.65,183.85,181.30,182.54,175788,320.88,2567,94655,53.85
IL&FSTRANS,EQ,2014-12-15,181.30,180.40,181.00,175.35,176.00,175.80,177.31,92192,163.47,2682,55308,59.99
IL&FSTRANS,EQ,2014-12-16,175.80,175.65,180.60,171.00,174.15,174.20,175.43,177528,311.44,2738,112425,63.33
IL&FSTRANS,EQ,2014-12-17,174.20,174.00,175.50,168.00,172.80,174.50,173.01,150267,259.98,3672,96566,64.26
IL&FSTRANS,EQ,2014-12-18,174.50,175.55,178.40,174.65,175.00,175.00,175.82,114415,201.17,3231,79122,69.15
IL&FSTRANS,EQ,2014-12-19,175.00,177.95,180.05,175.20,176.00,176.40,177.45,264607,469.55,5037,184777,69.83
IL&FSTRANS,EQ,2014-12-22,176.40,176.70,177.50,172.00,173.45,173.25,174.28,134597,234.58,2392,94935,70.53
IL&FSTRANS,EQ,2014-12-23,173.25,173.25,174.60,169.30,171.30,171.35,171.69,115034,197.50,2702,75925,66.00
IL&FSTRANS,EQ,2014-12-24,171.35,171.95,174.25,170.20,172.85,172.65,172.82,93307,161.26,2270,58988,63.22
IL&FSTRANS,EQ,2014-12-26,172.65,172.65,174.90,170.55,174.00,173.85,173.22,71367,123.62,1031,44690,62.62
IL&FSTRANS,EQ,2014-12-29,173.85,172.35,186.85,172.35,186.20,185.75,182.53,393088,717.49,7859,182738,46.49
IL&FSTRANS,EQ,2014-12-30,185.75,188.80,190.40,183.50,185.30,185.20,186.89,213517,399.04,4689,80189,37.56
IL&FSTRANS,EQ,2014-12-31,185.20,186.50,188.70,184.00,188.00,188.00,187.14,107616,201.39,2016,54207,50.37
IL&FSTRANS,EQ,2015-01-01,188.00,186.70,190.50,184.75,187.50,187.55,187.93,114838,215.81,2070,66385,57.81
IL&FSTRANS,EQ,2015-01-02,187.55,188.25,195.40,188.25,193.30,193.35,192.39,306607,589.87,5552,178321,58.16
IL&FSTRANS,EQ,2015-01-05,193.35,192.65,195.50,188.10,189.10,189.35,192.08,116267,223.32,2881,77441,66.61
IL&FSTRANS,EQ,2015-01-06,189.35,188.50,189.15,183.70,185.00,184.70,186.13,104711,194.89,1757,65187,62.25
IL&FSTRANS,EQ,2015-01-07,184.70,183.60,186.80,180.25,185.50,185.50,184.27,75743,139.57,1643,38703,51.10
IL&FSTRANS,EQ,2015-01-08,185.50,186.80,193.80,186.55,192.00,191.85,189.84,249146,472.97,3711,176783,70.96
IL&FSTRANS,EQ,2015-01-09,191.85,193.90,194.35,187.60,189.50,190.15,191.20,81783,156.37,1919,53756,65.73
IL&FSTRANS,EQ,2015-01-12,190.15,189.50,192.95,186.55,188.80,189.60,190.42,81092,154.41,3411,49558,61.11
IL&FSTRANS,EQ,2015-01-13,189.60,189.15,192.40,188.95,189.65,190.45,190.63,101961,194.37,1680,79613,78.08
IL&FSTRANS,EQ,2015-01-14,190.45,190.50,199.15,188.80,195.80,196.45,195.78,290970,569.66,4759,165132,56.75
IL&FSTRANS,EQ,2015-01-15,196.45,199.60,207.50,198.25,202.20,203.10,203.40,640334,1302.43,7800,410368,64.09
IL&FSTRANS,EQ,2015-01-16,203.10,202.10,213.40,202.00,207.80,207.80,208.97,404732,845.77,7120,235300,58.14
IL&FSTRANS,EQ,2015-01-19,207.80,209.65,216.90,209.60,212.25,211.10,213.30,333516,711.39,4220,222249,66.64
IL&FSTRANS,EQ,2015-01-20,211.10,212.00,212.90,208.15,208.25,208.85,211.00,233942,493.61,4437,188840,80.72
IL&FSTRANS,EQ,2015-01-21,208.85,209.05,211.45,203.00,208.50,209.25,208.64,172674,360.26,4120,122410,70.89
IL&FSTRANS,EQ,2015-01-22,209.25,210.45,214.20,204.55,206.00,205.40,208.83,177715,371.13,3008,125731,70.75
IL&FSTRANS,EQ,2015-01-23,205.40,206.75,206.95,200.80,203.00,204.05,204.33,200266,409.21,3277,147287,73.55
IL&FSTRANS,EQ,2015-01-27,204.05,205.00,205.00,198.65,203.00,203.10,202.02,78906,159.41,1978,42304,53.61
IL&FSTRANS,EQ,2015-01-28,203.10,204.00,210.00,201.00,208.70,208.05,206.15,186798,385.09,3410,99914,53.49
IL&FSTRANS,EQ,2015-01-29,208.05,207.05,218.60,206.80,214.25,215.30,213.85,498329,1065.68,7259,253456,50.86
IL&FSTRANS,EQ,2015-01-30,215.30,217.15,219.45,211.50,212.80,212.95,215.56,167812,361.73,3468,92465,55.10
IL&FSTRANS,EQ,2015-02-02,212.95,211.95,219.35,209.00,217.55,218.15,216.52,220841,478.16,3654,140176,63.47
IL&FSTRANS,EQ,2015-02-03,218.15,219.50,221.40,214.55,215.00,215.50,218.26,183850,401.27,2466,102447,55.72
IL&FSTRANS,EQ,2015-02-04,215.50,215.50,216.30,212.35,214.00,214.85,214.36,88847,190.45,1256,50500,56.84
IL&FSTRANS,EQ,2015-02-05,214.85,214.50,215.40,207.20,208.00,209.30,212.30,79408,168.59,1463,43896,55.28
IL&FSTRANS,EQ,2015-02-06,209.30,206.60,212.00,205.00,206.30,206.35,209.90,136179,285.84,1714,110172,80.90
IL&FSTRANS,EQ,2015-02-09,206.35,206.30,211.65,203.30,207.05,208.35,209.12,143941,301.02,3324,105661,73.41
IL&FSTRANS,EQ,2015-02-10,208.35,208.10,211.25,203.10,206.40,206.00,207.57,118592,246.16,1866,70641,59.57
IL&FSTRANS,EQ,2015-02-11,206.00,207.25,214.00,203.85,213.45,212.90,209.52,173186,362.85,3824,122595,70.79
IL&FSTRANS,EQ,2015-02-12,212.90,214.00,217.25,205.55,207.85,208.50,211.62,203718,431.11,4289,103614,50.86
IL&FSTRANS,EQ,2015-02-13,208.50,208.80,218.95,200.80,202.45,202.05,209.95,622688,1307.30,13458,162710,26.13
IL&FSTRANS,EQ,2015-02-16,202.05,200.35,209.40,200.35,207.40,207.15,207.39,198008,410.65,4276,99804,50.40
IL&FSTRANS,EQ,2015-02-18,207.15,205.55,209.45,204.15,206.00,206.35,206.88,90363,186.94,2061,46674,51.65
IL&FSTRANS,EQ,2015-02-19,206.35,205.10,212.40,205.10,210.60,211.20,210.17,195712,411.32,4259,93145,47.59
IL&FSTRANS,EQ,2015-02-20,211.20,212.70,218.70,212.20,216.50,216.60,216.01,250023,540.09,7009,120226,48.09
IL&FSTRANS,EQ,2015-02-23,216.60,217.75,221.60,208.50,209.75,210.90,216.29,229568,496.53,3352,131079,57.10
IL&FSTRANS,EQ,2015-02-24,210.90,210.90,214.00,208.75,209.55,209.90,210.79,109920,231.70,3831,67882,61.76
IL&FSTRANS,EQ,2015-02-25,209.90,210.00,214.40,208.10,209.00,210.00,211.80,133606,282.98,2772,93492,69.98
IL&FSTRANS,EQ,2015-02-26,210.00,209.00,210.50,203.45,207.15,208.00,207.62,84249,174.92,1674,39595,47.00
IL&FSTRANS,EQ,2015-02-27,208.00,208.80,214.60,207.65,213.35,213.55,212.18,93783,198.99,2475,62994,67.17
IL&FSTRANS,EQ,2015-02-28,213.55,216.45,221.00,208.20,213.65,212.80,217.09,514282,1116.45,6324,250684,48.74
IL&FSTRANS,EQ,2015-03-02,212.80,217.45,229.75,215.50,218.10,217.50,222.92,943136,2102.43,16102,516987,54.82
IL&FSTRANS,EQ,2015-03-03,217.50,218.75,226.95,212.35,223.70,222.80,223.17,416719,929.99,6859,174364,41.84
IL&FSTRANS,EQ,2015-03-04,222.80,225.15,228.60,218.05,219.90,219.55,223.19,1028517,2295.52,4643,900495,87.55
IL&FSTRANS,EQ,2015-03-05,219.55,220.85,222.80,218.00,219.65,219.80,219.97,405544,892.07,1836,363130,89.54
IL&FSTRANS,EQ,2015-03-09,219.80,217.90,218.70,213.30,214.65,215.30,217.26,321528,698.57,3025,278224,86.53
IL&FSTRANS,EQ,2015-03-10,215.30,215.00,216.00,207.50,209.50,209.65,210.31,136842,287.80,2701,95268,69.62
IL&FSTRANS,EQ,2015-03-11,209.65,210.45,211.90,207.50,208.70,208.90,209.08,105045,219.62,1625,70040,66.68
IL&FSTRANS,EQ,2015-03-12,208.90,208.70,211.00,203.90,204.50,204.70,206.10,151690,312.63,2847,88618,58.42
IL&FSTRANS,EQ,2015-03-13,204.70,205.55,208.85,201.00,204.00,203.20,205.17,135068,277.12,2582,81819,60.58
IL&FSTRANS,EQ,2015-03-16,203.20,205.05,206.75,195.25,195.70,196.30,199.35,78007,155.51,1803,52083,66.77
IL&FSTRANS,EQ,2015-03-17,196.30,196.05,199.75,195.00,197.20,197.65,197.43,100493,198.40,1729,59892,59.60
IL&FSTRANS,EQ,2015-03-18,197.65,198.75,203.00,196.00,197.75,197.85,199.80,94927,189.66,2353,47310,49.84
IL&FSTRANS,EQ,2015-03-19,197.85,198.35,202.90,195.05,197.30,197.85,199.89,70594,141.11,1536,35453,50.22
IL&FSTRANS,EQ,2015-03-20,197.85,197.20,199.70,190.25,192.35,191.40,194.14,76643,148.79,2348,54897,71.63
IL&FSTRANS,EQ,2015-03-23,191.40,192.15,194.90,188.35,190.00,191.45,191.05,104840,200.30,2679,56566,53.95
IL&FSTRANS,EQ,2015-03-24,191.45,190.25,197.00,189.60,192.35,192.65,192.19,569491,1094.49,3220,515272,90.48
IL&FSTRANS,EQ,2015-03-25,192.65,191.70,194.65,189.00,190.00,190.90,191.82,62292,119.49,1187,35606,57.16
IL&FSTRANS,EQ,2015-03-26,190.90,189.90,195.45,189.00,195.00,192.80,192.93,145105,279.95,1616,102224,70.45
IL&FSTRANS,EQ,2015-03-27,192.80,195.00,197.90,185.05,196.10,195.05,193.27,326156,630.37,3261,192915,59.15
