Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDIAGLYCO,EQ,2014-12-04,117.40,118.15,119.50,116.60,116.65,118.00,118.06,55473,65.49,733,24915,44.91
INDIAGLYCO,EQ,2014-12-05,118.00,118.50,118.50,115.05,115.05,115.70,117.14,44275,51.87,564,25181,56.87
INDIAGLYCO,EQ,2014-12-08,115.70,115.00,117.35,113.55,113.65,114.20,115.51,34142,39.44,618,18014,52.76
INDIAGLYCO,EQ,2014-12-09,114.20,113.50,115.65,111.50,111.85,111.75,113.45,44418,50.39,767,19102,43.01
INDIAGLYCO,EQ,2014-12-10,111.75,112.00,113.75,110.55,110.65,111.25,112.00,40358,45.20,788,17098,42.37
INDIAGLYCO,EQ,2014-12-11,111.25,112.70,118.20,112.00,114.35,114.20,115.86,242606,281.08,3386,47966,19.77
INDIAGLYCO,EQ,2014-12-12,114.20,114.50,116.00,110.00,110.95,110.80,113.27,62939,71.29,1102,27169,43.17
INDIAGLYCO,EQ,2014-12-15,110.80,109.50,112.20,106.35,106.50,107.45,109.20,107750,117.66,1392,48254,44.78
INDIAGLYCO,EQ,2014-12-16,107.45,106.00,106.00,99.65,100.40,100.10,102.37,78115,79.96,1149,34700,44.42
INDIAGLYCO,EQ,2014-12-17,100.10,99.45,100.90,95.20,96.65,97.25,98.18,50258,49.35,925,19884,39.56
INDIAGLYCO,EQ,2014-12-18,97.25,98.15,102.00,97.75,101.45,101.35,100.78,121944,122.89,1386,39628,32.50
INDIAGLYCO,EQ,2014-12-19,101.35,106.00,107.80,102.75,103.60,103.65,105.48,182843,192.87,3037,40230,22.00
INDIAGLYCO,EQ,2014-12-22,103.65,103.60,104.30,101.00,101.40,101.60,102.38,42744,43.76,683,23823,55.73
INDIAGLYCO,EQ,2014-12-23,101.60,102.50,102.90,100.00,100.50,100.25,101.25,28490,28.85,630,13037,45.76
INDIAGLYCO,EQ,2014-12-24,100.25,100.00,101.95,99.70,100.35,100.10,100.65,31736,31.94,497,12886,40.60
INDIAGLYCO,EQ,2014-12-26,100.10,101.70,101.70,98.10,98.65,98.85,99.32,31692,31.48,647,14040,44.30
INDIAGLYCO,EQ,2014-12-29,98.85,99.00,102.15,99.00,99.70,99.95,100.67,57849,58.23,1066,18000,31.12
INDIAGLYCO,EQ,2014-12-30,99.95,100.00,100.75,99.10,99.75,99.60,99.75,40166,40.06,678,12896,32.11
INDIAGLYCO,EQ,2014-12-31,99.60,99.35,103.75,99.35,101.40,101.40,101.03,36954,37.33,631,15199,41.13
INDIAGLYCO,EQ,2015-01-01,101.40,101.40,110.45,100.40,107.20,106.70,106.69,274441,292.80,4403,55844,20.35
INDIAGLYCO,EQ,2015-01-02,106.70,109.00,111.55,107.60,109.60,109.35,109.64,189188,207.43,3094,71703,37.90
INDIAGLYCO,EQ,2015-01-05,109.35,107.80,111.85,107.80,108.85,108.50,109.55,68510,75.05,1244,25954,37.88
INDIAGLYCO,EQ,2015-01-06,108.50,107.40,107.90,102.70,102.70,103.10,104.46,67144,70.14,958,34009,50.65
INDIAGLYCO,EQ,2015-01-07,103.10,102.50,103.95,100.00,100.60,100.90,101.43,46014,46.67,803,21322,46.34
INDIAGLYCO,EQ,2015-01-08,100.90,101.15,103.90,101.15,101.40,101.60,102.07,76655,78.24,805,47781,62.33
INDIAGLYCO,EQ,2015-01-09,101.60,101.85,103.65,100.50,101.00,101.05,102.01,52286,53.34,1086,16113,30.82
INDIAGLYCO,EQ,2015-01-12,101.05,101.00,102.90,100.20,101.55,101.35,101.83,43404,44.20,1091,21164,48.76
INDIAGLYCO,EQ,2015-01-13,101.35,101.80,109.70,101.30,106.70,106.45,106.49,315549,336.04,4858,83036,26.31
INDIAGLYCO,EQ,2015-01-14,106.45,105.90,107.40,102.05,102.30,102.55,104.40,65499,68.38,1305,31389,47.92
INDIAGLYCO,EQ,2015-01-15,102.55,104.10,104.90,102.50,104.50,104.15,103.95,43069,44.77,1043,16388,38.05
INDIAGLYCO,EQ,2015-01-16,104.15,103.50,105.30,102.10,102.85,102.85,103.48,63682,65.90,1228,19816,31.12
INDIAGLYCO,EQ,2015-01-19,102.85,102.85,104.70,102.05,102.50,102.50,103.19,51542,53.19,741,24285,47.12
INDIAGLYCO,EQ,2015-01-20,102.50,103.65,105.90,103.05,104.50,104.25,104.41,67592,70.58,1266,24588,36.38
INDIAGLYCO,EQ,2015-01-21,104.25,104.15,105.80,103.05,103.50,103.30,103.97,49629,51.60,826,16095,32.43
INDIAGLYCO,EQ,2015-01-22,103.30,104.90,107.20,102.00,103.80,103.95,104.96,174889,183.57,2576,33755,19.30
INDIAGLYCO,EQ,2015-01-23,103.95,103.60,104.85,102.00,102.15,102.35,102.99,42558,43.83,873,20028,47.06
INDIAGLYCO,EQ,2015-01-27,102.35,102.45,103.85,100.85,101.30,101.20,101.98,27850,28.40,560,18760,67.36
INDIAGLYCO,EQ,2015-01-28,101.20,102.35,102.35,100.10,100.10,100.40,101.27,42475,43.01,765,13787,32.46
INDIAGLYCO,EQ,2015-01-29,100.40,101.40,101.95,99.30,100.75,100.40,100.54,38993,39.20,836,12310,31.57
INDIAGLYCO,EQ,2015-01-30,100.40,100.20,103.25,99.50,99.85,100.20,101.17,39861,40.33,735,11976,30.04
INDIAGLYCO,EQ,2015-02-02,100.20,100.30,101.65,100.10,100.35,100.50,100.82,33005,33.27,589,8755,26.53
INDIAGLYCO,EQ,2015-02-03,100.50,101.40,102.25,100.05,100.15,100.10,100.82,30111,30.36,469,19779,65.69
INDIAGLYCO,EQ,2015-02-04,100.10,100.95,112.60,100.00,110.00,110.90,108.79,664113,722.51,8296,209323,31.52
INDIAGLYCO,EQ,2015-02-05,110.90,112.80,115.55,105.10,107.50,106.85,112.54,499385,562.00,7135,156666,31.37
INDIAGLYCO,EQ,2015-02-06,106.85,106.10,107.25,103.05,104.00,103.50,104.33,60991,63.63,1334,27012,44.29
INDIAGLYCO,EQ,2015-02-09,103.50,102.50,105.30,100.25,100.45,100.75,102.00,63493,64.76,1008,26050,41.03
INDIAGLYCO,EQ,2015-02-10,100.75,101.00,103.25,99.15,101.25,100.65,101.04,56536,57.12,949,19997,35.37
INDIAGLYCO,EQ,2015-02-11,100.65,101.20,103.40,101.00,102.20,102.40,102.46,49527,50.74,740,20261,40.91
INDIAGLYCO,EQ,2015-02-12,102.40,103.60,104.70,101.40,103.30,102.60,102.83,73221,75.29,939,35283,48.19
INDIAGLYCO,EQ,2015-02-13,102.60,103.05,104.90,101.20,101.40,102.25,103.42,63669,65.85,981,23789,37.36
INDIAGLYCO,EQ,2015-02-16,102.25,100.80,103.60,100.10,100.25,100.45,101.09,73078,73.88,1208,30574,41.84
INDIAGLYCO,EQ,2015-02-18,100.45,101.10,101.50,99.60,100.95,100.75,100.96,81549,82.33,1023,43415,53.24
INDIAGLYCO,EQ,2015-02-19,100.75,100.55,103.40,100.55,101.50,101.45,101.78,124895,127.11,1336,75790,60.68
INDIAGLYCO,EQ,2015-02-20,101.45,102.80,104.80,101.55,102.55,102.50,102.79,84937,87.30,1345,36584,43.07
INDIAGLYCO,EQ,2015-02-23,102.50,104.65,104.65,100.75,100.90,101.25,102.53,38909,39.89,759,16528,42.48
INDIAGLYCO,EQ,2015-02-24,101.25,101.50,103.60,99.85,100.30,100.05,100.60,29315,29.49,493,16499,56.28
INDIAGLYCO,EQ,2015-02-25,100.05,100.95,101.40,99.35,99.50,99.55,100.26,23574,23.63,396,13583,57.62
