Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDLMETER,EQ,2014-12-04,47.45,49.15,49.80,49.00,49.80,49.80,49.54,1655,0.82,34,1655,100.00
INDLMETER,EQ,2014-12-05,49.80,50.90,54.75,48.10,48.10,49.85,52.49,5811,3.05,69,3316,57.06
INDLMETER,EQ,2014-12-08,49.85,51.00,51.00,49.05,49.05,49.05,49.79,264,0.13,2,264,100.00
INDLMETER,EQ,2014-12-09,49.05,47.10,47.10,47.10,47.10,47.10,47.10,50,0.02,1,50,100.00
INDLMETER,EQ,2014-12-10,47.10,51.75,51.80,50.00,50.00,50.00,51.14,2801,1.43,26,2050,73.19
INDLMETER,EQ,2014-12-11,50.00,47.60,52.20,47.55,52.20,49.35,48.90,3336,1.63,14,3334,99.94
INDLMETER,EQ,2014-12-12,49.35,48.65,52.10,47.60,48.80,48.55,49.02,2990,1.47,24,2490,83.28
INDLMETER,EQ,2014-12-15,48.55,52.85,52.85,47.20,48.40,48.40,47.55,798,0.38,17,673,84.34
INDLMETER,EQ,2014-12-16,48.40,48.00,48.00,45.10,45.10,45.75,46.61,14381,6.70,180,4659,32.40
INDLMETER,EQ,2014-12-17,45.75,43.60,46.00,43.60,44.00,44.00,44.08,1879,0.83,22,1724,91.75
INDLMETER,EQ,2014-12-18,44.00,48.40,48.40,44.70,45.50,45.50,45.64,245,0.11,6,145,59.18
INDLMETER,EQ,2014-12-19,45.50,45.40,46.95,44.25,46.00,45.90,45.56,452,0.21,13,305,67.48
INDLMETER,EQ,2014-12-22,45.90,44.10,46.00,44.10,46.00,46.00,45.16,1785,0.81,10,1400,78.43
INDLMETER,EQ,2014-12-23,46.00,46.00,46.50,45.15,45.15,45.15,45.95,9665,4.44,26,9054,93.68
INDLMETER,EQ,2014-12-26,45.15,45.05,45.05,45.05,45.05,45.05,45.05,25,0.01,1,25,100.00
INDLMETER,EQ,2014-12-29,45.05,44.25,46.60,44.25,44.60,44.60,44.49,192,0.09,8,129,67.19
