Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDOCO,EQ,2014-12-04,315.10,316.00,316.50,302.60,307.00,305.30,308.17,53984,166.36,1904,29423,54.50
INDOCO,EQ,2014-12-05,305.30,313.00,313.00,294.65,296.60,299.10,302.73,73902,223.72,2585,52207,70.64
INDOCO,EQ,2014-12-08,299.10,299.00,312.00,296.40,304.50,304.30,303.57,93589,284.11,2962,53885,57.58
INDOCO,EQ,2014-12-09,304.30,307.30,307.30,297.00,299.45,297.85,301.97,35567,107.40,1626,17567,49.39
INDOCO,EQ,2014-12-10,297.85,298.00,298.95,294.50,296.65,295.90,296.58,25321,75.10,628,15707,62.03
INDOCO,EQ,2014-12-11,295.90,294.70,297.70,293.05,295.60,295.90,295.38,19718,58.24,791,12604,63.92
INDOCO,EQ,2014-12-12,295.90,295.00,304.00,290.60,291.10,293.15,296.43,32109,95.18,754,21552,67.12
INDOCO,EQ,2014-12-15,293.15,293.15,299.40,288.00,288.00,290.10,291.37,25699,74.88,1375,11975,46.60
INDOCO,EQ,2014-12-16,290.10,288.00,290.00,279.90,283.40,281.95,283.48,75702,214.60,2966,51411,67.91
INDOCO,EQ,2014-12-17,281.95,280.00,296.00,266.00,295.00,290.20,279.44,69077,193.03,3053,43618,63.14
INDOCO,EQ,2014-12-18,290.20,292.00,301.40,291.45,293.45,292.95,297.62,40658,121.01,1048,24783,60.95
INDOCO,EQ,2014-12-19,292.95,293.00,298.50,288.20,292.25,292.65,294.88,23750,70.03,1583,9576,40.32
INDOCO,EQ,2014-12-22,292.65,293.00,303.40,291.00,293.05,293.50,296.78,41118,122.03,1080,18040,43.87
INDOCO,EQ,2014-12-23,293.50,296.00,298.55,293.00,294.00,295.80,295.40,21344,63.05,976,6427,30.11
INDOCO,EQ,2014-12-24,295.80,294.00,298.80,293.30,294.25,294.25,295.01,18934,55.86,526,9863,52.09
INDOCO,EQ,2014-12-26,294.25,294.00,295.40,293.00,294.50,294.20,294.10,8185,24.07,384,4482,54.76
INDOCO,EQ,2014-12-29,294.20,294.50,301.00,293.55,294.70,296.50,297.73,54213,161.41,1208,15788,29.12
INDOCO,EQ,2014-12-30,296.50,294.05,298.45,294.00,297.30,297.20,296.93,24993,74.21,876,10117,40.48
INDOCO,EQ,2014-12-31,297.20,297.00,315.90,297.00,311.65,311.75,310.16,210059,651.52,4797,76147,36.25
INDOCO,EQ,2015-01-01,311.75,311.50,322.80,307.05,314.95,315.65,318.60,217640,693.40,4735,85368,39.22
INDOCO,EQ,2015-01-02,315.65,320.20,322.30,318.25,322.00,321.15,320.46,170077,545.02,4552,85394,50.21
