Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDOSOLAR,EQ,2014-12-04,6.35,6.25,6.60,6.25,6.50,6.50,6.48,402403,26.06,420,363650,90.37
INDOSOLAR,EQ,2014-12-05,6.50,6.50,6.55,6.25,6.25,6.25,6.38,249971,15.94,212,216145,86.47
INDOSOLAR,EQ,2014-12-08,6.25,6.20,6.50,6.05,6.10,6.10,6.17,187032,11.53,248,142237,76.05
INDOSOLAR,EQ,2014-12-09,6.10,6.00,6.25,5.80,5.85,5.90,5.95,221898,13.21,356,196268,88.45
INDOSOLAR,EQ,2014-12-10,5.90,5.95,6.10,5.70,6.00,5.95,5.95,215380,12.82,264,167463,77.75
INDOSOLAR,EQ,2014-12-11,5.95,6.05,6.20,5.95,6.05,6.05,6.03,130882,7.89,215,78867,60.26
INDOSOLAR,EQ,2014-12-12,6.05,6.20,6.60,6.00,6.35,6.25,6.31,714204,45.09,901,428806,60.04
INDOSOLAR,EQ,2014-12-15,6.25,6.50,6.50,6.00,6.15,6.15,6.12,213659,13.08,311,166223,77.80
INDOSOLAR,EQ,2014-12-16,6.15,6.05,6.10,5.60,5.85,5.80,5.84,463494,27.09,477,417431,90.06
INDOSOLAR,EQ,2014-12-17,5.80,6.00,6.00,5.50,5.70,5.65,5.68,316062,17.94,675,223470,70.70
INDOSOLAR,EQ,2014-12-18,5.65,5.60,5.95,5.60,5.95,5.85,5.85,128293,7.50,231,96814,75.46
INDOSOLAR,EQ,2014-12-19,5.85,5.80,6.05,5.70,5.80,5.90,5.93,112842,6.69,208,87394,77.45
INDOSOLAR,EQ,2014-12-22,5.90,5.85,6.00,5.80,5.90,5.90,5.88,59088,3.47,142,53388,90.35
INDOSOLAR,EQ,2014-12-23,5.90,5.95,6.00,5.70,5.80,5.70,5.82,157877,9.19,155,115020,72.85
INDOSOLAR,EQ,2014-12-24,5.70,5.80,5.85,5.60,5.80,5.70,5.73,71167,4.08,142,51992,73.06
INDOSOLAR,EQ,2014-12-26,5.70,5.60,5.85,5.60,5.75,5.70,5.75,79959,4.59,129,67016,83.81
INDOSOLAR,EQ,2014-12-29,5.70,5.65,5.85,5.65,5.70,5.70,5.78,108009,6.25,164,89861,83.20
INDOSOLAR,EQ,2014-12-30,5.70,5.70,6.10,5.60,5.60,5.65,5.67,116216,6.59,251,97969,84.30
INDOSOLAR,EQ,2014-12-31,5.65,5.65,6.50,5.60,6.00,6.05,6.05,713100,43.12,698,427986,60.02
INDOSOLAR,EQ,2015-01-01,6.05,6.15,6.15,5.80,5.90,6.00,5.99,447406,26.80,440,319261,71.36
INDOSOLAR,EQ,2015-01-02,6.00,6.00,7.20,6.00,7.20,7.20,7.01,4657350,326.71,3762,2315161,49.71
INDOSOLAR,EQ,2015-01-05,7.20,7.45,7.50,6.80,6.90,6.85,7.09,1613567,114.36,1780,1016261,62.98
INDOSOLAR,EQ,2015-01-06,6.85,6.85,7.35,5.60,6.95,7.00,6.88,1844868,126.86,1987,915792,49.64
