Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
STYABS,EQ,2014-12-04,665.85,688.00,688.00,647.00,667.85,665.85,666.17,23487,156.46,1091,13778,58.66
STYABS,EQ,2014-12-05,665.85,666.00,702.00,661.80,682.00,677.75,685.89,59693,409.43,2109,38452,64.42
STYABS,EQ,2014-12-08,677.75,686.60,694.40,648.00,653.35,657.50,665.87,23968,159.60,1350,12334,51.46
STYABS,EQ,2014-12-09,657.50,660.00,664.00,640.10,653.00,650.45,652.92,17341,113.22,651,11108,64.06
STYABS,EQ,2014-12-10,650.45,652.00,656.80,645.15,654.00,648.25,651.77,9418,61.38,334,6140,65.19
STYABS,EQ,2014-12-11,648.25,650.00,651.00,636.00,643.10,643.05,645.74,15796,102.00,526,11543,73.08
STYABS,EQ,2014-12-12,643.05,647.00,654.00,630.05,632.00,632.00,642.78,20586,132.32,627,13686,66.48
STYABS,EQ,2014-12-15,632.00,629.95,650.00,621.05,645.00,643.40,634.44,9578,60.77,462,5753,60.06
STYABS,EQ,2014-12-16,643.40,646.80,646.85,606.35,623.00,618.05,620.10,18928,117.37,829,13329,70.42
STYABS,EQ,2014-12-17,618.05,612.00,634.80,588.30,605.20,608.70,607.73,16616,100.98,1050,9699,58.37
STYABS,EQ,2014-12-18,608.70,620.00,645.00,615.05,638.00,636.30,631.81,19486,123.11,1080,9123,46.82
STYABS,EQ,2014-12-19,636.30,641.00,652.00,636.10,640.00,638.95,644.80,16187,104.37,709,10449,64.55
STYABS,EQ,2014-12-22,638.95,642.45,647.10,635.55,642.00,639.90,639.99,5000,32.00,308,2982,59.64
STYABS,EQ,2014-12-23,639.90,644.00,649.30,633.00,637.45,635.50,639.45,7709,49.30,405,5445,70.63
STYABS,EQ,2014-12-24,635.50,638.60,647.95,635.15,636.25,639.30,639.80,6761,43.26,246,5863,86.72
STYABS,EQ,2014-12-26,639.30,638.85,650.45,636.50,644.50,647.55,647.38,9559,61.88,297,7609,79.60
STYABS,EQ,2014-12-29,647.55,651.70,652.00,636.30,641.70,639.20,646.20,8576,55.42,940,6449,75.20
STYABS,EQ,2014-12-30,639.20,635.15,676.00,635.15,658.15,658.80,663.08,25536,169.33,1476,16299,63.83
STYABS,EQ,2014-12-31,658.80,654.00,663.00,644.20,647.00,646.75,652.39,8590,56.04,471,5573,64.88
STYABS,EQ,2015-01-01,646.75,642.00,653.05,642.00,650.00,649.15,649.74,5328,34.62,271,3975,74.61
STYABS,EQ,2015-01-02,649.15,650.00,680.00,650.00,665.00,664.15,664.64,44349,294.76,1890,29587,66.71
STYABS,EQ,2015-01-05,664.15,665.15,672.50,648.70,657.00,651.45,659.52,9993,65.91,420,7383,73.88
