Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFRATEL,EQ,2014-12-04,288.30,287.00,297.70,287.00,296.00,295.60,295.23,550218,1624.43,20552,352972,64.15
INFRATEL,EQ,2014-12-05,295.60,294.00,312.75,293.50,310.00,309.70,305.47,1996863,6099.73,70176,1194418,59.81
INFRATEL,EQ,2014-12-08,309.70,311.00,317.50,307.75,308.20,310.95,311.05,4562211,14190.88,90514,3925665,86.05
INFRATEL,EQ,2014-12-09,310.95,308.90,323.00,305.55,319.50,318.35,317.35,1452733,4610.23,69941,991203,68.23
INFRATEL,EQ,2014-12-10,318.35,320.00,333.60,320.00,333.00,330.10,327.93,1128952,3702.13,47051,790633,70.03
INFRATEL,EQ,2014-12-11,330.10,331.00,371.90,331.00,348.15,346.70,351.54,4909942,17260.36,130043,3282580,66.86
INFRATEL,EQ,2014-12-12,346.70,350.00,350.75,335.20,341.00,340.60,340.72,2541278,8658.61,62145,1745559,68.69
INFRATEL,EQ,2014-12-15,340.60,336.70,351.00,336.40,344.60,346.85,346.05,2022418,6998.59,59120,1552103,76.74
INFRATEL,EQ,2014-12-16,346.85,348.60,348.60,339.25,345.80,345.70,345.54,1116148,3856.70,44745,706360,63.29
INFRATEL,EQ,2014-12-17,345.70,347.80,356.75,342.00,353.60,349.65,349.52,2095792,7325.12,69034,1727539,82.43
INFRATEL,EQ,2014-12-18,349.65,359.90,359.90,348.80,351.00,351.30,350.57,632535,2217.45,23212,504500,79.76
INFRATEL,EQ,2014-12-19,351.30,351.30,355.00,349.00,349.10,349.95,351.40,1124847,3952.69,44099,893858,79.46
INFRATEL,EQ,2014-12-22,349.95,346.60,349.90,331.15,335.95,337.55,337.58,665799,2247.61,40601,401517,60.31
INFRATEL,EQ,2014-12-23,337.55,337.55,341.00,331.20,337.00,336.00,337.37,559387,1887.20,29995,389332,69.60
INFRATEL,EQ,2014-12-24,336.00,339.50,339.50,319.00,334.00,332.90,330.51,612832,2025.46,26079,413311,67.44
INFRATEL,EQ,2014-12-26,332.90,333.05,334.70,321.35,333.00,332.85,330.65,203378,672.46,8154,100001,49.17
INFRATEL,EQ,2014-12-29,332.85,327.25,333.00,322.00,322.50,323.90,326.29,256233,836.07,9499,169001,65.96
INFRATEL,EQ,2014-12-30,323.90,323.05,325.70,323.05,324.00,323.95,324.13,375835,1218.19,8289,330090,87.83
INFRATEL,EQ,2014-12-31,323.95,324.05,348.70,322.45,336.00,336.90,339.80,1115608,3790.81,30477,484580,43.44
INFRATEL,EQ,2015-01-01,336.90,333.50,340.50,329.85,340.00,339.30,336.42,103654,348.71,2887,36955,35.65
INFRATEL,EQ,2015-01-02,339.30,335.60,340.60,334.95,337.70,337.20,337.90,371430,1255.07,4773,311730,83.93
INFRATEL,EQ,2015-01-05,337.20,332.50,347.65,332.50,341.00,342.40,343.45,662811,2276.41,45111,464325,70.05
INFRATEL,EQ,2015-01-06,342.40,342.00,351.60,338.30,340.00,341.55,345.13,1267514,4374.54,13467,837365,66.06
INFRATEL,EQ,2015-01-07,341.55,342.00,347.30,341.65,343.00,342.65,343.83,701097,2410.56,30822,478363,68.23
INFRATEL,EQ,2015-01-08,342.65,343.35,346.00,343.05,344.05,344.05,344.68,1423694,4907.24,42855,936866,65.81
INFRATEL,EQ,2015-01-09,344.05,350.00,350.00,339.50,343.00,343.00,343.79,1173328,4033.74,13200,1002840,85.47
INFRATEL,EQ,2015-01-12,343.00,338.20,343.85,338.20,343.00,342.50,342.39,141701,485.18,8982,94763,66.88
INFRATEL,EQ,2015-01-13,342.50,347.95,347.95,338.90,340.60,340.70,340.91,234783,800.39,19849,170495,72.62
INFRATEL,EQ,2015-01-14,340.70,340.10,342.00,332.20,340.00,339.20,336.87,853036,2873.59,22504,681562,79.90
INFRATEL,EQ,2015-01-15,339.20,335.35,346.60,335.35,340.00,340.10,344.01,978890,3367.43,31262,830733,84.86
INFRATEL,EQ,2015-01-16,340.10,345.00,345.00,337.00,343.20,340.00,340.22,73034,248.48,2715,51734,70.84
INFRATEL,EQ,2015-01-19,340.00,335.20,343.00,335.20,343.00,342.10,341.80,529280,1809.09,18266,393930,74.43
INFRATEL,EQ,2015-01-20,342.10,340.25,361.25,340.25,358.00,353.80,351.12,1175942,4128.96,29939,802822,68.27
INFRATEL,EQ,2015-01-21,353.80,361.70,375.00,358.05,366.80,365.30,368.34,2008557,7398.32,90683,1262496,62.86
INFRATEL,EQ,2015-01-22,365.30,352.20,364.75,352.20,360.50,360.70,360.43,1031616,3718.22,25139,808934,78.41
INFRATEL,EQ,2015-01-23,360.70,364.00,373.30,359.45,369.00,368.50,367.09,1165896,4279.91,34142,915751,78.54
INFRATEL,EQ,2015-01-27,368.50,364.20,368.80,360.55,363.95,363.65,366.82,769937,2824.30,50646,528276,68.61
INFRATEL,EQ,2015-01-28,363.65,364.85,381.80,362.25,379.25,379.85,377.16,1655581,6244.24,31732,1284197,77.57
INFRATEL,EQ,2015-01-29,379.85,379.85,379.85,368.60,374.00,373.60,371.85,291433,1083.69,13469,195374,67.04
INFRATEL,EQ,2015-01-30,373.60,380.05,386.95,340.10,373.00,361.85,373.45,2409411,8998.00,76810,1663800,69.05
INFRATEL,EQ,2015-02-02,361.85,369.80,374.75,368.30,369.85,370.10,371.05,701024,2601.11,34111,532023,75.89
INFRATEL,EQ,2015-02-03,370.10,367.00,383.75,365.25,377.00,376.30,375.43,2359736,8859.06,77333,1589550,67.36
INFRATEL,EQ,2015-02-04,376.30,382.40,385.00,371.00,377.00,377.55,377.92,3751978,14179.42,64209,2949002,78.60
INFRATEL,EQ,2015-02-05,377.55,377.00,381.00,368.20,378.00,376.80,378.36,1146554,4338.09,27696,912862,79.62
INFRATEL,EQ,2015-02-06,376.80,379.40,381.00,374.80,380.00,378.25,377.38,1762202,6650.15,33525,1170268,66.41
INFRATEL,EQ,2015-02-09,378.25,382.70,382.70,367.55,374.95,373.00,373.20,1285729,4798.33,44875,991468,77.11
INFRATEL,EQ,2015-02-10,373.00,373.00,373.00,354.40,370.35,369.80,367.82,990877,3644.65,40723,696319,70.27
INFRATEL,EQ,2015-02-11,369.80,366.25,369.80,356.20,361.35,360.95,361.13,1316570,4754.47,55704,971538,73.79
INFRATEL,EQ,2015-02-12,360.95,362.00,368.75,338.50,367.90,364.10,357.17,5133570,18335.63,93824,2748724,53.54
INFRATEL,EQ,2015-02-13,364.10,367.00,367.00,353.00,358.10,358.85,359.19,1368567,4915.77,56752,979547,71.57
INFRATEL,EQ,2015-02-16,358.85,360.90,373.00,359.20,367.30,370.25,370.36,1189914,4406.93,40730,887045,74.55
INFRATEL,EQ,2015-02-18,370.25,364.10,369.65,363.00,364.10,364.45,364.14,299416,1090.31,25665,231797,77.42
INFRATEL,EQ,2015-02-19,364.45,375.70,375.70,366.50,372.95,368.25,368.75,890896,3285.15,26506,664289,74.56
INFRATEL,EQ,2015-02-20,368.25,371.80,371.80,357.20,361.10,361.15,361.05,1460682,5273.76,62517,1177920,80.64
INFRATEL,EQ,2015-02-23,361.15,365.90,374.00,362.00,366.00,367.30,366.86,532741,1954.40,12148,403634,75.77
INFRATEL,EQ,2015-02-24,367.30,363.10,371.00,361.50,371.00,369.65,364.16,10050875,36601.57,26596,9759436,97.10
INFRATEL,EQ,2015-02-25,369.65,369.00,374.70,368.05,373.00,372.30,371.87,594419,2210.44,13135,383026,64.44
INFRATEL,EQ,2015-02-26,372.30,358.30,371.00,347.10,366.95,366.50,351.32,26541531,93245.74,52518,22133891,83.39
INFRATEL,EQ,2015-02-27,366.50,364.00,377.00,362.10,367.85,367.65,367.35,2529428,9291.74,92549,1727271,68.29
INFRATEL,EQ,2015-02-28,367.65,376.70,376.70,364.95,368.00,367.55,367.59,55928,205.59,2256,26043,46.57
INFRATEL,EQ,2015-03-02,367.55,367.85,370.00,358.50,359.00,359.65,364.41,5874084,21405.48,96819,4601110,78.33
INFRATEL,EQ,2015-03-03,359.65,359.00,365.00,355.60,358.70,358.70,359.74,2287198,8227.86,68087,1978096,86.49
INFRATEL,EQ,2015-03-04,358.70,359.10,366.00,358.00,360.40,361.20,363.87,1417522,5157.93,51280,1069819,75.47
INFRATEL,EQ,2015-03-05,361.20,357.65,366.95,357.65,363.80,363.90,364.48,2582823,9413.99,40930,2223387,86.08
INFRATEL,EQ,2015-03-09,363.90,361.00,369.00,361.00,363.00,364.95,364.97,3572715,13039.23,91186,2669250,74.71
INFRATEL,EQ,2015-03-10,364.95,370.05,376.90,366.55,370.00,369.95,371.58,3702919,13759.38,76668,2269986,61.30
INFRATEL,EQ,2015-03-11,369.95,365.25,386.00,365.25,380.00,377.65,372.76,2125133,7921.70,25478,1642907,77.31
INFRATEL,EQ,2015-03-12,377.65,377.25,393.70,377.25,388.80,389.25,388.37,2822373,10961.26,63045,1899842,67.31
INFRATEL,EQ,2015-03-13,389.25,388.05,392.85,384.90,391.00,387.90,389.92,6885531,26847.73,52885,6417723,93.21
INFRATEL,EQ,2015-03-16,387.90,385.20,389.85,375.25,383.40,382.05,382.81,647451,2478.52,41469,409542,63.25
INFRATEL,EQ,2015-03-17,382.05,381.00,396.45,375.50,385.50,383.95,389.38,986793,3842.34,24492,699546,70.89
INFRATEL,EQ,2015-03-18,383.95,387.50,389.80,371.40,378.50,380.05,378.62,714703,2705.99,41752,467186,65.37
INFRATEL,EQ,2015-03-19,380.05,379.00,387.90,378.55,384.00,384.75,384.79,1484289,5711.36,53184,1293958,87.18
INFRATEL,EQ,2015-03-20,384.75,386.00,389.00,371.50,375.75,385.35,384.83,2788169,10729.57,50590,2252162,80.78
INFRATEL,EQ,2015-03-23,385.35,379.30,386.90,375.35,384.55,384.45,382.81,758862,2904.97,29458,494387,65.15
INFRATEL,EQ,2015-03-24,384.45,386.00,388.40,382.25,388.00,387.20,385.93,628989,2427.43,31928,485172,77.14
INFRATEL,EQ,2015-03-25,387.20,387.20,399.35,387.20,392.00,391.45,392.18,1151186,4514.71,52634,874133,75.93
INFRATEL,EQ,2015-03-26,391.45,390.00,393.85,375.55,381.00,377.20,384.56,2527566,9719.93,50114,2068569,81.84
INFRATEL,EQ,2015-03-27,377.20,378.00,384.90,374.00,374.20,377.60,381.08,3194270,12172.75,39392,2875733,90.03
INFRATEL,EQ,2015-03-30,377.60,377.10,388.90,377.10,384.55,385.45,384.61,1219396,4689.94,36443,1042505,85.49
INFRATEL,EQ,2015-03-31,385.45,386.95,387.95,383.95,385.00,385.00,385.26,2820740,10867.31,76919,2424002,85.93
INFRATEL,EQ,2015-04-01,385.00,386.90,387.60,384.00,384.10,384.95,385.04,2214370,8526.28,47254,2101450,94.90
INFRATEL,EQ,2015-04-06,384.95,394.40,394.40,375.40,380.00,379.90,382.69,967916,3704.15,46364,719843,74.37
INFRATEL,EQ,2015-04-07,379.90,380.00,385.45,379.85,385.00,384.95,382.00,1447760,5530.45,34309,1284539,88.73
INFRATEL,EQ,2015-04-08,384.95,388.70,388.70,369.95,372.00,374.40,382.44,2327544,8901.39,23070,1761734,75.69
INFRATEL,EQ,2015-04-09,374.40,375.10,382.90,375.10,382.50,380.10,379.95,403291,1532.31,22008,260893,64.69
INFRATEL,EQ,2015-04-10,380.10,381.00,381.00,369.00,373.90,376.55,373.62,2466852,9216.57,77567,1916751,77.70
INFRATEL,EQ,2015-04-13,376.55,376.55,386.50,374.00,384.95,385.25,383.69,1103858,4235.42,60065,873996,79.18
INFRATEL,EQ,2015-04-15,385.25,381.25,386.00,373.80,378.80,377.15,378.13,9375011,35449.37,111228,8935871,95.32
INFRATEL,EQ,2015-04-16,377.15,378.40,384.80,378.40,380.55,380.75,380.96,2690538,10249.88,102162,2278858,84.70
INFRATEL,EQ,2015-04-17,380.75,379.65,381.85,372.00,377.10,374.90,378.04,2600023,9829.22,56232,2247327,86.43
INFRATEL,EQ,2015-04-20,374.90,373.00,379.80,366.55,370.95,370.15,370.87,1709456,6339.90,33478,1419123,83.02
INFRATEL,EQ,2015-04-21,370.15,373.60,374.50,365.20,369.10,369.10,369.33,931888,3441.74,36668,719990,77.26
INFRATEL,EQ,2015-04-22,369.10,370.95,373.80,355.55,365.95,367.60,364.19,1798356,6549.44,75283,1511050,84.02
INFRATEL,EQ,2015-04-23,367.60,366.40,373.90,364.80,373.00,371.90,372.07,793727,2953.22,54406,619156,78.01
INFRATEL,EQ,2015-04-24,371.90,368.00,377.00,366.10,373.20,373.30,371.70,749654,2786.45,33273,565914,75.49
INFRATEL,EQ,2015-04-27,373.30,375.05,402.00,371.65,397.00,395.55,389.44,1590750,6194.98,53042,771088,48.47
INFRATEL,EQ,2015-04-28,395.55,390.05,422.00,387.10,404.05,401.05,401.60,2235637,8978.21,82316,1407003,62.94
INFRATEL,EQ,2015-04-29,401.05,404.85,404.85,382.50,395.00,395.30,392.01,7377483,28920.67,88582,5587737,75.74
INFRATEL,EQ,2015-04-30,395.30,398.90,402.90,394.50,400.00,401.30,399.10,1228520,4902.98,52922,951102,77.42
INFRATEL,EQ,2015-05-04,401.30,405.10,405.10,384.25,400.00,396.30,395.32,1385449,5476.91,59285,982780,70.94
INFRATEL,EQ,2015-05-05,396.30,398.00,399.65,387.00,391.00,391.00,394.15,664628,2619.63,44335,457836,68.89
INFRATEL,EQ,2015-05-06,391.00,392.00,398.00,375.75,381.00,385.90,393.45,1708594,6722.39,76558,1354179,79.26
INFRATEL,EQ,2015-05-07,385.90,378.55,388.80,364.40,371.10,369.45,375.06,2471178,9268.51,80320,1735353,70.22
INFRATEL,EQ,2015-05-08,369.45,376.00,393.70,374.00,390.05,388.20,384.94,1301327,5009.32,44034,962730,73.98
INFRATEL,EQ,2015-05-11,388.20,395.40,395.40,381.30,384.00,390.15,391.24,2695463,10545.74,69268,2069477,76.78
INFRATEL,EQ,2015-05-12,390.15,388.00,391.95,382.45,383.20,384.50,388.06,2095784,8132.99,59242,1830531,87.34
INFRATEL,EQ,2015-05-13,384.50,390.00,405.45,387.20,395.00,392.15,394.69,5765458,22755.96,106032,3398808,58.95
INFRATEL,EQ,2015-05-14,392.15,392.15,405.00,388.75,400.70,401.15,398.58,6007048,23942.98,100166,4321046,71.93
INFRATEL,EQ,2015-05-15,401.15,404.30,415.15,401.00,410.00,410.00,410.51,3815210,15661.73,65589,2313971,60.65
INFRATEL,EQ,2015-05-18,410.00,417.80,419.00,412.15,419.00,418.00,415.99,3231749,13443.86,60721,2563185,79.31
INFRATEL,EQ,2015-05-19,418.00,415.75,441.75,415.75,441.00,430.20,427.83,3265200,13969.65,70235,2569175,78.68
INFRATEL,EQ,2015-05-20,430.20,433.55,473.00,432.10,449.95,448.70,447.18,6387911,28565.23,86799,4476963,70.08
INFRATEL,EQ,2015-05-21,448.70,445.55,447.95,431.00,432.10,434.10,439.60,2546070,11192.53,85900,1923740,75.56
INFRATEL,EQ,2015-05-22,434.10,436.90,438.40,421.30,436.60,434.05,431.36,1801813,7772.31,50855,1173987,65.16
INFRATEL,EQ,2015-05-25,434.05,434.60,459.45,426.10,448.60,450.70,441.41,2468857,10897.84,37880,1620135,65.62
INFRATEL,EQ,2015-05-26,450.70,448.80,490.60,445.10,460.50,462.00,466.31,6941574,32369.34,123117,3763722,54.22
INFRATEL,EQ,2015-05-27,462.00,450.00,455.95,425.50,437.20,437.85,441.04,3299963,14554.26,86195,2239300,67.86
INFRATEL,EQ,2015-05-28,437.85,436.10,451.00,418.65,442.65,440.75,431.92,5983896,25845.89,127595,4297275,71.81
INFRATEL,EQ,2015-05-29,440.75,440.00,487.70,436.00,478.00,478.85,471.88,49323892,232747.80,289775,40348294,81.80
INFRATEL,EQ,2015-06-01,478.85,462.10,474.90,437.65,470.00,471.45,467.19,7329572,34243.33,131093,4616097,62.98
INFRATEL,EQ,2015-06-02,471.45,465.10,474.00,445.40,452.75,453.80,453.65,2758029,12511.90,87914,1614922,58.55
INFRATEL,EQ,2015-06-03,453.80,454.00,454.10,414.05,420.00,423.95,428.64,2216493,9500.78,78706,1354625,61.12
INFRATEL,EQ,2015-06-04,423.95,424.00,441.00,416.30,426.90,435.20,428.09,1884624,8067.87,65725,1071383,56.85
INFRATEL,EQ,2015-06-05,435.20,428.20,450.60,421.55,449.00,447.10,435.07,3604579,15682.45,65305,2786606,77.31
INFRATEL,EQ,2015-06-08,447.10,442.10,452.70,435.00,447.05,448.05,442.32,943253,4172.18,29977,562508,59.63
INFRATEL,EQ,2015-06-09,448.05,453.30,457.00,441.25,447.00,448.00,445.94,2181492,9728.15,71264,1842453,84.46
INFRATEL,EQ,2015-06-10,448.00,451.80,464.20,433.00,443.40,443.30,448.72,1762375,7908.11,83277,989394,56.14
INFRATEL,EQ,2015-06-11,443.30,448.55,474.00,447.00,450.95,456.70,460.88,2065007,9517.28,77624,1285604,62.26
INFRATEL,EQ,2015-06-12,456.70,456.00,456.00,436.40,439.75,441.30,442.21,1097347,4852.63,46863,681019,62.06
INFRATEL,EQ,2015-06-15,441.30,441.70,461.85,435.00,459.00,455.05,447.39,962829,4307.60,60188,526648,54.70
INFRATEL,EQ,2015-06-16,455.05,460.20,470.80,451.25,460.15,461.40,461.85,1425010,6581.47,50730,835138,58.61
INFRATEL,EQ,2015-06-17,461.40,464.00,475.00,458.00,474.90,473.25,465.11,1412704,6570.66,52974,857655,60.71
INFRATEL,EQ,2015-06-18,473.25,469.60,469.60,450.30,457.00,455.95,457.29,2133088,9754.45,139136,1310755,61.45
INFRATEL,EQ,2015-06-19,455.95,461.30,475.00,456.10,473.35,466.05,465.15,1964630,9138.48,67005,1412823,71.91
INFRATEL,EQ,2015-06-22,466.05,470.00,486.90,458.00,485.00,482.30,471.56,1831179,8635.07,65922,1183572,64.63
INFRATEL,EQ,2015-06-23,482.30,481.60,484.60,472.10,479.00,480.45,478.26,1281923,6130.97,104070,708110,55.24
INFRATEL,EQ,2015-06-24,480.45,475.00,478.45,461.15,462.25,463.35,468.61,2196658,10293.84,81783,1676880,76.34
INFRATEL,EQ,2015-06-25,463.35,458.35,471.75,452.25,452.75,458.95,465.39,1639161,7628.41,57454,1135522,69.27
INFRATEL,EQ,2015-06-26,458.95,456.30,458.90,433.00,434.35,435.80,440.29,1393353,6134.76,61944,794396,57.01
INFRATEL,EQ,2015-06-29,435.80,431.70,458.45,422.10,454.00,449.90,449.45,1385228,6225.95,59042,760165,54.88
