Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IVP,EQ,2014-12-04,56.95,57.15,58.65,55.55,56.95,56.95,56.46,837,0.47,20,541,64.64
IVP,EQ,2014-12-05,56.95,56.00,56.85,55.00,55.55,55.60,55.76,6610,3.69,26,6325,95.69
IVP,EQ,2014-12-08,55.60,56.95,58.70,53.55,53.70,53.70,54.98,11272,6.20,31,795,7.05
IVP,EQ,2014-12-09,53.70,54.05,55.70,53.50,54.95,54.95,54.32,781,0.42,9,580,74.26
IVP,EQ,2014-12-10,54.95,54.00,56.00,51.65,55.70,55.70,54.42,584,0.32,23,449,76.88
IVP,EQ,2014-12-11,55.70,55.00,55.60,52.80,53.15,53.15,54.11,830,0.45,27,600,72.29
IVP,EQ,2014-12-12,53.15,53.30,53.30,53.00,53.05,53.05,53.05,2183,1.16,13,2104,96.38
IVP,EQ,2014-12-15,53.05,52.55,54.05,52.55,52.65,52.65,52.85,1478,0.78,16,994,67.25
IVP,EQ,2014-12-16,52.65,56.70,56.70,50.10,50.80,50.80,51.77,3362,1.74,40,1831,54.46
IVP,EQ,2014-12-17,50.80,50.10,50.10,48.30,49.55,49.55,49.33,2323,1.15,24,2229,95.95
IVP,EQ,2014-12-18,49.55,49.05,50.05,49.05,50.00,50.00,50.02,426,0.21,6,426,100.00
IVP,EQ,2014-12-19,50.00,50.40,51.50,50.40,51.50,51.50,51.39,335,0.17,9,300,89.55
IVP,EQ,2014-12-22,51.50,51.10,51.10,50.00,50.15,50.00,50.02,323,0.16,7,322,99.69
IVP,EQ,2014-12-23,50.00,50.30,54.20,48.35,49.15,49.10,50.39,1952,0.98,30,1100,56.35
IVP,EQ,2014-12-24,49.10,49.00,52.80,49.00,52.80,52.80,49.14,53,0.03,4,51,96.23
IVP,EQ,2014-12-26,52.80,51.00,51.75,50.00,50.00,50.15,50.25,406,0.20,12,277,68.23
IVP,EQ,2014-12-29,50.15,49.30,49.30,48.00,49.30,49.30,49.00,46,0.02,12,40,86.96
IVP,EQ,2014-12-30,49.30,49.00,49.00,47.10,48.10,48.10,48.68,701,0.34,11,425,60.63
IVP,EQ,2015-01-01,48.10,48.25,49.00,48.00,48.00,48.00,48.27,3383,1.63,19,3383,100.00
IVP,EQ,2015-01-02,48.00,49.00,53.75,48.75,50.00,50.00,49.19,1240,0.61,23,1140,91.94
IVP,EQ,2015-01-05,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50,0.03,1,50,100.00
IVP,EQ,2015-01-06,50.00,49.40,49.40,47.65,47.75,47.85,47.78,104,0.05,10,50,48.08
IVP,EQ,2015-01-07,47.85,47.05,49.85,47.05,49.85,49.85,48.92,300,0.15,3,300,100.00
IVP,EQ,2015-01-08,49.85,50.00,51.95,48.40,50.00,50.00,50.04,1205,0.60,11,202,16.76
IVP,EQ,2015-01-09,50.00,49.00,50.90,48.00,48.50,49.55,49.25,1298,0.64,22,259,19.95
IVP,EQ,2015-01-12,49.55,49.05,49.90,47.50,49.90,48.45,48.49,4934,2.39,23,4359,88.35
IVP,EQ,2015-01-13,48.45,49.90,49.90,49.00,49.05,49.05,49.10,1550,0.76,9,1450,93.55
IVP,EQ,2015-01-14,49.05,48.60,55.90,48.60,49.00,49.00,51.36,702,0.36,10,101,14.39
IVP,EQ,2015-01-15,49.00,49.00,49.10,49.00,49.05,49.05,49.04,192,0.09,6,182,94.79
IVP,EQ,2015-01-19,49.05,50.00,52.00,50.00,52.00,51.95,50.38,495,0.25,5,450,90.91
IVP,EQ,2015-01-20,51.95,51.10,53.90,50.80,52.00,52.00,52.27,915,0.48,22,824,90.05
IVP,EQ,2015-01-21,52.00,51.15,53.95,49.65,53.95,53.95,51.70,654,0.34,20,150,22.94
IVP,EQ,2015-01-22,53.95,53.00,53.00,50.10,50.30,50.15,50.47,889,0.45,21,809,91.00
IVP,EQ,2015-01-23,50.15,50.50,52.90,50.50,50.50,50.50,51.09,1700,0.87,14,760,44.71
IVP,EQ,2015-01-27,50.50,50.20,50.20,49.10,49.30,49.30,49.80,926,0.46,5,926,100.00
IVP,EQ,2015-01-30,49.30,53.00,53.00,51.50,51.50,51.65,52.46,549,0.29,8,350,63.75
IVP,EQ,2015-02-02,51.65,51.00,53.75,49.00,49.00,50.30,51.86,299,0.16,22,278,92.98
IVP,EQ,2015-02-03,50.30,49.90,49.90,49.90,49.90,49.90,49.90,40,0.02,1,40,100.00
IVP,EQ,2015-02-05,49.90,49.90,53.00,49.90,53.00,53.00,50.52,25,0.01,2,25,100.00
IVP,EQ,2015-02-06,53.00,52.00,52.00,49.30,49.35,49.35,51.18,480,0.25,27,167,34.79
IVP,EQ,2015-02-09,49.35,55.40,55.50,49.70,50.10,50.10,54.84,22137,12.14,26,19328,87.31
IVP,EQ,2015-02-10,50.10,49.75,49.75,49.75,49.75,49.75,49.75,276,0.14,4,276,100.00
IVP,EQ,2015-02-11,49.75,52.75,52.75,49.70,50.50,50.45,50.60,1425,0.72,7,1225,85.96
IVP,EQ,2015-02-12,50.45,54.00,57.00,52.90,57.00,56.05,54.72,6798,3.72,50,3311,48.71
IVP,EQ,2015-02-13,56.05,55.80,56.35,55.30,55.30,55.65,55.79,1067,0.60,17,969,90.82
IVP,EQ,2015-02-16,55.65,55.00,55.00,53.10,54.50,54.50,54.42,131,0.07,21,120,91.60
IVP,EQ,2015-02-18,54.50,54.30,54.50,52.65,52.65,52.65,53.41,178,0.10,10,174,97.75
IVP,EQ,2015-02-19,52.65,52.35,54.50,52.35,53.90,53.80,52.62,1045,0.55,15,903,86.41
IVP,EQ,2015-02-20,53.80,53.00,53.00,51.40,51.65,51.65,51.98,54,0.03,13,47,87.04
IVP,EQ,2015-02-23,51.65,51.70,52.15,51.65,52.00,52.00,51.71,2453,1.27,11,2410,98.25
IVP,EQ,2015-02-24,52.00,51.00,52.00,51.00,52.00,51.95,51.85,759,0.39,9,689,90.78
IVP,EQ,2015-02-25,51.95,51.00,53.00,50.10,50.75,51.75,50.33,1098,0.55,14,1010,91.99
IVP,EQ,2015-02-26,51.75,52.00,54.00,50.10,51.00,51.00,50.99,196,0.10,12,186,94.90
IVP,EQ,2015-02-27,51.00,57.25,57.25,51.50,51.70,52.15,54.32,26963,14.65,58,4909,18.21
IVP,EQ,2015-02-28,52.15,54.50,54.50,51.00,53.15,53.15,53.54,181,0.10,10,156,86.19
IVP,EQ,2015-03-02,53.15,52.00,54.60,50.10,51.30,51.30,50.73,266,0.13,13,260,97.74
IVP,EQ,2015-03-03,51.30,52.00,53.35,51.00,51.00,51.05,51.30,1239,0.64,9,1227,99.03
IVP,EQ,2015-03-04,51.05,50.50,54.55,50.10,52.00,52.35,51.53,509,0.26,19,278,54.62
IVP,EQ,2015-03-05,52.35,53.00,53.00,53.00,53.00,53.00,53.00,10,0.01,1,10,100.00
