Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IVRCLINFRA,EQ,2014-12-04,17.50,17.50,17.85,16.95,17.00,17.10,17.25,1869579,322.59,3075,826438,44.20
IVRCLINFRA,EQ,2014-12-05,17.10,17.00,17.85,17.00,17.15,17.30,17.41,2743500,477.65,3439,1120889,40.86
IVRCLINFRA,EQ,2014-12-08,17.30,17.10,17.35,16.65,16.75,16.75,16.93,1051171,177.98,2077,508696,48.39
IVRCLINFRA,EQ,2014-12-09,16.75,16.60,16.80,15.80,16.05,16.00,16.22,2071479,336.09,3946,1117130,53.93
IVRCLINFRA,EQ,2014-12-10,16.00,15.80,16.35,15.70,16.00,15.95,16.01,1918430,307.22,3519,1039594,54.19
IVRCLINFRA,EQ,2014-12-11,15.95,15.80,15.90,15.25,15.45,15.55,15.58,2035970,317.30,3447,1113808,54.71
IVRCLINFRA,EQ,2014-12-12,15.55,15.70,16.10,15.05,15.20,15.20,15.44,1850677,285.71,4720,878082,47.45
IVRCLINFRA,EQ,2014-12-15,15.20,15.00,15.50,14.60,15.00,15.20,15.05,2418570,364.04,4849,1352541,55.92
IVRCLINFRA,EQ,2014-12-16,15.20,15.00,15.05,14.00,14.15,14.10,14.43,2294237,330.98,4752,1281736,55.87
IVRCLINFRA,EQ,2014-12-17,14.10,14.05,14.30,12.95,13.60,13.55,13.58,2702739,367.17,4214,1346069,49.80
IVRCLINFRA,EQ,2014-12-18,13.55,14.05,15.90,14.05,15.60,15.25,14.84,2822414,418.82,3763,1307114,46.31
IVRCLINFRA,EQ,2014-12-19,15.25,15.90,15.90,14.40,14.45,14.75,15.12,2669748,403.78,4677,1197081,44.84
IVRCLINFRA,EQ,2014-12-22,14.75,14.45,15.90,14.45,15.50,15.45,15.37,4487421,689.90,8105,1161212,25.88
IVRCLINFRA,EQ,2014-12-23,15.45,15.60,15.85,14.90,15.05,15.05,15.32,1516391,232.34,2657,650228,42.88
IVRCLINFRA,EQ,2014-12-24,15.05,15.35,15.80,15.20,15.60,15.50,15.48,1599128,247.48,3291,744906,46.58
IVRCLINFRA,EQ,2014-12-26,15.50,15.30,15.65,15.15,15.55,15.50,15.39,787586,121.20,1965,420099,53.34
IVRCLINFRA,EQ,2014-12-29,15.50,15.20,16.70,15.20,16.00,16.00,16.03,3445515,552.45,6098,1021353,29.64
IVRCLINFRA,EQ,2014-12-30,16.00,16.50,16.65,16.05,16.15,16.15,16.37,2792396,457.06,7556,1432704,51.31
IVRCLINFRA,EQ,2014-12-31,16.15,16.15,17.00,16.10,16.65,16.55,16.39,1512352,247.92,5307,823135,54.43
IVRCLINFRA,EQ,2015-01-01,16.55,16.55,18.75,16.35,18.55,18.45,18.14,7861547,1426.28,18252,2485195,31.61
IVRCLINFRA,EQ,2015-01-02,18.45,18.50,18.70,18.10,18.15,18.30,18.32,3330405,610.01,7013,1804659,54.19
IVRCLINFRA,EQ,2015-01-05,18.30,18.00,19.45,18.00,18.90,18.85,18.99,3549067,673.81,7023,1870030,52.69
IVRCLINFRA,EQ,2015-01-06,18.85,18.70,18.70,17.70,17.75,17.85,18.05,2351294,424.37,5357,1169919,49.76
IVRCLINFRA,EQ,2015-01-07,17.85,17.90,17.95,17.00,17.30,17.30,17.43,1562602,272.39,3143,687536,44.00
IVRCLINFRA,EQ,2015-01-08,17.30,18.00,18.50,17.65,18.50,18.40,18.15,1765881,320.54,3656,989973,56.06
IVRCLINFRA,EQ,2015-01-09,18.40,18.40,18.95,18.25,18.40,18.50,18.55,1871523,347.20,3522,954148,50.98
IVRCLINFRA,EQ,2015-01-12,18.50,18.50,18.50,17.30,18.15,18.15,18.12,854881,154.93,1759,398381,46.60
IVRCLINFRA,EQ,2015-01-13,18.15,18.50,18.90,18.35,18.60,18.65,18.67,2243433,418.95,5564,983918,43.86
IVRCLINFRA,EQ,2015-01-14,18.65,18.55,18.60,16.65,17.85,17.85,17.88,1859357,332.36,4182,1045241,56.22
IVRCLINFRA,EQ,2015-01-15,17.85,19.00,19.50,18.40,18.80,18.95,18.95,3106298,588.69,6231,1416549,45.60
IVRCLINFRA,EQ,2015-01-16,18.95,19.00,19.15,17.45,18.50,18.50,18.51,1784497,330.38,4139,764063,42.82
IVRCLINFRA,EQ,2015-01-19,18.50,18.85,19.10,18.40,18.75,18.65,18.75,1403748,263.19,3550,661776,47.14
IVRCLINFRA,EQ,2015-01-20,18.65,18.90,18.90,18.10,18.35,18.40,18.46,1052113,194.20,2293,577105,54.85
IVRCLINFRA,EQ,2015-01-21,18.40,18.35,18.60,17.85,17.90,17.90,18.10,1053787,190.75,2561,537735,51.03
IVRCLINFRA,EQ,2015-01-22,17.90,18.00,18.55,17.55,17.70,17.65,17.90,1375485,246.28,3326,454453,33.04
IVRCLINFRA,EQ,2015-01-23,17.65,17.85,18.00,17.15,17.15,17.35,17.54,1049242,184.05,2459,511273,48.73
IVRCLINFRA,EQ,2015-01-27,17.35,17.50,17.50,17.00,17.10,17.10,17.21,853926,146.95,1967,574779,67.31
IVRCLINFRA,EQ,2015-01-28,17.10,17.15,17.40,16.85,16.90,16.95,17.11,1283120,219.60,2201,740542,57.71
IVRCLINFRA,EQ,2015-01-29,16.95,16.75,17.40,16.60,17.20,17.10,16.94,1679069,284.48,3633,1091184,64.99
IVRCLINFRA,EQ,2015-01-30,17.10,16.75,18.45,16.75,18.15,18.15,17.97,4357710,782.96,8406,1600645,36.73
IVRCLINFRA,EQ,2015-02-02,18.15,18.15,18.90,18.15,18.45,18.45,18.51,2181105,403.81,3998,799464,36.65
IVRCLINFRA,EQ,2015-02-03,18.45,18.40,18.60,17.60,17.60,17.60,17.89,1444471,258.47,2381,738868,51.15
IVRCLINFRA,EQ,2015-02-04,17.60,17.85,17.90,17.00,17.15,17.15,17.40,2436098,423.78,6374,1351655,55.48
IVRCLINFRA,EQ,2015-02-05,17.15,17.30,17.40,16.50,16.60,16.65,16.99,1433153,243.44,4347,729641,50.91
IVRCLINFRA,EQ,2015-02-06,16.65,16.90,16.95,16.15,16.30,16.30,16.42,1253317,205.81,3610,650553,51.91
IVRCLINFRA,EQ,2015-02-09,16.30,16.00,16.45,15.65,15.75,15.75,16.05,919359,147.57,1926,544094,59.18
IVRCLINFRA,EQ,2015-02-10,15.75,15.60,16.80,15.55,15.95,16.00,16.24,1445527,234.73,2618,499496,34.55
IVRCLINFRA,EQ,2015-02-11,16.00,16.05,17.25,16.05,17.10,16.95,16.68,2690312,448.72,4694,872744,32.44
IVRCLINFRA,EQ,2015-02-12,16.95,17.10,17.10,16.50,16.85,16.75,16.82,2274736,382.57,3622,810989,35.65
IVRCLINFRA,EQ,2015-02-13,16.75,16.90,17.45,16.60,16.65,16.70,16.98,1273851,216.25,2594,459063,36.04
IVRCLINFRA,EQ,2015-02-16,16.70,16.70,17.25,16.50,16.75,16.75,16.87,1474726,248.78,2661,780045,52.89
IVRCLINFRA,EQ,2015-02-18,16.75,17.10,18.40,17.10,17.80,17.85,17.94,3806154,683.00,6842,1833382,48.17
