Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JAGSNPHARM,EQ,2014-12-04,44.95,45.50,45.65,40.50,41.95,41.35,42.58,285665,121.63,3268,112867,39.51
JAGSNPHARM,EQ,2014-12-05,41.35,40.95,44.50,40.00,42.80,43.05,43.21,222702,96.23,3228,94101,42.25
JAGSNPHARM,EQ,2014-12-08,43.05,42.60,46.85,42.00,43.75,43.80,44.79,261471,117.11,3843,88043,33.67
JAGSNPHARM,EQ,2014-12-09,43.80,43.40,44.45,39.40,40.80,40.45,41.72,147074,61.36,1488,68563,46.62
JAGSNPHARM,EQ,2014-12-10,40.45,39.20,44.00,39.20,41.40,41.05,41.78,107889,45.07,1116,51876,48.08
JAGSNPHARM,EQ,2014-12-11,41.05,41.30,42.70,39.10,40.35,40.00,40.59,68934,27.98,490,41944,60.85
JAGSNPHARM,EQ,2014-12-12,40.00,40.95,41.90,37.10,37.20,37.35,39.76,78659,31.28,754,41380,52.61
JAGSNPHARM,EQ,2014-12-15,37.35,38.65,38.70,36.05,37.55,37.90,37.40,61933,23.16,808,25334,40.91
JAGSNPHARM,EQ,2014-12-16,37.90,37.80,38.80,33.35,34.40,34.30,35.65,105622,37.66,829,61514,58.24
JAGSNPHARM,EQ,2014-12-17,34.30,34.30,35.00,30.65,31.60,31.75,32.52,96338,31.33,921,30984,32.16
JAGSNPHARM,EQ,2014-12-18,31.75,33.00,35.75,33.00,34.95,35.10,34.37,131265,45.12,995,64023,48.77
JAGSNPHARM,EQ,2014-12-19,35.10,35.95,38.35,35.05,36.70,36.70,37.13,128333,47.65,1105,54079,42.14
JAGSNPHARM,EQ,2014-12-22,36.70,37.25,39.00,36.20,36.55,36.60,37.09,56140,20.82,568,31759,56.57
JAGSNPHARM,EQ,2014-12-23,36.60,36.55,37.80,35.50,36.25,36.25,36.77,43614,16.04,416,23507,53.90
JAGSNPHARM,EQ,2014-12-24,36.25,36.25,37.50,34.25,35.75,35.25,35.38,31954,11.31,360,19678,61.58
JAGSNPHARM,EQ,2014-12-26,35.25,35.40,35.95,32.70,33.20,33.35,33.79,67873,22.94,478,48695,71.74
JAGSNPHARM,EQ,2014-12-29,33.35,33.05,36.50,33.05,33.90,33.65,34.12,51042,17.42,424,22804,44.68
JAGSNPHARM,EQ,2014-12-30,33.65,33.80,39.45,33.35,38.25,38.45,37.65,363336,136.79,3183,81065,22.31
JAGSNPHARM,EQ,2014-12-31,38.45,38.40,38.50,36.00,37.75,36.80,37.10,130465,48.40,1229,50987,39.08
JAGSNPHARM,EQ,2015-01-01,36.80,36.85,43.75,36.80,43.05,43.05,41.61,499576,207.87,3491,142650,28.55
JAGSNPHARM,EQ,2015-01-02,43.05,44.05,45.20,41.00,41.75,41.60,43.32,394960,171.10,3254,155483,39.37
JAGSNPHARM,EQ,2015-01-05,41.60,42.65,43.70,40.65,41.55,41.25,41.93,84121,35.27,859,37484,44.56
JAGSNPHARM,EQ,2015-01-06,41.25,41.10,41.10,37.50,37.85,37.85,38.74,162578,62.99,1552,78524,48.30
JAGSNPHARM,EQ,2015-01-07,37.85,37.15,39.90,37.15,37.80,37.90,38.42,107942,41.47,1467,47818,44.30
JAGSNPHARM,EQ,2015-01-08,37.90,39.05,39.70,38.35,38.90,38.90,39.05,49007,19.14,453,23303,47.55
JAGSNPHARM,EQ,2015-01-09,38.90,39.60,39.60,38.00,38.10,38.10,38.53,50138,19.32,375,25442,50.74
JAGSNPHARM,EQ,2015-01-12,38.10,38.45,38.50,36.55,37.40,37.20,37.29,44284,16.52,358,26852,60.64
JAGSNPHARM,EQ,2015-01-13,37.20,38.00,39.75,36.85,37.80,37.90,38.50,83087,31.99,987,35654,42.91
JAGSNPHARM,EQ,2015-01-14,37.90,37.60,38.40,37.20,37.70,37.35,37.58,20437,7.68,275,12720,62.24
JAGSNPHARM,EQ,2015-01-15,37.35,37.40,38.95,37.15,37.80,37.40,37.83,37071,14.02,333,20633,55.66
JAGSNPHARM,EQ,2015-01-16,37.40,37.15,37.45,35.40,36.00,36.10,36.50,36033,13.15,424,19428,53.92
JAGSNPHARM,EQ,2015-01-19,36.10,36.10,37.70,35.65,36.40,36.50,36.77,40188,14.78,469,24721,61.51
