Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JAIBALAJI,EQ,2014-12-04,17.60,19.00,19.35,17.70,18.50,18.40,18.85,29330,5.53,215,22398,76.37
JAIBALAJI,EQ,2014-12-05,18.40,19.35,19.85,17.30,17.95,18.15,18.39,9115,1.68,99,6021,66.06
JAIBALAJI,EQ,2014-12-08,18.15,17.50,17.75,17.00,17.45,17.10,17.35,3090,0.54,36,2270,73.46
JAIBALAJI,EQ,2014-12-09,17.10,17.45,17.45,16.50,17.10,17.10,16.84,3733,0.63,23,2351,62.98
JAIBALAJI,EQ,2014-12-10,17.10,16.30,18.00,15.50,17.00,17.00,16.64,6611,1.10,70,4205,63.61
JAIBALAJI,EQ,2014-12-11,17.00,16.00,17.80,16.00,16.50,16.50,16.61,1657,0.28,19,1493,90.10
JAIBALAJI,EQ,2014-12-12,16.50,17.50,17.50,15.20,15.20,16.40,16.46,30239,4.98,149,27308,90.31
JAIBALAJI,EQ,2014-12-15,16.40,14.15,16.00,14.15,15.30,15.30,15.41,58949,9.08,1090,55950,94.91
JAIBALAJI,EQ,2014-12-16,15.30,14.30,16.80,13.00,13.75,13.30,13.51,63175,8.54,179,59139,93.61
JAIBALAJI,EQ,2014-12-17,13.30,14.00,14.50,13.05,13.20,13.25,13.33,96685,12.89,371,74947,77.52
JAIBALAJI,EQ,2014-12-18,13.25,15.45,15.45,13.50,15.45,15.35,14.43,21724,3.13,132,13806,63.55
JAIBALAJI,EQ,2014-12-19,15.35,15.00,17.25,14.85,17.20,16.90,16.60,10851,1.80,91,7170,66.08
JAIBALAJI,EQ,2014-12-22,16.90,18.30,18.30,14.05,14.05,14.35,14.92,81932,12.22,505,61978,75.65
JAIBALAJI,EQ,2014-12-23,14.35,14.70,16.80,14.25,14.80,14.85,15.05,29304,4.41,107,21215,72.40
JAIBALAJI,EQ,2014-12-24,14.85,14.60,15.45,13.30,14.55,14.30,14.34,21955,3.15,93,17025,77.54
JAIBALAJI,EQ,2014-12-26,14.30,14.40,15.45,14.05,14.95,14.65,14.69,4218,0.62,47,2818,66.81
JAIBALAJI,EQ,2014-12-29,14.65,15.65,15.75,14.55,15.00,15.00,15.17,7940,1.20,47,4740,59.70
JAIBALAJI,EQ,2014-12-30,15.00,14.10,15.75,14.00,15.00,14.95,15.14,3850,0.58,39,2495,64.81
JAIBALAJI,EQ,2014-12-31,14.95,15.10,15.20,14.45,14.75,14.75,14.90,10503,1.57,49,7800,74.26
JAIBALAJI,EQ,2015-01-01,14.75,15.80,15.80,14.85,15.50,15.45,15.44,12256,1.89,23,11880,96.93
JAIBALAJI,EQ,2015-01-02,15.45,15.00,15.50,14.60,15.40,15.45,15.25,10621,1.62,63,7707,72.56
JAIBALAJI,EQ,2015-01-05,15.45,15.00,18.50,14.80,16.40,16.35,16.65,36011,5.99,154,18314,50.86
JAIBALAJI,EQ,2015-01-06,16.35,15.30,16.40,14.60,15.00,15.05,14.99,18914,2.84,86,10744,56.80
JAIBALAJI,EQ,2015-01-07,15.05,15.20,15.45,14.50,15.25,15.05,15.07,3261,0.49,28,2898,88.87
JAIBALAJI,EQ,2015-01-08,15.05,15.10,15.50,14.80,15.05,15.10,14.98,10329,1.55,32,10022,97.03
JAIBALAJI,EQ,2015-01-09,15.10,15.00,15.40,14.05,14.55,14.55,14.83,27660,4.10,71,26691,96.50
JAIBALAJI,EQ,2015-01-12,14.55,14.55,15.00,14.30,14.60,14.60,14.63,20323,2.97,59,13066,64.29
JAIBALAJI,EQ,2015-01-13,14.60,15.60,15.60,14.45,15.00,15.00,14.77,4460,0.66,33,3736,83.77
JAIBALAJI,EQ,2015-01-14,15.00,14.90,15.00,14.05,14.50,14.50,14.51,12202,1.77,80,8740,71.63
JAIBALAJI,EQ,2015-01-15,14.50,14.50,15.60,14.50,15.20,15.55,14.92,19724,2.94,66,17940,90.96
JAIBALAJI,EQ,2015-01-16,15.55,15.05,15.90,15.00,15.10,15.10,15.21,16789,2.55,36,14051,83.69
JAIBALAJI,EQ,2015-01-19,15.10,15.50,15.80,15.15,15.80,15.45,15.29,7154,1.09,32,6720,93.93
JAIBALAJI,EQ,2015-01-20,15.45,16.00,16.00,14.80,15.35,15.35,14.97,47822,7.16,52,44479,93.01
JAIBALAJI,EQ,2015-01-21,15.35,15.90,15.90,15.20,15.65,15.60,15.55,6275,0.98,47,3671,58.50
JAIBALAJI,EQ,2015-01-22,15.60,15.25,15.80,15.00,15.40,15.40,15.33,4680,0.72,23,4480,95.73
JAIBALAJI,EQ,2015-01-23,15.40,15.00,15.50,14.50,15.05,15.05,14.90,11270,1.68,43,7571,67.18
JAIBALAJI,EQ,2015-01-27,15.05,15.25,15.50,14.30,14.80,14.80,14.82,8188,1.21,23,7827,95.59
JAIBALAJI,EQ,2015-01-28,14.80,14.80,15.70,14.25,14.50,14.45,14.71,12085,1.78,25,11426,94.55
JAIBALAJI,EQ,2015-01-29,14.45,14.50,15.30,14.50,14.60,14.60,14.63,1193,0.17,13,1043,87.43
JAIBALAJI,EQ,2015-01-30,14.60,14.10,15.40,14.10,15.25,15.15,15.01,5005,0.75,77,2467,49.29
JAIBALAJI,EQ,2015-02-02,15.15,14.80,18.15,14.80,16.85,16.90,17.07,193918,33.11,460,76383,39.39
JAIBALAJI,EQ,2015-02-03,16.90,16.20,16.75,15.40,15.50,15.55,15.90,9545,1.52,123,7424,77.78
JAIBALAJI,EQ,2015-02-04,15.55,15.00,17.75,15.00,16.00,16.15,16.45,16017,2.64,82,15063,94.04
JAIBALAJI,EQ,2015-02-05,16.15,16.00,16.15,15.00,15.00,15.05,15.38,8765,1.35,63,7641,87.18
JAIBALAJI,EQ,2015-02-06,15.05,14.90,15.50,14.55,15.00,15.45,15.02,49826,7.48,382,38389,77.05
JAIBALAJI,EQ,2015-02-09,15.45,15.40,15.40,14.00,15.40,14.75,14.29,39512,5.65,147,34228,86.63
JAIBALAJI,EQ,2015-02-10,14.75,14.50,16.00,14.30,14.50,14.55,15.05,20119,3.03,86,3082,15.32
JAIBALAJI,EQ,2015-02-11,14.55,14.40,15.25,14.35,15.00,15.05,14.96,3505,0.52,18,3387,96.63
JAIBALAJI,EQ,2015-02-12,15.05,14.60,15.50,14.30,14.50,14.60,14.62,3745,0.55,55,2014,53.78
JAIBALAJI,EQ,2015-02-13,14.60,14.55,15.20,14.55,15.00,15.00,14.99,19947,2.99,72,19733,98.93
JAIBALAJI,EQ,2015-02-16,15.00,14.30,15.90,14.30,14.70,14.70,14.62,11974,1.75,57,9041,75.51
JAIBALAJI,EQ,2015-02-18,14.70,14.00,14.70,14.00,14.50,14.50,14.27,3822,0.55,49,3128,81.84
JAIBALAJI,EQ,2015-02-19,14.50,14.20,15.20,13.20,14.30,14.90,14.49,20410,2.96,113,16371,80.21
JAIBALAJI,EQ,2015-02-20,14.90,14.00,15.25,14.00,15.25,15.10,14.67,11470,1.68,42,7816,68.14
JAIBALAJI,EQ,2015-02-23,15.10,14.75,15.40,14.10,15.00,15.00,14.90,21846,3.25,115,19095,87.41
JAIBALAJI,EQ,2015-02-24,15.00,15.00,15.30,14.35,14.35,14.40,14.88,17718,2.64,78,16656,94.01
JAIBALAJI,EQ,2015-02-25,14.40,14.05,14.85,14.05,14.20,14.20,14.43,974,0.14,14,675,69.30
JAIBALAJI,EQ,2015-02-26,14.20,14.00,14.60,13.55,14.00,13.95,13.96,7173,1.00,64,6085,84.83
