Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JAYSREETEA,EQ,2014-12-04,90.70,91.00,92.95,91.00,91.60,91.75,91.89,54770,50.33,766,25114,45.85
JAYSREETEA,EQ,2014-12-05,91.75,92.00,92.95,90.60,90.95,91.20,91.85,43167,39.65,540,18071,41.86
JAYSREETEA,EQ,2014-12-08,91.20,91.20,91.90,89.20,89.35,89.45,90.30,34114,30.81,401,17162,50.31
JAYSREETEA,EQ,2014-12-09,89.45,89.45,90.55,87.60,88.00,87.80,88.49,40077,35.47,470,25336,63.22
JAYSREETEA,EQ,2014-12-10,87.80,88.00,90.45,87.50,88.25,88.40,88.85,34506,30.66,476,15654,45.37
JAYSREETEA,EQ,2014-12-11,88.40,88.95,91.60,88.60,89.30,89.55,90.14,62986,56.77,760,28820,45.76
JAYSREETEA,EQ,2014-12-12,89.55,89.75,90.45,86.85,86.85,87.25,88.33,40098,35.42,519,22107,55.13
JAYSREETEA,EQ,2014-12-15,87.25,87.60,87.65,85.65,85.95,85.95,86.70,41495,35.98,517,10041,24.20
JAYSREETEA,EQ,2014-12-16,85.95,85.70,85.85,82.80,83.90,84.05,84.06,58618,49.27,800,30067,51.29
JAYSREETEA,EQ,2014-12-17,84.05,84.05,84.45,81.20,81.95,81.90,82.36,34831,28.69,566,16834,48.33
JAYSREETEA,EQ,2014-12-18,81.90,85.45,85.45,82.15,82.90,82.65,83.26,98888,82.33,964,52172,52.76
JAYSREETEA,EQ,2014-12-19,82.65,83.70,85.75,83.00,84.20,84.05,84.51,101242,85.56,1282,25456,25.14
JAYSREETEA,EQ,2014-12-22,84.05,84.15,85.55,83.95,85.45,85.00,84.77,34864,29.55,458,16650,47.76
JAYSREETEA,EQ,2014-12-23,85.00,85.65,85.90,83.30,83.50,83.70,84.63,24902,21.07,335,13703,55.03
JAYSREETEA,EQ,2014-12-24,83.70,87.40,87.50,84.50,86.25,86.05,85.94,314250,270.06,3259,34806,11.08
JAYSREETEA,EQ,2014-12-26,86.05,86.35,86.80,84.00,85.30,85.20,85.57,52198,44.67,574,15471,29.64
JAYSREETEA,EQ,2014-12-29,85.20,85.95,87.85,85.70,85.95,85.90,86.37,51853,44.79,777,15181,29.28
JAYSREETEA,EQ,2014-12-30,85.90,86.25,87.00,85.55,87.00,86.70,86.48,45809,39.61,468,17290,37.74
