Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JINDCOT,EQ,2014-12-04,15.60,16.10,16.50,14.50,14.60,14.70,15.27,154767,23.64,1079,86331,55.78
JINDCOT,EQ,2014-12-05,14.70,14.70,15.00,13.70,13.70,14.00,14.28,85046,12.14,421,60383,71.00
JINDCOT,EQ,2014-12-08,14.00,13.80,14.20,13.00,13.25,13.15,13.41,69395,9.30,385,51109,73.65
JINDCOT,EQ,2014-12-09,13.15,13.05,14.75,13.00,14.30,14.10,14.20,229514,32.60,776,101411,44.19
JINDCOT,EQ,2014-12-10,14.10,14.40,14.50,13.95,14.05,14.05,14.26,34008,4.85,156,23101,67.93
JINDCOT,EQ,2014-12-11,14.05,14.00,14.30,13.50,13.90,13.75,13.94,126365,17.62,241,116135,91.90
JINDCOT,EQ,2014-12-12,13.75,13.80,14.10,13.60,13.80,13.75,13.80,58632,8.09,161,50600,86.30
JINDCOT,EQ,2014-12-15,13.75,13.55,13.95,13.50,13.55,13.60,13.62,15905,2.17,121,10437,65.62
JINDCOT,EQ,2014-12-16,13.60,13.50,13.50,12.30,12.70,12.80,13.04,74025,9.65,332,48878,66.03
JINDCOT,EQ,2014-12-17,12.80,13.25,13.25,12.60,12.65,12.70,12.84,31602,4.06,309,22198,70.24
JINDCOT,EQ,2014-12-18,12.70,12.65,13.50,12.60,13.20,13.15,13.20,25723,3.40,190,14519,56.44
JINDCOT,EQ,2014-12-19,13.15,13.05,13.95,12.80,13.10,13.05,13.48,109070,14.70,383,73387,67.28
JINDCOT,EQ,2014-12-22,13.05,13.45,13.55,13.15,13.40,13.40,13.35,22435,3.00,144,16102,71.77
JINDCOT,EQ,2014-12-23,13.40,13.40,13.90,13.00,13.05,13.05,13.25,15087,2.00,125,10986,72.82
JINDCOT,EQ,2014-12-24,13.05,13.10,13.65,13.00,13.05,13.10,13.19,20651,2.72,130,16333,79.09
JINDCOT,EQ,2014-12-26,13.10,13.00,13.45,12.80,12.90,13.00,13.08,18630,2.44,141,12797,68.69
JINDCOT,EQ,2014-12-29,13.00,12.95,13.50,12.50,13.35,13.15,13.10,40566,5.31,295,20227,49.86
JINDCOT,EQ,2014-12-30,13.15,13.40,13.40,12.70,12.80,12.75,12.89,36645,4.72,207,28659,78.21
JINDCOT,EQ,2014-12-31,12.75,13.25,13.35,12.90,12.90,13.00,13.07,18039,2.36,113,10699,59.31
JINDCOT,EQ,2015-01-01,13.00,12.90,13.25,12.80,13.00,13.05,13.08,24420,3.19,166,13116,53.71
JINDCOT,EQ,2015-01-02,13.05,13.30,13.60,13.05,13.30,13.25,13.36,60675,8.11,235,43729,72.07
JINDCOT,EQ,2015-01-05,13.25,13.10,13.50,12.90,13.00,13.00,13.10,82567,10.81,286,70170,84.99
JINDCOT,EQ,2015-01-06,13.00,12.90,13.30,12.35,12.50,12.55,12.69,57777,7.33,247,51349,88.87
JINDCOT,EQ,2015-01-07,12.55,12.60,12.80,12.45,12.50,12.50,12.57,28038,3.52,162,19423,69.27
JINDCOT,EQ,2015-01-08,12.50,12.70,12.90,12.40,12.55,12.55,12.64,40163,5.07,158,31352,78.06
JINDCOT,EQ,2015-01-09,12.55,12.70,13.00,12.40,12.55,12.40,12.58,38934,4.90,193,27476,70.57
JINDCOT,EQ,2015-01-12,12.40,12.40,12.75,12.20,12.35,12.40,12.45,39048,4.86,197,26576,68.06
JINDCOT,EQ,2015-01-13,12.40,12.30,12.60,12.05,12.25,12.25,12.32,25057,3.09,101,17502,69.85
JINDCOT,EQ,2015-01-14,12.25,12.25,12.60,12.05,12.25,12.20,12.18,30880,3.76,132,29199,94.56
JINDCOT,EQ,2015-01-15,12.20,12.10,12.65,12.10,12.25,12.25,12.28,16874,2.07,99,12178,72.17
JINDCOT,EQ,2015-01-16,12.25,12.30,12.30,12.00,12.00,12.00,12.09,19542,2.36,102,14316,73.26
JINDCOT,EQ,2015-01-19,12.00,12.20,12.65,12.05,12.50,12.40,12.48,51030,6.37,190,38994,76.41
JINDCOT,EQ,2015-01-20,12.40,12.25,12.60,12.00,12.15,12.25,12.22,150582,18.40,232,131590,87.39
JINDCOT,EQ,2015-01-21,12.25,12.30,12.50,12.00,12.20,12.05,12.13,56811,6.89,250,37708,66.37
JINDCOT,EQ,2015-01-22,12.05,12.10,12.45,11.90,11.95,11.95,12.11,26905,3.26,132,18610,69.17
JINDCOT,EQ,2015-01-23,11.95,12.00,12.20,11.55,11.65,11.80,11.74,35474,4.16,228,22970,64.75
JINDCOT,EQ,2015-01-27,11.80,11.95,11.95,11.25,11.60,11.60,11.53,26069,3.01,196,20093,77.08
JINDCOT,EQ,2015-01-28,11.60,11.60,13.20,11.30,12.50,12.35,12.16,292745,35.59,631,190877,65.20
JINDCOT,EQ,2015-01-29,12.35,12.50,12.50,11.90,11.95,11.95,12.08,29386,3.55,146,23146,78.77
