Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JINDWORLD,EQ,2014-12-05,111.60,110.00,119.60,110.00,119.60,119.60,114.80,600,0.69,2,0,0.00
JINDWORLD,EQ,2014-12-08,119.60,116.00,122.95,112.05,118.90,118.90,118.20,379,0.45,13,38,10.03
JINDWORLD,EQ,2014-12-09,118.90,115.00,116.95,108.95,113.00,112.95,112.07,414,0.46,21,260,62.80
JINDWORLD,EQ,2014-12-10,112.95,118.70,118.70,115.00,115.00,115.00,115.23,160,0.18,2,160,100.00
JINDWORLD,EQ,2014-12-12,115.00,112.00,121.00,108.00,113.00,113.00,109.76,431,0.47,29,376,87.24
JINDWORLD,EQ,2014-12-15,113.00,112.00,112.00,107.00,107.00,107.70,107.89,243,0.26,17,189,77.78
JINDWORLD,EQ,2014-12-16,107.70,106.00,111.00,104.00,104.00,104.00,108.42,206,0.22,8,4,1.94
JINDWORLD,EQ,2014-12-17,104.00,100.00,110.95,99.00,110.95,106.95,106.26,1297,1.38,34,212,16.35
JINDWORLD,EQ,2014-12-18,106.95,100.00,117.80,98.05,101.00,103.95,108.07,688,0.74,34,368,53.49
JINDWORLD,EQ,2014-12-19,103.95,122.95,124.70,109.00,109.00,110.25,114.63,1425,1.63,65,752,52.77
JINDWORLD,EQ,2014-12-22,110.25,117.95,125.00,112.10,118.00,114.80,118.31,1255,1.48,65,425,33.86
JINDWORLD,EQ,2014-12-23,114.80,115.00,122.70,111.55,115.00,114.50,114.92,584,0.67,41,424,72.60
JINDWORLD,EQ,2014-12-24,114.50,114.85,115.00,114.85,115.00,114.95,114.94,20,0.02,3,20,100.00
JINDWORLD,EQ,2014-12-26,114.95,116.00,124.90,114.90,121.10,122.20,121.89,5916,7.21,149,2175,36.76
JINDWORLD,EQ,2014-12-29,122.20,123.10,134.00,123.10,131.00,128.25,129.21,1812,2.34,66,645,35.60
JINDWORLD,EQ,2014-12-30,128.25,128.25,131.00,125.00,125.00,125.35,128.51,634,0.81,21,577,91.01
JINDWORLD,EQ,2014-12-31,125.35,122.00,125.00,121.00,125.00,125.00,122.42,66,0.08,5,62,93.94
JINDWORLD,EQ,2015-01-01,125.00,122.00,129.00,121.70,123.00,123.25,123.47,251,0.31,9,134,53.39
JINDWORLD,EQ,2015-01-02,123.25,129.00,129.00,122.00,126.00,124.10,124.23,394,0.49,14,214,54.31
JINDWORLD,EQ,2015-01-05,124.10,121.60,121.60,116.10,117.20,117.70,117.94,96,0.11,18,58,60.42
JINDWORLD,EQ,2015-01-06,117.70,125.00,125.00,115.00,121.00,121.35,119.98,911,1.09,34,229,25.14
JINDWORLD,EQ,2015-01-07,121.35,116.55,123.00,112.50,113.55,113.55,115.82,312,0.36,22,202,64.74
JINDWORLD,EQ,2015-01-08,113.55,113.00,120.90,113.00,115.00,115.00,114.83,175,0.20,9,175,100.00
JINDWORLD,EQ,2015-01-09,115.00,116.00,116.00,111.10,113.00,113.00,113.15,86,0.10,9,81,94.19
JINDWORLD,EQ,2015-01-12,113.00,111.00,117.60,110.50,114.95,114.95,112.82,400,0.45,9,270,67.50
JINDWORLD,EQ,2015-01-13,114.95,113.50,115.00,108.05,112.45,112.10,110.09,478,0.53,33,404,84.52
JINDWORLD,EQ,2015-01-14,112.10,111.00,114.90,109.00,110.00,110.00,110.07,203,0.22,17,186,91.63
JINDWORLD,EQ,2015-01-15,110.00,108.15,114.65,108.15,108.50,110.90,111.14,1110,1.23,14,205,18.47
JINDWORLD,EQ,2015-01-16,110.90,114.90,123.10,113.05,113.05,113.05,117.94,400,0.47,25,371,92.75
JINDWORLD,EQ,2015-01-19,113.05,123.20,123.20,112.00,113.15,114.70,116.07,493,0.57,24,155,31.44
JINDWORLD,EQ,2015-01-20,114.70,112.00,121.00,111.20,111.20,111.30,113.43,582,0.66,12,278,47.77
JINDWORLD,EQ,2015-01-21,111.30,111.00,122.95,111.00,114.00,114.00,115.91,427,0.49,38,165,38.64
JINDWORLD,EQ,2015-01-22,114.00,111.00,121.00,111.00,111.60,111.60,113.89,604,0.69,16,226,37.42
JINDWORLD,EQ,2015-01-23,111.60,114.00,114.00,114.00,114.00,114.00,114.00,42,0.05,5,23,54.76
JINDWORLD,EQ,2015-01-27,114.00,110.05,117.40,110.00,113.00,113.00,111.78,359,0.40,23,182,50.70
JINDWORLD,EQ,2015-01-28,113.00,123.20,123.50,111.00,111.00,112.25,116.46,878,1.02,40,440,50.11
JINDWORLD,EQ,2015-01-29,112.25,111.00,114.00,111.00,114.00,114.00,111.54,61,0.07,7,55,90.16
JINDWORLD,EQ,2015-01-30,114.00,110.00,113.00,108.05,109.00,109.05,109.76,66,0.07,11,49,74.24
JINDWORLD,EQ,2015-02-02,109.05,107.00,113.00,107.00,112.80,112.80,110.04,204,0.22,4,2,0.98
JINDWORLD,EQ,2015-02-04,112.80,109.15,110.00,109.10,110.00,109.95,109.93,108,0.12,4,105,97.22
JINDWORLD,EQ,2015-02-05,109.95,106.70,114.95,106.60,114.95,114.95,110.77,129,0.14,9,126,97.67
JINDWORLD,EQ,2015-02-06,114.95,110.00,110.00,107.30,109.50,109.50,107.94,65,0.07,10,55,84.62
JINDWORLD,EQ,2015-02-09,109.50,107.00,113.90,107.00,107.05,107.25,107.07,161,0.17,7,160,99.38
JINDWORLD,EQ,2015-02-10,107.25,106.10,106.10,103.00,103.00,103.00,105.86,31,0.03,6,28,90.32
JINDWORLD,EQ,2015-02-12,103.00,103.05,107.00,101.50,106.00,104.55,103.48,275,0.28,13,235,85.45
JINDWORLD,EQ,2015-02-13,104.55,105.55,115.65,105.55,110.00,110.00,110.93,1128,1.25,37,167,14.80
JINDWORLD,EQ,2015-02-16,110.00,106.30,109.00,105.50,105.50,106.00,106.48,155,0.17,12,100,64.52
JINDWORLD,EQ,2015-02-18,106.00,103.85,108.95,103.85,107.00,107.00,106.88,132,0.14,5,125,94.70
JINDWORLD,EQ,2015-02-19,107.00,104.25,112.70,100.70,105.00,105.00,106.91,373,0.40,33,281,75.34
JINDWORLD,EQ,2015-02-20,105.00,105.00,110.00,102.05,102.15,102.20,103.12,386,0.40,15,267,69.17
JINDWORLD,EQ,2015-02-23,102.20,105.05,110.00,98.00,98.10,100.15,103.85,3602,3.74,91,2670,74.13
JINDWORLD,EQ,2015-02-24,100.15,103.05,107.00,98.00,101.10,101.10,100.47,269,0.27,16,145,53.90
JINDWORLD,EQ,2015-02-25,101.10,99.15,100.00,93.15,95.00,95.65,97.31,1698,1.65,48,1009,59.42
JINDWORLD,EQ,2015-02-26,95.65,95.65,102.00,90.00,90.10,90.60,93.20,2701,2.52,90,996,36.88
JINDWORLD,EQ,2015-02-27,90.60,94.50,95.60,94.50,95.00,95.20,95.20,52,0.05,5,51,98.08
JINDWORLD,EQ,2015-02-28,95.20,96.40,96.50,83.80,86.05,89.35,85.41,12562,10.73,122,10000,79.61
JINDWORLD,EQ,2015-03-02,89.35,93.50,93.90,83.25,88.00,89.00,88.02,2571,2.26,89,1735,67.48
JINDWORLD,EQ,2015-03-03,89.00,85.00,91.00,84.10,85.10,86.40,87.00,1063,0.92,59,682,64.16
JINDWORLD,EQ,2015-03-04,86.40,87.00,88.00,81.05,83.00,85.55,86.37,2027,1.75,30,2022,99.75
JINDWORLD,EQ,2015-03-05,85.55,82.75,90.00,82.75,86.00,88.10,86.80,1578,1.37,31,1257,79.66
