Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JMCPROJECT,EQ,2014-12-04,166.35,165.00,168.00,160.65,162.00,162.70,163.98,8584,14.08,211,6604,76.93
JMCPROJECT,EQ,2014-12-05,162.70,166.00,168.70,158.45,161.95,161.15,161.60,20276,32.77,369,12621,62.25
JMCPROJECT,EQ,2014-12-08,161.15,160.00,170.00,158.20,169.10,168.80,165.86,32118,53.27,513,24788,77.18
JMCPROJECT,EQ,2014-12-09,168.80,169.00,169.75,160.65,168.00,167.65,165.68,17830,29.54,342,11301,63.38
JMCPROJECT,EQ,2014-12-10,167.65,166.10,167.80,162.35,164.60,165.20,165.72,7812,12.95,236,4592,58.78
JMCPROJECT,EQ,2014-12-11,165.20,164.10,181.90,162.05,176.30,175.90,172.60,90167,155.63,884,78799,87.39
JMCPROJECT,EQ,2014-12-12,175.90,179.90,187.40,176.15,180.30,180.90,182.86,78567,143.66,1436,49592,63.12
JMCPROJECT,EQ,2014-12-15,180.90,173.10,181.40,173.10,174.10,174.20,177.44,20453,36.29,399,15121,73.93
JMCPROJECT,EQ,2014-12-16,174.20,175.50,175.50,161.50,162.00,164.15,164.77,74810,123.26,485,61929,82.78
JMCPROJECT,EQ,2014-12-17,164.15,163.00,164.90,157.15,159.00,159.75,160.08,7071,11.32,261,2973,42.04
JMCPROJECT,EQ,2014-12-18,159.75,161.00,171.70,161.00,168.60,169.15,168.71,14658,24.73,322,10222,69.74
JMCPROJECT,EQ,2014-12-19,169.15,171.00,177.00,169.00,173.00,172.10,174.01,27515,47.88,424,14796,53.77
JMCPROJECT,EQ,2014-12-22,172.10,171.45,178.50,170.10,173.40,171.50,174.29,12189,21.24,333,5500,45.12
JMCPROJECT,EQ,2014-12-23,171.50,173.00,176.40,165.00,170.80,167.95,170.01,132485,225.24,299,129116,97.46
JMCPROJECT,EQ,2014-12-24,167.95,168.00,170.80,166.50,170.75,169.65,168.76,2573,4.34,83,1535,59.66
JMCPROJECT,EQ,2014-12-26,169.65,170.00,177.90,168.35,171.25,172.60,173.70,18683,32.45,415,7923,42.41
JMCPROJECT,EQ,2014-12-29,172.60,174.00,177.95,172.15,173.05,174.60,175.74,14416,25.34,272,10939,75.88
JMCPROJECT,EQ,2014-12-30,174.60,175.00,187.80,175.00,182.55,181.50,180.97,59532,107.73,1231,34009,57.13
