Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JUBLFOOD,EQ,2014-12-04,1433.00,1431.10,1452.00,1376.25,1395.00,1390.25,1406.47,368565,5183.76,18072,162019,43.96
JUBLFOOD,EQ,2014-12-05,1390.25,1395.00,1417.00,1373.15,1402.00,1404.90,1399.68,257048,3597.85,14927,105995,41.24
JUBLFOOD,EQ,2014-12-08,1404.90,1395.00,1410.40,1375.00,1387.55,1395.10,1397.60,198369,2772.40,12061,70132,35.35
JUBLFOOD,EQ,2014-12-09,1395.10,1387.55,1398.00,1327.25,1344.00,1340.90,1348.09,208293,2807.98,11588,62501,30.01
JUBLFOOD,EQ,2014-12-10,1340.90,1332.00,1374.00,1295.75,1317.35,1322.55,1322.72,216624,2865.33,12209,76641,35.38
JUBLFOOD,EQ,2014-12-11,1322.55,1318.00,1349.80,1286.05,1304.45,1303.30,1326.49,285434,3786.25,11751,116897,40.95
JUBLFOOD,EQ,2014-12-12,1303.30,1310.70,1375.35,1306.00,1359.90,1355.90,1356.35,497477,6747.55,23053,223816,44.99
JUBLFOOD,EQ,2014-12-15,1355.90,1345.00,1365.65,1309.95,1329.30,1325.50,1345.46,141534,1904.28,10865,50951,36.00
JUBLFOOD,EQ,2014-12-16,1325.50,1313.00,1316.00,1284.10,1293.00,1298.55,1300.04,178359,2318.74,10547,63821,35.78
JUBLFOOD,EQ,2014-12-17,1298.55,1285.60,1328.20,1271.05,1289.85,1292.90,1303.67,220582,2875.66,14566,74369,33.71
JUBLFOOD,EQ,2014-12-18,1292.90,1310.00,1330.00,1310.00,1330.00,1324.70,1321.58,109759,1450.55,8910,36475,33.23
JUBLFOOD,EQ,2014-12-19,1324.70,1340.00,1352.00,1321.40,1339.00,1330.20,1335.03,174240,2326.16,9810,61489,35.29
JUBLFOOD,EQ,2014-12-22,1330.20,1337.00,1363.95,1316.70,1360.80,1358.20,1354.76,161075,2182.19,7912,59225,36.77
JUBLFOOD,EQ,2014-12-23,1358.20,1355.00,1374.85,1345.90,1358.00,1357.60,1358.46,126900,1723.88,6431,35818,28.23
JUBLFOOD,EQ,2014-12-24,1357.60,1359.50,1382.40,1346.85,1350.95,1361.10,1363.90,483081,6588.74,10298,322245,66.71
JUBLFOOD,EQ,2014-12-26,1361.10,1362.40,1370.90,1333.20,1348.50,1349.90,1347.56,94552,1274.15,7747,24527,25.94
JUBLFOOD,EQ,2014-12-29,1349.90,1351.40,1364.40,1336.50,1345.10,1346.00,1347.66,111622,1504.28,8440,36905,33.06
JUBLFOOD,EQ,2014-12-30,1346.00,1347.45,1358.55,1322.00,1332.10,1334.30,1335.43,86233,1151.58,7386,18659,21.64
