Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JUBLINDS,EQ,2014-12-04,69.65,70.95,73.00,69.00,71.95,71.50,70.81,7151,5.06,105,5889,82.35
JUBLINDS,EQ,2014-12-05,71.50,71.00,72.80,69.55,70.05,70.15,70.66,992,0.70,42,762,76.81
JUBLINDS,EQ,2014-12-08,70.15,72.00,72.05,68.10,70.00,69.50,70.72,7090,5.01,166,5073,71.55
JUBLINDS,EQ,2014-12-09,69.50,69.50,70.90,66.00,67.00,66.70,68.04,4450,3.03,140,3527,79.26
JUBLINDS,EQ,2014-12-10,66.70,66.60,68.75,65.00,65.20,66.30,66.22,2697,1.79,78,1992,73.86
JUBLINDS,EQ,2014-12-11,66.30,68.50,68.50,64.05,66.00,66.60,66.05,1461,0.96,70,1090,74.61
JUBLINDS,EQ,2014-12-12,66.60,66.50,69.00,64.10,64.20,65.80,66.06,2009,1.33,71,1419,70.63
JUBLINDS,EQ,2014-12-15,65.80,64.05,70.00,64.05,67.75,67.75,66.66,1948,1.30,48,1191,61.14
JUBLINDS,EQ,2014-12-16,67.75,64.25,67.00,62.50,65.00,65.10,64.41,2054,1.32,75,1504,73.22
JUBLINDS,EQ,2014-12-17,65.10,68.80,68.80,59.00,60.25,61.70,63.20,3389,2.14,137,1889,55.74
JUBLINDS,EQ,2014-12-18,61.70,64.30,66.40,63.30,65.50,65.05,64.63,1628,1.05,68,1246,76.54
JUBLINDS,EQ,2014-12-19,65.05,64.30,65.95,63.70,63.75,63.90,64.38,1187,0.76,39,888,74.81
JUBLINDS,EQ,2014-12-22,63.90,63.05,64.85,61.85,63.75,63.75,63.17,1945,1.23,66,1444,74.24
JUBLINDS,EQ,2014-12-23,63.75,69.95,69.95,62.20,64.95,64.95,64.81,3407,2.21,91,2173,63.78
JUBLINDS,EQ,2014-12-24,64.95,62.60,67.00,62.60,64.10,65.15,66.28,1178,0.78,47,956,81.15
JUBLINDS,EQ,2014-12-26,65.15,68.95,68.95,64.60,67.20,67.00,66.86,730,0.49,97,247,33.84
JUBLINDS,EQ,2014-12-29,67.00,67.35,73.50,66.50,69.25,69.25,69.34,4530,3.14,203,2749,60.68
JUBLINDS,EQ,2014-12-30,69.25,73.00,73.00,68.50,70.00,69.85,69.68,2257,1.57,50,1590,70.45
JUBLINDS,EQ,2014-12-31,69.85,69.05,69.95,61.50,66.00,66.40,64.41,21962,14.15,416,8209,37.38
JUBLINDS,EQ,2015-01-01,66.40,67.00,78.00,66.30,76.20,75.70,75.96,32397,24.61,659,8530,26.33
JUBLINDS,EQ,2015-01-02,75.70,77.90,86.80,76.00,80.00,80.85,82.00,32167,26.38,742,13075,40.65
JUBLINDS,EQ,2015-01-05,80.85,78.00,83.00,76.20,78.95,78.20,80.32,6809,5.47,184,3630,53.31
JUBLINDS,EQ,2015-01-06,78.20,80.35,80.35,71.75,74.90,73.35,76.25,8740,6.66,216,4108,47.00
