Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JUNIORBEES,EQ,2014-12-04,189.90,190.00,197.60,189.52,190.70,190.99,192.00,15072,28.94,263,7459,49.49
JUNIORBEES,EQ,2014-12-05,190.99,190.00,194.00,188.00,190.95,190.51,190.36,16921,32.21,286,7221,42.67
JUNIORBEES,EQ,2014-12-08,190.51,190.00,191.45,185.50,186.00,186.23,188.17,15528,29.22,399,11008,70.89
JUNIORBEES,EQ,2014-12-09,186.23,186.06,187.80,182.55,183.88,183.52,185.20,10907,20.20,223,7183,65.86
JUNIORBEES,EQ,2014-12-10,183.52,184.48,187.48,183.28,187.05,186.96,186.54,14507,27.06,220,11857,81.73
JUNIORBEES,EQ,2014-12-11,186.96,185.95,186.00,184.05,184.25,185.19,185.67,19279,35.79,221,15880,82.37
JUNIORBEES,EQ,2014-12-12,185.19,186.00,186.00,182.56,182.78,183.13,185.02,13119,24.27,183,10900,83.09
JUNIORBEES,EQ,2014-12-15,183.13,183.00,184.67,181.70,181.76,181.98,182.66,11981,21.89,340,7652,63.87
JUNIORBEES,EQ,2014-12-16,181.98,182.00,183.00,177.00,178.89,178.33,178.77,45709,81.71,495,34371,75.20
JUNIORBEES,EQ,2014-12-17,178.33,177.55,179.48,173.02,177.00,178.20,175.65,61894,108.72,371,32759,52.93
JUNIORBEES,EQ,2014-12-18,178.20,180.00,186.80,177.15,186.80,183.09,181.16,15140,27.43,278,9015,59.54
JUNIORBEES,EQ,2014-12-19,183.09,184.90,186.05,182.00,183.00,182.72,183.36,49184,90.18,313,38888,79.07
JUNIORBEES,EQ,2014-12-22,182.72,188.80,188.80,182.00,184.50,184.84,184.52,18405,33.96,237,12510,67.97
JUNIORBEES,EQ,2014-12-23,184.84,184.50,186.00,182.21,183.29,183.07,184.07,18061,33.24,248,12286,68.03
JUNIORBEES,EQ,2014-12-24,183.07,183.78,184.35,181.55,183.25,183.76,183.16,13073,23.95,238,9047,69.20
JUNIORBEES,EQ,2014-12-26,183.76,183.60,184.45,182.60,183.50,183.69,183.36,10627,19.49,212,7150,67.28
JUNIORBEES,EQ,2014-12-29,183.69,184.85,185.76,183.81,184.50,184.46,184.63,9376,17.31,200,6115,65.22
JUNIORBEES,EQ,2014-12-30,184.46,184.02,185.50,183.35,185.50,184.89,184.61,10433,19.26,189,5970,57.22
JUNIORBEES,EQ,2014-12-31,184.89,185.66,187.00,185.00,186.15,186.49,186.38,5770,10.75,133,3526,61.11
JUNIORBEES,EQ,2015-01-01,186.49,186.00,189.80,186.00,189.80,189.03,187.98,6575,12.36,172,5189,78.92
JUNIORBEES,EQ,2015-01-02,189.03,189.85,191.40,188.52,190.72,190.47,190.20,4031,7.67,178,2762,68.52
JUNIORBEES,EQ,2015-01-05,190.47,191.00,193.48,190.10,193.40,191.22,191.71,31733,60.83,315,17763,55.98
JUNIORBEES,EQ,2015-01-06,191.22,188.15,189.88,183.52,186.90,186.46,187.09,23311,43.61,300,16270,69.80
JUNIORBEES,EQ,2015-01-07,186.46,187.90,187.90,183.24,183.24,183.98,184.63,27284,50.37,394,18105,66.36
JUNIORBEES,EQ,2015-01-08,183.98,185.90,187.00,184.30,186.00,186.25,186.06,14075,26.19,255,10303,73.20
JUNIORBEES,EQ,2015-01-09,186.25,187.90,189.40,184.15,184.60,185.00,186.07,9368,17.43,264,4547,48.54
JUNIORBEES,EQ,2015-01-12,185.00,185.00,187.48,185.00,186.25,186.80,186.53,9046,16.87,218,5880,65.00
JUNIORBEES,EQ,2015-01-13,186.80,187.00,188.78,187.00,188.35,187.96,187.82,6006,11.28,151,3667,61.06
JUNIORBEES,EQ,2015-01-14,187.96,187.00,188.98,186.00,187.30,186.89,186.79,6351,11.86,195,3195,50.31
JUNIORBEES,EQ,2015-01-15,186.89,187.98,192.00,187.98,191.22,191.61,190.59,8694,16.57,255,4596,52.86
JUNIORBEES,EQ,2015-01-16,191.61,190.15,191.80,189.00,191.30,191.26,190.85,2195,4.19,99,1020,46.47
JUNIORBEES,EQ,2015-01-19,191.26,191.90,192.80,190.50,191.35,190.99,190.80,116616,222.50,379,106171,91.04
JUNIORBEES,EQ,2015-01-20,190.99,192.45,193.00,190.56,191.50,191.86,192.03,9786,18.79,233,5734,58.59
JUNIORBEES,EQ,2015-01-21,191.86,192.30,193.98,191.86,192.00,192.03,192.44,7720,14.86,175,6359,82.37
JUNIORBEES,EQ,2015-01-22,192.03,191.05,193.68,191.00,192.27,192.14,191.96,19642,37.71,222,10842,55.20
JUNIORBEES,EQ,2015-01-23,192.14,194.00,195.74,192.52,194.65,194.65,194.23,9023,17.53,202,5484,60.78
JUNIORBEES,EQ,2015-01-27,194.65,195.40,196.50,193.05,193.05,194.39,194.71,25469,49.59,398,14036,55.11
JUNIORBEES,EQ,2015-01-28,194.39,194.99,197.98,194.52,196.60,197.07,196.30,36286,71.23,237,28920,79.70
JUNIORBEES,EQ,2015-01-29,197.07,198.70,198.70,195.00,196.05,196.56,196.23,14349,28.16,255,8320,57.98
JUNIORBEES,EQ,2015-01-30,196.56,197.00,197.85,195.00,197.00,196.68,196.59,14264,28.04,239,11576,81.16
JUNIORBEES,EQ,2015-02-02,196.68,197.80,197.80,195.02,196.00,196.42,196.28,13435,26.37,271,7733,57.56
JUNIORBEES,EQ,2015-02-03,196.42,197.00,198.98,196.00,196.10,196.03,197.07,24667,48.61,280,11602,47.03
JUNIORBEES,EQ,2015-02-04,196.03,196.05,196.95,194.21,195.00,194.74,195.24,16247,31.72,194,9624,59.24
JUNIORBEES,EQ,2015-02-05,194.74,194.30,195.98,193.05,193.40,193.57,194.81,5644,10.99,184,2329,41.27
JUNIORBEES,EQ,2015-02-06,193.57,192.20,193.99,192.02,193.00,193.02,193.09,3998,7.72,136,2759,69.01
JUNIORBEES,EQ,2015-02-09,193.02,191.30,192.00,189.30,189.39,189.51,190.75,8453,16.12,276,6210,73.47
JUNIORBEES,EQ,2015-02-10,189.51,190.05,200.00,189.00,194.00,193.89,191.08,16828,32.16,318,10178,60.48
JUNIORBEES,EQ,2015-02-11,193.89,193.04,195.90,191.81,193.67,193.81,194.12,24077,46.74,169,16619,69.02
JUNIORBEES,EQ,2015-02-12,193.81,194.70,195.48,192.55,194.67,194.59,194.23,11909,23.13,163,9786,82.17
JUNIORBEES,EQ,2015-02-13,194.59,195.70,197.20,195.00,196.70,196.34,196.42,6912,13.58,194,5511,79.73
JUNIORBEES,EQ,2015-02-16,196.34,196.52,198.25,196.05,196.65,196.94,197.43,6322,12.48,235,3831,60.60
JUNIORBEES,EQ,2015-02-18,196.94,196.05,197.90,193.00,196.00,196.00,195.30,15886,31.02,228,9525,59.96
JUNIORBEES,EQ,2015-02-19,196.00,197.75,197.75,194.15,195.25,195.43,195.73,13555,26.53,271,6599,48.68
JUNIORBEES,EQ,2015-02-20,195.43,196.89,197.75,194.76,196.00,196.58,196.36,7480,14.69,213,3782,50.56
JUNIORBEES,EQ,2015-02-23,196.58,197.00,197.74,196.15,196.95,196.78,196.84,2734,5.38,141,1566,57.28
JUNIORBEES,EQ,2015-02-24,196.78,195.11,197.00,194.00,195.46,194.49,194.89,10218,19.91,199,7642,74.79
JUNIORBEES,EQ,2015-02-25,194.49,195.90,197.00,195.50,196.00,195.93,196.03,6915,13.56,170,4358,63.02
JUNIORBEES,EQ,2015-02-26,195.93,195.20,196.40,193.60,193.82,194.03,195.05,18086,35.28,222,12635,69.86
JUNIORBEES,EQ,2015-02-27,194.03,194.55,198.50,194.55,198.50,197.80,196.97,20852,41.07,216,16646,79.83
JUNIORBEES,EQ,2015-02-28,197.80,197.00,198.98,196.01,197.35,197.28,197.43,12823,25.32,208,8604,67.10
JUNIORBEES,EQ,2015-03-02,197.28,198.84,200.00,197.30,200.00,199.14,198.53,11688,23.20,253,7819,66.90
JUNIORBEES,EQ,2015-03-03,199.14,199.25,201.00,199.00,201.00,200.52,199.89,8523,17.04,170,5507,64.61
JUNIORBEES,EQ,2015-03-04,200.52,201.00,204.00,198.00,198.02,199.65,202.02,8421,17.01,202,5219,61.98
JUNIORBEES,EQ,2015-03-05,199.65,199.90,202.00,198.60,201.38,200.02,199.71,5947,11.88,182,4127,69.40
JUNIORBEES,EQ,2015-03-09,200.02,199.00,200.76,198.00,198.00,198.19,198.97,23924,47.60,424,19231,80.38
JUNIORBEES,EQ,2015-03-10,198.19,197.02,200.95,197.00,198.64,198.94,199.08,84615,168.45,192,82251,97.21
JUNIORBEES,EQ,2015-03-11,198.94,199.05,200.25,196.10,196.10,197.43,198.04,7757,15.36,272,3451,44.49
JUNIORBEES,EQ,2015-03-12,197.43,198.27,200.48,197.90,200.00,199.98,198.82,6362,12.65,197,2307,36.26
JUNIORBEES,EQ,2015-03-13,199.98,200.20,201.69,197.50,200.00,199.16,199.83,11177,22.34,264,6763,60.51
JUNIORBEES,EQ,2015-03-16,199.16,202.00,202.00,196.00,196.00,196.22,197.03,7936,15.64,314,4270,53.81
JUNIORBEES,EQ,2015-03-17,196.22,197.76,201.65,197.00,199.02,199.18,198.24,9545,18.92,215,5947,62.30
JUNIORBEES,EQ,2015-03-18,199.18,199.99,203.78,199.15,201.43,202.48,200.12,21107,42.24,352,17697,83.84
JUNIORBEES,EQ,2015-03-19,202.48,201.00,202.85,198.50,199.00,199.71,201.20,3357,6.75,218,1846,54.99
JUNIORBEES,EQ,2015-03-20,199.71,200.45,200.45,197.10,197.57,198.55,198.79,7880,15.66,214,3517,44.63
JUNIORBEES,EQ,2015-03-23,198.55,198.00,199.90,195.36,195.36,195.52,196.91,15062,29.66,232,11189,74.29
JUNIORBEES,EQ,2015-03-24,195.52,195.95,196.35,194.55,195.30,195.00,195.23,9384,18.32,152,7106,75.72
JUNIORBEES,EQ,2015-03-25,195.00,196.00,196.68,192.95,193.50,193.93,195.45,12724,24.87,217,7430,58.39
JUNIORBEES,EQ,2015-03-26,193.93,194.05,196.00,193.90,196.00,194.95,194.74,9603,18.70,242,5744,59.81
JUNIORBEES,EQ,2015-03-27,194.95,195.50,195.50,190.90,192.50,192.12,192.45,13216,25.43,399,8657,65.50
JUNIORBEES,EQ,2015-03-30,192.12,193.90,194.90,193.25,194.38,194.19,194.16,7758,15.06,231,5292,68.21
JUNIORBEES,EQ,2015-03-31,194.19,194.00,195.88,193.70,193.80,194.01,194.91,10627,20.71,247,6804,64.03
JUNIORBEES,EQ,2015-04-01,194.01,195.35,196.48,193.10,195.95,196.03,194.48,5762,11.21,179,3855,66.90
JUNIORBEES,EQ,2015-04-06,196.03,196.65,199.00,196.20,199.00,198.85,197.10,29950,59.03,320,25854,86.32
JUNIORBEES,EQ,2015-04-07,198.85,199.30,204.00,198.52,201.22,202.65,201.07,8119,16.32,228,4841,59.63
JUNIORBEES,EQ,2015-04-08,202.65,202.05,203.75,200.38,200.38,201.08,201.82,8753,17.67,258,5837,66.69
JUNIORBEES,EQ,2015-04-09,201.08,202.75,208.50,201.70,208.50,207.44,204.78,16240,33.26,282,10418,64.15
JUNIORBEES,EQ,2015-04-10,207.44,207.00,207.00,203.35,204.90,204.81,204.85,8238,16.88,210,6146,74.61
JUNIORBEES,EQ,2015-04-13,204.81,205.00,207.70,203.50,207.60,207.24,205.95,10965,22.58,206,8041,73.33
JUNIORBEES,EQ,2015-04-15,207.24,207.50,208.00,204.10,204.10,206.28,207.15,9021,18.69,234,7302,80.94
JUNIORBEES,EQ,2015-04-16,206.28,206.74,206.74,202.90,202.90,203.06,205.01,7870,16.13,222,3886,49.38
JUNIORBEES,EQ,2015-04-17,203.06,203.98,203.98,197.57,200.48,198.14,199.98,11745,23.49,264,6931,59.01
JUNIORBEES,EQ,2015-04-20,198.14,199.05,200.34,196.00,197.55,196.56,197.92,9082,17.97,289,6147,67.68
JUNIORBEES,EQ,2015-04-21,196.56,196.98,197.99,194.76,195.14,195.14,196.47,9838,19.33,267,7597,77.22
JUNIORBEES,EQ,2015-04-22,195.14,197.05,198.00,194.99,197.40,197.25,196.35,6111,12.00,216,4352,71.22
JUNIORBEES,EQ,2015-04-23,197.25,198.78,199.00,197.02,198.68,198.56,198.25,9060,17.96,185,4842,53.44
JUNIORBEES,EQ,2015-04-24,198.56,200.00,200.00,192.05,195.00,194.17,194.49,71221,138.52,366,38713,54.36
JUNIORBEES,EQ,2015-04-27,194.17,195.00,195.00,188.95,190.00,190.66,189.89,44217,83.96,430,39573,89.50
JUNIORBEES,EQ,2015-04-28,190.66,198.00,198.00,189.02,192.45,192.25,190.29,32823,62.46,285,23661,72.09
JUNIORBEES,EQ,2015-04-29,192.25,193.00,194.09,190.80,192.00,191.59,192.07,17189,33.01,183,7470,43.46
JUNIORBEES,EQ,2015-04-30,191.59,191.98,193.90,190.05,191.52,192.80,192.15,6656,12.79,190,4178,62.77
JUNIORBEES,EQ,2015-05-04,192.80,193.00,196.50,193.00,195.00,194.97,195.25,12947,25.28,324,9010,69.59
JUNIORBEES,EQ,2015-05-05,194.97,195.50,196.45,195.01,195.75,195.46,195.59,14911,29.17,298,10535,70.65
JUNIORBEES,EQ,2015-05-06,195.46,196.68,196.68,192.00,193.54,192.63,193.66,9753,18.89,290,7621,78.14
JUNIORBEES,EQ,2015-05-07,192.63,194.40,195.05,185.50,185.50,186.19,188.31,39112,73.65,525,25454,65.08
JUNIORBEES,EQ,2015-05-08,186.19,189.40,189.45,187.90,188.00,188.33,188.52,20662,38.95,258,16846,81.53
JUNIORBEES,EQ,2015-05-11,188.33,190.00,193.95,189.60,193.02,193.05,191.95,12231,23.48,269,9966,81.48
JUNIORBEES,EQ,2015-05-12,193.05,193.02,193.98,189.60,192.90,191.22,190.63,18167,34.63,321,14023,77.19
JUNIORBEES,EQ,2015-05-13,191.22,191.65,196.90,191.25,195.90,195.51,194.28,64958,126.20,322,55302,85.14
JUNIORBEES,EQ,2015-05-14,195.51,195.44,196.00,194.40,195.75,195.70,195.49,2571,5.03,142,1632,63.48
JUNIORBEES,EQ,2015-05-15,195.70,196.90,198.75,196.20,196.70,196.67,197.59,9762,19.29,257,6384,65.40
JUNIORBEES,EQ,2015-05-18,196.67,197.90,198.98,196.52,198.95,198.68,197.71,56608,111.92,312,52235,92.27
JUNIORBEES,EQ,2015-05-19,198.68,198.73,199.90,197.16,198.90,198.91,198.91,55868,111.13,259,52856,94.61
JUNIORBEES,EQ,2015-05-20,198.91,199.50,200.48,199.30,199.56,199.51,199.77,4477,8.94,162,2275,50.82
JUNIORBEES,EQ,2015-05-21,199.51,200.80,200.80,197.59,198.62,199.58,198.23,39045,77.40,236,34078,87.28
JUNIORBEES,EQ,2015-05-22,199.58,199.90,200.90,198.72,200.00,199.93,199.68,3067,6.12,120,1982,64.62
JUNIORBEES,EQ,2015-05-25,199.93,200.00,201.44,198.80,200.00,199.92,199.82,7254,14.50,195,4944,68.16
JUNIORBEES,EQ,2015-05-26,199.92,200.00,200.80,196.60,198.40,197.86,198.61,12685,25.19,273,8570,67.56
JUNIORBEES,EQ,2015-05-27,197.86,197.50,199.00,197.00,198.15,198.88,197.79,10948,21.65,213,8076,73.77
JUNIORBEES,EQ,2015-05-28,198.88,199.50,199.88,195.15,196.00,196.35,197.29,17328,34.19,343,7650,44.15
JUNIORBEES,EQ,2015-05-29,196.35,198.00,199.90,197.50,197.56,198.30,198.76,5668,11.27,220,3536,62.39
JUNIORBEES,EQ,2015-06-01,198.30,200.00,200.90,198.30,198.41,198.48,199.29,7883,15.71,308,4108,52.11
JUNIORBEES,EQ,2015-06-02,198.48,199.87,199.87,195.00,195.00,195.45,197.37,14142,27.91,287,10233,72.36
JUNIORBEES,EQ,2015-06-03,195.45,196.05,196.05,191.60,193.78,192.25,192.83,14092,27.17,328,9142,64.87
JUNIORBEES,EQ,2015-06-04,192.25,193.05,194.98,191.55,193.80,193.31,192.57,4408,8.49,177,3286,74.55
